,BURDEN
8506,0.0227305532387079
8625,-0.031379390516067515
2765,-0.06299784796896127
11111,-0.012461067548851974
28770,-0.005232941047894079
6482,-0.036180255235293765
24513,-0.011570947155903122
21790,0.007741674390415738
36580,0.02729357051382799
14594,-0.010120629447149143
3633,-0.0010518091862784518
38817,-0.01410088131843339
11848,-0.0035565570702939947
517,-0.02160059439061242
18669,0.00031467699142320726
39793,-0.0035371958491426433
5991,-0.04645664736970291
34071,-0.0014883630494301192
37698,-0.0010137829246396196
38650,-0.004198807553892625
43174,0.022034354642463727
2498,-0.011688921722458126
15875,0.027683768507013533
24355,-0.020539075170485532
6724,-0.07474145699650234
41634,-0.0057846909062650165
18491,0.006025346574146325
23575,-0.002778581248234789
42727,0.00046750860283517603
35752,0.031623520220108225
33809,0.0008495195884854097
30363,0.0050308343014291435
12296,-0.0020424832369769774
30743,-0.10293859615475445
7153,-0.0017689160605613811
16506,-0.010766970291301779
40681,0.05255252307575976
5838,-0.050763024253031766
14506,-0.029743329444047763
17430,0.0005532320422676831
18875,-0.01811513419118973
38,0.028953880018337375
30941,-0.00494191722542358
21444,-0.003065854173233712
23444,-0.01392178979676504
17468,-0.031541237028118806
34038,0.003772932216493073
24724,-0.0074160815008004685
44551,-0.009733159449588982
3145,0.023014653487742426
43025,-0.004501830561469074
25996,-0.006847060353916957
44658,0.0039907929980285105
7213,-0.1485022979419459
40955,0.002506741415806743
34728,0.03407356680725675
12169,0.0011994897216422093
44176,-0.029916021028378363
31582,0.020352138645385473
26120,-0.004701126317137552
29263,0.001926538193910813
34871,-0.04475091250440642
40523,-0.011842484198633638
25220,0.013197353814889023
42835,0.027233748717945205
20246,0.01575551670627564
12835,-0.04508086097770152
23362,-0.002105109617577955
42503,-0.01589091797441675
13559,-0.006089327840780458
25612,-0.021515728643669844
10766,-0.014959902231276363
8539,0.008360916846054459
34095,-0.004221355506176408
40718,0.0003509686466670117
40969,-0.023461915736857887
28834,0.000477315446190299
19784,-0.008200781070067852
21352,-0.0018867496445419268
24224,-0.0019009645881775568
43324,-0.0879488530426014
20768,-0.009626764806368652
22673,-0.008093793389907667
10407,0.00761790478356697
9230,-0.000593969543831098
6007,0.026619264838075758
37207,-0.0038669301812288602
27305,-0.005533698160526776
458,-0.01004896940388851
14001,-0.06119303703766979
20720,-0.09128316293632405
1458,-0.03771965377792403
