Net generation from petroleum for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.OIL.H
19:17:46 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.OIL.H megawatthours
10/31/2021 01H,633
10/31/2021 00H,670
10/30/2021 23H,670
10/30/2021 22H,621
10/30/2021 21H,641
10/30/2021 20H,624
10/30/2021 19H,0
10/30/2021 18H,669
10/30/2021 17H,691
10/30/2021 16H,695
10/30/2021 15H,670
10/30/2021 14H,667
10/30/2021 13H,609
10/30/2021 12H,599
10/30/2021 11H,613
10/30/2021 10H,610
10/30/2021 09H,604
10/30/2021 08H,604
10/30/2021 07H,622
10/30/2021 06H,624
10/30/2021 05H,637
10/30/2021 04H,603
10/30/2021 03H,601
10/30/2021 02H,602
10/30/2021 01H,643
10/30/2021 00H,639
10/29/2021 23H,673
10/29/2021 22H,680
10/29/2021 21H,681
10/29/2021 20H,689
10/29/2021 19H,729
10/29/2021 18H,684
10/29/2021 17H,641
10/29/2021 16H,658
10/29/2021 15H,653
10/29/2021 14H,690
10/29/2021 13H,650
10/29/2021 12H,630
10/29/2021 11H,617
10/29/2021 10H,618
10/29/2021 09H,619
10/29/2021 08H,618
10/29/2021 07H,615
10/29/2021 06H,614
10/29/2021 05H,625
10/29/2021 04H,630
10/29/2021 03H,637
10/29/2021 02H,633
10/29/2021 01H,664
10/29/2021 00H,686
10/28/2021 23H,678
10/28/2021 22H,658
10/28/2021 21H,649
10/28/2021 20H,642
10/28/2021 19H,652
10/28/2021 18H,643
10/28/2021 17H,668
10/28/2021 16H,672
10/28/2021 15H,680
10/28/2021 14H,705
10/28/2021 13H,676
10/28/2021 12H,635
10/28/2021 11H,614
10/28/2021 10H,611
10/28/2021 09H,594
10/28/2021 08H,591
10/28/2021 07H,591
10/28/2021 06H,594
10/28/2021 05H,614
10/28/2021 04H,605
10/28/2021 03H,603
10/28/2021 02H,611
10/28/2021 01H,678
10/28/2021 00H,683
10/27/2021 23H,683
10/27/2021 22H,732
10/27/2021 21H,744
10/27/2021 20H,761
10/27/2021 19H,737
10/27/2021 18H,691
10/27/2021 17H,671
10/27/2021 16H,594
10/27/2021 15H,598
10/27/2021 14H,676
10/27/2021 13H,670
10/27/2021 12H,619
10/27/2021 11H,589
10/27/2021 10H,581
10/27/2021 09H,571
10/27/2021 08H,555
10/27/2021 07H,557
10/27/2021 06H,573
10/27/2021 05H,571
10/27/2021 04H,534
10/27/2021 03H,592
10/27/2021 02H,619
10/27/2021 01H,724
10/27/2021 00H,756
10/26/2021 23H,896
10/26/2021 22H,726
10/26/2021 21H,698
10/26/2021 20H,637
10/26/2021 19H,720
10/26/2021 18H,752
10/26/2021 17H,706
10/26/2021 16H,660
10/26/2021 15H,585
10/26/2021 14H,661
10/26/2021 13H,676
10/26/2021 12H,657
10/26/2021 11H,597
10/26/2021 10H,595
10/26/2021 09H,601
10/26/2021 08H,601
10/26/2021 07H,0
10/26/2021 06H,0
10/26/2021 05H,593
10/26/2021 04H,451
10/26/2021 03H,433
10/26/2021 02H,513
10/26/2021 01H,639
10/26/2021 00H,0
10/25/2021 23H,660
10/25/2021 22H,644
10/25/2021 21H,656
10/25/2021 20H,660
10/25/2021 19H,702
10/25/2021 18H,681
10/25/2021 17H,637
10/25/2021 16H,704
10/25/2021 15H,666
10/25/2021 14H,644
10/25/2021 13H,676
10/25/2021 12H,647
10/25/2021 11H,601
10/25/2021 10H,591
10/25/2021 09H,589
10/25/2021 08H,579
10/25/2021 07H,575
10/25/2021 06H,591
10/25/2021 05H,591
10/25/2021 04H,605
10/25/2021 03H,607
10/25/2021 02H,608
10/25/2021 01H,666
10/25/2021 00H,707
10/24/2021 23H,715
10/24/2021 22H,663
10/24/2021 21H,608
10/24/2021 20H,611
10/24/2021 19H,601
10/24/2021 18H,601
10/24/2021 17H,604
10/24/2021 16H,606
10/24/2021 15H,614
10/24/2021 14H,618
10/24/2021 13H,618
10/24/2021 12H,614
10/24/2021 11H,618
10/24/2021 10H,600
10/24/2021 09H,578
10/24/2021 08H,580
10/24/2021 07H,596
10/24/2021 06H,605
10/24/2021 05H,614
10/24/2021 04H,614
10/24/2021 03H,612
10/24/2021 02H,609
10/24/2021 01H,661
10/24/2021 00H,694
10/23/2021 23H,697
10/23/2021 22H,672
10/23/2021 21H,598
10/23/2021 20H,597
10/23/2021 19H,597
10/23/2021 18H,601
10/23/2021 17H,612
10/23/2021 16H,640
10/23/2021 15H,648
10/23/2021 14H,615
10/23/2021 13H,614
10/23/2021 12H,615
10/23/2021 11H,616
10/23/2021 10H,615
10/23/2021 09H,616
10/23/2021 08H,592
10/23/2021 07H,610
10/23/2021 06H,591
10/23/2021 05H,608
10/23/2021 04H,605
10/23/2021 03H,604
10/23/2021 02H,661
10/23/2021 01H,688
10/23/2021 00H,690
10/22/2021 23H,686
10/22/2021 22H,681
10/22/2021 21H,673
10/22/2021 20H,668
10/22/2021 19H,674
10/22/2021 18H,662
10/22/2021 17H,682
10/22/2021 16H,680
10/22/2021 15H,685
10/22/2021 14H,678
10/22/2021 13H,670
10/22/2021 12H,673
10/22/2021 11H,613
10/22/2021 10H,589
10/22/2021 09H,571
10/22/2021 08H,573
10/22/2021 07H,588
10/22/2021 06H,587
10/22/2021 05H,587
10/22/2021 04H,583
10/22/2021 03H,606
10/22/2021 02H,657
10/22/2021 01H,690
10/22/2021 00H,708
10/21/2021 23H,652
10/21/2021 22H,643
10/21/2021 21H,668
10/21/2021 20H,664
10/21/2021 19H,650
10/21/2021 18H,708
10/21/2021 17H,736
10/21/2021 16H,737
10/21/2021 15H,740
10/21/2021 14H,731
10/21/2021 13H,692
10/21/2021 12H,677
10/21/2021 11H,636
10/21/2021 10H,599
10/21/2021 09H,583
10/21/2021 08H,583
10/21/2021 07H,600
10/21/2021 06H,602
10/21/2021 05H,598
10/21/2021 04H,595
10/21/2021 03H,593
10/21/2021 02H,600
10/21/2021 01H,675
10/21/2021 00H,679
10/20/2021 23H,680
10/20/2021 22H,750
10/20/2021 21H,752
10/20/2021 20H,720
10/20/2021 19H,593
10/20/2021 18H,591
10/20/2021 17H,674
10/20/2021 16H,710
10/20/2021 15H,707
10/20/2021 14H,655
10/20/2021 13H,658
10/20/2021 12H,611
10/20/2021 11H,646
10/20/2021 10H,596
10/20/2021 09H,581
10/20/2021 08H,581
10/20/2021 07H,580
10/20/2021 06H,581
10/20/2021 05H,583
10/20/2021 04H,597
10/20/2021 03H,594
10/20/2021 02H,626
10/20/2021 01H,657
10/20/2021 00H,655
10/19/2021 23H,633
10/19/2021 22H,615
10/19/2021 21H,584
10/19/2021 20H,579
10/19/2021 19H,582
10/19/2021 18H,587
10/19/2021 17H,591
10/19/2021 16H,598
10/19/2021 15H,670
10/19/2021 14H,676
10/19/2021 13H,785
10/19/2021 12H,716
10/19/2021 11H,616
10/19/2021 10H,0
10/19/2021 09H,607
10/19/2021 08H,587
10/19/2021 07H,614
10/19/2021 06H,615
10/19/2021 05H,615
10/19/2021 04H,612
10/19/2021 03H,610
10/19/2021 02H,611
10/19/2021 01H,684
10/19/2021 00H,696
10/18/2021 23H,693
10/18/2021 22H,676
10/18/2021 21H,623
10/18/2021 20H,615
10/18/2021 19H,601
10/18/2021 18H,643
10/18/2021 17H,676
10/18/2021 16H,644
10/18/2021 15H,462
10/18/2021 14H,0
10/18/2021 13H,205
10/18/2021 12H,128
10/18/2021 11H,9
10/18/2021 10H,2
10/18/2021 09H,2
10/18/2021 08H,0
10/18/2021 07H,0
10/18/2021 06H,2
10/18/2021 05H,0
10/18/2021 04H,252
10/18/2021 03H,601
10/18/2021 02H,599
10/18/2021 01H,622
10/18/2021 00H,674
10/17/2021 23H,672
10/17/2021 22H,611
10/17/2021 21H,0
10/17/2021 20H,584
10/17/2021 19H,584
10/17/2021 18H,586
10/17/2021 17H,585
10/17/2021 16H,586
10/17/2021 15H,587
10/17/2021 14H,591
10/17/2021 13H,592
10/17/2021 12H,594
10/17/2021 11H,548
10/17/2021 10H,571
10/17/2021 09H,580
10/17/2021 08H,576
10/17/2021 07H,581
10/17/2021 06H,580
10/17/2021 05H,580
10/17/2021 04H,592
10/17/2021 03H,589
10/17/2021 02H,604
10/17/2021 01H,652
10/17/2021 00H,662
10/16/2021 23H,536
10/16/2021 22H,636
10/16/2021 21H,705
10/16/2021 20H,645
10/16/2021 19H,647
10/16/2021 18H,651
10/16/2021 17H,652
10/16/2021 16H,607
10/16/2021 15H,660
10/16/2021 14H,645
10/16/2021 13H,584
10/16/2021 12H,582
10/16/2021 11H,587
10/16/2021 10H,588
10/16/2021 09H,589
10/16/2021 08H,589
10/16/2021 07H,589
10/16/2021 06H,597
10/16/2021 05H,654
10/16/2021 04H,704
10/16/2021 03H,673
10/16/2021 02H,657
10/16/2021 01H,680
10/16/2021 00H,745
10/15/2021 23H,720
10/15/2021 22H,800
10/15/2021 21H,773
10/15/2021 20H,759
10/15/2021 19H,719
10/15/2021 18H,679
10/15/2021 17H,681
10/15/2021 16H,683
10/15/2021 15H,680
10/15/2021 14H,729
10/15/2021 13H,687
10/15/2021 12H,661
10/15/2021 11H,606
10/15/2021 10H,584
10/15/2021 09H,391
10/15/2021 08H,391
10/15/2021 07H,395
10/15/2021 06H,587
10/15/2021 05H,597
10/15/2021 04H,750
10/15/2021 03H,838
10/15/2021 02H,960
10/15/2021 01H,1024
10/15/2021 00H,1028
10/14/2021 23H,1051
10/14/2021 22H,1058
10/14/2021 21H,1019
10/14/2021 20H,991
10/14/2021 19H,875
10/14/2021 18H,817
10/14/2021 17H,811
10/14/2021 16H,779
10/14/2021 15H,757
10/14/2021 14H,731
10/14/2021 13H,686
10/14/2021 12H,607
10/14/2021 11H,605
10/14/2021 10H,605
10/14/2021 09H,598
10/14/2021 08H,598
10/14/2021 07H,597
10/14/2021 06H,599
10/14/2021 05H,599
10/14/2021 04H,599
10/14/2021 03H,598
10/14/2021 02H,643
10/14/2021 01H,680
10/14/2021 00H,682
10/13/2021 23H,681
10/13/2021 22H,679
10/13/2021 21H,721
10/13/2021 20H,692
10/13/2021 19H,686
10/13/2021 18H,682
10/13/2021 17H,682
10/13/2021 16H,681
10/13/2021 15H,686
10/13/2021 14H,682
10/13/2021 13H,685
10/13/2021 12H,651
10/13/2021 11H,441
10/13/2021 10H,335
10/13/2021 09H,169
10/13/2021 08H,99
10/13/2021 07H,8
10/13/2021 06H,0
10/13/2021 05H,49
10/13/2021 04H,199
10/13/2021 03H,221
10/13/2021 02H,212
10/13/2021 01H,232
10/13/2021 00H,154
10/12/2021 23H,0
10/12/2021 22H,0
10/12/2021 21H,0
10/12/2021 20H,0
10/12/2021 19H,31
10/12/2021 18H,0
10/12/2021 17H,2
10/12/2021 16H,2
10/12/2021 15H,0
10/12/2021 14H,19
10/12/2021 13H,15
10/12/2021 12H,2
10/12/2021 11H,2
10/12/2021 10H,2
10/12/2021 09H,2
10/12/2021 08H,2
10/12/2021 07H,2
10/12/2021 06H,2
10/12/2021 05H,0
10/12/2021 04H,0
10/12/2021 03H,2
10/12/2021 02H,2
10/12/2021 01H,2
10/12/2021 00H,0
10/11/2021 23H,0
10/11/2021 22H,0
10/11/2021 21H,0
10/11/2021 20H,13
10/11/2021 19H,2
10/11/2021 18H,28
10/11/2021 17H,32
10/11/2021 16H,18
10/11/2021 15H,14
10/11/2021 14H,2
10/11/2021 13H,0
10/11/2021 12H,0
10/11/2021 11H,2
10/11/2021 10H,0
10/11/2021 09H,0
10/11/2021 08H,0
10/11/2021 07H,0
10/11/2021 06H,2
10/11/2021 05H,0
10/11/2021 04H,0
10/11/2021 03H,0
10/11/2021 02H,2
10/11/2021 01H,0
10/11/2021 00H,0
10/10/2021 23H,0
10/10/2021 22H,0
10/10/2021 21H,2
10/10/2021 20H,0
10/10/2021 19H,2
10/10/2021 18H,2
10/10/2021 17H,2
10/10/2021 16H,0
10/10/2021 15H,2
10/10/2021 14H,0
10/10/2021 13H,0
10/10/2021 12H,0
10/10/2021 11H,0
10/10/2021 10H,0
10/10/2021 09H,2
10/10/2021 08H,2
10/10/2021 07H,0
10/10/2021 06H,2
10/10/2021 05H,2
10/10/2021 04H,2
10/10/2021 03H,2
10/10/2021 02H,2
10/10/2021 01H,0
10/10/2021 00H,2
10/9/2021 23H,2
10/9/2021 22H,0
10/9/2021 21H,2
10/9/2021 20H,0
10/9/2021 19H,2
10/9/2021 18H,0
10/9/2021 17H,0
10/9/2021 16H,2
10/9/2021 15H,2
10/9/2021 14H,2
10/9/2021 13H,50
10/9/2021 12H,4
10/9/2021 11H,0
10/9/2021 10H,0
10/9/2021 09H,2
10/9/2021 08H,2
10/9/2021 07H,2
10/9/2021 06H,0
10/9/2021 05H,81
10/9/2021 04H,412
10/9/2021 03H,410
10/9/2021 02H,414
10/9/2021 01H,415
10/9/2021 00H,418
10/8/2021 23H,419
10/8/2021 22H,477
10/8/2021 21H,671
10/8/2021 20H,675
10/8/2021 19H,676
10/8/2021 18H,676
10/8/2021 17H,667
10/8/2021 16H,673
10/8/2021 15H,679
10/8/2021 14H,0
10/8/2021 13H,0
10/8/2021 12H,0
10/8/2021 11H,619
10/8/2021 10H,591
10/8/2021 09H,0
10/8/2021 08H,581
10/8/2021 07H,581
10/8/2021 06H,0
10/8/2021 05H,595
10/8/2021 04H,0
10/8/2021 03H,609
10/8/2021 02H,669
10/8/2021 01H,681
10/8/2021 00H,682
10/7/2021 23H,677
10/7/2021 22H,675
10/7/2021 21H,674
10/7/2021 20H,0
10/7/2021 19H,676
10/7/2021 18H,676
10/7/2021 17H,674
10/7/2021 16H,678
10/7/2021 15H,677
10/7/2021 14H,663
10/7/2021 13H,681
10/7/2021 12H,663
10/7/2021 11H,596
10/7/2021 10H,579
10/7/2021 09H,578
10/7/2021 08H,576
10/7/2021 07H,575
10/7/2021 06H,593
10/7/2021 05H,598
10/7/2021 04H,596
10/7/2021 03H,595
10/7/2021 02H,598
10/7/2021 01H,617
10/7/2021 00H,685
10/6/2021 23H,685
10/6/2021 22H,684
10/6/2021 21H,670
10/6/2021 20H,617
10/6/2021 19H,672
10/6/2021 18H,628
10/6/2021 17H,615
10/6/2021 16H,631
10/6/2021 15H,638
10/6/2021 14H,681
10/6/2021 13H,686
10/6/2021 12H,684
10/6/2021 11H,647
10/6/2021 10H,596
10/6/2021 09H,603
10/6/2021 08H,603
10/6/2021 07H,602
10/6/2021 06H,602
10/6/2021 05H,603
10/6/2021 04H,643
10/6/2021 03H,654
10/6/2021 02H,684
10/6/2021 01H,688
10/6/2021 00H,689
10/5/2021 23H,684
10/5/2021 22H,682
10/5/2021 21H,681
10/5/2021 20H,681
10/5/2021 19H,0
10/5/2021 18H,683
10/5/2021 17H,685
10/5/2021 16H,703
10/5/2021 15H,686
10/5/2021 14H,686
10/5/2021 13H,687
10/5/2021 12H,683
10/5/2021 11H,684
10/5/2021 10H,675
10/5/2021 09H,584
10/5/2021 08H,637
10/5/2021 07H,679
10/5/2021 06H,680
10/5/2021 05H,675
10/5/2021 04H,672
10/5/2021 03H,669
10/5/2021 02H,674
10/5/2021 01H,672
10/5/2021 00H,672
10/4/2021 23H,672
10/4/2021 22H,722
10/4/2021 21H,679
10/4/2021 20H,668
10/4/2021 19H,699
10/4/2021 18H,709
10/4/2021 17H,671
10/4/2021 16H,671
10/4/2021 15H,727
10/4/2021 14H,736
10/4/2021 13H,708
10/4/2021 12H,715
10/4/2021 11H,665
10/4/2021 10H,666
10/4/2021 09H,638
10/4/2021 08H,645
10/4/2021 07H,668
10/4/2021 06H,668
10/4/2021 05H,666
10/4/2021 04H,670
10/4/2021 03H,672
10/4/2021 02H,725
10/4/2021 01H,773
10/4/2021 00H,799
10/3/2021 23H,758
10/3/2021 22H,725
10/3/2021 21H,724
10/3/2021 20H,732
10/3/2021 19H,708
10/3/2021 18H,672
10/3/2021 17H,672
10/3/2021 16H,664
10/3/2021 15H,598
10/3/2021 14H,609
10/3/2021 13H,620
10/3/2021 12H,604
10/3/2021 11H,610
10/3/2021 10H,602
10/3/2021 09H,588
10/3/2021 08H,583
10/3/2021 07H,581
10/3/2021 06H,600
10/3/2021 05H,621
