Net generation from wind for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.WND.H
19:17:59 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.WND.H megawatthours
11/9/2021 08H,787
11/9/2021 07H,870
11/9/2021 06H,914
11/9/2021 05H,1077
11/9/2021 04H,1197
11/9/2021 03H,1177
11/9/2021 02H,1139
11/9/2021 01H,962
11/9/2021 00H,925
11/8/2021 23H,511
11/8/2021 22H,210
11/8/2021 21H,147
11/8/2021 20H,134
11/8/2021 19H,109
11/8/2021 18H,121
11/8/2021 17H,112
11/8/2021 16H,92
11/8/2021 15H,87
11/8/2021 14H,134
11/8/2021 13H,193
11/8/2021 12H,205
11/8/2021 11H,216
11/8/2021 10H,239
11/8/2021 09H,260
11/8/2021 08H,320
11/8/2021 07H,394
11/8/2021 06H,423
11/8/2021 05H,472
11/8/2021 04H,546
11/8/2021 03H,687
11/8/2021 02H,717
11/8/2021 01H,608
11/8/2021 00H,514
11/7/2021 23H,299
11/7/2021 22H,130
11/7/2021 21H,163
11/7/2021 20H,200
11/7/2021 19H,232
11/7/2021 18H,236
11/7/2021 17H,223
11/7/2021 16H,193
11/7/2021 15H,164
11/7/2021 14H,284
11/7/2021 13H,451
11/7/2021 12H,520
11/7/2021 11H,585
11/7/2021 10H,612
11/7/2021 09H,646
11/7/2021 08H,722
11/7/2021 07H,789
11/7/2021 06H,787
11/7/2021 05H,854
11/7/2021 04H,931
11/7/2021 03H,803
11/7/2021 02H,563
11/7/2021 01H,450
11/7/2021 00H,269
11/6/2021 23H,130
11/6/2021 22H,71
11/6/2021 21H,46
11/6/2021 20H,43
11/6/2021 19H,69
11/6/2021 18H,113
11/6/2021 17H,217
11/6/2021 16H,208
11/6/2021 15H,191
11/6/2021 14H,296
11/6/2021 13H,465
11/6/2021 12H,498
11/6/2021 11H,527
11/6/2021 10H,508
11/6/2021 09H,463
11/6/2021 08H,334
11/6/2021 07H,418
11/6/2021 06H,284
11/6/2021 05H,306
11/6/2021 04H,281
11/6/2021 03H,297
11/6/2021 02H,284
11/6/2021 01H,263
11/6/2021 00H,190
11/5/2021 23H,110
11/5/2021 22H,104
11/5/2021 21H,134
11/5/2021 20H,227
11/5/2021 19H,265
11/5/2021 18H,168
11/5/2021 17H,136
11/5/2021 16H,77
11/5/2021 15H,61
11/5/2021 14H,74
11/5/2021 13H,98
11/5/2021 12H,78
11/5/2021 11H,50
11/5/2021 10H,52
11/5/2021 09H,44
11/5/2021 08H,44
11/5/2021 07H,32
11/5/2021 06H,19
11/5/2021 05H,18
11/5/2021 04H,24
11/5/2021 03H,33
11/5/2021 02H,86
11/5/2021 01H,72
11/5/2021 00H,56
11/4/2021 23H,34
11/4/2021 22H,4
11/4/2021 21H,3
11/4/2021 20H,7
11/4/2021 19H,20
11/4/2021 18H,11
11/4/2021 17H,11
11/4/2021 16H,22
11/4/2021 15H,22
11/4/2021 14H,56
11/4/2021 13H,122
11/4/2021 12H,152
11/4/2021 11H,190
11/4/2021 10H,134
11/4/2021 09H,110
11/4/2021 08H,123
11/4/2021 07H,119
11/4/2021 06H,175
11/4/2021 05H,133
11/4/2021 04H,116
11/4/2021 03H,95
11/4/2021 02H,115
11/4/2021 01H,150
11/4/2021 00H,156
11/3/2021 23H,128
11/3/2021 22H,155
11/3/2021 21H,192
11/3/2021 20H,222
11/3/2021 19H,230
11/3/2021 18H,223
11/3/2021 17H,210
11/3/2021 16H,214
11/3/2021 15H,258
11/3/2021 14H,243
11/3/2021 13H,252
11/3/2021 12H,284
11/3/2021 11H,301
11/3/2021 10H,268
11/3/2021 09H,227
11/3/2021 08H,271
11/3/2021 07H,235
11/3/2021 06H,228
11/3/2021 05H,252
11/3/2021 04H,303
11/3/2021 03H,324
11/3/2021 02H,416
11/3/2021 01H,460
11/3/2021 00H,476
11/2/2021 23H,493
11/2/2021 22H,523
11/2/2021 21H,585
11/2/2021 20H,693
11/2/2021 19H,658
11/2/2021 18H,546
11/2/2021 17H,636
11/2/2021 16H,522
11/2/2021 15H,496
11/2/2021 14H,550
11/2/2021 13H,618
11/2/2021 12H,497
11/2/2021 11H,417
11/2/2021 10H,329
11/2/2021 09H,388
11/2/2021 08H,392
11/2/2021 07H,312
11/2/2021 06H,348
11/2/2021 05H,415
11/2/2021 04H,505
11/2/2021 03H,646
11/2/2021 02H,691
11/2/2021 01H,722
11/2/2021 00H,860
11/1/2021 23H,947
11/1/2021 22H,1204
11/1/2021 21H,1133
11/1/2021 20H,1382
11/1/2021 19H,1444
11/1/2021 18H,1445
11/1/2021 17H,1439
11/1/2021 16H,1488
11/1/2021 15H,1374
11/1/2021 14H,1256
11/1/2021 13H,1226
11/1/2021 12H,1337
11/1/2021 11H,1422
11/1/2021 10H,1444
11/1/2021 09H,1409
11/1/2021 08H,1359
11/1/2021 07H,1390
11/1/2021 06H,1302
11/1/2021 05H,1345
11/1/2021 04H,1292
11/1/2021 03H,1339
11/1/2021 02H,1361
11/1/2021 01H,1438
11/1/2021 00H,1599
10/31/2021 23H,1591
10/31/2021 22H,1504
10/31/2021 21H,1514
10/31/2021 20H,1423
10/31/2021 19H,1167
10/31/2021 18H,875
10/31/2021 17H,820
10/31/2021 16H,759
10/31/2021 15H,561
10/31/2021 14H,439
10/31/2021 13H,288
10/31/2021 12H,237
10/31/2021 11H,184
10/31/2021 10H,108
10/31/2021 09H,78
10/31/2021 08H,83
10/31/2021 07H,68
10/31/2021 06H,69
10/31/2021 05H,61
10/31/2021 04H,107
10/31/2021 03H,204
10/31/2021 02H,279
10/31/2021 01H,254
10/31/2021 00H,255
10/30/2021 23H,408
10/30/2021 22H,432
10/30/2021 21H,470
10/30/2021 20H,579
10/30/2021 19H,530
10/30/2021 18H,668
10/30/2021 17H,863
10/30/2021 16H,805
10/30/2021 15H,719
10/30/2021 14H,707
10/30/2021 13H,841
10/30/2021 12H,882
10/30/2021 11H,906
10/30/2021 10H,989
10/30/2021 09H,825
10/30/2021 08H,857
10/30/2021 07H,895
10/30/2021 06H,946
10/30/2021 05H,877
10/30/2021 04H,911
10/30/2021 03H,1062
10/30/2021 02H,1006
10/30/2021 01H,989
10/30/2021 00H,1027
10/29/2021 23H,957
10/29/2021 22H,770
10/29/2021 21H,757
10/29/2021 20H,715
10/29/2021 19H,611
10/29/2021 18H,639
10/29/2021 17H,746
10/29/2021 16H,829
10/29/2021 15H,784
10/29/2021 14H,759
10/29/2021 13H,756
10/29/2021 12H,703
10/29/2021 11H,693
10/29/2021 10H,687
10/29/2021 09H,776
10/29/2021 08H,874
10/29/2021 07H,859
10/29/2021 06H,809
10/29/2021 05H,773
10/29/2021 04H,803
10/29/2021 03H,706
10/29/2021 02H,575
10/29/2021 01H,558
10/29/2021 00H,601
10/28/2021 23H,476
10/28/2021 22H,319
10/28/2021 21H,228
10/28/2021 20H,178
10/28/2021 19H,122
10/28/2021 18H,92
10/28/2021 17H,79
10/28/2021 16H,111
10/28/2021 15H,143
10/28/2021 14H,217
10/28/2021 13H,218
10/28/2021 12H,270
10/28/2021 11H,284
10/28/2021 10H,288
10/28/2021 09H,349
10/28/2021 08H,297
10/28/2021 07H,225
10/28/2021 06H,251
10/28/2021 05H,306
10/28/2021 04H,360
10/28/2021 03H,418
10/28/2021 02H,392
10/28/2021 01H,438
10/28/2021 00H,521
10/27/2021 23H,322
10/27/2021 22H,264
10/27/2021 21H,280
10/27/2021 20H,246
10/27/2021 19H,302
10/27/2021 18H,294
10/27/2021 17H,310
10/27/2021 16H,339
10/27/2021 15H,455
10/27/2021 14H,535
10/27/2021 13H,537
10/27/2021 12H,611
10/27/2021 11H,626
10/27/2021 10H,669
10/27/2021 09H,633
10/27/2021 08H,503
10/27/2021 07H,434
10/27/2021 06H,432
10/27/2021 05H,417
10/27/2021 04H,465
10/27/2021 03H,558
10/27/2021 02H,679
10/27/2021 01H,805
10/27/2021 00H,911
10/26/2021 23H,987
10/26/2021 22H,1116
10/26/2021 21H,1084
10/26/2021 20H,1076
10/26/2021 19H,969
10/26/2021 18H,831
10/26/2021 17H,729
10/26/2021 16H,705
10/26/2021 15H,665
10/26/2021 14H,579
10/26/2021 13H,544
10/26/2021 12H,407
10/26/2021 11H,408
10/26/2021 10H,424
10/26/2021 09H,488
10/26/2021 08H,422
10/26/2021 07H,470
10/26/2021 06H,577
10/26/2021 05H,425
10/26/2021 04H,387
10/26/2021 03H,508
10/26/2021 02H,622
10/26/2021 01H,731
10/26/2021 00H,650
10/25/2021 23H,464
10/25/2021 22H,378
10/25/2021 21H,421
10/25/2021 20H,495
10/25/2021 19H,490
10/25/2021 18H,514
10/25/2021 17H,524
10/25/2021 16H,501
10/25/2021 15H,435
10/25/2021 14H,492
10/25/2021 13H,501
10/25/2021 12H,488
10/25/2021 11H,564
10/25/2021 10H,563
10/25/2021 09H,505
10/25/2021 08H,345
10/25/2021 07H,269
10/25/2021 06H,342
10/25/2021 05H,343
10/25/2021 04H,294
10/25/2021 03H,261
10/25/2021 02H,179
10/25/2021 01H,93
10/25/2021 00H,54
10/24/2021 23H,19
10/24/2021 22H,5
10/24/2021 21H,10
10/24/2021 20H,21
10/24/2021 19H,51
10/24/2021 18H,85
10/24/2021 17H,84
10/24/2021 16H,52
10/24/2021 15H,33
10/24/2021 14H,69
10/24/2021 13H,145
10/24/2021 12H,209
10/24/2021 11H,169
10/24/2021 10H,111
10/24/2021 09H,130
10/24/2021 08H,125
10/24/2021 07H,113
10/24/2021 06H,120
10/24/2021 05H,129
10/24/2021 04H,119
10/24/2021 03H,139
10/24/2021 02H,140
10/24/2021 01H,112
10/24/2021 00H,57
10/23/2021 23H,43
10/23/2021 22H,62
10/23/2021 21H,98
10/23/2021 20H,107
10/23/2021 19H,113
10/23/2021 18H,89
10/23/2021 17H,43
10/23/2021 16H,6
10/23/2021 15H,2
10/23/2021 14H,1
10/23/2021 13H,1
10/23/2021 12H,1
10/23/2021 11H,6
10/23/2021 10H,3
10/23/2021 09H,3
10/23/2021 08H,5
10/23/2021 07H,19
10/23/2021 06H,30
10/23/2021 05H,48
10/23/2021 04H,68
10/23/2021 03H,64
10/23/2021 02H,74
10/23/2021 01H,134
10/23/2021 00H,162
10/22/2021 23H,157
10/22/2021 22H,201
10/22/2021 21H,219
10/22/2021 20H,262
10/22/2021 19H,312
10/22/2021 18H,364
10/22/2021 17H,394
10/22/2021 16H,406
10/22/2021 15H,561
10/22/2021 14H,650
10/22/2021 13H,605
10/22/2021 12H,697
10/22/2021 11H,802
10/22/2021 10H,913
10/22/2021 09H,840
10/22/2021 08H,762
10/22/2021 07H,896
10/22/2021 06H,858
10/22/2021 05H,1052
10/22/2021 04H,1077
10/22/2021 03H,953
10/22/2021 02H,1005
10/22/2021 01H,953
10/22/2021 00H,779
10/21/2021 23H,769
10/21/2021 22H,693
10/21/2021 21H,688
10/21/2021 20H,555
10/21/2021 19H,677
10/21/2021 18H,662
10/21/2021 17H,394
10/21/2021 16H,306
10/21/2021 15H,319
10/21/2021 14H,402
10/21/2021 13H,401
10/21/2021 12H,440
10/21/2021 11H,403
10/21/2021 10H,501
10/21/2021 09H,643
10/21/2021 08H,685
10/21/2021 07H,767
10/21/2021 06H,898
10/21/2021 05H,947
10/21/2021 04H,837
10/21/2021 03H,788
10/21/2021 02H,768
10/21/2021 01H,721
10/21/2021 00H,722
10/20/2021 23H,596
10/20/2021 22H,557
10/20/2021 21H,568
10/20/2021 20H,763
10/20/2021 19H,812
10/20/2021 18H,757
10/20/2021 17H,653
10/20/2021 16H,464
10/20/2021 15H,386
10/20/2021 14H,421
10/20/2021 13H,568
10/20/2021 12H,662
10/20/2021 11H,750
10/20/2021 10H,884
10/20/2021 09H,935
10/20/2021 08H,1103
10/20/2021 07H,1167
10/20/2021 06H,1222
10/20/2021 05H,1218
10/20/2021 04H,1272
10/20/2021 03H,1279
10/20/2021 02H,1341
10/20/2021 01H,1358
10/20/2021 00H,1184
10/19/2021 23H,1083
10/19/2021 22H,1169
10/19/2021 21H,1415
10/19/2021 20H,1467
10/19/2021 19H,1464
10/19/2021 18H,1342
10/19/2021 17H,1239
10/19/2021 16H,1083
10/19/2021 15H,883
10/19/2021 14H,682
10/19/2021 13H,784
10/19/2021 12H,804
10/19/2021 11H,756
10/19/2021 10H,803
10/19/2021 09H,893
10/19/2021 08H,852
10/19/2021 07H,800
10/19/2021 06H,751
10/19/2021 05H,694
10/19/2021 04H,777
10/19/2021 03H,756
10/19/2021 02H,757
10/19/2021 01H,716
10/19/2021 00H,612
10/18/2021 23H,538
10/18/2021 22H,510
10/18/2021 21H,559
10/18/2021 20H,614
10/18/2021 19H,701
10/18/2021 18H,690
10/18/2021 17H,677
10/18/2021 16H,653
10/18/2021 15H,575
10/18/2021 14H,608
10/18/2021 13H,527
10/18/2021 12H,531
10/18/2021 11H,505
10/18/2021 10H,519
10/18/2021 09H,591
10/18/2021 08H,517
10/18/2021 07H,450
10/18/2021 06H,541
10/18/2021 05H,627
10/18/2021 04H,566
10/18/2021 03H,580
10/18/2021 02H,676
10/18/2021 01H,677
10/18/2021 00H,593
10/17/2021 23H,573
10/17/2021 22H,562
10/17/2021 21H,696
10/17/2021 20H,680
10/17/2021 19H,672
10/17/2021 18H,680
10/17/2021 17H,678
10/17/2021 16H,634
10/17/2021 15H,529
10/17/2021 14H,494
10/17/2021 13H,456
10/17/2021 12H,535
10/17/2021 11H,579
10/17/2021 10H,631
10/17/2021 09H,694
10/17/2021 08H,709
10/17/2021 07H,738
10/17/2021 06H,725
10/17/2021 05H,816
10/17/2021 04H,968
10/17/2021 03H,1015
10/17/2021 02H,1064
10/17/2021 01H,1096
10/17/2021 00H,1086
10/16/2021 23H,1041
10/16/2021 22H,1191
10/16/2021 21H,1326
10/16/2021 20H,1110
10/16/2021 19H,1080
10/16/2021 18H,924
10/16/2021 17H,990
10/16/2021 16H,700
10/16/2021 15H,748
10/16/2021 14H,682
10/16/2021 13H,677
10/16/2021 12H,610
10/16/2021 11H,663
10/16/2021 10H,444
10/16/2021 09H,355
10/16/2021 08H,450
10/16/2021 07H,543
10/16/2021 06H,642
10/16/2021 05H,588
10/16/2021 04H,554
10/16/2021 03H,538
10/16/2021 02H,454
10/16/2021 01H,333
10/16/2021 00H,205
10/15/2021 23H,106
10/15/2021 22H,83
10/15/2021 21H,93
10/15/2021 20H,111
10/15/2021 19H,121
10/15/2021 18H,158
10/15/2021 17H,87
10/15/2021 16H,89
10/15/2021 15H,133
10/15/2021 14H,167
10/15/2021 13H,211
10/15/2021 12H,302
10/15/2021 11H,345
10/15/2021 10H,313
10/15/2021 09H,272
10/15/2021 08H,345
10/15/2021 07H,353
10/15/2021 06H,382
10/15/2021 05H,363
10/15/2021 04H,250
10/15/2021 03H,207
10/15/2021 02H,165
10/15/2021 01H,72
10/15/2021 00H,36
10/14/2021 23H,14
10/14/2021 22H,2
10/14/2021 21H,3
10/14/2021 20H,5
10/14/2021 19H,6
10/14/2021 18H,20
10/14/2021 17H,53
10/14/2021 16H,43
10/14/2021 15H,54
10/14/2021 14H,59
10/14/2021 13H,112
10/14/2021 12H,170
10/14/2021 11H,197
10/14/2021 10H,234
10/14/2021 09H,238
10/14/2021 08H,211
10/14/2021 07H,180
10/14/2021 06H,167
10/14/2021 05H,162
10/14/2021 04H,235
10/14/2021 03H,250
10/14/2021 02H,259
10/14/2021 01H,205
10/14/2021 00H,132
10/13/2021 23H,61
10/13/2021 22H,52
10/13/2021 21H,71
10/13/2021 20H,76
10/13/2021 19H,89
10/13/2021 18H,102
10/13/2021 17H,91
10/13/2021 16H,80
10/13/2021 15H,97
10/13/2021 14H,114
10/13/2021 13H,182
10/13/2021 12H,227
10/13/2021 11H,247
10/13/2021 10H,215
10/13/2021 09H,263
10/13/2021 08H,287
10/13/2021 07H,369
10/13/2021 06H,467
10/13/2021 05H,535
10/13/2021 04H,623
10/13/2021 03H,556
10/13/2021 02H,522
10/13/2021 01H,466
10/13/2021 00H,306
10/12/2021 23H,234
10/12/2021 22H,239
10/12/2021 21H,255
10/12/2021 20H,263
10/12/2021 19H,241
10/12/2021 18H,248
10/12/2021 17H,282
10/12/2021 16H,279
10/12/2021 15H,314
10/12/2021 14H,419
10/12/2021 13H,493
10/12/2021 12H,529
10/12/2021 11H,455
10/12/2021 10H,481
10/12/2021 09H,539
10/12/2021 08H,557
10/12/2021 07H,604
10/12/2021 06H,724
10/12/2021 05H,870
10/12/2021 04H,795
10/12/2021 03H,801
10/12/2021 02H,810
10/12/2021 01H,672
10/12/2021 00H,488
10/11/2021 23H,260
10/11/2021 22H,148
10/11/2021 21H,144
10/11/2021 20H,107
10/11/2021 19H,75
10/11/2021 18H,77
10/11/2021 17H,115
10/11/2021 16H,195
10/11/2021 15H,259
10/11/2021 14H,296
10/11/2021 13H,379
10/11/2021 12H,441
10/11/2021 11H,443
10/11/2021 10H,490
10/11/2021 09H,495
10/11/2021 08H,487
10/11/2021 07H,537
10/11/2021 06H,610
10/11/2021 05H,624
10/11/2021 04H,596
10/11/2021 03H,579
10/11/2021 02H,522
10/11/2021 01H,506
10/11/2021 00H,477
10/10/2021 23H,347
10/10/2021 22H,332
10/10/2021 21H,347
10/10/2021 20H,368
10/10/2021 19H,397
10/10/2021 18H,450
10/10/2021 17H,449
10/10/2021 16H,463
10/10/2021 15H,539
10/10/2021 14H,613
10/10/2021 13H,659
10/10/2021 12H,722
10/10/2021 11H,738
10/10/2021 10H,744
10/10/2021 09H,735
10/10/2021 08H,762
10/10/2021 07H,769
10/10/2021 06H,830
10/10/2021 05H,776
10/10/2021 04H,803
10/10/2021 03H,789
10/10/2021 02H,784
10/10/2021 01H,824
10/10/2021 00H,850
10/9/2021 23H,719
10/9/2021 22H,621
10/9/2021 21H,620
10/9/2021 20H,662
10/9/2021 19H,709
10/9/2021 18H,773
10/9/2021 17H,746
10/9/2021 16H,712
10/9/2021 15H,687
10/9/2021 14H,728
10/9/2021 13H,719
10/9/2021 12H,725
10/9/2021 11H,729
10/9/2021 10H,757
10/9/2021 09H,721
10/9/2021 08H,741
10/9/2021 07H,761
10/9/2021 06H,729
10/9/2021 05H,682
10/9/2021 04H,621
10/9/2021 03H,567
10/9/2021 02H,457
10/9/2021 01H,371
10/9/2021 00H,299
10/8/2021 23H,177
10/8/2021 22H,110
10/8/2021 21H,79
10/8/2021 20H,56
10/8/2021 19H,55
10/8/2021 18H,36
10/8/2021 17H,16
10/8/2021 16H,10
10/8/2021 15H,7
10/8/2021 14H,4
10/8/2021 13H,6
10/8/2021 12H,3
10/8/2021 11H,5
10/8/2021 10H,17
10/8/2021 09H,26
10/8/2021 08H,37
10/8/2021 07H,53
10/8/2021 06H,72
10/8/2021 05H,77
10/8/2021 04H,76
10/8/2021 03H,50
10/8/2021 02H,28
10/8/2021 01H,28
10/8/2021 00H,25
10/7/2021 23H,24
10/7/2021 22H,25
10/7/2021 21H,20
10/7/2021 20H,17
10/7/2021 19H,3
10/7/2021 18H,1
10/7/2021 17H,0
10/7/2021 16H,1
10/7/2021 15H,3
10/7/2021 14H,19
10/7/2021 13H,33
10/7/2021 12H,44
10/7/2021 11H,61
10/7/2021 10H,78
10/7/2021 09H,80
10/7/2021 08H,141
10/7/2021 07H,184
10/7/2021 06H,144
10/7/2021 05H,147
10/7/2021 04H,116
10/7/2021 03H,81
10/7/2021 02H,71
10/7/2021 01H,61
10/7/2021 00H,55
10/6/2021 23H,47
10/6/2021 22H,27
10/6/2021 21H,20
10/6/2021 20H,10
10/6/2021 19H,4
10/6/2021 18H,0
10/6/2021 17H,0
10/6/2021 16H,3
10/6/2021 15H,4
10/6/2021 14H,10
10/6/2021 13H,16
10/6/2021 12H,23
10/6/2021 11H,32
10/6/2021 10H,25
10/6/2021 09H,14
10/6/2021 08H,13
10/6/2021 07H,19
10/6/2021 06H,21
10/6/2021 05H,31
10/6/2021 04H,41
10/6/2021 03H,41
10/6/2021 02H,42
10/6/2021 01H,46
10/6/2021 00H,45
10/5/2021 23H,55
10/5/2021 22H,52
10/5/2021 21H,22
10/5/2021 20H,17
10/5/2021 19H,15
10/5/2021 18H,5
10/5/2021 17H,7
10/5/2021 16H,30
10/5/2021 15H,38
10/5/2021 14H,52
10/5/2021 13H,54
10/5/2021 12H,61
10/5/2021 11H,53
10/5/2021 10H,58
10/5/2021 09H,67
10/5/2021 08H,86
10/5/2021 07H,95
10/5/2021 06H,158
10/5/2021 05H,184
10/5/2021 04H,194
10/5/2021 03H,182
10/5/2021 02H,192
10/5/2021 01H,194
10/5/2021 00H,185
10/4/2021 23H,181
10/4/2021 22H,231
10/4/2021 21H,238
10/4/2021 20H,213
10/4/2021 19H,224
10/4/2021 18H,238
10/4/2021 17H,223
10/4/2021 16H,194
10/4/2021 15H,185
10/4/2021 14H,183
10/4/2021 13H,215
10/4/2021 12H,198
10/4/2021 11H,158
10/4/2021 10H,157
10/4/2021 09H,166
10/4/2021 08H,172
10/4/2021 07H,210
10/4/2021 06H,208
10/4/2021 05H,231
10/4/2021 04H,234
10/4/2021 03H,198
10/4/2021 02H,203
10/4/2021 01H,207
10/4/2021 00H,159
10/3/2021 23H,142
10/3/2021 22H,98
10/3/2021 21H,69
10/3/2021 20H,109
10/3/2021 19H,161
10/3/2021 18H,206
10/3/2021 17H,250
10/3/2021 16H,200
10/3/2021 15H,262
10/3/2021 14H,311
