Net generation from natural gas for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.NG.H
19:17:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.NG.H megawatthours
11/9/2021 10H,3552
11/9/2021 09H,3548
11/9/2021 08H,3749
11/9/2021 07H,3611
11/9/2021 06H,3858
11/9/2021 05H,4013
11/9/2021 04H,4413
11/9/2021 03H,4812
11/9/2021 02H,5264
11/9/2021 01H,5678
11/9/2021 00H,5636
11/8/2021 23H,5673
11/8/2021 22H,5647
11/8/2021 21H,4813
11/8/2021 20H,4361
11/8/2021 19H,3980
11/8/2021 18H,3874
11/8/2021 17H,4036
11/8/2021 16H,4204
11/8/2021 15H,4507
11/8/2021 14H,4954
11/8/2021 13H,5262
11/8/2021 12H,4964
11/8/2021 11H,4562
11/8/2021 10H,3927
11/8/2021 09H,3809
11/8/2021 08H,3575
11/8/2021 07H,3713
11/8/2021 06H,3793
11/8/2021 05H,4055
11/8/2021 04H,4298
11/8/2021 03H,4365
11/8/2021 02H,4972
11/8/2021 01H,5295
11/8/2021 00H,5355
11/7/2021 23H,5159
11/7/2021 22H,5199
11/7/2021 21H,4464
11/7/2021 20H,3877
11/7/2021 19H,3762
11/7/2021 18H,3846
11/7/2021 17H,3769
11/7/2021 16H,4017
11/7/2021 15H,4462
11/7/2021 14H,4498
11/7/2021 13H,4472
11/7/2021 12H,4459
11/7/2021 11H,4081
11/7/2021 10H,3989
11/7/2021 09H,3721
11/7/2021 08H,3899
11/7/2021 07H,4382
11/7/2021 06H,4622
11/7/2021 05H,4494
11/7/2021 04H,4233
11/7/2021 03H,4398
11/7/2021 02H,4624
11/7/2021 01H,4924
11/7/2021 00H,5341
11/6/2021 23H,5264
11/6/2021 22H,4711
11/6/2021 21H,4077
11/6/2021 20H,4021
11/6/2021 19H,3865
11/6/2021 18H,3707
11/6/2021 17H,3769
11/6/2021 16H,3791
11/6/2021 15H,4167
11/6/2021 14H,4757
11/6/2021 13H,5138
11/6/2021 12H,4662
11/6/2021 11H,4207
11/6/2021 10H,4134
11/6/2021 09H,4092
11/6/2021 08H,4002
11/6/2021 07H,4083
11/6/2021 06H,4400
11/6/2021 05H,4586
11/6/2021 04H,5495
11/6/2021 03H,5908
11/6/2021 02H,6346
11/6/2021 01H,6792
11/6/2021 00H,7299
11/5/2021 23H,7275
11/5/2021 22H,6829
11/5/2021 21H,6250
11/5/2021 20H,5830
11/5/2021 19H,5814
11/5/2021 18H,6048
11/5/2021 17H,6114
11/5/2021 16H,6139
