Net generation from natural gas for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.NG.H
19:18:52 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.NG.H megawatthours
11/6/2021 05H,8964
11/6/2021 04H,9408
11/6/2021 03H,9568
11/6/2021 02H,9908
11/6/2021 01H,9635
11/6/2021 00H,9106
11/5/2021 23H,8143
11/5/2021 22H,7363
11/5/2021 21H,6975
11/5/2021 20H,6818
11/5/2021 19H,6695
11/5/2021 18H,6742
11/5/2021 17H,7092
11/5/2021 16H,7631
11/5/2021 15H,8820
11/5/2021 14H,8704
11/5/2021 13H,8279
11/5/2021 12H,7536
11/5/2021 11H,7093
11/5/2021 10H,6997
11/5/2021 09H,6834
11/5/2021 08H,6803
11/5/2021 07H,7250
11/5/2021 06H,7703
11/5/2021 05H,7954
11/5/2021 04H,8353
11/5/2021 03H,8569
11/5/2021 02H,8785
11/5/2021 01H,8683
11/5/2021 00H,8414
11/4/2021 23H,7617
11/4/2021 22H,7122
11/4/2021 21H,6688
11/4/2021 20H,6767
11/4/2021 19H,6946
11/4/2021 18H,6907
11/4/2021 17H,7155
11/4/2021 16H,7835
11/4/2021 15H,8649
11/4/2021 14H,9068
11/4/2021 13H,8294
11/4/2021 12H,7699
11/4/2021 11H,7420
11/4/2021 10H,7514
11/4/2021 09H,7674
11/4/2021 08H,7888
11/4/2021 07H,8318
11/4/2021 06H,8861
11/4/2021 05H,9935
11/4/2021 04H,10994
11/4/2021 03H,11699
11/4/2021 02H,12141
11/4/2021 01H,11624
11/4/2021 00H,10671
11/3/2021 23H,9380
11/3/2021 22H,9058
11/3/2021 21H,8749
11/3/2021 20H,8845
11/3/2021 19H,8676
11/3/2021 18H,8536
11/3/2021 17H,8655
11/3/2021 16H,9398
11/3/2021 15H,10730
11/3/2021 14H,10685
11/3/2021 13H,9781
11/3/2021 12H,9312
11/3/2021 11H,9035
11/3/2021 10H,8795
11/3/2021 09H,9045
11/3/2021 08H,9278
11/3/2021 07H,9182
11/3/2021 06H,9717
11/3/2021 05H,10189
11/3/2021 04H,10915
11/3/2021 03H,11392
11/3/2021 02H,11630
11/3/2021 01H,11426
11/3/2021 00H,10434
11/2/2021 23H,9240
11/2/2021 22H,8798
11/2/2021 21H,8830
11/2/2021 20H,8506
11/2/2021 19H,8943
11/2/2021 18H,9294
11/2/2021 17H,9678
11/2/2021 16H,10282
11/2/2021 15H,11075
11/2/2021 14H,10300
11/2/2021 13H,9790
11/2/2021 12H,8779
11/2/2021 11H,8554
11/2/2021 10H,8513
11/2/2021 09H,8670
11/2/2021 08H,9163
11/2/2021 07H,9320
11/2/2021 06H,9820
11/2/2021 05H,10515
11/2/2021 04H,11368
11/2/2021 03H,11731
11/2/2021 02H,11766
11/2/2021 01H,11661
11/2/2021 00H,11158
11/1/2021 23H,10761
11/1/2021 22H,10411
11/1/2021 21H,10351
11/1/2021 20H,10083
11/1/2021 19H,9402
11/1/2021 18H,9941
11/1/2021 17H,9918
11/1/2021 16H,10001
11/1/2021 15H,10644
11/1/2021 14H,10270
11/1/2021 13H,9221
11/1/2021 12H,8371
11/1/2021 11H,8072
11/1/2021 10H,8092
11/1/2021 09H,7963
11/1/2021 08H,7903
11/1/2021 07H,7898
11/1/2021 06H,8515
11/1/2021 05H,8929
11/1/2021 04H,9012
11/1/2021 03H,9193
11/1/2021 02H,9436
11/1/2021 01H,9580
11/1/2021 00H,8756
10/31/2021 23H,7983
10/31/2021 22H,7465
10/31/2021 21H,7441
10/31/2021 20H,7508
10/31/2021 19H,7707
10/31/2021 18H,7789
10/31/2021 17H,8144
10/31/2021 16H,8531
10/31/2021 15H,8917
10/31/2021 14H,8455
10/31/2021 13H,8576
10/31/2021 12H,8207
10/31/2021 11H,8015
10/31/2021 10H,7833
10/31/2021 09H,7805
10/31/2021 08H,8097
10/31/2021 07H,8263
10/31/2021 06H,8997
10/31/2021 05H,9166
10/31/2021 04H,9498
10/31/2021 03H,9413
10/31/2021 02H,9550
10/31/2021 01H,9432
10/31/2021 00H,8733
10/30/2021 23H,7437
10/30/2021 22H,6775
10/30/2021 21H,6484
10/30/2021 20H,6448
10/30/2021 19H,6414
10/30/2021 18H,6435
10/30/2021 17H,6435
10/30/2021 16H,6829
10/30/2021 15H,7308
10/30/2021 14H,7374
10/30/2021 13H,7525
10/30/2021 12H,7366
10/30/2021 11H,7255
10/30/2021 10H,7357
10/30/2021 09H,7490
10/30/2021 08H,7744
10/30/2021 07H,8298
10/30/2021 06H,8309
10/30/2021 05H,8978
10/30/2021 04H,9471
10/30/2021 03H,9653
10/30/2021 02H,10011
10/30/2021 01H,10220
10/30/2021 00H,9753
10/29/2021 23H,8866
10/29/2021 22H,8093
10/29/2021 21H,7936
10/29/2021 20H,7784
10/29/2021 19H,8105
10/29/2021 18H,8406
10/29/2021 17H,8293
10/29/2021 16H,8569
10/29/2021 15H,9391
10/29/2021 14H,9524
10/29/2021 13H,8537
10/29/2021 12H,7657
10/29/2021 11H,7047
10/29/2021 10H,6968
10/29/2021 09H,7184
10/29/2021 08H,7328
10/29/2021 07H,7763
10/29/2021 06H,8511
10/29/2021 05H,9193
10/29/2021 04H,9773
10/29/2021 03H,9577
10/29/2021 02H,9607
10/29/2021 01H,8707
10/29/2021 00H,7382
10/28/2021 23H,6295
10/28/2021 22H,6099
10/28/2021 21H,5942
10/28/2021 20H,6001
10/28/2021 19H,5990
10/28/2021 18H,6060
10/28/2021 17H,6300
10/28/2021 16H,6971
10/28/2021 15H,8048
10/28/2021 14H,8207
10/28/2021 13H,7698
10/28/2021 12H,6996
10/28/2021 11H,6841
10/28/2021 10H,6824
10/28/2021 09H,7046
10/28/2021 08H,7228
10/28/2021 07H,7635
10/28/2021 06H,7957
10/28/2021 05H,8342
10/28/2021 04H,8666
10/28/2021 03H,9126
10/28/2021 02H,9074
10/28/2021 01H,8677
10/28/2021 00H,6950
10/27/2021 23H,6121
10/27/2021 22H,5874
10/27/2021 21H,5772
10/27/2021 20H,5775
10/27/2021 19H,6005
10/27/2021 18H,6293
10/27/2021 17H,6459
10/27/2021 16H,7078
10/27/2021 15H,8041
10/27/2021 14H,7646
10/27/2021 13H,6881
10/27/2021 12H,6092
10/27/2021 11H,5939
10/27/2021 10H,5985
10/27/2021 09H,6402
10/27/2021 08H,6664
10/27/2021 07H,7075
10/27/2021 06H,7537
10/27/2021 05H,7892
10/27/2021 04H,8058
10/27/2021 03H,8445
10/27/2021 02H,8545
10/27/2021 01H,8155
10/27/2021 00H,7166
10/26/2021 23H,6388
10/26/2021 22H,6383
10/26/2021 21H,6530
10/26/2021 20H,6392
10/26/2021 19H,6268
10/26/2021 18H,6352
10/26/2021 17H,6386
10/26/2021 16H,7005
10/26/2021 15H,7923
10/26/2021 14H,7966
10/26/2021 13H,7114
10/26/2021 12H,6573
10/26/2021 11H,6294
10/26/2021 10H,6279
10/26/2021 09H,6004
10/26/2021 08H,6164
10/26/2021 07H,6685
10/26/2021 06H,7336
10/26/2021 05H,8008
10/26/2021 04H,8317
10/26/2021 03H,8207
10/26/2021 02H,8431
10/26/2021 01H,8300
10/26/2021 00H,7623
10/25/2021 23H,7485
10/25/2021 22H,7168
10/25/2021 21H,7223
10/25/2021 20H,7133
10/25/2021 19H,7432
10/25/2021 18H,7732
10/25/2021 17H,7314
10/25/2021 16H,7419
10/25/2021 15H,7651
10/25/2021 14H,7388
10/25/2021 13H,6872
10/25/2021 12H,6364
10/25/2021 11H,6215
10/25/2021 10H,6202
10/25/2021 09H,6239
10/25/2021 08H,6392
10/25/2021 07H,6505
10/25/2021 06H,6558
10/25/2021 05H,6923
10/25/2021 04H,7130
10/25/2021 03H,7595
10/25/2021 02H,8151
10/25/2021 01H,8175
10/25/2021 00H,7054
10/24/2021 23H,6275
10/24/2021 22H,5844
10/24/2021 21H,5774
10/24/2021 20H,5532
10/24/2021 19H,5688
10/24/2021 18H,5584
10/24/2021 17H,5488
10/24/2021 16H,5530
10/24/2021 15H,5736
10/24/2021 14H,5649
10/24/2021 13H,5648
10/24/2021 12H,5643
10/24/2021 11H,5701
10/24/2021 10H,5748
10/24/2021 09H,6023
10/24/2021 08H,6432
10/24/2021 07H,6752
10/24/2021 06H,6886
10/24/2021 05H,7354
10/24/2021 04H,8065
10/24/2021 03H,8058
10/24/2021 02H,7753
10/24/2021 01H,7949
10/24/2021 00H,7572
10/23/2021 23H,6798
10/23/2021 22H,6403
10/23/2021 21H,6581
10/23/2021 20H,6843
10/23/2021 19H,6855
10/23/2021 18H,6671
10/23/2021 17H,6813
10/23/2021 16H,6695
10/23/2021 15H,6872
10/23/2021 14H,6561
10/23/2021 13H,6307
10/23/2021 12H,6170
10/23/2021 11H,5986
10/23/2021 10H,5857
10/23/2021 09H,5866
10/23/2021 08H,6139
10/23/2021 07H,6377
10/23/2021 06H,6636
10/23/2021 05H,6875
10/23/2021 04H,7622
10/23/2021 03H,8267
10/23/2021 02H,9027
10/23/2021 01H,9062
10/23/2021 00H,8347
10/22/2021 23H,7430
10/22/2021 22H,7026
10/22/2021 21H,6850
10/22/2021 20H,6771
10/22/2021 19H,6966
10/22/2021 18H,6804
10/22/2021 17H,6451
10/22/2021 16H,6795
10/22/2021 15H,7502
10/22/2021 14H,7667
10/22/2021 13H,7116
10/22/2021 12H,5927
10/22/2021 11H,5409
10/22/2021 10H,5138
10/22/2021 09H,5436
10/22/2021 08H,5564
10/22/2021 07H,6403
10/22/2021 06H,7089
10/22/2021 05H,7666
10/22/2021 04H,8507
10/22/2021 03H,9365
10/22/2021 02H,9718
10/22/2021 01H,9657
10/22/2021 00H,8513
10/21/2021 23H,7387
10/21/2021 22H,7027
10/21/2021 21H,6962
10/21/2021 20H,6811
10/21/2021 19H,6829
10/21/2021 18H,7105
10/21/2021 17H,7204
10/21/2021 16H,7768
10/21/2021 15H,8334
10/21/2021 14H,8103
10/21/2021 13H,7525
10/21/2021 12H,6876
10/21/2021 11H,6824
10/21/2021 10H,6720
10/21/2021 09H,6717
10/21/2021 08H,7127
10/21/2021 07H,7845
10/21/2021 06H,8481
10/21/2021 05H,8763
10/21/2021 04H,9315
10/21/2021 03H,9725
10/21/2021 02H,9903
10/21/2021 01H,9453
10/21/2021 00H,7909
10/20/2021 23H,6559
10/20/2021 22H,5841
10/20/2021 21H,5689
10/20/2021 20H,5551
10/20/2021 19H,5570
10/20/2021 18H,5773
10/20/2021 17H,6036
10/20/2021 16H,6265
10/20/2021 15H,7062
10/20/2021 14H,7053
10/20/2021 13H,6532
10/20/2021 12H,6329
10/20/2021 11H,6185
10/20/2021 10H,6198
10/20/2021 09H,6345
10/20/2021 08H,6497
10/20/2021 07H,6761
10/20/2021 06H,7026
10/20/2021 05H,7188
10/20/2021 04H,7393
10/20/2021 03H,7488
10/20/2021 02H,7662
10/20/2021 01H,7487
10/20/2021 00H,6524
10/19/2021 23H,5893
10/19/2021 22H,5625
10/19/2021 21H,5537
10/19/2021 20H,5658
10/19/2021 19H,5814
10/19/2021 18H,5781
10/19/2021 17H,5773
10/19/2021 16H,6179
10/19/2021 15H,7368
10/19/2021 14H,7495
10/19/2021 13H,7147
10/19/2021 12H,6740
10/19/2021 11H,6438
10/19/2021 10H,6448
10/19/2021 09H,6557
10/19/2021 08H,6495
10/19/2021 07H,6766
10/19/2021 06H,6879
10/19/2021 05H,7278
10/19/2021 04H,7714
10/19/2021 03H,7792
10/19/2021 02H,7833
10/19/2021 01H,7611
10/19/2021 00H,6732
10/18/2021 23H,6349
10/18/2021 22H,6534
10/18/2021 21H,6438
10/18/2021 20H,6536
10/18/2021 19H,6550
10/18/2021 18H,6449
10/18/2021 17H,6620
10/18/2021 16H,6641
10/18/2021 15H,7235
10/18/2021 14H,6931
10/18/2021 13H,6014
10/18/2021 12H,5638
10/18/2021 11H,5200
10/18/2021 10H,5338
10/18/2021 09H,5453
10/18/2021 08H,5262
10/18/2021 07H,5774
10/18/2021 06H,6244
10/18/2021 05H,6904
10/18/2021 04H,7178
10/18/2021 03H,7431
10/18/2021 02H,7273
10/18/2021 01H,7128
10/18/2021 00H,6480
10/17/2021 23H,5886
10/17/2021 22H,5758
10/17/2021 21H,5525
10/17/2021 20H,5309
10/17/2021 19H,5120
10/17/2021 18H,5123
10/17/2021 17H,5280
10/17/2021 16H,5279
10/17/2021 15H,5617
10/17/2021 14H,5701
10/17/2021 13H,5175
10/17/2021 12H,5076
10/17/2021 11H,5146
10/17/2021 10H,5209
10/17/2021 09H,5387
10/17/2021 08H,5434
10/17/2021 07H,5882
10/17/2021 06H,6265
10/17/2021 05H,6817
10/17/2021 04H,6891
10/17/2021 03H,7082
10/17/2021 02H,7513
10/17/2021 01H,7604
10/17/2021 00H,6376
10/16/2021 23H,5313
10/16/2021 22H,4918
10/16/2021 21H,4891
10/16/2021 20H,4756
10/16/2021 19H,4716
10/16/2021 18H,4779
10/16/2021 17H,4809
10/16/2021 16H,4994
10/16/2021 15H,5754
10/16/2021 14H,6244
10/16/2021 13H,5952
10/16/2021 12H,5778
10/16/2021 11H,5752
10/16/2021 10H,5746
10/16/2021 09H,5786
10/16/2021 08H,5798
10/16/2021 07H,6118
10/16/2021 06H,6634
10/16/2021 05H,7433
10/16/2021 04H,7978
10/16/2021 03H,7990
10/16/2021 02H,7955
10/16/2021 01H,7478
10/16/2021 00H,5902
10/15/2021 23H,4982
10/15/2021 22H,4846
10/15/2021 21H,4808
10/15/2021 20H,4994
10/15/2021 19H,5092
10/15/2021 18H,5213
10/15/2021 17H,5378
10/15/2021 16H,5702
10/15/2021 15H,6657
10/15/2021 14H,6811
10/15/2021 13H,6031
10/15/2021 12H,5922
10/15/2021 11H,5705
10/15/2021 10H,5614
10/15/2021 09H,5914
10/15/2021 08H,6034
10/15/2021 07H,6465
10/15/2021 06H,7213
10/15/2021 05H,8037
10/15/2021 04H,8359
10/15/2021 03H,8458
10/15/2021 02H,8575
10/15/2021 01H,8266
10/15/2021 00H,7064
10/14/2021 23H,5939
10/14/2021 22H,5332
10/14/2021 21H,5224
10/14/2021 20H,5111
10/14/2021 19H,5087
10/14/2021 18H,5341
10/14/2021 17H,5814
10/14/2021 16H,6663
10/14/2021 15H,8058
10/14/2021 14H,7990
10/14/2021 13H,7264
10/14/2021 12H,6350
10/14/2021 11H,6057
10/14/2021 10H,5723
10/14/2021 09H,5718
10/14/2021 08H,5717
10/14/2021 07H,5769
10/14/2021 06H,6380
10/14/2021 05H,6848
10/14/2021 04H,7275
10/14/2021 03H,7342
10/14/2021 02H,7344
10/14/2021 01H,6697
10/14/2021 00H,5672
10/13/2021 23H,5445
10/13/2021 22H,5324
10/13/2021 21H,5321
10/13/2021 20H,5336
10/13/2021 19H,5299
10/13/2021 18H,5583
10/13/2021 17H,5917
10/13/2021 16H,6443
10/13/2021 15H,7123
10/13/2021 14H,7244
10/13/2021 13H,6561
10/13/2021 12H,6055
10/13/2021 11H,5902
10/13/2021 10H,5902
10/13/2021 09H,5961
10/13/2021 08H,6349
10/13/2021 07H,6980
10/13/2021 06H,7247
10/13/2021 05H,7795
10/13/2021 04H,8215
10/13/2021 03H,8487
10/13/2021 02H,8580
10/13/2021 01H,7956
10/13/2021 00H,6686
10/12/2021 23H,6295
10/12/2021 22H,6168
10/12/2021 21H,6078
10/12/2021 20H,6281
10/12/2021 19H,6262
10/12/2021 18H,6451
10/12/2021 17H,7025
10/12/2021 16H,7442
10/12/2021 15H,8220
10/12/2021 14H,8029
10/12/2021 13H,7576
10/12/2021 12H,7024
10/12/2021 11H,6815
10/12/2021 10H,6568
10/12/2021 09H,6623
10/12/2021 08H,6990
10/12/2021 07H,6647
10/12/2021 06H,6785
10/12/2021 05H,7270
10/12/2021 04H,7502
10/12/2021 03H,7684
10/12/2021 02H,7835
10/12/2021 01H,7737
10/12/2021 00H,7088
10/11/2021 23H,6529
10/11/2021 22H,6681
10/11/2021 21H,6545
10/11/2021 20H,6262
10/11/2021 19H,6235
10/11/2021 18H,6609
10/11/2021 17H,6862
10/11/2021 16H,6681
10/11/2021 15H,7398
10/11/2021 14H,7428
10/11/2021 13H,7045
10/11/2021 12H,6363
10/11/2021 11H,5987
10/11/2021 10H,5786
10/11/2021 09H,5962
10/11/2021 08H,6105
10/11/2021 07H,6468
10/11/2021 06H,7038
10/11/2021 05H,7421
10/11/2021 04H,7789
10/11/2021 03H,8105
10/11/2021 02H,8073
10/11/2021 01H,7597
10/11/2021 00H,5775
10/10/2021 23H,5155
10/10/2021 22H,4769
10/10/2021 21H,4667
10/10/2021 20H,4655
10/10/2021 19H,4655
10/10/2021 18H,4675
10/10/2021 17H,4443
10/10/2021 16H,4487
10/10/2021 15H,5140
10/10/2021 14H,5449
10/10/2021 13H,5392
10/10/2021 12H,5463
10/10/2021 11H,5522
10/10/2021 10H,5639
10/10/2021 09H,5809
10/10/2021 08H,5945
10/10/2021 07H,6360
10/10/2021 06H,6391
10/10/2021 05H,6664
10/10/2021 04H,6791
10/10/2021 03H,6830
10/10/2021 02H,6781
10/10/2021 01H,6530
10/10/2021 00H,5574
10/9/2021 23H,5269
10/9/2021 22H,5156
10/9/2021 21H,5043
10/9/2021 20H,4808
10/9/2021 19H,5011
10/9/2021 18H,5015
10/9/2021 17H,5235
10/9/2021 16H,5113
10/9/2021 15H,5747
10/9/2021 14H,6095
10/9/2021 13H,5881
10/9/2021 12H,5989
10/9/2021 11H,5860
10/9/2021 10H,5926
10/9/2021 09H,6240
10/9/2021 08H,6389
10/9/2021 07H,7063
10/9/2021 06H,7667
10/9/2021 05H,7956
10/9/2021 04H,8134
10/9/2021 03H,8186
10/9/2021 02H,8291
10/9/2021 01H,8194
10/9/2021 00H,7635
10/8/2021 23H,7523
10/8/2021 22H,7453
10/8/2021 21H,7480
10/8/2021 20H,8066
10/8/2021 19H,8081
10/8/2021 18H,8186
10/8/2021 17H,8642
10/8/2021 16H,8723
10/8/2021 15H,8708
10/8/2021 14H,8308
10/8/2021 13H,8052
10/8/2021 12H,7301
10/8/2021 11H,7136
10/8/2021 10H,7117
10/8/2021 09H,7123
10/8/2021 08H,7317
10/8/2021 07H,7792
10/8/2021 06H,8462
10/8/2021 05H,8940
10/8/2021 04H,9498
10/8/2021 03H,9856
10/8/2021 02H,10176
10/8/2021 01H,10228
10/8/2021 00H,9924
10/7/2021 23H,9535
10/7/2021 22H,9004
10/7/2021 21H,8448
10/7/2021 20H,8176
10/7/2021 19H,7738
10/7/2021 18H,7371
10/7/2021 17H,7490
10/7/2021 16H,7736
10/7/2021 15H,7776
10/7/2021 14H,7698
10/7/2021 13H,7444
10/7/2021 12H,6762
10/7/2021 11H,6546
10/7/2021 10H,6547
10/7/2021 09H,6687
10/7/2021 08H,6846
10/7/2021 07H,7265
10/7/2021 06H,7629
10/7/2021 05H,8155
10/7/2021 04H,8350
10/7/2021 03H,8814
10/7/2021 02H,8979
10/7/2021 01H,8866
10/7/2021 00H,8491
10/6/2021 23H,7912
10/6/2021 22H,7178
