Net generation from coal for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.COL.H
19:18:39 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.COL.H megawatthours
11/9/2021 12H,11196
11/9/2021 11H,10909
11/9/2021 10H,10938
11/9/2021 09H,11022
11/9/2021 08H,11268
11/9/2021 07H,11322
11/9/2021 06H,11298
11/9/2021 05H,11424
11/9/2021 04H,11343
11/9/2021 03H,11769
11/9/2021 02H,12064
11/9/2021 01H,12139
11/9/2021 00H,11986
11/8/2021 23H,11635
11/8/2021 22H,11244
11/8/2021 21H,11109
11/8/2021 20H,10822
11/8/2021 19H,10592
11/8/2021 18H,10487
11/8/2021 17H,10416
11/8/2021 16H,10721
11/8/2021 15H,10773
11/8/2021 14H,10815
11/8/2021 13H,10453
11/8/2021 12H,10316
11/8/2021 11H,10289
11/8/2021 10H,10337
11/8/2021 09H,10534
11/8/2021 08H,10579
11/8/2021 07H,10610
11/8/2021 06H,10740
11/8/2021 05H,10924
11/8/2021 04H,11141
11/8/2021 03H,11179
11/8/2021 02H,11339
11/8/2021 01H,11886
11/8/2021 00H,11513
11/7/2021 23H,10703
11/7/2021 22H,9913
11/7/2021 21H,9483
11/7/2021 20H,9608
11/7/2021 19H,9495
11/7/2021 18H,9533
11/7/2021 17H,9882
11/7/2021 16H,10117
11/7/2021 15H,10095
11/7/2021 14H,10042
11/7/2021 13H,10021
11/7/2021 12H,9856
11/7/2021 11H,9613
11/7/2021 10H,9431
11/7/2021 09H,9767
11/7/2021 08H,9859
11/7/2021 07H,10113
11/7/2021 06H,10068
11/7/2021 05H,10056
11/7/2021 04H,10313
11/7/2021 03H,10809
11/7/2021 02H,11502
11/7/2021 01H,11787
11/7/2021 00H,10932
11/6/2021 23H,9979
11/6/2021 22H,9820
11/6/2021 21H,10029
11/6/2021 20H,10022
11/6/2021 19H,9918
11/6/2021 18H,10074
11/6/2021 17H,10620
11/6/2021 16H,11248
11/6/2021 15H,11474
11/6/2021 14H,11746
11/6/2021 13H,11853
11/6/2021 12H,11682
11/6/2021 11H,11626
11/6/2021 10H,11469
11/6/2021 09H,11189
11/6/2021 08H,10939
11/6/2021 07H,10683
11/6/2021 06H,10483
11/6/2021 05H,10658
11/6/2021 04H,10531
11/6/2021 03H,10511
11/6/2021 02H,10907
11/6/2021 01H,11324
11/6/2021 00H,11487
11/5/2021 23H,10766
11/5/2021 22H,10376
11/5/2021 21H,10303
