Net generation from nuclear for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.NUC.H
19:18:59 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.NUC.H megawatthours
11/9/2021 13H,1163
11/9/2021 12H,1163
11/9/2021 11H,1164
11/9/2021 10H,1164
11/9/2021 09H,1165
11/9/2021 08H,1166
11/9/2021 07H,1166
11/9/2021 06H,1166
11/9/2021 05H,1165
11/9/2021 04H,1164
11/9/2021 03H,1162
11/9/2021 02H,1163
11/9/2021 01H,1162
11/9/2021 00H,1161
11/8/2021 23H,1162
11/8/2021 22H,1162
11/8/2021 21H,1161
11/8/2021 20H,1162
11/8/2021 19H,1162
11/8/2021 18H,1163
11/8/2021 17H,1164
11/8/2021 16H,1165
11/8/2021 15H,1162
11/8/2021 14H,1164
11/8/2021 13H,1162
11/8/2021 12H,1163
11/8/2021 11H,1163
11/8/2021 10H,1162
11/8/2021 09H,1163
11/8/2021 08H,1162
11/8/2021 07H,1160
11/8/2021 06H,1161
11/8/2021 05H,1162
11/8/2021 04H,1162
11/8/2021 03H,1160
11/8/2021 02H,1162
11/8/2021 01H,1162
11/8/2021 00H,1162
11/7/2021 23H,1158
11/7/2021 22H,1158
11/7/2021 21H,1159
11/7/2021 20H,1159
11/7/2021 19H,1162
11/7/2021 18H,1163
11/7/2021 17H,1163
11/7/2021 16H,1162
11/7/2021 15H,1163
11/7/2021 14H,1163
11/7/2021 13H,1164
11/7/2021 12H,1163
11/7/2021 11H,1161
11/7/2021 10H,1162
11/7/2021 09H,1161
11/7/2021 08H,1158
11/7/2021 07H,1158
11/7/2021 06H,1157
11/7/2021 05H,1162
11/7/2021 04H,1161
11/7/2021 03H,1162
11/7/2021 02H,1161
11/7/2021 01H,1159
11/7/2021 00H,1157
11/6/2021 23H,1155
11/6/2021 22H,1156
11/6/2021 21H,1157
11/6/2021 20H,1155
