Net generation from other for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.OTH.H
19:19:06 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.OTH.H megawatthours
10/19/2021 04H,994
10/19/2021 03H,979
10/19/2021 02H,975
10/19/2021 01H,970
10/19/2021 00H,966
10/18/2021 23H,971
10/18/2021 22H,964
10/18/2021 21H,982
10/18/2021 20H,994
10/18/2021 19H,990
10/18/2021 18H,1010
10/18/2021 17H,980
10/18/2021 16H,970
10/18/2021 15H,957
10/18/2021 14H,949
10/18/2021 13H,948
10/18/2021 12H,926
10/18/2021 11H,933
10/18/2021 10H,916
10/18/2021 09H,909
10/18/2021 08H,913
10/18/2021 07H,901
10/18/2021 06H,899
10/18/2021 05H,898
10/18/2021 04H,884
10/18/2021 03H,880
10/18/2021 02H,875
10/18/2021 01H,870
10/18/2021 00H,882
10/17/2021 23H,872
10/17/2021 22H,899
10/17/2021 21H,905
10/17/2021 20H,906
10/17/2021 19H,911
10/17/2021 18H,933
10/17/2021 17H,945
10/17/2021 16H,953
10/17/2021 15H,938
10/17/2021 14H,928
10/17/2021 13H,929
10/17/2021 12H,932
10/17/2021 11H,922
10/17/2021 10H,927
10/17/2021 09H,922
10/17/2021 08H,922
10/17/2021 07H,910
10/17/2021 06H,906
10/17/2021 05H,922
10/17/2021 04H,907
10/17/2021 03H,914
10/17/2021 02H,889
10/17/2021 01H,873
10/17/2021 00H,895
10/16/2021 23H,911
10/16/2021 22H,930
10/16/2021 21H,941
10/16/2021 20H,959
10/16/2021 19H,977
10/16/2021 18H,991
10/16/2021 17H,1001
10/16/2021 16H,985
10/16/2021 15H,967
10/16/2021 14H,962
10/16/2021 13H,955
10/16/2021 12H,961
10/16/2021 11H,955
10/16/2021 10H,953
10/16/2021 09H,944
10/16/2021 08H,946
10/16/2021 07H,935
10/16/2021 06H,938
10/16/2021 05H,947
10/16/2021 04H,942
10/16/2021 03H,944
10/16/2021 02H,923
10/16/2021 01H,918
10/16/2021 00H,940
10/15/2021 23H,956
10/15/2021 22H,973
10/15/2021 21H,980
10/15/2021 20H,989
10/15/2021 19H,993
10/15/2021 18H,1004
10/15/2021 17H,1018
10/15/2021 16H,1020
10/15/2021 15H,1013
10/15/2021 14H,1002
10/15/2021 13H,986
10/15/2021 12H,977
10/15/2021 11H,977
10/15/2021 10H,983
10/15/2021 09H,970
10/15/2021 08H,963
10/15/2021 07H,955
10/15/2021 06H,954
10/15/2021 05H,959
10/15/2021 04H,952
10/15/2021 03H,944
10/15/2021 02H,944
10/15/2021 01H,959
10/15/2021 00H,970
10/14/2021 23H,998
10/14/2021 22H,994
10/14/2021 21H,977
10/14/2021 20H,968
10/14/2021 19H,967
10/14/2021 18H,977
10/14/2021 17H,988
10/14/2021 16H,988
10/14/2021 15H,979
10/14/2021 14H,972
10/14/2021 13H,961
10/14/2021 12H,956
10/14/2021 11H,946
10/14/2021 10H,950
10/14/2021 09H,939
10/14/2021 08H,932
10/14/2021 07H,936
10/14/2021 06H,939
10/14/2021 05H,935
10/14/2021 04H,927
10/14/2021 03H,929
10/14/2021 02H,927
10/14/2021 01H,932
10/14/2021 00H,949
10/13/2021 23H,952
10/13/2021 22H,931
10/13/2021 21H,914
10/13/2021 20H,936
10/13/2021 19H,955
10/13/2021 18H,971
10/13/2021 17H,970
10/13/2021 16H,949
10/13/2021 15H,927
10/13/2021 14H,932
10/13/2021 13H,926
10/13/2021 12H,915
10/13/2021 11H,938
10/13/2021 10H,940
10/13/2021 09H,950
10/13/2021 08H,940
10/13/2021 07H,912
10/13/2021 06H,944
10/13/2021 05H,947
10/13/2021 04H,948
10/13/2021 03H,934
10/13/2021 02H,930
10/13/2021 01H,936
10/13/2021 00H,966
10/12/2021 23H,952
10/12/2021 22H,964
10/12/2021 21H,949
10/12/2021 20H,979
10/12/2021 19H,970
10/12/2021 18H,985
10/12/2021 17H,967
10/12/2021 16H,954
10/12/2021 15H,958
10/12/2021 14H,934
10/12/2021 13H,952
10/12/2021 12H,943
10/12/2021 11H,931
10/12/2021 10H,938
10/12/2021 09H,942
10/12/2021 08H,959
10/12/2021 07H,949
10/12/2021 06H,950
10/12/2021 05H,967
10/12/2021 04H,960
10/12/2021 03H,957
10/12/2021 02H,965
10/12/2021 01H,958
10/12/2021 00H,964
10/11/2021 23H,981
10/11/2021 22H,982
10/11/2021 21H,988
10/11/2021 20H,990
10/11/2021 19H,949
10/11/2021 18H,962
10/11/2021 17H,961
10/11/2021 16H,973
10/11/2021 15H,947
10/11/2021 14H,946
10/11/2021 13H,954
10/11/2021 12H,938
10/11/2021 11H,932
10/11/2021 10H,936
10/11/2021 09H,930
10/11/2021 08H,919
10/11/2021 07H,912
10/11/2021 06H,908
10/11/2021 05H,901
10/11/2021 04H,906
10/11/2021 03H,894
10/11/2021 02H,878
10/11/2021 01H,890
10/11/2021 00H,921
10/10/2021 23H,941
10/10/2021 22H,950
10/10/2021 21H,969
10/10/2021 20H,978
10/10/2021 19H,984
10/10/2021 18H,984
10/10/2021 17H,963
10/10/2021 16H,948
10/10/2021 15H,921
10/10/2021 14H,900
10/10/2021 13H,900
10/10/2021 12H,901
10/10/2021 11H,893
10/10/2021 10H,889
10/10/2021 09H,913
10/10/2021 08H,907
10/10/2021 07H,884
10/10/2021 06H,883
10/10/2021 05H,895
10/10/2021 04H,886
10/10/2021 03H,891
10/10/2021 02H,874
10/10/2021 01H,904
10/10/2021 00H,925
10/9/2021 23H,939
10/9/2021 22H,955
10/9/2021 21H,963
10/9/2021 20H,973
10/9/2021 19H,981
10/9/2021 18H,995
10/9/2021 17H,990
10/9/2021 16H,985
10/9/2021 15H,948
10/9/2021 14H,923
10/9/2021 13H,929
10/9/2021 12H,917
10/9/2021 11H,910
10/9/2021 10H,921
10/9/2021 09H,927
10/9/2021 08H,924
10/9/2021 07H,929
10/9/2021 06H,933
10/9/2021 05H,933
10/9/2021 04H,937
10/9/2021 03H,927
10/9/2021 02H,936
10/9/2021 01H,943
10/9/2021 00H,962
10/8/2021 23H,953
10/8/2021 22H,953
10/8/2021 21H,947
10/8/2021 20H,955
10/8/2021 19H,965
10/8/2021 18H,953
10/8/2021 17H,949
10/8/2021 16H,950
10/8/2021 15H,939
10/8/2021 14H,930
10/8/2021 13H,922
10/8/2021 12H,909
10/8/2021 11H,908
10/8/2021 10H,907
10/8/2021 09H,907
10/8/2021 08H,900
10/8/2021 07H,904
10/8/2021 06H,902
10/8/2021 05H,896
10/8/2021 04H,901
10/8/2021 03H,904
10/8/2021 02H,890
10/8/2021 01H,890
10/8/2021 00H,895
10/7/2021 23H,912
10/7/2021 22H,897
10/7/2021 21H,916
10/7/2021 20H,924
10/7/2021 19H,925
10/7/2021 18H,941
10/7/2021 17H,959
10/7/2021 16H,972
10/7/2021 15H,951
10/7/2021 14H,941
10/7/2021 13H,928
10/7/2021 12H,926
10/7/2021 11H,914
10/7/2021 10H,917
10/7/2021 09H,917
10/7/2021 08H,911
10/7/2021 07H,923
10/7/2021 06H,924
10/7/2021 05H,936
10/7/2021 04H,941
10/7/2021 03H,938
10/7/2021 02H,942
10/7/2021 01H,930
10/7/2021 00H,930
10/6/2021 23H,936
10/6/2021 22H,959
10/6/2021 21H,970
10/6/2021 20H,942
10/6/2021 19H,952
10/6/2021 18H,931
10/6/2021 17H,952
10/6/2021 16H,942
10/6/2021 15H,944
10/6/2021 14H,941
10/6/2021 13H,933
10/6/2021 12H,911
10/6/2021 11H,900
10/6/2021 10H,895
10/6/2021 09H,890
10/6/2021 08H,890
10/6/2021 07H,886
10/6/2021 06H,888
10/6/2021 05H,890
10/6/2021 04H,903
10/6/2021 03H,880
10/6/2021 02H,872
10/6/2021 01H,880
10/6/2021 00H,875
10/5/2021 23H,881
10/5/2021 22H,887
10/5/2021 21H,911
10/5/2021 20H,917
10/5/2021 19H,931
10/5/2021 18H,937
10/5/2021 17H,941
10/5/2021 16H,947
10/5/2021 15H,937
10/5/2021 14H,939
10/5/2021 13H,932
10/5/2021 12H,921
10/5/2021 11H,919
10/5/2021 10H,895
10/5/2021 09H,889
10/5/2021 08H,883
10/5/2021 07H,887
10/5/2021 06H,890
10/5/2021 05H,891
10/5/2021 04H,900
10/5/2021 03H,887
10/5/2021 02H,863
10/5/2021 01H,852
10/5/2021 00H,865
10/4/2021 23H,888
10/4/2021 22H,892
10/4/2021 21H,903
10/4/2021 20H,920
10/4/2021 19H,927
10/4/2021 18H,944
10/4/2021 17H,948
10/4/2021 16H,943
10/4/2021 15H,940
10/4/2021 14H,941
10/4/2021 13H,940
10/4/2021 12H,927
10/4/2021 11H,911
10/4/2021 10H,907
10/4/2021 09H,901
10/4/2021 08H,889
10/4/2021 07H,890
10/4/2021 06H,874
10/4/2021 05H,866
10/4/2021 04H,864
10/4/2021 03H,848
10/4/2021 02H,826
10/4/2021 01H,841
10/4/2021 00H,834
10/3/2021 23H,849
10/3/2021 22H,867
10/3/2021 21H,873
10/3/2021 20H,896
