Net generation from nuclear for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.NUC.H
19:12:51 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.NUC.H megawatthours
10/31/2021 12H,27002
10/31/2021 11H,26999
10/31/2021 10H,26981
10/31/2021 09H,26949
10/31/2021 08H,26913
10/31/2021 07H,26830
10/31/2021 06H,26738
10/31/2021 05H,26724
10/31/2021 04H,27112
10/31/2021 03H,26491
10/31/2021 02H,26509
10/31/2021 01H,27071
10/31/2021 00H,27073
10/30/2021 23H,27100
10/30/2021 22H,27088
10/30/2021 21H,27088
10/30/2021 20H,27089
10/30/2021 19H,27086
10/30/2021 18H,27108
10/30/2021 17H,27122
10/30/2021 16H,27116
10/30/2021 15H,27132
10/30/2021 14H,27120
10/30/2021 13H,27093
10/30/2021 12H,27122
10/30/2021 11H,27117
10/30/2021 10H,27121
10/30/2021 09H,27112
10/30/2021 08H,27117
10/30/2021 07H,27098
10/30/2021 06H,27101
10/30/2021 05H,27098
10/30/2021 04H,27051
10/30/2021 03H,27098
10/30/2021 02H,27115
10/30/2021 01H,27097
10/30/2021 00H,27121
10/29/2021 23H,27106
10/29/2021 22H,27098
10/29/2021 21H,27090
10/29/2021 20H,27104
10/29/2021 19H,27098
10/29/2021 18H,27110
10/29/2021 17H,27080
10/29/2021 16H,27076
10/29/2021 15H,27111
10/29/2021 14H,27099
10/29/2021 13H,27102
10/29/2021 12H,27105
10/29/2021 11H,27004
10/29/2021 10H,26892
10/29/2021 09H,26902
10/29/2021 08H,27124
10/29/2021 07H,27106
10/29/2021 06H,27087
10/29/2021 05H,27063
10/29/2021 04H,27107
10/29/2021 03H,27047
10/29/2021 02H,26980
10/29/2021 01H,27093
10/29/2021 00H,27068
10/28/2021 23H,27078
10/28/2021 22H,27060
10/28/2021 21H,27088
10/28/2021 20H,27072
10/28/2021 19H,27079
10/28/2021 18H,27109
10/28/2021 17H,27096
10/28/2021 16H,27104
10/28/2021 15H,27129
10/28/2021 14H,27154
10/28/2021 13H,27146
10/28/2021 12H,27158
10/28/2021 11H,27140
10/28/2021 10H,27134
10/28/2021 09H,27141
10/28/2021 08H,27131
10/28/2021 07H,27122
10/28/2021 06H,27131
10/28/2021 05H,27128
10/28/2021 04H,27070
10/28/2021 03H,27110
10/28/2021 02H,27103
10/28/2021 01H,27099
10/28/2021 00H,27088
10/27/2021 23H,27085
10/27/2021 22H,27070
10/27/2021 21H,27049
10/27/2021 20H,27055
10/27/2021 19H,27054
10/27/2021 18H,27065
10/27/2021 17H,27079
10/27/2021 16H,27081
10/27/2021 15H,27078
10/27/2021 14H,27109
10/27/2021 13H,27071
10/27/2021 12H,27080
10/27/2021 11H,27020
10/27/2021 10H,27010
10/27/2021 09H,27027
10/27/2021 08H,27035
10/27/2021 07H,27044
10/27/2021 06H,27040
10/27/2021 05H,27062
10/27/2021 04H,27085
10/27/2021 03H,27138
10/27/2021 02H,27159
10/27/2021 01H,27175
10/27/2021 00H,27150
10/26/2021 23H,27140
10/26/2021 22H,27139
10/26/2021 21H,27147
10/26/2021 20H,27095
10/26/2021 19H,27056
10/26/2021 18H,27023
10/26/2021 17H,27111
10/26/2021 16H,27111
10/26/2021 15H,27119
10/26/2021 14H,27137
10/26/2021 13H,27135
10/26/2021 12H,27142
10/26/2021 11H,27074
10/26/2021 10H,26980
10/26/2021 09H,26987
10/26/2021 08H,26996
10/26/2021 07H,27092
10/26/2021 06H,27121
10/26/2021 05H,27099
10/26/2021 04H,27066
10/26/2021 03H,27071
10/26/2021 02H,27002
10/26/2021 01H,27044
10/26/2021 00H,27035
10/25/2021 23H,27014
10/25/2021 22H,26982
10/25/2021 21H,27011
10/25/2021 20H,27016
10/25/2021 19H,27012
10/25/2021 18H,27019
10/25/2021 17H,27027
10/25/2021 16H,27024
10/25/2021 15H,27038
10/25/2021 14H,27036
10/25/2021 13H,27024
10/25/2021 12H,27035
10/25/2021 11H,27034
10/25/2021 10H,27039
10/25/2021 09H,27053
10/25/2021 08H,27060
10/25/2021 07H,27058
10/25/2021 06H,27068
10/25/2021 05H,27068
10/25/2021 04H,27991
10/25/2021 03H,27156
10/25/2021 02H,27139
10/25/2021 01H,27213
10/25/2021 00H,27226
10/24/2021 23H,27247
10/24/2021 22H,27301
10/24/2021 21H,27283
10/24/2021 20H,27374
10/24/2021 19H,27426
10/24/2021 18H,27512
10/24/2021 17H,27888
10/24/2021 16H,27862
10/24/2021 15H,27947
10/24/2021 14H,27956
10/24/2021 13H,27971
10/24/2021 12H,27973
10/24/2021 11H,27976
10/24/2021 10H,27989
10/24/2021 09H,27963
10/24/2021 08H,27980
10/24/2021 07H,27987
10/24/2021 06H,27955
10/24/2021 05H,28009
10/24/2021 04H,27714
10/24/2021 03H,28150
10/24/2021 02H,28284
10/24/2021 01H,28458
10/24/2021 00H,28585
10/23/2021 23H,28574
10/23/2021 22H,28583
10/23/2021 21H,28571
10/23/2021 20H,28560
10/23/2021 19H,28554
10/23/2021 18H,28534
10/23/2021 17H,28535
10/23/2021 16H,28357
10/23/2021 15H,28295
10/23/2021 14H,28089
10/23/2021 13H,27863
10/23/2021 12H,27856
10/23/2021 11H,27780
10/23/2021 10H,27719
10/23/2021 09H,27750
10/23/2021 08H,27779
10/23/2021 07H,27732
10/23/2021 06H,27739
10/23/2021 05H,27734
10/23/2021 04H,28156
10/23/2021 03H,27675
10/23/2021 02H,27670
10/23/2021 01H,27652
10/23/2021 00H,27625
10/22/2021 23H,27617
10/22/2021 22H,27569
10/22/2021 21H,27503
10/22/2021 20H,27167
10/22/2021 19H,27176
10/22/2021 18H,27191
10/22/2021 17H,27253
10/22/2021 16H,27869
10/22/2021 15H,28281
10/22/2021 14H,28289
10/22/2021 13H,28268
10/22/2021 12H,28260
10/22/2021 11H,28252
10/22/2021 10H,28231
10/22/2021 09H,28235
10/22/2021 08H,28206
10/22/2021 07H,28184
10/22/2021 06H,28166
10/22/2021 05H,28148
10/22/2021 04H,28425
10/22/2021 03H,28133
10/22/2021 02H,28128
10/22/2021 01H,28119
10/22/2021 00H,28103
10/21/2021 23H,28083
10/21/2021 22H,28043
10/21/2021 21H,28042
10/21/2021 20H,28027
10/21/2021 19H,28013
10/21/2021 18H,28004
10/21/2021 17H,27987
10/21/2021 16H,28334
10/21/2021 15H,28468
10/21/2021 14H,28505
10/21/2021 13H,28526
10/21/2021 12H,28548
10/21/2021 11H,28524
10/21/2021 10H,28530
10/21/2021 09H,28500
10/21/2021 08H,28488
10/21/2021 07H,28488
10/21/2021 06H,28477
10/21/2021 05H,28429
10/21/2021 04H,28261
10/21/2021 03H,28397
10/21/2021 02H,28374
10/21/2021 01H,28335
10/21/2021 00H,28326
10/20/2021 23H,28340
10/20/2021 22H,28324
10/20/2021 21H,28300
10/20/2021 20H,28307
10/20/2021 19H,28306
10/20/2021 18H,28306
10/20/2021 17H,28314
10/20/2021 16H,28340
10/20/2021 15H,28346
10/20/2021 14H,28353
10/20/2021 13H,28368
10/20/2021 12H,28360
10/20/2021 11H,28371
10/20/2021 10H,28347
10/20/2021 09H,28349
10/20/2021 08H,28340
10/20/2021 07H,28312
10/20/2021 06H,28312
10/20/2021 05H,28287
10/20/2021 04H,28371
10/20/2021 03H,28259
10/20/2021 02H,28235
10/20/2021 01H,28225
10/20/2021 00H,28210
10/19/2021 23H,28198
10/19/2021 22H,28174
10/19/2021 21H,28149
10/19/2021 20H,28151
10/19/2021 19H,28131
10/19/2021 18H,28110
10/19/2021 17H,28070
10/19/2021 16H,28208
10/19/2021 15H,28421
10/19/2021 14H,28447
10/19/2021 13H,28455
10/19/2021 12H,28458
10/19/2021 11H,28440
10/19/2021 10H,28459
10/19/2021 09H,28432
10/19/2021 08H,28428
10/19/2021 07H,28425
10/19/2021 06H,28421
10/19/2021 05H,28406
10/19/2021 04H,28483
10/19/2021 03H,28371
10/19/2021 02H,28371
10/19/2021 01H,28371
10/19/2021 00H,28347
10/18/2021 23H,28351
10/18/2021 22H,28328
10/18/2021 21H,28334
10/18/2021 20H,28297
10/18/2021 19H,28304
10/18/2021 18H,28305
10/18/2021 17H,28292
10/18/2021 16H,28301
10/18/2021 15H,28316
10/18/2021 14H,28337
10/18/2021 13H,28323
10/18/2021 12H,28316
10/18/2021 11H,28306
10/18/2021 10H,28294
10/18/2021 09H,28280
10/18/2021 08H,28263
10/18/2021 07H,28250
10/18/2021 06H,28228
10/18/2021 05H,28312
10/18/2021 04H,28832
10/18/2021 03H,28570
10/18/2021 02H,28675
10/18/2021 01H,29010
10/18/2021 00H,29134
10/17/2021 23H,29183
10/17/2021 22H,29180
10/17/2021 21H,29188
10/17/2021 20H,29186
10/17/2021 19H,29178
10/17/2021 18H,29186
10/17/2021 17H,29206
10/17/2021 16H,29214
10/17/2021 15H,29220
10/17/2021 14H,29220
10/17/2021 13H,29254
10/17/2021 12H,29239
10/17/2021 11H,29246
10/17/2021 10H,29237
10/17/2021 09H,29225
10/17/2021 08H,29090
10/17/2021 07H,29008
10/17/2021 06H,28992
10/17/2021 05H,28880
10/17/2021 04H,29848
10/17/2021 03H,28852
10/17/2021 02H,28883
10/17/2021 01H,29015
10/17/2021 00H,29021
10/16/2021 23H,28992
10/16/2021 22H,28982
10/16/2021 21H,28948
10/16/2021 20H,28950
10/16/2021 19H,28895
10/16/2021 18H,28833
10/16/2021 17H,28781
10/16/2021 16H,28858
10/16/2021 15H,29047
10/16/2021 14H,29049
10/16/2021 13H,29034
10/16/2021 12H,29035
10/16/2021 11H,29009
10/16/2021 10H,28968
10/16/2021 09H,29881
10/16/2021 08H,29828
10/16/2021 07H,29840
10/16/2021 06H,29841
10/16/2021 05H,29821
10/16/2021 04H,29083
10/16/2021 03H,29808
10/16/2021 02H,29735
10/16/2021 01H,29712
10/16/2021 00H,29591
10/15/2021 23H,29401
10/15/2021 22H,29300
10/15/2021 21H,29356
10/15/2021 20H,29377
10/15/2021 19H,29296
10/15/2021 18H,29221
10/15/2021 17H,29202
10/15/2021 16H,29188
10/15/2021 15H,29232
10/15/2021 14H,29222
10/15/2021 13H,29132
10/15/2021 12H,29138
10/15/2021 11H,29159
10/15/2021 10H,29149
10/15/2021 09H,29143
10/15/2021 08H,29142
10/15/2021 07H,29126
10/15/2021 06H,29105
10/15/2021 05H,29114
10/15/2021 04H,29111
10/15/2021 03H,29070
10/15/2021 02H,29085
10/15/2021 01H,29064
10/15/2021 00H,29041
10/14/2021 23H,29036
10/14/2021 22H,29037
10/14/2021 21H,29050
10/14/2021 20H,29041
10/14/2021 19H,29073
10/14/2021 18H,29099
10/14/2021 17H,28978
10/14/2021 16H,29012
10/14/2021 15H,29036
10/14/2021 14H,29069
10/14/2021 13H,29067
10/14/2021 12H,29064
10/14/2021 11H,29076
10/14/2021 10H,29061
10/14/2021 09H,29052
10/14/2021 08H,29055
10/14/2021 07H,29077
10/14/2021 06H,29141
10/14/2021 05H,29139
10/14/2021 04H,29243
10/14/2021 03H,29136
10/14/2021 02H,29116
10/14/2021 01H,29107
10/14/2021 00H,29120
10/13/2021 23H,29109
10/13/2021 22H,29151
10/13/2021 21H,29159
10/13/2021 20H,29159
10/13/2021 19H,29168
10/13/2021 18H,29174
10/13/2021 17H,29184
10/13/2021 16H,29177
10/13/2021 15H,29203
10/13/2021 14H,29200
10/13/2021 13H,29249
10/13/2021 12H,29229
10/13/2021 11H,29220
10/13/2021 10H,29224
10/13/2021 09H,29231
10/13/2021 08H,29223
10/13/2021 07H,29255
10/13/2021 06H,29236
10/13/2021 05H,29261
10/13/2021 04H,29263
10/13/2021 03H,29220
10/13/2021 02H,29166
10/13/2021 01H,29216
10/13/2021 00H,29239
10/12/2021 23H,29233
10/12/2021 22H,29210
10/12/2021 21H,29226
10/12/2021 20H,29230
10/12/2021 19H,29249
10/12/2021 18H,29266
10/12/2021 17H,29232
10/12/2021 16H,29138
10/12/2021 15H,29187
10/12/2021 14H,29269
10/12/2021 13H,29278
10/12/2021 12H,29286
10/12/2021 11H,29265
10/12/2021 10H,29260
10/12/2021 09H,29264
10/12/2021 08H,29252
10/12/2021 07H,29257
10/12/2021 06H,29264
10/12/2021 05H,29267
10/12/2021 04H,30334
10/12/2021 03H,29228
10/12/2021 02H,29223
10/12/2021 01H,29189
10/12/2021 00H,29172
10/11/2021 23H,29162
10/11/2021 22H,29141
10/11/2021 21H,29134
10/11/2021 20H,29125
10/11/2021 19H,29147
10/11/2021 18H,29195
10/11/2021 17H,29204
10/11/2021 16H,30402
10/11/2021 15H,30423
10/11/2021 14H,30434
10/11/2021 13H,30437
10/11/2021 12H,30424
10/11/2021 11H,30408
10/11/2021 10H,30416
10/11/2021 09H,30400
10/11/2021 08H,30379
10/11/2021 07H,30371
10/11/2021 06H,30363
10/11/2021 05H,30354
10/11/2021 04H,30140
10/11/2021 03H,30316
10/11/2021 02H,30304
10/11/2021 01H,30273
10/11/2021 00H,30272
10/10/2021 23H,30266
10/10/2021 22H,30255
10/10/2021 21H,30247
10/10/2021 20H,30263
10/10/2021 19H,30262
10/10/2021 18H,30268
10/10/2021 17H,30250
10/10/2021 16H,30274
10/10/2021 15H,30245
10/10/2021 14H,30278
10/10/2021 13H,30233
10/10/2021 12H,30261
10/10/2021 11H,30244
10/10/2021 10H,30230
10/10/2021 09H,30229
10/10/2021 08H,30194
10/10/2021 07H,30185
10/10/2021 06H,30171
10/10/2021 05H,30145
10/10/2021 04H,30574
10/10/2021 03H,30171
10/10/2021 02H,30244
10/10/2021 01H,30328
10/10/2021 00H,30470
10/9/2021 23H,30493
10/9/2021 22H,30485
10/9/2021 21H,30470
10/9/2021 20H,30462
10/9/2021 19H,30447
10/9/2021 18H,30465
10/9/2021 17H,30465
10/9/2021 16H,30469
10/9/2021 15H,30483
10/9/2021 14H,30492
10/9/2021 13H,30484
10/9/2021 12H,30466
10/9/2021 11H,30431
10/9/2021 10H,30416
10/9/2021 09H,30397
10/9/2021 08H,30384
10/9/2021 07H,30354
10/9/2021 06H,30352
10/9/2021 05H,30384
10/9/2021 04H,30534
10/9/2021 03H,30553
10/9/2021 02H,30658
10/9/2021 01H,30802
10/9/2021 00H,30764
10/8/2021 23H,30766
10/8/2021 22H,30750
10/8/2021 21H,30746
10/8/2021 20H,30729
10/8/2021 19H,30633
10/8/2021 18H,30559
10/8/2021 17H,30548
10/8/2021 16H,30556
10/8/2021 15H,30536
10/8/2021 14H,30547
10/8/2021 13H,30575
10/8/2021 12H,30575
10/8/2021 11H,30581
10/8/2021 10H,30584
10/8/2021 09H,30578
10/8/2021 08H,30562
10/8/2021 07H,30569
10/8/2021 06H,30407
10/8/2021 05H,30452
10/8/2021 04H,30620
10/8/2021 03H,30545
10/8/2021 02H,30530
10/8/2021 01H,30519
10/8/2021 00H,30518
10/7/2021 23H,30505
10/7/2021 22H,30530
10/7/2021 21H,30498
10/7/2021 20H,30476
10/7/2021 19H,30482
10/7/2021 18H,30499
10/7/2021 17H,30513
10/7/2021 16H,30519
10/7/2021 15H,30576
10/7/2021 14H,30597
10/7/2021 13H,30604
10/7/2021 12H,30607
10/7/2021 11H,30626
10/7/2021 10H,30614
