Net generation from natural gas for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.NG.H
19:12:44 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.NG.H megawatthours
11/5/2021 17H,37699
11/5/2021 16H,38623
11/5/2021 15H,40388
11/5/2021 14H,43301
11/5/2021 13H,45911
11/5/2021 12H,48067
11/5/2021 11H,48180
11/5/2021 10H,44843
11/5/2021 09H,39726
11/5/2021 08H,37195
11/5/2021 07H,36112
11/5/2021 06H,36413
11/5/2021 05H,36522
11/5/2021 04H,36162
11/5/2021 03H,39199
11/5/2021 02H,41650
11/5/2021 01H,43866
11/5/2021 00H,44713
11/4/2021 23H,46674
11/4/2021 22H,44770
11/4/2021 21H,42828
11/4/2021 20H,40820
11/4/2021 19H,40709
11/4/2021 18H,41425
11/4/2021 17H,42241
11/4/2021 16H,42530
11/4/2021 15H,43402
11/4/2021 14H,44873
11/4/2021 13H,48007
11/4/2021 12H,48660
11/4/2021 11H,46115
11/4/2021 10H,44040
11/4/2021 09H,39313
11/4/2021 08H,36711
11/4/2021 07H,35510
11/4/2021 06H,34926
11/4/2021 05H,34443
11/4/2021 04H,34561
11/4/2021 03H,39281
11/4/2021 02H,41042
11/4/2021 01H,44047
11/4/2021 00H,44450
11/3/2021 23H,45343
11/3/2021 22H,43762
11/3/2021 21H,41422
11/3/2021 20H,38145
11/3/2021 19H,38310
11/3/2021 18H,38091
11/3/2021 17H,37148
11/3/2021 16H,38383
11/3/2021 15H,39536
11/3/2021 14H,41436
11/3/2021 13H,44522
11/3/2021 12H,47253
11/3/2021 11H,47047
11/3/2021 10H,43291
11/3/2021 09H,38487
11/3/2021 08H,34385
11/3/2021 07H,34089
11/3/2021 06H,33935
11/3/2021 05H,33582
11/3/2021 04H,30227
11/3/2021 03H,37133
11/3/2021 02H,39755
11/3/2021 01H,42017
11/3/2021 00H,43644
11/2/2021 23H,43782
11/2/2021 22H,43553
11/2/2021 21H,41124
11/2/2021 20H,40494
11/2/2021 19H,40302
11/2/2021 18H,40596
11/2/2021 17H,40280
11/2/2021 16H,40764
11/2/2021 15H,41491
11/2/2021 14H,41887
11/2/2021 13H,42367
11/2/2021 12H,42772
11/2/2021 11H,40157
11/2/2021 10H,36166
11/2/2021 09H,32166
11/2/2021 08H,29710
11/2/2021 07H,29554
11/2/2021 06H,29156
11/2/2021 05H,30498
11/2/2021 04H,25718
11/2/2021 03H,33318
11/2/2021 02H,36258
11/2/2021 01H,40161
11/2/2021 00H,40812
11/1/2021 23H,42390
11/1/2021 22H,40540
11/1/2021 21H,37723
11/1/2021 20H,35235
11/1/2021 19H,34770
11/1/2021 18H,35329
11/1/2021 17H,34954
11/1/2021 16H,35700
11/1/2021 15H,36571
11/1/2021 14H,37473
11/1/2021 13H,38646
11/1/2021 12H,39510
11/1/2021 11H,38300
11/1/2021 10H,33665
11/1/2021 09H,29507
11/1/2021 08H,26390
11/1/2021 07H,26065
11/1/2021 06H,25771
11/1/2021 05H,25744
11/1/2021 04H,28655
11/1/2021 03H,27980
11/1/2021 02H,28659
11/1/2021 01H,30783
11/1/2021 00H,30305
10/31/2021 23H,30202
10/31/2021 22H,29683
10/31/2021 21H,28386
10/31/2021 20H,27044
10/31/2021 19H,26530
10/31/2021 18H,26839
10/31/2021 17H,27466
10/31/2021 16H,26835
10/31/2021 15H,26778
10/31/2021 14H,26557
10/31/2021 13H,26548
10/31/2021 12H,26270
10/31/2021 11H,25998
10/31/2021 10H,25606
10/31/2021 09H,24848
10/31/2021 08H,24960
10/31/2021 07H,25146
10/31/2021 06H,26336
10/31/2021 05H,27273
10/31/2021 04H,27733
10/31/2021 03H,31323
10/31/2021 02H,33559
10/31/2021 01H,34724
10/31/2021 00H,35592
10/30/2021 23H,37327
10/30/2021 22H,36506
10/30/2021 21H,35058
10/30/2021 20H,32953
10/30/2021 19H,34160
10/30/2021 18H,34227
10/30/2021 17H,34112
10/30/2021 16H,32759
10/30/2021 15H,32330
10/30/2021 14H,31489
10/30/2021 13H,30428
10/30/2021 12H,30506
10/30/2021 11H,28042
10/30/2021 10H,25820
10/30/2021 09H,24964
10/30/2021 08H,24331
10/30/2021 07H,24637
10/30/2021 06H,25004
10/30/2021 05H,25887
10/30/2021 04H,31053
10/30/2021 03H,30317
10/30/2021 02H,32540
10/30/2021 01H,34118
10/30/2021 00H,36143
10/29/2021 23H,37116
10/29/2021 22H,37098
10/29/2021 21H,36716
10/29/2021 20H,36865
10/29/2021 19H,37338
10/29/2021 18H,38158
10/29/2021 17H,38886
10/29/2021 16H,38141
10/29/2021 15H,38436
10/29/2021 14H,39441
10/29/2021 13H,39514
10/29/2021 12H,39010
10/29/2021 11H,37252
10/29/2021 10H,33194
10/29/2021 09H,30110
10/29/2021 08H,27958
10/29/2021 07H,28247
10/29/2021 06H,28740
10/29/2021 05H,29691
10/29/2021 04H,29300
10/29/2021 03H,33924
10/29/2021 02H,35660
10/29/2021 01H,37953
10/29/2021 00H,40851
10/28/2021 23H,41789
10/28/2021 22H,40838
10/28/2021 21H,39248
10/28/2021 20H,38968
10/28/2021 19H,38028
10/28/2021 18H,38689
10/28/2021 17H,37742
10/28/2021 16H,36920
10/28/2021 15H,37190
10/28/2021 14H,36734
10/28/2021 13H,37711
10/28/2021 12H,39871
10/28/2021 11H,39655
10/28/2021 10H,35026
10/28/2021 09H,31257
10/28/2021 08H,28526
10/28/2021 07H,29050
10/28/2021 06H,29577
10/28/2021 05H,29561
10/28/2021 04H,32529
10/28/2021 03H,31888
10/28/2021 02H,33164
10/28/2021 01H,37458
10/28/2021 00H,39564
10/27/2021 23H,40002
10/27/2021 22H,39894
10/27/2021 21H,38381
10/27/2021 20H,36937
10/27/2021 19H,37048
10/27/2021 18H,37260
10/27/2021 17H,37691
10/27/2021 16H,37518
10/27/2021 15H,39412
10/27/2021 14H,40230
10/27/2021 13H,41128
10/27/2021 12H,41840
10/27/2021 11H,40566
10/27/2021 10H,37765
10/27/2021 09H,32577
10/27/2021 08H,31680
10/27/2021 07H,31650
10/27/2021 06H,31808
10/27/2021 05H,31810
10/27/2021 04H,31331
10/27/2021 03H,34309
10/27/2021 02H,36468
10/27/2021 01H,39231
10/27/2021 00H,41680
10/26/2021 23H,42025
10/26/2021 22H,40902
10/26/2021 21H,38755
10/26/2021 20H,38517
10/26/2021 19H,39164
10/26/2021 18H,39587
10/26/2021 17H,40080
10/26/2021 16H,39111
10/26/2021 15H,40285
10/26/2021 14H,40182
10/26/2021 13H,40488
10/26/2021 12H,40673
10/26/2021 11H,39136
10/26/2021 10H,35260
10/26/2021 09H,31236
10/26/2021 08H,29790
10/26/2021 07H,29435
10/26/2021 06H,30182
10/26/2021 05H,30768
10/26/2021 04H,26018
10/26/2021 03H,33333
10/26/2021 02H,36576
10/26/2021 01H,39252
10/26/2021 00H,40787
10/25/2021 23H,41855
10/25/2021 22H,41357
10/25/2021 21H,39551
10/25/2021 20H,37997
10/25/2021 19H,38079
10/25/2021 18H,38485
10/25/2021 17H,38298
10/25/2021 16H,38358
10/25/2021 15H,38554
10/25/2021 14H,38533
10/25/2021 13H,38580
10/25/2021 12H,37974
10/25/2021 11H,36452
10/25/2021 10H,31417
10/25/2021 09H,27418
10/25/2021 08H,25649
10/25/2021 07H,25718
10/25/2021 06H,25101
10/25/2021 05H,25562
10/25/2021 04H,27683
10/25/2021 03H,27087
10/25/2021 02H,29993
10/25/2021 01H,32487
10/25/2021 00H,33965
10/24/2021 23H,35488
10/24/2021 22H,34434
10/24/2021 21H,32502
10/24/2021 20H,30403
10/24/2021 19H,29722
10/24/2021 18H,29258
10/24/2021 17H,29534
10/24/2021 16H,29931
10/24/2021 15H,29272
10/24/2021 14H,29116
10/24/2021 13H,27304
10/24/2021 12H,27467
10/24/2021 11H,27256
10/24/2021 10H,26581
10/24/2021 09H,25955
10/24/2021 08H,25563
10/24/2021 07H,26113
10/24/2021 06H,26193
10/24/2021 05H,26437
10/24/2021 04H,30719
10/24/2021 03H,29436
10/24/2021 02H,32054
10/24/2021 01H,34025
10/24/2021 00H,34118
10/23/2021 23H,35499
10/23/2021 22H,34034
10/23/2021 21H,32728
10/23/2021 20H,30382
10/23/2021 19H,30111
10/23/2021 18H,29892
10/23/2021 17H,31156
10/23/2021 16H,31812
10/23/2021 15H,32502
10/23/2021 14H,33423
10/23/2021 13H,32883
10/23/2021 12H,33208
10/23/2021 11H,31438
10/23/2021 10H,29820
10/23/2021 09H,28653
10/23/2021 08H,28056
10/23/2021 07H,27925
10/23/2021 06H,27942
10/23/2021 05H,28479
10/23/2021 04H,31787
10/23/2021 03H,34964
10/23/2021 02H,37223
10/23/2021 01H,39530
10/23/2021 00H,41740
10/22/2021 23H,42629
10/22/2021 22H,42374
10/22/2021 21H,42624
10/22/2021 20H,42186
10/22/2021 19H,42582
10/22/2021 18H,42362
10/22/2021 17H,42470
10/22/2021 16H,42062
10/22/2021 15H,41932
10/22/2021 14H,42117
10/22/2021 13H,42486
10/22/2021 12H,42566
10/22/2021 11H,40632
10/22/2021 10H,36118
10/22/2021 09H,31156
10/22/2021 08H,29501
10/22/2021 07H,29367
10/22/2021 06H,30229
10/22/2021 05H,30824
10/22/2021 04H,25364
10/22/2021 03H,34238
10/22/2021 02H,35902
10/22/2021 01H,38176
10/22/2021 00H,39803
10/21/2021 23H,41340
10/21/2021 22H,40297
10/21/2021 21H,38256
10/21/2021 20H,37020
10/21/2021 19H,36701
10/21/2021 18H,36571
10/21/2021 17H,36565
10/21/2021 16H,35791
10/21/2021 15H,34459
10/21/2021 14H,35385
10/21/2021 13H,35632
10/21/2021 12H,36052
10/21/2021 11H,35170
10/21/2021 10H,31623
10/21/2021 09H,28538
10/21/2021 08H,26543
10/21/2021 07H,26291
10/21/2021 06H,26111
10/21/2021 05H,25400
10/21/2021 04H,27032
10/21/2021 03H,29274
10/21/2021 02H,31606
10/21/2021 01H,33694
10/21/2021 00H,36502
10/20/2021 23H,38478
10/20/2021 22H,37508
10/20/2021 21H,35844
10/20/2021 20H,34913
10/20/2021 19H,35398
10/20/2021 18H,35599
10/20/2021 17H,35726
10/20/2021 16H,35262
10/20/2021 15H,34700
10/20/2021 14H,33758
10/20/2021 13H,33914
10/20/2021 12H,34990
10/20/2021 11H,33976
10/20/2021 10H,29397
10/20/2021 09H,26249
10/20/2021 08H,24588
10/20/2021 07H,24515
10/20/2021 06H,24851
10/20/2021 05H,25773
10/20/2021 04H,34449
10/20/2021 03H,29365
10/20/2021 02H,31856
10/20/2021 01H,35099
10/20/2021 00H,38652
10/19/2021 23H,40970
10/19/2021 22H,39359
10/19/2021 21H,36921
10/19/2021 20H,36154
10/19/2021 19H,35592
10/19/2021 18H,35579
10/19/2021 17H,36194
10/19/2021 16H,35831
10/19/2021 15H,36342
10/19/2021 14H,36302
10/19/2021 13H,37613
10/19/2021 12H,38186
10/19/2021 11H,38350
10/19/2021 10H,33180
10/19/2021 09H,28823
10/19/2021 08H,27240
10/19/2021 07H,25938
10/19/2021 06H,26565
10/19/2021 05H,26841
10/19/2021 04H,28370
10/19/2021 03H,34449
10/19/2021 02H,34449
10/19/2021 01H,37337
10/19/2021 00H,40130
10/18/2021 23H,41432
10/18/2021 22H,40075
10/18/2021 21H,38576
10/18/2021 20H,36371
10/18/2021 19H,36193
10/18/2021 18H,36781
10/18/2021 17H,36454
10/18/2021 16H,35832
10/18/2021 15H,35712
10/18/2021 14H,36527
10/18/2021 13H,38499
10/18/2021 12H,39749
10/18/2021 11H,38332
10/18/2021 10H,33823
10/18/2021 09H,29729
10/18/2021 08H,27737
10/18/2021 07H,27526
10/18/2021 06H,28218
10/18/2021 05H,28064
10/18/2021 04H,27384
10/18/2021 03H,29919
10/18/2021 02H,30740
10/18/2021 01H,32449
10/18/2021 00H,33234
10/17/2021 23H,33990
10/17/2021 22H,31360
10/17/2021 21H,30422
10/17/2021 20H,27893
10/17/2021 19H,26620
10/17/2021 18H,27238
10/17/2021 17H,28224
10/17/2021 16H,27639
10/17/2021 15H,27217
10/17/2021 14H,26673
10/17/2021 13H,25637
10/17/2021 12H,25037
10/17/2021 11H,25059
10/17/2021 10H,23678
10/17/2021 09H,22663
10/17/2021 08H,21944
10/17/2021 07H,22944
10/17/2021 06H,23976
10/17/2021 05H,25658
10/17/2021 04H,31922
10/17/2021 03H,29105
10/17/2021 02H,31625
10/17/2021 01H,32531
10/17/2021 00H,34536
10/16/2021 23H,34962
10/16/2021 22H,33983
10/16/2021 21H,33764
10/16/2021 20H,33884
10/16/2021 19H,33922
10/16/2021 18H,34569
10/16/2021 17H,34518
10/16/2021 16H,34840
10/16/2021 15H,33631
10/16/2021 14H,32554
10/16/2021 13H,32029
10/16/2021 12H,30579
10/16/2021 11H,29629
10/16/2021 10H,28765
10/16/2021 09H,27550
10/16/2021 08H,27792
10/16/2021 07H,27956
10/16/2021 06H,28555
10/16/2021 05H,28131
10/16/2021 04H,33683
10/16/2021 03H,34951
10/16/2021 02H,35524
10/16/2021 01H,37985
10/16/2021 00H,41246
10/15/2021 23H,42687
10/15/2021 22H,41987
10/15/2021 21H,43534
10/15/2021 20H,44551
10/15/2021 19H,44845
10/15/2021 18H,44841
10/15/2021 17H,44310
10/15/2021 16H,42495
10/15/2021 15H,40837
10/15/2021 14H,38044
10/15/2021 13H,37760
10/15/2021 12H,37367
10/15/2021 11H,36173
10/15/2021 10H,33090
10/15/2021 09H,31139
10/15/2021 08H,30562
10/15/2021 07H,29846
10/15/2021 06H,31174
10/15/2021 05H,32199
10/15/2021 04H,29838
10/15/2021 03H,36465
10/15/2021 02H,39499
10/15/2021 01H,42914
10/15/2021 00H,45406
10/14/2021 23H,46361
10/14/2021 22H,46014
10/14/2021 21H,46265
10/14/2021 20H,45976
10/14/2021 19H,45435
10/14/2021 18H,43747
10/14/2021 17H,42427
10/14/2021 16H,40668
10/14/2021 15H,38817
10/14/2021 14H,36521
10/14/2021 13H,36819
10/14/2021 12H,36095
10/14/2021 11H,35602
10/14/2021 10H,32825
10/14/2021 09H,28880
10/14/2021 08H,26553
10/14/2021 07H,26571
10/14/2021 06H,28032
10/14/2021 05H,29169
10/14/2021 04H,31337
10/14/2021 03H,32258
10/14/2021 02H,33472
10/14/2021 01H,36772
10/14/2021 00H,39276
10/13/2021 23H,40669
10/13/2021 22H,40857
10/13/2021 21H,41188
10/13/2021 20H,40699
10/13/2021 19H,40700
10/13/2021 18H,40129
10/13/2021 17H,40456
10/13/2021 16H,38251
10/13/2021 15H,37713
10/13/2021 14H,36146
10/13/2021 13H,36760
10/13/2021 12H,36152
10/13/2021 11H,35035
10/13/2021 10H,32588
10/13/2021 09H,30196
10/13/2021 08H,28987
10/13/2021 07H,28798
10/13/2021 06H,29393
10/13/2021 05H,30328
10/13/2021 04H,29735
10/13/2021 03H,34019
10/13/2021 02H,36901
10/13/2021 01H,39938
10/13/2021 00H,42947
10/12/2021 23H,43941
10/12/2021 22H,42576
10/12/2021 21H,41540
10/12/2021 20H,40916
10/12/2021 19H,40389
10/12/2021 18H,39331
10/12/2021 17H,38698
10/12/2021 16H,38229
10/12/2021 15H,38330
10/12/2021 14H,38075
10/12/2021 13H,39003
10/12/2021 12H,39384
10/12/2021 11H,38188
10/12/2021 10H,34259
10/12/2021 09H,29019
10/12/2021 08H,27020
10/12/2021 07H,25754
10/12/2021 06H,28204
10/12/2021 05H,28100
10/12/2021 04H,27053
10/12/2021 03H,33780
10/12/2021 02H,35433
10/12/2021 01H,38258
10/12/2021 00H,42727
10/11/2021 23H,43768
10/11/2021 22H,42616
10/11/2021 21H,43321
10/11/2021 20H,43523
10/11/2021 19H,43172
10/11/2021 18H,42859
10/11/2021 17H,40845
10/11/2021 16H,39683
10/11/2021 15H,38979
10/11/2021 14H,38749
10/11/2021 13H,37437
10/11/2021 12H,36074
10/11/2021 11H,33747
10/11/2021 10H,32265
10/11/2021 09H,27636
10/11/2021 08H,25077
10/11/2021 07H,24583
10/11/2021 06H,25104
10/11/2021 05H,25933
10/11/2021 04H,27414
10/11/2021 03H,31049
10/11/2021 02H,34369
10/11/2021 01H,36136
10/11/2021 00H,38947
10/10/2021 23H,40434
10/10/2021 22H,40947
10/10/2021 21H,40505
10/10/2021 20H,38342
10/10/2021 19H,37436
10/10/2021 18H,36522
10/10/2021 17H,36027
10/10/2021 16H,33541
10/10/2021 15H,31558
10/10/2021 14H,31642
10/10/2021 13H,30217
10/10/2021 12H,27345
10/10/2021 11H,24922
10/10/2021 10H,24420
10/10/2021 09H,23502
10/10/2021 08H,23548
10/10/2021 07H,23520
10/10/2021 06H,25283
10/10/2021 05H,26230
10/10/2021 04H,30942
10/10/2021 03H,30448
10/10/2021 02H,32682
10/10/2021 01H,32871
10/10/2021 00H,35300
10/9/2021 23H,37826
10/9/2021 22H,38672
10/9/2021 21H,38202
10/9/2021 20H,39005
10/9/2021 19H,37619
10/9/2021 18H,37266
10/9/2021 17H,36354
10/9/2021 16H,35394
10/9/2021 15H,35033
10/9/2021 14H,34409
10/9/2021 13H,32282
10/9/2021 12H,31307
10/9/2021 11H,30107
10/9/2021 10H,27444
10/9/2021 09H,26751
10/9/2021 08H,26356
10/9/2021 07H,25727
10/9/2021 06H,26351
10/9/2021 05H,28158
10/9/2021 04H,32036
10/9/2021 03H,33707
10/9/2021 02H,36815
10/9/2021 01H,39237
10/9/2021 00H,41793
10/8/2021 23H,44121
10/8/2021 22H,44372
10/8/2021 21H,45159
10/8/2021 20H,45550
10/8/2021 19H,46093
10/8/2021 18H,46596
10/8/2021 17H,45356
10/8/2021 16H,44218
10/8/2021 15H,42828
10/8/2021 14H,40538
10/8/2021 13H,38469
10/8/2021 12H,38169
10/8/2021 11H,37345
10/8/2021 10H,32813
10/8/2021 09H,29910
10/8/2021 08H,28931
10/8/2021 07H,28263
10/8/2021 06H,28883
10/8/2021 05H,30058
10/8/2021 04H,31182
10/8/2021 03H,35251
10/8/2021 02H,38756
10/8/2021 01H,43173
10/8/2021 00H,46304
10/7/2021 23H,47691
10/7/2021 22H,46201
10/7/2021 21H,46954
10/7/2021 20H,47660
10/7/2021 19H,47252
10/7/2021 18H,46882
10/7/2021 17H,46192
10/7/2021 16H,44176
10/7/2021 15H,43563
10/7/2021 14H,42537
10/7/2021 13H,41508
10/7/2021 12H,39912
10/7/2021 11H,38081
10/7/2021 10H,34100
10/7/2021 09H,31085
10/7/2021 08H,28549
10/7/2021 07H,28036
10/7/2021 06H,28865
10/7/2021 05H,29974
10/7/2021 04H,31147
10/7/2021 03H,33386
10/7/2021 02H,36920
10/7/2021 01H,39645
10/7/2021 00H,42746
10/6/2021 23H,44612
10/6/2021 22H,44562
