Net generation from other for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.OTH.H
19:04:42 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.OTH.H megawatthours
11/9/2021 01H,1787
11/9/2021 00H,1084
11/8/2021 23H,684
11/8/2021 22H,621
11/8/2021 21H,615
11/8/2021 20H,603
11/8/2021 19H,600
11/8/2021 18H,610
11/8/2021 17H,644
11/8/2021 16H,737
11/8/2021 15H,915
11/8/2021 14H,1146
11/8/2021 13H,803
11/8/2021 12H,704
11/8/2021 11H,683
11/8/2021 10H,645
11/8/2021 09H,681
11/8/2021 08H,715
11/8/2021 07H,726
11/8/2021 06H,728
11/8/2021 05H,737
11/8/2021 04H,839
11/8/2021 03H,1359
11/8/2021 02H,1560
11/8/2021 01H,1753
11/8/2021 00H,1121
11/7/2021 23H,594
11/7/2021 22H,607
11/7/2021 21H,607
11/7/2021 20H,589
11/7/2021 19H,585
11/7/2021 18H,592
11/7/2021 17H,619
11/7/2021 16H,1037
11/7/2021 15H,1043
11/7/2021 14H,888
11/7/2021 13H,775
11/7/2021 12H,626
11/7/2021 11H,641
11/7/2021 10H,651
11/7/2021 09H,665
11/7/2021 08H,680
11/7/2021 07H,391
11/7/2021 06H,866
11/7/2021 05H,1199
11/7/2021 04H,1202
11/7/2021 03H,1401
11/7/2021 02H,1698
11/7/2021 01H,1866
11/7/2021 00H,1395
11/6/2021 23H,601
11/6/2021 22H,584
11/6/2021 21H,581
11/6/2021 20H,588
11/6/2021 19H,586
11/6/2021 18H,587
11/6/2021 17H,681
11/6/2021 16H,732
11/6/2021 15H,843
11/6/2021 14H,798
11/6/2021 13H,813
11/6/2021 12H,720
11/6/2021 11H,639
11/6/2021 10H,655
11/6/2021 09H,706
11/6/2021 08H,728
11/6/2021 07H,857
11/6/2021 06H,846
11/6/2021 05H,781
11/6/2021 04H,1082
11/6/2021 03H,1341
11/6/2021 02H,1745
11/6/2021 01H,1896
11/6/2021 00H,1486
11/5/2021 23H,693
11/5/2021 22H,637
11/5/2021 21H,630
11/5/2021 20H,613
11/5/2021 19H,607
11/5/2021 18H,613
11/5/2021 17H,707
11/5/2021 16H,779
11/5/2021 15H,958
11/5/2021 14H,992
11/5/2021 13H,1071
11/5/2021 12H,797
11/5/2021 11H,779
11/5/2021 10H,713
11/5/2021 09H,711
11/5/2021 08H,760
11/5/2021 07H,798
11/5/2021 06H,829
11/5/2021 05H,1031
11/5/2021 04H,1035
11/5/2021 03H,1517
11/5/2021 02H,1633
11/5/2021 01H,1826
11/5/2021 00H,1449
11/4/2021 23H,648
11/4/2021 22H,637
11/4/2021 21H,615
11/4/2021 20H,575
11/4/2021 19H,571
11/4/2021 18H,582
11/4/2021 17H,625
11/4/2021 16H,792
11/4/2021 15H,799
11/4/2021 14H,953
11/4/2021 13H,713
11/4/2021 12H,724
11/4/2021 11H,717
11/4/2021 10H,641
11/4/2021 09H,648
11/4/2021 08H,704
11/4/2021 07H,730
11/4/2021 06H,726
11/4/2021 05H,705
11/4/2021 04H,1344
11/4/2021 03H,1534
11/4/2021 02H,1814
11/4/2021 01H,1623
11/4/2021 00H,1352
11/3/2021 23H,639
11/3/2021 22H,584
11/3/2021 21H,571
11/3/2021 20H,576
11/3/2021 19H,600
11/3/2021 18H,604
11/3/2021 17H,637
11/3/2021 16H,780
11/3/2021 15H,788
11/3/2021 14H,1028
11/3/2021 13H,905
11/3/2021 12H,737
11/3/2021 11H,697
11/3/2021 10H,697
11/3/2021 09H,698
11/3/2021 08H,708
11/3/2021 07H,714
11/3/2021 06H,748
11/3/2021 05H,959
11/3/2021 04H,1360
11/3/2021 03H,1510
11/3/2021 02H,1772
11/3/2021 01H,1809
11/3/2021 00H,1079
11/2/2021 23H,659
11/2/2021 22H,642
11/2/2021 21H,609
11/2/2021 20H,606
11/2/2021 19H,611
11/2/2021 18H,608
11/2/2021 17H,636
11/2/2021 16H,791
11/2/2021 15H,804
11/2/2021 14H,1007
11/2/2021 13H,816
11/2/2021 12H,803
11/2/2021 11H,657
11/2/2021 10H,671
11/2/2021 09H,693
11/2/2021 08H,695
11/2/2021 07H,708
11/2/2021 06H,1251
11/2/2021 05H,1231
11/2/2021 04H,1499
11/2/2021 03H,1236
11/2/2021 02H,1271
11/2/2021 01H,1188
11/2/2021 00H,894
11/1/2021 23H,750
11/1/2021 22H,724
11/1/2021 21H,687
11/1/2021 20H,681
11/1/2021 19H,683
11/1/2021 18H,687
11/1/2021 17H,668
11/1/2021 16H,742
11/1/2021 15H,754
11/1/2021 14H,956
11/1/2021 13H,862
11/1/2021 12H,780
11/1/2021 11H,783
11/1/2021 10H,723
11/1/2021 09H,800
11/1/2021 08H,698
11/1/2021 07H,700
11/1/2021 06H,855
11/1/2021 05H,1183
11/1/2021 04H,1418
11/1/2021 03H,1322
11/1/2021 02H,1453
11/1/2021 01H,1061
11/1/2021 00H,926
10/31/2021 23H,662
10/31/2021 22H,621
10/31/2021 21H,598
10/31/2021 20H,595
10/31/2021 19H,603
10/31/2021 18H,593
10/31/2021 17H,606
10/31/2021 16H,780
10/31/2021 15H,804
10/31/2021 14H,710
10/31/2021 13H,726
10/31/2021 12H,768
10/31/2021 11H,773
10/31/2021 10H,730
10/31/2021 09H,800
10/31/2021 08H,741
10/31/2021 07H,776
10/31/2021 06H,746
10/31/2021 05H,827
10/31/2021 04H,1062
10/31/2021 03H,1490
10/31/2021 02H,1506
10/31/2021 01H,1561
10/31/2021 00H,1220
10/30/2021 23H,687
10/30/2021 22H,652
10/30/2021 21H,618
10/30/2021 20H,607
10/30/2021 19H,603
10/30/2021 18H,591
10/30/2021 17H,606
10/30/2021 16H,699
10/30/2021 15H,721
10/30/2021 14H,835
10/30/2021 13H,803
10/30/2021 12H,817
10/30/2021 11H,865
10/30/2021 10H,699
10/30/2021 09H,704
10/30/2021 08H,819
10/30/2021 07H,876
10/30/2021 06H,879
10/30/2021 05H,1006
10/30/2021 04H,1332
10/30/2021 03H,1667
10/30/2021 02H,1919
10/30/2021 01H,1731
10/30/2021 00H,1364
10/29/2021 23H,711
10/29/2021 22H,670
10/29/2021 21H,610
10/29/2021 20H,595
10/29/2021 19H,595
10/29/2021 18H,613
10/29/2021 17H,645
10/29/2021 16H,756
10/29/2021 15H,779
10/29/2021 14H,949
10/29/2021 13H,935
10/29/2021 12H,752
10/29/2021 11H,865
10/29/2021 10H,726
10/29/2021 09H,725
10/29/2021 08H,821
10/29/2021 07H,1077
10/29/2021 06H,1078
10/29/2021 05H,928
10/29/2021 04H,1297
10/29/2021 03H,1403
10/29/2021 02H,1452
10/29/2021 01H,1737
10/29/2021 00H,1375
10/28/2021 23H,694
10/28/2021 22H,629
10/28/2021 21H,629
10/28/2021 20H,668
10/28/2021 19H,640
10/28/2021 18H,613
10/28/2021 17H,656
10/28/2021 16H,712
10/28/2021 15H,723
10/28/2021 14H,1031
10/28/2021 13H,866
10/28/2021 12H,840
10/28/2021 11H,744
10/28/2021 10H,702
10/28/2021 09H,703
10/28/2021 08H,711
10/28/2021 07H,713
10/28/2021 06H,723
10/28/2021 05H,815
10/28/2021 04H,1268
10/28/2021 03H,1705
10/28/2021 02H,1671
10/28/2021 01H,1624
10/28/2021 00H,1435
10/27/2021 23H,626
10/27/2021 22H,619
10/27/2021 21H,606
10/27/2021 20H,594
