Net generation from other for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.OTH.H
19:04:42 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.OTH.H megawatthours
11/23/2020 15H,790
11/23/2020 14H,777
11/23/2020 13H,723
11/23/2020 12H,722
11/23/2020 11H,716
11/23/2020 10H,716
11/23/2020 09H,705
11/23/2020 08H,747
11/23/2020 07H,792
11/23/2020 06H,777
11/23/2020 05H,772
11/23/2020 04H,738
11/23/2020 03H,753
11/23/2020 02H,746
11/23/2020 01H,747
11/23/2020 00H,731
11/22/2020 23H,697
11/22/2020 22H,726
11/22/2020 21H,715
11/22/2020 20H,706
11/22/2020 19H,696
11/22/2020 18H,729
11/22/2020 17H,737
11/22/2020 16H,748
11/22/2020 15H,755
11/22/2020 14H,770
11/22/2020 13H,759
11/22/2020 12H,709
11/22/2020 11H,736
11/22/2020 10H,778
11/22/2020 09H,780
11/22/2020 08H,766
11/22/2020 07H,775
11/22/2020 06H,804
11/22/2020 05H,770
11/22/2020 04H,797
11/22/2020 03H,779
11/22/2020 02H,761
11/22/2020 01H,814
11/22/2020 00H,775
11/21/2020 23H,734
11/21/2020 22H,700
11/21/2020 21H,684
11/21/2020 20H,687
11/21/2020 19H,691
11/21/2020 18H,772
11/21/2020 17H,718
11/21/2020 16H,788
11/21/2020 15H,789
11/21/2020 14H,761
11/21/2020 13H,711
11/21/2020 12H,709
11/21/2020 11H,721
11/21/2020 10H,719
11/21/2020 09H,734
11/21/2020 08H,789
11/21/2020 07H,808
11/21/2020 06H,814
11/21/2020 05H,801
11/21/2020 04H,805
11/21/2020 03H,792
11/21/2020 02H,779
11/21/2020 01H,828
11/21/2020 00H,778
11/20/2020 23H,733
11/20/2020 22H,692
11/20/2020 21H,696
11/20/2020 20H,689
11/20/2020 19H,747
11/20/2020 18H,770
11/20/2020 17H,714
11/20/2020 16H,763
11/20/2020 15H,756
11/20/2020 14H,705
11/20/2020 13H,463
11/20/2020 12H,459
11/20/2020 11H,464
11/20/2020 10H,699
11/20/2020 09H,736
11/20/2020 08H,761
11/20/2020 07H,744
11/20/2020 06H,741
11/20/2020 05H,764
11/20/2020 04H,791
11/20/2020 03H,818
11/20/2020 02H,806
11/20/2020 01H,802
11/20/2020 00H,724
11/19/2020 23H,719
11/19/2020 22H,696
11/19/2020 21H,646
11/19/2020 20H,642
11/19/2020 19H,663
11/19/2020 18H,700
11/19/2020 17H,710
11/19/2020 16H,705
11/19/2020 15H,781
11/19/2020 14H,735
11/19/2020 13H,725
11/19/2020 12H,718
11/19/2020 11H,703
11/19/2020 10H,705
11/19/2020 09H,708
11/19/2020 08H,736
11/19/2020 07H,753
11/19/2020 06H,747
11/19/2020 05H,733
11/19/2020 04H,761
11/19/2020 03H,789
11/19/2020 02H,800
11/19/2020 01H,750
11/19/2020 00H,714
11/18/2020 23H,694
11/18/2020 22H,663
11/18/2020 21H,670
11/18/2020 20H,632
11/18/2020 19H,687
11/18/2020 18H,702
11/18/2020 17H,716
11/18/2020 16H,744
11/18/2020 15H,748
11/18/2020 14H,713
11/18/2020 13H,706
11/18/2020 12H,700
11/18/2020 11H,690
11/18/2020 10H,696
11/18/2020 09H,693
11/18/2020 08H,731
11/18/2020 07H,706
11/18/2020 06H,710
11/18/2020 05H,714
11/18/2020 04H,748
11/18/2020 03H,786
11/18/2020 02H,822
11/18/2020 01H,820
11/18/2020 00H,754
11/17/2020 23H,699
11/17/2020 22H,643
11/17/2020 21H,630
11/17/2020 20H,659
11/17/2020 19H,666
11/17/2020 18H,696
11/17/2020 17H,711
11/17/2020 16H,757
11/17/2020 15H,763
11/17/2020 14H,757
11/17/2020 13H,744
11/17/2020 12H,707
11/17/2020 11H,705
11/17/2020 10H,709
11/17/2020 09H,722
11/17/2020 08H,784
11/17/2020 07H,796
11/17/2020 06H,785
11/17/2020 05H,793
11/17/2020 04H,767
11/17/2020 03H,782
11/17/2020 02H,800
11/17/2020 01H,827
11/17/2020 00H,766
11/16/2020 23H,759
11/16/2020 22H,670
11/16/2020 21H,660
11/16/2020 20H,692
11/16/2020 19H,707
11/16/2020 18H,731
11/16/2020 17H,760
11/16/2020 16H,823
11/16/2020 15H,864
11/16/2020 14H,801
11/16/2020 13H,758
11/16/2020 12H,740
11/16/2020 11H,759
11/16/2020 10H,773
11/16/2020 09H,753
11/16/2020 08H,805
11/16/2020 07H,806
11/16/2020 06H,778
11/16/2020 05H,754
11/16/2020 04H,734
11/16/2020 03H,765
11/16/2020 02H,786
11/16/2020 01H,763
11/16/2020 00H,729
11/15/2020 23H,726
11/15/2020 22H,739
11/15/2020 21H,719
11/15/2020 20H,723
11/15/2020 19H,731
11/15/2020 18H,734
11/15/2020 17H,749
11/15/2020 16H,835
11/15/2020 15H,868
11/15/2020 14H,854
11/15/2020 13H,815
11/15/2020 12H,793
11/15/2020 11H,800
11/15/2020 10H,837
11/15/2020 09H,802
11/15/2020 08H,851
11/15/2020 07H,886
11/15/2020 06H,832
11/15/2020 05H,817
11/15/2020 04H,743
11/15/2020 03H,779
11/15/2020 02H,860
11/15/2020 01H,815
11/15/2020 00H,750
11/14/2020 23H,729
11/14/2020 22H,737
11/14/2020 21H,728
11/14/2020 20H,698
11/14/2020 19H,679
11/14/2020 18H,736
11/14/2020 17H,735
11/14/2020 16H,764
11/14/2020 15H,715
11/14/2020 14H,765
11/14/2020 13H,702
11/14/2020 12H,689
11/14/2020 11H,696
11/14/2020 10H,717
11/14/2020 09H,773
11/14/2020 08H,788
11/14/2020 07H,763
11/14/2020 06H,785
11/14/2020 05H,772
11/14/2020 04H,756
11/14/2020 03H,825
11/14/2020 02H,831
11/14/2020 01H,781
11/14/2020 00H,803
11/13/2020 23H,752
11/13/2020 22H,756
11/13/2020 21H,780
11/13/2020 20H,745
11/13/2020 19H,800
11/13/2020 18H,753
11/13/2020 17H,790
11/13/2020 16H,825
11/13/2020 15H,838
11/13/2020 14H,813
11/13/2020 13H,778
11/13/2020 12H,761
11/13/2020 11H,754
11/13/2020 10H,752
11/13/2020 09H,782
11/13/2020 08H,744
11/13/2020 07H,775
11/13/2020 06H,823
11/13/2020 05H,838
11/13/2020 04H,850
11/13/2020 03H,805
11/13/2020 02H,793
11/13/2020 01H,790
11/13/2020 00H,805
11/12/2020 23H,714
11/12/2020 22H,774
11/12/2020 21H,727
11/12/2020 20H,770
11/12/2020 19H,753
11/12/2020 18H,724
11/12/2020 17H,745
11/12/2020 16H,821
11/12/2020 15H,890
11/12/2020 14H,847
11/12/2020 13H,794
11/12/2020 12H,764
11/12/2020 11H,742
11/12/2020 10H,769
11/12/2020 09H,781
11/12/2020 08H,761
11/12/2020 07H,841
11/12/2020 06H,801
11/12/2020 05H,834
11/12/2020 04H,847
11/12/2020 03H,859
11/12/2020 02H,881
11/12/2020 01H,819
11/12/2020 00H,779
11/11/2020 23H,744
11/11/2020 22H,743
11/11/2020 21H,743
11/11/2020 20H,746
11/11/2020 19H,747
11/11/2020 18H,746
11/11/2020 17H,807
11/11/2020 16H,870
11/11/2020 15H,921
11/11/2020 14H,902
11/11/2020 13H,816
11/11/2020 12H,784
11/11/2020 11H,766
11/11/2020 10H,750
11/11/2020 09H,758
11/11/2020 08H,817
11/11/2020 07H,866
11/11/2020 06H,801
11/11/2020 05H,820
11/11/2020 04H,804
11/11/2020 03H,826
11/11/2020 02H,839
11/11/2020 01H,822
11/11/2020 00H,759
11/10/2020 23H,791
11/10/2020 22H,777
11/10/2020 21H,721
11/10/2020 20H,767
11/10/2020 19H,764
11/10/2020 18H,768
11/10/2020 17H,774
11/10/2020 16H,845
11/10/2020 15H,825
11/10/2020 14H,755
11/10/2020 13H,783
11/10/2020 12H,757
11/10/2020 11H,759
11/10/2020 10H,754
11/10/2020 09H,766
11/10/2020 08H,807
11/10/2020 07H,812
11/10/2020 06H,838
11/10/2020 05H,849
11/10/2020 04H,828
11/10/2020 03H,892
11/10/2020 02H,854
11/10/2020 01H,827
11/10/2020 00H,837
11/9/2020 23H,762
11/9/2020 22H,697
11/9/2020 21H,704
11/9/2020 20H,680
11/9/2020 19H,690
11/9/2020 18H,728
11/9/2020 17H,726
11/9/2020 16H,792
11/9/2020 15H,913
11/9/2020 14H,871
11/9/2020 13H,774
11/9/2020 12H,777
11/9/2020 11H,737
11/9/2020 10H,746
11/9/2020 09H,748
11/9/2020 08H,769
11/9/2020 07H,786
11/9/2020 06H,739
11/9/2020 05H,766
11/9/2020 04H,803
11/9/2020 03H,802
11/9/2020 02H,816
11/9/2020 01H,780
11/9/2020 00H,854
11/8/2020 23H,817
11/8/2020 22H,737
11/8/2020 21H,712
11/8/2020 20H,738
11/8/2020 19H,733
11/8/2020 18H,741
11/8/2020 17H,797
11/8/2020 16H,824
11/8/2020 15H,741
11/8/2020 14H,792
11/8/2020 13H,781
11/8/2020 12H,725
11/8/2020 11H,729
11/8/2020 10H,763
11/8/2020 09H,765
11/8/2020 08H,780
11/8/2020 07H,788
11/8/2020 06H,805
11/8/2020 05H,875
11/8/2020 04H,889
11/8/2020 03H,790
11/8/2020 02H,792
11/8/2020 01H,793
11/8/2020 00H,894
11/7/2020 23H,860
11/7/2020 22H,817
11/7/2020 21H,804
11/7/2020 20H,825
11/7/2020 19H,805
11/7/2020 18H,804
11/7/2020 17H,794
11/7/2020 16H,814
11/7/2020 15H,844
11/7/2020 14H,888
11/7/2020 13H,894
11/7/2020 12H,848
11/7/2020 11H,840
11/7/2020 10H,851
11/7/2020 09H,823
11/7/2020 08H,823
11/7/2020 07H,819
11/7/2020 06H,810
11/7/2020 05H,814
11/7/2020 04H,821
11/7/2020 03H,827
11/7/2020 02H,852
11/7/2020 01H,815
11/7/2020 00H,829
11/6/2020 23H,807
11/6/2020 22H,847
11/6/2020 21H,876
11/6/2020 20H,837
11/6/2020 19H,833
11/6/2020 18H,808
11/6/2020 17H,807
11/6/2020 16H,803
11/6/2020 15H,819
11/6/2020 14H,844
11/6/2020 13H,826
11/6/2020 12H,773
11/6/2020 11H,810
11/6/2020 10H,813
11/6/2020 09H,924
11/6/2020 08H,913
11/6/2020 07H,842
11/6/2020 06H,866
11/6/2020 05H,843
11/6/2020 04H,898
11/6/2020 03H,851
11/6/2020 02H,872
11/6/2020 01H,940
11/6/2020 00H,920
11/5/2020 23H,904
11/5/2020 22H,949
11/5/2020 21H,944
11/5/2020 20H,951
11/5/2020 19H,999
11/5/2020 18H,912
11/5/2020 17H,820
11/5/2020 16H,885
11/5/2020 15H,853
11/5/2020 14H,849
11/5/2020 13H,786
11/5/2020 12H,792
11/5/2020 11H,785
11/5/2020 10H,775
11/5/2020 09H,781
11/5/2020 08H,824
11/5/2020 07H,818
11/5/2020 06H,860
11/5/2020 05H,818
11/5/2020 04H,815
11/5/2020 03H,833
11/5/2020 02H,854
11/5/2020 01H,852
11/5/2020 00H,847
11/4/2020 23H,828
11/4/2020 22H,804
11/4/2020 21H,740
11/4/2020 20H,774
11/4/2020 19H,808
11/4/2020 18H,762
11/4/2020 17H,846
11/4/2020 16H,873
11/4/2020 15H,923
11/4/2020 14H,899
11/4/2020 13H,813
11/4/2020 12H,803
11/4/2020 11H,779
11/4/2020 10H,777
11/4/2020 09H,766
11/4/2020 08H,745
11/4/2020 07H,797
11/4/2020 06H,853
11/4/2020 05H,803
11/4/2020 04H,799
11/4/2020 03H,872
11/4/2020 02H,787
11/4/2020 01H,811
11/4/2020 00H,768
11/3/2020 23H,775
11/3/2020 22H,741
11/3/2020 21H,724
11/3/2020 20H,724
11/3/2020 19H,703
11/3/2020 18H,691
11/3/2020 17H,704
11/3/2020 16H,875
11/3/2020 15H,823
11/3/2020 14H,816
11/3/2020 13H,759
11/3/2020 12H,719
11/3/2020 11H,704
11/3/2020 10H,717
11/3/2020 09H,761
11/3/2020 08H,820
11/3/2020 07H,849
11/3/2020 06H,793
11/3/2020 05H,784
11/3/2020 04H,783
11/3/2020 03H,839
11/3/2020 02H,855
11/3/2020 01H,856
11/3/2020 00H,822
11/2/2020 23H,748
11/2/2020 22H,759
11/2/2020 21H,776
11/2/2020 20H,737
11/2/2020 19H,742
11/2/2020 18H,718
11/2/2020 17H,753
11/2/2020 16H,842
11/2/2020 15H,847
11/2/2020 14H,832
11/2/2020 13H,799
11/2/2020 12H,797
11/2/2020 11H,776
11/2/2020 10H,777
11/2/2020 09H,783
11/2/2020 08H,564
11/2/2020 07H,873
11/2/2020 06H,843
11/2/2020 05H,826
11/2/2020 04H,860
11/2/2020 03H,826
11/2/2020 02H,814
11/2/2020 01H,834
11/2/2020 00H,813
11/1/2020 23H,850
11/1/2020 22H,770
11/1/2020 21H,769
11/1/2020 20H,728
11/1/2020 19H,744
11/1/2020 18H,789
11/1/2020 17H,841
11/1/2020 16H,907
11/1/2020 15H,806
11/1/2020 14H,802
11/1/2020 13H,847
11/1/2020 12H,810
11/1/2020 11H,805
11/1/2020 10H,792
11/1/2020 09H,606
11/1/2020 08H,802
11/1/2020 07H,604
11/1/2020 06H,909
11/1/2020 05H,805
11/1/2020 04H,859
11/1/2020 03H,875
11/1/2020 02H,848
11/1/2020 01H,857
11/1/2020 00H,836
10/31/2020 23H,816
10/31/2020 22H,771
10/31/2020 21H,797
10/31/2020 20H,738
10/31/2020 19H,763
10/31/2020 18H,726
10/31/2020 17H,741
10/31/2020 16H,929
10/31/2020 15H,960
10/31/2020 14H,861
10/31/2020 13H,803
10/31/2020 12H,813
10/31/2020 11H,826
10/31/2020 10H,806
10/31/2020 09H,819
10/31/2020 08H,829
10/31/2020 07H,865
10/31/2020 06H,802
10/31/2020 05H,806
10/31/2020 04H,820
10/31/2020 03H,813
10/31/2020 02H,840
10/31/2020 01H,825
10/31/2020 00H,832
10/30/2020 23H,838
10/30/2020 22H,824
10/30/2020 21H,797
10/30/2020 20H,790
10/30/2020 19H,816
10/30/2020 18H,804
10/30/2020 17H,813
10/30/2020 16H,796
10/30/2020 15H,925
10/30/2020 14H,895
10/30/2020 13H,805
10/30/2020 12H,795
10/30/2020 11H,803
10/30/2020 10H,790
10/30/2020 09H,794
10/30/2020 08H,803
10/30/2020 07H,896
10/30/2020 06H,826
10/30/2020 05H,833
10/30/2020 04H,789
10/30/2020 03H,868
10/30/2020 02H,832
10/30/2020 01H,844
10/30/2020 00H,762
10/29/2020 23H,814
10/29/2020 22H,835
10/29/2020 21H,811
10/29/2020 20H,801
10/29/2020 19H,809
10/29/2020 18H,783
10/29/2020 17H,783
10/29/2020 16H,778
10/29/2020 15H,813
10/29/2020 14H,801
10/29/2020 13H,769
10/29/2020 12H,763
10/29/2020 11H,771
10/29/2020 10H,765
10/29/2020 09H,765
10/29/2020 08H,753
10/29/2020 07H,820
10/29/2020 06H,841
10/29/2020 05H,802
10/29/2020 04H,797
10/29/2020 03H,766
10/29/2020 02H,714
10/29/2020 01H,723
10/29/2020 00H,756
10/28/2020 23H,714
10/28/2020 22H,697
10/28/2020 21H,689
10/28/2020 20H,700
10/28/2020 19H,688
10/28/2020 18H,699
10/28/2020 17H,711
10/28/2020 16H,692
10/28/2020 15H,715
10/28/2020 14H,731
10/28/2020 13H,702
10/28/2020 12H,686
10/28/2020 11H,687
10/28/2020 10H,660
10/28/2020 09H,660
10/28/2020 08H,634
10/28/2020 07H,659
10/28/2020 06H,689
10/28/2020 05H,638
10/28/2020 04H,643
10/28/2020 03H,638
10/28/2020 02H,751
10/28/2020 01H,748
10/28/2020 00H,607
10/27/2020 23H,607
10/27/2020 22H,628
10/27/2020 21H,722
10/27/2020 20H,652
10/27/2020 19H,651
10/27/2020 18H,729
10/27/2020 17H,643
10/27/2020 16H,656
10/27/2020 15H,672
10/27/2020 14H,675
10/27/2020 13H,678
10/27/2020 12H,670
10/27/2020 11H,669
10/27/2020 10H,689
10/27/2020 09H,709
10/27/2020 08H,711
10/27/2020 07H,718
10/27/2020 06H,732
10/27/2020 05H,741
10/27/2020 04H,713
10/27/2020 03H,714
10/27/2020 02H,715
10/27/2020 01H,699
10/27/2020 00H,694
10/26/2020 23H,693
10/26/2020 22H,697
10/26/2020 21H,762
10/26/2020 20H,753
10/26/2020 19H,752
10/26/2020 18H,690
10/26/2020 17H,696
10/26/2020 16H,858
10/26/2020 15H,860
10/26/2020 14H,961
10/26/2020 13H,696
10/26/2020 12H,696
10/26/2020 11H,698
10/26/2020 10H,691
10/26/2020 09H,687
10/26/2020 08H,682
10/26/2020 07H,937
10/26/2020 06H,941
10/26/2020 05H,790
10/26/2020 04H,686
10/26/2020 03H,698
10/26/2020 02H,699
10/26/2020 01H,681
10/26/2020 00H,675
10/25/2020 23H,685
10/25/2020 22H,663
10/25/2020 21H,660
10/25/2020 20H,659
10/25/2020 19H,659
10/25/2020 18H,661
10/25/2020 17H,675
10/25/2020 16H,688
10/25/2020 15H,680
10/25/2020 14H,680
10/25/2020 13H,701
10/25/2020 12H,681
10/25/2020 11H,673
10/25/2020 10H,686
10/25/2020 09H,677
10/25/2020 08H,677
10/25/2020 07H,698
10/25/2020 06H,717
10/25/2020 05H,704
10/25/2020 04H,690
10/25/2020 03H,691
10/25/2020 02H,680
10/25/2020 01H,683
10/25/2020 00H,696
10/24/2020 23H,688
10/24/2020 22H,685
10/24/2020 21H,652
10/24/2020 20H,659
10/24/2020 19H,670
10/24/2020 18H,661
10/24/2020 17H,661
10/24/2020 16H,721
10/24/2020 15H,719
10/24/2020 14H,690
10/24/2020 13H,702
10/24/2020 12H,702
10/24/2020 11H,668
10/24/2020 10H,676
10/24/2020 09H,717
10/24/2020 08H,659
10/24/2020 07H,737
10/24/2020 06H,753
10/24/2020 05H,632
10/24/2020 04H,654
10/24/2020 03H,648
10/24/2020 02H,635
10/24/2020 01H,636
10/24/2020 00H,658
10/23/2020 23H,621
10/23/2020 22H,619
10/23/2020 21H,602
10/23/2020 20H,617
10/23/2020 19H,657
10/23/2020 18H,651
10/23/2020 17H,910
10/23/2020 16H,707
10/23/2020 15H,612
10/23/2020 14H,625
10/23/2020 13H,640
10/23/2020 12H,679
10/23/2020 11H,639
10/23/2020 10H,633
10/23/2020 09H,627
10/23/2020 08H,629
10/23/2020 07H,696
10/23/2020 06H,738
10/23/2020 05H,626
10/23/2020 04H,623
10/23/2020 03H,602
10/23/2020 02H,581
10/23/2020 01H,560
10/23/2020 00H,531
10/22/2020 23H,520
10/22/2020 22H,534
10/22/2020 21H,540
10/22/2020 20H,524
10/22/2020 19H,567
10/22/2020 18H,560
10/22/2020 17H,820
10/22/2020 16H,580
10/22/2020 15H,623
10/22/2020 14H,498
10/22/2020 13H,561
10/22/2020 12H,709
10/22/2020 11H,732
10/22/2020 10H,731
10/22/2020 09H,735
10/22/2020 08H,725
10/22/2020 07H,793
10/22/2020 06H,770
10/22/2020 05H,803
10/22/2020 04H,757
10/22/2020 03H,749
10/22/2020 02H,781
10/22/2020 01H,802
10/22/2020 00H,842
10/21/2020 23H,846
10/21/2020 22H,806
10/21/2020 21H,766
10/21/2020 20H,737
10/21/2020 19H,720
10/21/2020 18H,771
10/21/2020 17H,784
10/21/2020 16H,799
10/21/2020 15H,820
10/21/2020 14H,826
10/21/2020 13H,828
10/21/2020 12H,777
10/21/2020 11H,783
10/21/2020 10H,779
10/21/2020 09H,787
10/21/2020 08H,791
10/21/2020 07H,821
10/21/2020 06H,869
10/21/2020 05H,840
10/21/2020 04H,804
10/21/2020 03H,810
10/21/2020 02H,822
10/21/2020 01H,817
10/21/2020 00H,805
10/20/2020 23H,808
10/20/2020 22H,810
10/20/2020 21H,761
10/20/2020 20H,698
10/20/2020 19H,694
10/20/2020 18H,703
10/20/2020 17H,704
10/20/2020 16H,734
10/20/2020 15H,775
10/20/2020 14H,786
10/20/2020 13H,801
10/20/2020 12H,819
10/20/2020 11H,793
10/20/2020 10H,795
10/20/2020 09H,786
10/20/2020 08H,784
10/20/2020 07H,816
10/20/2020 06H,819
10/20/2020 05H,786
10/20/2020 04H,770
10/20/2020 03H,803
10/20/2020 02H,805
10/20/2020 01H,816
10/20/2020 00H,830
10/19/2020 23H,813
10/19/2020 22H,799
10/19/2020 21H,773
10/19/2020 20H,761
10/19/2020 19H,782
10/19/2020 18H,791
10/19/2020 17H,761
10/19/2020 16H,818
10/19/2020 15H,822
10/19/2020 14H,840
10/19/2020 13H,783
10/19/2020 12H,776
10/19/2020 11H,778
10/19/2020 10H,818
10/19/2020 09H,816
10/19/2020 08H,846
10/19/2020 07H,845
10/19/2020 06H,842
10/19/2020 05H,821
10/19/2020 04H,774
10/19/2020 03H,801
10/19/2020 02H,802
10/19/2020 01H,809
10/19/2020 00H,791
10/18/2020 23H,771
10/18/2020 22H,763
10/18/2020 21H,760
10/18/2020 20H,763
10/18/2020 19H,763
10/18/2020 18H,759
10/18/2020 17H,774
10/18/2020 16H,799
10/18/2020 15H,865
10/18/2020 14H,864
10/18/2020 13H,803
10/18/2020 12H,824
10/18/2020 11H,806
10/18/2020 10H,803
10/18/2020 09H,826
10/18/2020 08H,868
10/18/2020 07H,873
10/18/2020 06H,907
10/18/2020 05H,838
10/18/2020 04H,852
10/18/2020 03H,852
10/18/2020 02H,839
10/18/2020 01H,865
10/18/2020 00H,844
10/17/2020 23H,809
10/17/2020 22H,801
10/17/2020 21H,775
10/17/2020 20H,780
10/17/2020 19H,781
10/17/2020 18H,782
10/17/2020 17H,784
10/17/2020 16H,828
10/17/2020 15H,830
10/17/2020 14H,807
10/17/2020 13H,796
10/17/2020 12H,794
10/17/2020 11H,774
10/17/2020 10H,787
10/17/2020 09H,801
10/17/2020 08H,801
10/17/2020 07H,817
10/17/2020 06H,830
10/17/2020 05H,803
10/17/2020 04H,806
10/17/2020 03H,831
10/17/2020 02H,856
10/17/2020 01H,912
10/17/2020 00H,880
10/16/2020 23H,909
10/16/2020 22H,843
10/16/2020 21H,812
10/16/2020 20H,782
10/16/2020 19H,775
10/16/2020 18H,768
10/16/2020 17H,818
10/16/2020 16H,805
10/16/2020 15H,820
10/16/2020 14H,794
10/16/2020 13H,769
10/16/2020 12H,776
10/16/2020 11H,766
10/16/2020 10H,754
10/16/2020 09H,752
10/16/2020 08H,782
10/16/2020 07H,792
10/16/2020 06H,808
10/16/2020 05H,765
10/16/2020 04H,816
10/16/2020 03H,819
10/16/2020 02H,811
10/16/2020 01H,814
10/16/2020 00H,772
10/15/2020 23H,777
10/15/2020 22H,764
10/15/2020 21H,735
10/15/2020 20H,737
10/15/2020 19H,791
10/15/2020 18H,800
10/15/2020 17H,800
10/15/2020 16H,751
10/15/2020 15H,752
10/15/2020 14H,772
10/15/2020 13H,781
10/15/2020 12H,782
10/15/2020 11H,778
10/15/2020 10H,773
10/15/2020 09H,793
10/15/2020 08H,806
10/15/2020 07H,821
10/15/2020 06H,846
10/15/2020 05H,802
10/15/2020 04H,816
10/15/2020 03H,805
10/15/2020 02H,983
10/15/2020 01H,1012
10/15/2020 00H,918
10/14/2020 23H,796
10/14/2020 22H,787
10/14/2020 21H,816
10/14/2020 20H,875
10/14/2020 19H,821
10/14/2020 18H,773
10/14/2020 17H,773
10/14/2020 16H,768
10/14/2020 15H,765
10/14/2020 14H,780
10/14/2020 13H,812
10/14/2020 12H,785
10/14/2020 11H,790
10/14/2020 10H,778
10/14/2020 09H,785
10/14/2020 08H,817
10/14/2020 07H,831
10/14/2020 06H,825
10/14/2020 05H,810
10/14/2020 04H,835
10/14/2020 03H,822
10/14/2020 02H,829
10/14/2020 01H,861
10/14/2020 00H,799
10/13/2020 23H,793
10/13/2020 22H,800
10/13/2020 21H,764
10/13/2020 20H,744
10/13/2020 19H,743
10/13/2020 18H,746
10/13/2020 17H,748
10/13/2020 16H,784
10/13/2020 15H,790
10/13/2020 14H,765
10/13/2020 13H,759
10/13/2020 12H,760
10/13/2020 11H,757
10/13/2020 10H,751
10/13/2020 09H,758
10/13/2020 08H,793
10/13/2020 07H,854
10/13/2020 06H,849
10/13/2020 05H,832
10/13/2020 04H,877
10/13/2020 03H,886
10/13/2020 02H,890
10/13/2020 01H,894
10/13/2020 00H,811
10/12/2020 23H,812
10/12/2020 22H,1055
10/12/2020 21H,847
10/12/2020 20H,823
10/12/2020 19H,852
10/12/2020 18H,782
10/12/2020 17H,803
10/12/2020 16H,817
10/12/2020 15H,825
10/12/2020 14H,832
10/12/2020 13H,815
10/12/2020 12H,830
10/12/2020 11H,828
10/12/2020 10H,843
10/12/2020 09H,872
10/12/2020 08H,832
10/12/2020 07H,837
10/12/2020 06H,873
10/12/2020 05H,853
10/12/2020 04H,844
10/12/2020 03H,868
10/12/2020 02H,885
10/12/2020 01H,866
10/12/2020 00H,821
10/11/2020 23H,793
10/11/2020 22H,736
10/11/2020 21H,755
10/11/2020 20H,732
10/11/2020 19H,752
10/11/2020 18H,752
10/11/2020 17H,744
10/11/2020 16H,754
10/11/2020 15H,813
10/11/2020 14H,799
10/11/2020 13H,790
10/11/2020 12H,794
10/11/2020 11H,788
10/11/2020 10H,846
10/11/2020 09H,851
10/11/2020 08H,806
10/11/2020 07H,800
10/11/2020 06H,848
10/11/2020 05H,789
10/11/2020 04H,805
10/11/2020 03H,802
10/11/2020 02H,824
10/11/2020 01H,820
10/11/2020 00H,762
10/10/2020 23H,731
10/10/2020 22H,665
10/10/2020 21H,700
10/10/2020 20H,680
10/10/2020 19H,688
10/10/2020 18H,696
10/10/2020 17H,705
10/10/2020 16H,744
10/10/2020 15H,747
10/10/2020 14H,794
10/10/2020 13H,752
10/10/2020 12H,745
10/10/2020 11H,770
10/10/2020 10H,787
10/10/2020 09H,787
10/10/2020 08H,786
10/10/2020 07H,832
10/10/2020 06H,801
10/10/2020 05H,778
10/10/2020 04H,784
10/10/2020 03H,792
10/10/2020 02H,804
10/10/2020 01H,802
10/10/2020 00H,792
10/9/2020 23H,761
10/9/2020 22H,769
10/9/2020 21H,720
10/9/2020 20H,786
10/9/2020 19H,790
10/9/2020 18H,790
10/9/2020 17H,789
10/9/2020 16H,812
10/9/2020 15H,835
10/9/2020 14H,862
10/9/2020 13H,836
10/9/2020 12H,825
10/9/2020 11H,815
10/9/2020 10H,818
10/9/2020 09H,818
10/9/2020 08H,820
10/9/2020 07H,818
10/9/2020 06H,813
10/9/2020 05H,820
10/9/2020 04H,841
10/9/2020 03H,849
10/9/2020 02H,837
10/9/2020 01H,848
10/9/2020 00H,837
10/8/2020 23H,786
10/8/2020 22H,776
10/8/2020 21H,773
10/8/2020 20H,795
10/8/2020 19H,753
10/8/2020 18H,760
10/8/2020 17H,777
10/8/2020 16H,799
10/8/2020 15H,827
10/8/2020 14H,824
10/8/2020 13H,807
10/8/2020 12H,798
10/8/2020 11H,793
10/8/2020 10H,785
10/8/2020 09H,763
10/8/2020 08H,783
10/8/2020 07H,783
10/8/2020 06H,819
10/8/2020 05H,797
10/8/2020 04H,787
10/8/2020 03H,803
10/8/2020 02H,827
10/8/2020 01H,828
10/8/2020 00H,786
10/7/2020 23H,777
10/7/2020 22H,766
10/7/2020 21H,773
10/7/2020 20H,746
10/7/2020 19H,712
10/7/2020 18H,696
10/7/2020 17H,716
10/7/2020 16H,780
10/7/2020 15H,802
10/7/2020 14H,841
10/7/2020 13H,802
10/7/2020 12H,758
10/7/2020 11H,758
10/7/2020 10H,776
10/7/2020 09H,806
10/7/2020 08H,837
10/7/2020 07H,805
10/7/2020 06H,888
10/7/2020 05H,878
10/7/2020 04H,841
10/7/2020 03H,860
10/7/2020 02H,869
10/7/2020 01H,872
10/7/2020 00H,864
10/6/2020 23H,878
10/6/2020 22H,867
10/6/2020 21H,827
10/6/2020 20H,848
10/6/2020 19H,773
10/6/2020 18H,778
10/6/2020 17H,819
10/6/2020 16H,821
10/6/2020 15H,995
10/6/2020 14H,830
