Net generation from natural gas for Florida (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390109&sdid=EBA.FLA-ALL.NG.NG.H
19:11:22 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.FLA-ALL.NG.NG.H megawatthours
10/31/2021 21H,18596
10/31/2021 20H,17892
10/31/2021 19H,17032
10/31/2021 18H,16238
10/31/2021 17H,15401
10/31/2021 16H,14155
10/31/2021 15H,13267
10/31/2021 14H,12825
10/31/2021 13H,11960
10/31/2021 12H,11265
10/31/2021 11H,10649
10/31/2021 10H,10253
10/31/2021 09H,10098
10/31/2021 08H,10251
10/31/2021 07H,10705
10/31/2021 06H,11382
10/31/2021 05H,12485
10/31/2021 04H,16810
10/31/2021 03H,12860
10/31/2021 02H,11999
10/31/2021 01H,15210
10/31/2021 00H,14145
10/30/2021 23H,18235
10/30/2021 22H,17972
10/30/2021 21H,17154
10/30/2021 20H,16418
10/30/2021 19H,15856
10/30/2021 18H,15502
10/30/2021 17H,14972
10/30/2021 16H,14676
10/30/2021 15H,14554
10/30/2021 14H,14161
10/30/2021 13H,13617
10/30/2021 12H,13203
10/30/2021 11H,12525
10/30/2021 10H,12170
10/30/2021 09H,12010
10/30/2021 08H,12229
10/30/2021 07H,12728
10/30/2021 06H,13532
10/30/2021 05H,14530
10/30/2021 04H,11692
10/30/2021 03H,17349
10/30/2021 02H,18377
10/30/2021 01H,19695
10/30/2021 00H,20965
10/29/2021 23H,21319
10/29/2021 22H,21548
10/29/2021 21H,21307
10/29/2021 20H,20930
10/29/2021 19H,20309
10/29/2021 18H,19983
10/29/2021 17H,19486
10/29/2021 16H,18365
10/29/2021 15H,17551
10/29/2021 14H,16864
10/29/2021 13H,16425
10/29/2021 12H,15930
10/29/2021 11H,14862
10/29/2021 10H,13807
10/29/2021 09H,13356
10/29/2021 08H,13436
10/29/2021 07H,13819
10/29/2021 06H,14801
10/29/2021 05H,16497
10/29/2021 04H,18137
10/29/2021 03H,20137
10/29/2021 02H,21588
10/29/2021 01H,22546
10/29/2021 00H,23358
10/28/2021 23H,23440
10/28/2021 22H,23519
10/28/2021 21H,23440
10/28/2021 20H,23467
10/28/2021 19H,23198
10/28/2021 18H,23122
10/28/2021 17H,22660
10/28/2021 16H,21756
10/28/2021 15H,20185
10/28/2021 14H,18841
10/28/2021 13H,17062
10/28/2021 12H,16427
10/28/2021 11H,15204
10/28/2021 10H,13399
10/28/2021 09H,12543
10/28/2021 08H,12433
10/28/2021 07H,12772
10/28/2021 06H,13493
10/28/2021 05H,14675
10/28/2021 04H,16481
10/28/2021 03H,18697
10/28/2021 02H,20815
10/28/2021 01H,22642
10/28/2021 00H,24277
10/27/2021 23H,24650
10/27/2021 22H,24605
10/27/2021 21H,24017
10/27/2021 20H,22215
10/27/2021 19H,20685
10/27/2021 18H,19392
10/27/2021 17H,18072
10/27/2021 16H,16618
10/27/2021 15H,15461
10/27/2021 14H,15052
10/27/2021 13H,15438
10/27/2021 12H,15559
10/27/2021 11H,14786
10/27/2021 10H,13282
10/27/2021 09H,12605
10/27/2021 08H,12778
10/27/2021 07H,13421
10/27/2021 06H,14420
10/27/2021 05H,15850
10/27/2021 04H,17439
10/27/2021 03H,19791
10/27/2021 02H,22299
10/27/2021 01H,24446
10/27/2021 00H,25611
10/26/2021 23H,25833
10/26/2021 22H,26134
10/26/2021 21H,25413
10/26/2021 20H,24769
10/26/2021 19H,24122
10/26/2021 18H,22971
10/26/2021 17H,21881
10/26/2021 16H,19904
10/26/2021 15H,18478
10/26/2021 14H,17045
10/26/2021 13H,16749
10/26/2021 12H,17193
10/26/2021 11H,16384
10/26/2021 10H,14835
10/26/2021 09H,14180
10/26/2021 08H,14241
10/26/2021 07H,14756
10/26/2021 06H,15605
10/26/2021 05H,16812
10/26/2021 04H,18331
10/26/2021 03H,20485
10/26/2021 02H,22854
10/26/2021 01H,24671
10/26/2021 00H,25897
10/25/2021 23H,25990
10/25/2021 22H,25978
10/25/2021 21H,25427
10/25/2021 20H,24877
10/25/2021 19H,24305
10/25/2021 18H,23162
10/25/2021 17H,22571
10/25/2021 16H,20978
10/25/2021 15H,19477
10/25/2021 14H,18239
10/25/2021 13H,17863
10/25/2021 12H,17416
10/25/2021 11H,16256
10/25/2021 10H,14591
10/25/2021 09H,13576
10/25/2021 08H,13348
10/25/2021 07H,13671
10/25/2021 06H,14387
10/25/2021 05H,15601
10/25/2021 04H,17372
10/25/2021 03H,19071
10/25/2021 02H,21172
10/25/2021 01H,22689
10/25/2021 00H,23762
10/24/2021 23H,23786
10/24/2021 22H,24072
10/24/2021 21H,24083
10/24/2021 20H,24231
10/24/2021 19H,23962
10/24/2021 18H,22942
10/24/2021 17H,21420
10/24/2021 16H,19440
10/24/2021 15H,17272
10/24/2021 14H,15361
10/24/2021 13H,14098
10/24/2021 12H,13246
10/24/2021 11H,12655
10/24/2021 10H,12274
10/24/2021 09H,12246
10/24/2021 08H,12620
10/24/2021 07H,13278
10/24/2021 06H,14162
10/24/2021 05H,15447
10/24/2021 04H,12965
10/24/2021 03H,16669
10/24/2021 02H,25567
10/24/2021 01H,17832
10/24/2021 00H,21291
10/23/2021 23H,19820
10/23/2021 22H,22025
10/23/2021 21H,24242
10/23/2021 20H,23855
10/23/2021 19H,23021
10/23/2021 18H,21892
10/23/2021 17H,20627
10/23/2021 16H,18763
10/23/2021 15H,16803
10/23/2021 14H,15142
10/23/2021 13H,14178
10/23/2021 12H,13467
10/23/2021 11H,12717
10/23/2021 10H,12308
10/23/2021 09H,12179
10/23/2021 08H,12435
10/23/2021 07H,12911
10/23/2021 06H,13733
10/23/2021 05H,15096
10/23/2021 04H,17176
10/23/2021 03H,19108
10/23/2021 02H,20880
10/23/2021 01H,22549
10/23/2021 00H,24296
10/22/2021 23H,24749
10/22/2021 22H,24702
10/22/2021 21H,24159
10/22/2021 20H,23850
10/22/2021 19H,23066
10/22/2021 18H,21157
10/22/2021 17H,20000
10/22/2021 16H,18665
10/22/2021 15H,16975
10/22/2021 14H,16209
10/22/2021 13H,15697
10/22/2021 12H,15562
10/22/2021 11H,14846
10/22/2021 10H,13518
10/22/2021 09H,12753
10/22/2021 08H,12727
10/22/2021 07H,13145
10/22/2021 06H,13648
10/22/2021 05H,14804
10/22/2021 04H,17112
10/22/2021 03H,19133
10/22/2021 02H,21314
10/22/2021 01H,23434
10/22/2021 00H,25059
10/21/2021 23H,25661
10/21/2021 22H,25659
10/21/2021 21H,24886
10/21/2021 20H,24024
10/21/2021 19H,23186
10/21/2021 18H,21782
10/21/2021 17H,20409
10/21/2021 16H,18564
10/21/2021 15H,16501
10/21/2021 14H,15326
10/21/2021 13H,14847
10/21/2021 12H,14847
10/21/2021 11H,14143
10/21/2021 10H,12566
10/21/2021 09H,12042
10/21/2021 08H,12004
10/21/2021 07H,12434
10/21/2021 06H,13203
10/21/2021 05H,14498
10/21/2021 04H,16431
10/21/2021 03H,18769
10/21/2021 02H,21007
10/21/2021 01H,23001
10/21/2021 00H,24554
10/20/2021 23H,24899
10/20/2021 22H,24780
10/20/2021 21H,23793
10/20/2021 20H,23074
10/20/2021 19H,22205
10/20/2021 18H,20843
10/20/2021 17H,19087
10/20/2021 16H,17404
10/20/2021 15H,15861
10/20/2021 14H,14693
10/20/2021 13H,14565
10/20/2021 12H,14375
10/20/2021 11H,13553
10/20/2021 10H,12375
10/20/2021 09H,12056
10/20/2021 08H,12035
10/20/2021 07H,12650
10/20/2021 06H,13401
10/20/2021 05H,14083
10/20/2021 04H,15562
10/20/2021 03H,17733
10/20/2021 02H,20205
10/20/2021 01H,22271
10/20/2021 00H,23515
10/19/2021 23H,23494
10/19/2021 22H,23216
10/19/2021 21H,22689
10/19/2021 20H,21851
10/19/2021 19H,20583
10/19/2021 18H,19268
10/19/2021 17H,17797
10/19/2021 16H,16063
10/19/2021 15H,14825
10/19/2021 14H,14033
10/19/2021 13H,13808
10/19/2021 12H,13733
10/19/2021 11H,12815
10/19/2021 10H,11586
10/19/2021 09H,11240
10/19/2021 08H,11261
10/19/2021 07H,11584
10/19/2021 06H,12202
10/19/2021 05H,12997
10/19/2021 04H,14727
10/19/2021 03H,16875
10/19/2021 02H,19045
10/19/2021 01H,21282
10/19/2021 00H,22890
10/18/2021 23H,23001
10/18/2021 22H,23298
10/18/2021 21H,22750
10/18/2021 20H,21504
10/18/2021 19H,19949
10/18/2021 18H,18184
10/18/2021 17H,16960
10/18/2021 16H,15409
10/18/2021 15H,14364
10/18/2021 14H,13741
10/18/2021 13H,13685
10/18/2021 12H,13825
10/18/2021 11H,13162
10/18/2021 10H,11850
10/18/2021 09H,11289
10/18/2021 08H,11220
10/18/2021 07H,11603
10/18/2021 06H,12450
10/18/2021 05H,13863
10/18/2021 04H,15671
10/18/2021 03H,17829
10/18/2021 02H,20004
10/18/2021 01H,21755
10/18/2021 00H,23136
10/17/2021 23H,23891
10/17/2021 22H,23912
10/17/2021 21H,23429
10/17/2021 20H,22911
10/17/2021 19H,22039
10/17/2021 18H,20464
10/17/2021 17H,18924
10/17/2021 16H,17077
10/17/2021 15H,15647
10/17/2021 14H,14275
10/17/2021 13H,12976
10/17/2021 12H,12224
10/17/2021 11H,12304
10/17/2021 10H,12500
10/17/2021 09H,12703
10/17/2021 08H,13141
10/17/2021 07H,13766
10/17/2021 06H,14764
10/17/2021 05H,16204
10/17/2021 04H,18359
10/17/2021 03H,19947
10/17/2021 02H,21864
10/17/2021 01H,23554
10/17/2021 00H,25341
10/16/2021 23H,26573
10/16/2021 22H,27357
10/16/2021 21H,26971
10/16/2021 20H,26133
10/16/2021 19H,25189
10/16/2021 18H,23890
10/16/2021 17H,22388
10/16/2021 16H,20364
10/16/2021 15H,18041
10/16/2021 14H,16247
10/16/2021 13H,14590
10/16/2021 12H,13442
10/16/2021 11H,13202
10/16/2021 10H,13006
10/16/2021 09H,13078
10/16/2021 08H,13361
10/16/2021 07H,13962
10/16/2021 06H,14956
10/16/2021 05H,16583
10/16/2021 04H,18402
10/16/2021 03H,20144
10/16/2021 02H,22510
10/16/2021 01H,24316
10/16/2021 00H,25593
10/15/2021 23H,26607
10/15/2021 22H,27167
10/15/2021 21H,26739
10/15/2021 20H,26260
10/15/2021 19H,25410
10/15/2021 18H,24391
10/15/2021 17H,22959
10/15/2021 16H,21575
10/15/2021 15H,19589
10/15/2021 14H,17664
10/15/2021 13H,16576
10/15/2021 12H,15874
10/15/2021 11H,15105
10/15/2021 10H,13901
10/15/2021 09H,13430
10/15/2021 08H,13534
10/15/2021 07H,14246
10/15/2021 06H,15662
10/15/2021 05H,17687
10/15/2021 04H,19903
10/15/2021 03H,21863
10/15/2021 02H,23705
10/15/2021 01H,25746
10/15/2021 00H,27188
10/14/2021 23H,27808
10/14/2021 22H,27936
10/14/2021 21H,27563
10/14/2021 20H,26603
10/14/2021 19H,25404
10/14/2021 18H,24055
10/14/2021 17H,23021
10/14/2021 16H,21602
10/14/2021 15H,19550
10/14/2021 14H,17599
10/14/2021 13H,16726
10/14/2021 12H,16043
10/14/2021 11H,15902
10/14/2021 10H,14285
10/14/2021 09H,13653
10/14/2021 08H,13721
10/14/2021 07H,14215
10/14/2021 06H,15352
10/14/2021 05H,16973
10/14/2021 04H,19321
10/14/2021 03H,21276
10/14/2021 02H,23371
10/14/2021 01H,24973
10/14/2021 00H,25990
10/13/2021 23H,26441
10/13/2021 22H,27068
10/13/2021 21H,26556
10/13/2021 20H,26064
10/13/2021 19H,25058
10/13/2021 18H,24113
10/13/2021 17H,22971
10/13/2021 16H,21416
10/13/2021 15H,19084
10/13/2021 14H,16933
10/13/2021 13H,16245
10/13/2021 12H,15853
10/13/2021 11H,15474
10/13/2021 10H,13920
10/13/2021 09H,13291
10/13/2021 08H,13368
10/13/2021 07H,13861
10/13/2021 06H,14927
10/13/2021 05H,16716
10/13/2021 04H,19103
10/13/2021 03H,21582
10/13/2021 02H,24139
10/13/2021 01H,26080
10/13/2021 00H,27074
10/12/2021 23H,27312
10/12/2021 22H,27429
10/12/2021 21H,26615
10/12/2021 20H,26148
10/12/2021 19H,25428
10/12/2021 18H,24341
10/12/2021 17H,22865
10/12/2021 16H,20756
10/12/2021 15H,18954
10/12/2021 14H,17145
10/12/2021 13H,16260
10/12/2021 12H,15771
10/12/2021 11H,14854
10/12/2021 10H,13392
10/12/2021 09H,12604
10/12/2021 08H,12664
10/12/2021 07H,13166
10/12/2021 06H,14265
10/12/2021 05H,15974
10/12/2021 04H,18044
10/12/2021 03H,20431
10/12/2021 02H,23027
10/12/2021 01H,25189
10/12/2021 00H,26849
10/11/2021 23H,27369
10/11/2021 22H,27441
10/11/2021 21H,26582
10/11/2021 20H,25988
10/11/2021 19H,24867
10/11/2021 18H,23383
10/11/2021 17H,22032
10/11/2021 16H,19924
10/11/2021 15H,17552
10/11/2021 14H,15546
10/11/2021 13H,14926
10/11/2021 12H,14572
10/11/2021 11H,13858
10/11/2021 10H,12572
10/11/2021 09H,11959
10/11/2021 08H,11879
10/11/2021 07H,12442
10/11/2021 06H,13287
10/11/2021 05H,14783
10/11/2021 04H,17030
10/11/2021 03H,19525
10/11/2021 02H,21822
10/11/2021 01H,23978
10/11/2021 00H,25297
10/10/2021 23H,25878
10/10/2021 22H,25895
10/10/2021 21H,25541
10/10/2021 20H,24988
10/10/2021 19H,24174
10/10/2021 18H,22792
10/10/2021 17H,20918
10/10/2021 16H,18610
10/10/2021 15H,16423
10/10/2021 14H,14519
10/10/2021 13H,12966
10/10/2021 12H,12287
10/10/2021 11H,11750
10/10/2021 10H,11547
10/10/2021 09H,11563
10/10/2021 08H,11798
10/10/2021 07H,12266
10/10/2021 06H,13255
10/10/2021 05H,14626
10/10/2021 04H,16461
10/10/2021 03H,18267
10/10/2021 02H,20115
10/10/2021 01H,22087
10/10/2021 00H,23442
10/9/2021 23H,24044
10/9/2021 22H,24385
10/9/2021 21H,24517
10/9/2021 20H,24840
10/9/2021 19H,25078
10/9/2021 18H,24476
10/9/2021 17H,23002
10/9/2021 16H,20909
10/9/2021 15H,18472
10/9/2021 14H,16431
10/9/2021 13H,15030
10/9/2021 12H,13936
10/9/2021 11H,13499
10/9/2021 10H,13252
10/9/2021 09H,13255
10/9/2021 08H,13339
10/9/2021 07H,14056
10/9/2021 06H,15226
10/9/2021 05H,16714
10/9/2021 04H,18595
10/9/2021 03H,20404
10/9/2021 02H,22252
10/9/2021 01H,23708
10/9/2021 00H,24951
10/8/2021 23H,25434
10/8/2021 22H,26128
10/8/2021 21H,26679
10/8/2021 20H,26854
10/8/2021 19H,27459
10/8/2021 18H,27661
10/8/2021 17H,26531
10/8/2021 16H,24128
10/8/2021 15H,21850
10/8/2021 14H,19431
10/8/2021 13H,17986
10/8/2021 12H,17064
10/8/2021 11H,16405
10/8/2021 10H,15094
10/8/2021 09H,14433
10/8/2021 08H,14594
10/8/2021 07H,15345
10/8/2021 06H,16490
10/8/2021 05H,18186
10/8/2021 04H,20491
10/8/2021 03H,23027
10/8/2021 02H,25270
10/8/2021 01H,26958
10/8/2021 00H,28186
10/7/2021 23H,28685
10/7/2021 22H,29400
10/7/2021 21H,29600
10/7/2021 20H,29397
10/7/2021 19H,28623
10/7/2021 18H,27225
10/7/2021 17H,25955
10/7/2021 16H,23921
10/7/2021 15H,21685
10/7/2021 14H,19065
10/7/2021 13H,17488
10/7/2021 12H,17028
10/7/2021 11H,16387
10/7/2021 10H,14579
10/7/2021 09H,14173
10/7/2021 08H,14343
10/7/2021 07H,14687
