Net generation from hydro for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.WAT.H
19:18:46 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.WAT.H megawatthours
11/9/2021 13H,11058
11/9/2021 12H,11054
11/9/2021 11H,10504
11/9/2021 10H,10346
11/9/2021 09H,10206
11/9/2021 08H,11290
11/9/2021 07H,11654
11/9/2021 06H,13458
11/9/2021 05H,14524
11/9/2021 04H,15102
11/9/2021 03H,15154
11/9/2021 02H,15477
11/9/2021 01H,14635
11/9/2021 00H,13540
11/8/2021 23H,12670
11/8/2021 22H,12801
11/8/2021 21H,12757
11/8/2021 20H,13260
11/8/2021 19H,13806
11/8/2021 18H,14290
11/8/2021 17H,14988
11/8/2021 16H,15579
11/8/2021 15H,15310
11/8/2021 14H,13167
11/8/2021 13H,11663
11/8/2021 12H,10893
11/8/2021 11H,10556
11/8/2021 10H,10544
11/8/2021 09H,10573
11/8/2021 08H,9702
11/8/2021 07H,10417
11/8/2021 06H,11882
11/8/2021 05H,12700
11/8/2021 04H,13862
11/8/2021 03H,14329
11/8/2021 02H,14099
11/8/2021 01H,12488
11/8/2021 00H,10956
11/7/2021 23H,9826
11/7/2021 22H,9681
11/7/2021 21H,9829
11/7/2021 20H,9707
11/7/2021 19H,10698
11/7/2021 18H,11230
11/7/2021 17H,11259
11/7/2021 16H,11009
11/7/2021 15H,10762
11/7/2021 14H,9829
11/7/2021 13H,9112
11/7/2021 12H,8739
11/7/2021 11H,8585
11/7/2021 10H,9113
11/7/2021 09H,9409
11/7/2021 08H,9842
11/7/2021 07H,10085
11/7/2021 06H,10738
11/7/2021 05H,12691
11/7/2021 04H,13524
11/7/2021 03H,14410
11/7/2021 02H,14378
11/7/2021 01H,13603
11/7/2021 00H,10904
11/6/2021 23H,9721
11/6/2021 22H,9607
11/6/2021 21H,10057
11/6/2021 20H,11414
11/6/2021 19H,12143
11/6/2021 18H,12913
11/6/2021 17H,13409
11/6/2021 16H,13354
11/6/2021 15H,13260
11/6/2021 14H,12253
11/6/2021 13H,10854
11/6/2021 12H,10609
11/6/2021 11H,10455
11/6/2021 10H,10467
11/6/2021 09H,10491
11/6/2021 08H,10624
11/6/2021 07H,11158
11/6/2021 06H,12222
11/6/2021 05H,14200
11/6/2021 04H,14656
11/6/2021 03H,15158
11/6/2021 02H,15145
11/6/2021 01H,13865
11/6/2021 00H,11747
11/5/2021 23H,10875
11/5/2021 22H,10130
11/5/2021 21H,10019
11/5/2021 20H,10818
11/5/2021 19H,11452
11/5/2021 18H,12708
11/5/2021 17H,12888
11/5/2021 16H,13986
11/5/2021 15H,15171
11/5/2021 14H,14180
11/5/2021 13H,10849
11/5/2021 12H,9477
11/5/2021 11H,9475
11/5/2021 10H,9489
11/5/2021 09H,9173
11/5/2021 08H,8953
11/5/2021 07H,9978
11/5/2021 06H,10323
11/5/2021 05H,11156
11/5/2021 04H,12063
11/5/2021 03H,12554
11/5/2021 02H,12537
11/5/2021 01H,11926
11/5/2021 00H,11294
11/4/2021 23H,11305
11/4/2021 22H,11287
11/4/2021 21H,11608
11/4/2021 20H,11975
11/4/2021 19H,12597
11/4/2021 18H,13067
11/4/2021 17H,13219
11/4/2021 16H,13420
11/4/2021 15H,13670
11/4/2021 14H,12744
11/4/2021 13H,11341
11/4/2021 12H,10064
11/4/2021 11H,10281
11/4/2021 10H,10170
11/4/2021 09H,10440
11/4/2021 08H,10758
11/4/2021 07H,10375
11/4/2021 06H,11419
11/4/2021 05H,13528
11/4/2021 04H,14538
11/4/2021 03H,15070
11/4/2021 02H,15468
11/4/2021 01H,15059
11/4/2021 00H,13532
11/3/2021 23H,11521
11/3/2021 22H,11426
11/3/2021 21H,11299
11/3/2021 20H,11541
11/3/2021 19H,11847
11/3/2021 18H,12257
11/3/2021 17H,13214
11/3/2021 16H,14369
11/3/2021 15H,14772
11/3/2021 14H,14115
11/3/2021 13H,11313
11/3/2021 12H,9962
11/3/2021 11H,10172
11/3/2021 10H,10118
11/3/2021 09H,10285
11/3/2021 08H,10178
11/3/2021 07H,10527
11/3/2021 06H,11138
11/3/2021 05H,13105
11/3/2021 04H,14575
11/3/2021 03H,15809
11/3/2021 02H,16012
11/3/2021 01H,15352
11/3/2021 00H,13289
11/2/2021 23H,12074
11/2/2021 22H,11908
11/2/2021 21H,12149
11/2/2021 20H,12004
11/2/2021 19H,12376
11/2/2021 18H,12779
11/2/2021 17H,13476
11/2/2021 16H,14671
11/2/2021 15H,15154
11/2/2021 14H,13878
11/2/2021 13H,11329
11/2/2021 12H,9759
11/2/2021 11H,9780
11/2/2021 10H,9738
11/2/2021 09H,9610
11/2/2021 08H,9498
11/2/2021 07H,10023
11/2/2021 06H,10992
11/2/2021 05H,13179
11/2/2021 04H,14079
11/2/2021 03H,14868
11/2/2021 02H,15129
11/2/2021 01H,14726
11/2/2021 00H,13032
11/1/2021 23H,12225
11/1/2021 22H,12211
11/1/2021 21H,12247
11/1/2021 20H,12187
11/1/2021 19H,12503
11/1/2021 18H,12813
11/1/2021 17H,13298
11/1/2021 16H,14221
11/1/2021 15H,14911
11/1/2021 14H,13596
11/1/2021 13H,10911
11/1/2021 12H,9320
11/1/2021 11H,8929
11/1/2021 10H,8619
11/1/2021 09H,8731
11/1/2021 08H,9098
11/1/2021 07H,10341
11/1/2021 06H,11377
11/1/2021 05H,12674
11/1/2021 04H,13483
11/1/2021 03H,13566
11/1/2021 02H,13919
11/1/2021 01H,13353
11/1/2021 00H,12304
10/31/2021 23H,11553
10/31/2021 22H,11670
10/31/2021 21H,11665
10/31/2021 20H,11686
10/31/2021 19H,12142
10/31/2021 18H,12454
10/31/2021 17H,12742
10/31/2021 16H,12551
10/31/2021 15H,12009
10/31/2021 14H,11051
10/31/2021 13H,9729
10/31/2021 12H,9124
10/31/2021 11H,8983
10/31/2021 10H,8994
10/31/2021 09H,9061
10/31/2021 08H,9495
10/31/2021 07H,10085
10/31/2021 06H,10636
10/31/2021 05H,11665
10/31/2021 04H,12726
10/31/2021 03H,12629
10/31/2021 02H,12668
10/31/2021 01H,11707
10/31/2021 00H,10051
10/30/2021 23H,8858
10/30/2021 22H,8432
10/30/2021 21H,8639
10/30/2021 20H,8800
10/30/2021 19H,8995
10/30/2021 18H,10152
10/30/2021 17H,11033
10/30/2021 16H,11027
10/30/2021 15H,10689
10/30/2021 14H,9729
10/30/2021 13H,9102
10/30/2021 12H,8801
10/30/2021 11H,8564
10/30/2021 10H,8608
10/30/2021 09H,8588
10/30/2021 08H,9095
10/30/2021 07H,9319
10/30/2021 06H,10079
10/30/2021 05H,11228
10/30/2021 04H,12111
10/30/2021 03H,12731
10/30/2021 02H,12487
10/30/2021 01H,11090
10/30/2021 00H,9715
10/29/2021 23H,8936
10/29/2021 22H,8935
10/29/2021 21H,8553
10/29/2021 20H,8623
10/29/2021 19H,9119
10/29/2021 18H,9518
10/29/2021 17H,9820
10/29/2021 16H,9918
10/29/2021 15H,9945
10/29/2021 14H,9931
10/29/2021 13H,8672
10/29/2021 12H,7607
10/29/2021 11H,7377
10/29/2021 10H,7130
10/29/2021 09H,7378
10/29/2021 08H,7974
10/29/2021 07H,8054
10/29/2021 06H,8481
10/29/2021 05H,9038
10/29/2021 04H,9984
10/29/2021 03H,10468
10/29/2021 02H,11241
10/29/2021 01H,11197
