Net generation from nuclear for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.NUC.H
19:02:21 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.NUC.H megawatthours
11/9/2021 11H,86141
11/9/2021 10H,85958
11/9/2021 09H,85892
11/9/2021 08H,85775
11/9/2021 07H,85725
11/9/2021 06H,85717
11/9/2021 05H,85883
11/9/2021 04H,85763
11/9/2021 03H,85634
11/9/2021 02H,85528
11/9/2021 01H,85374
11/9/2021 00H,85150
11/8/2021 23H,85124
11/8/2021 22H,85249
11/8/2021 21H,85198
11/8/2021 20H,85101
11/8/2021 19H,85098
11/8/2021 18H,84970
11/8/2021 17H,84925
11/8/2021 16H,84952
11/8/2021 15H,84950
11/8/2021 14H,85037
11/8/2021 13H,84999
11/8/2021 12H,84987
11/8/2021 11H,84890
11/8/2021 10H,84795
11/8/2021 09H,84737
11/8/2021 08H,84547
11/8/2021 07H,84473
11/8/2021 06H,78888
11/8/2021 05H,84578
11/8/2021 04H,83196
11/8/2021 03H,84558
11/8/2021 02H,84596
11/8/2021 01H,84758
11/8/2021 00H,84692
11/7/2021 23H,84630
11/7/2021 22H,84476
11/7/2021 21H,84259
11/7/2021 20H,84087
11/7/2021 19H,84025
11/7/2021 18H,83983
11/7/2021 17H,83809
11/7/2021 16H,83467
11/7/2021 15H,83462
11/7/2021 14H,83386
11/7/2021 13H,83353
11/7/2021 12H,83322
11/7/2021 11H,83144
11/7/2021 10H,82965
11/7/2021 09H,82695
11/7/2021 08H,82567
11/7/2021 07H,82530
11/7/2021 06H,82405
11/7/2021 05H,82161
11/7/2021 04H,81952
11/7/2021 03H,82037
11/7/2021 02H,82074
11/7/2021 01H,82144
11/7/2021 00H,82222
11/6/2021 23H,82202
11/6/2021 22H,82149
11/6/2021 21H,82134
11/6/2021 20H,82034
11/6/2021 19H,81984
11/6/2021 18H,81901
11/6/2021 17H,81716
11/6/2021 16H,81786
11/6/2021 15H,81774
11/6/2021 14H,81689
11/6/2021 13H,81620
11/6/2021 12H,81598
11/6/2021 11H,81549
11/6/2021 10H,81530
11/6/2021 09H,81481
11/6/2021 08H,81452
11/6/2021 07H,81468
11/6/2021 06H,81512
11/6/2021 05H,81285
11/6/2021 04H,80531
11/6/2021 03H,81069
11/6/2021 02H,81078
11/6/2021 01H,81202
11/6/2021 00H,81121
11/5/2021 23H,81045
11/5/2021 22H,81057
11/5/2021 21H,81175
11/5/2021 20H,81259
11/5/2021 19H,81153
11/5/2021 18H,80918
11/5/2021 17H,80804
11/5/2021 16H,80657
11/5/2021 15H,80579
11/5/2021 14H,80367
11/5/2021 13H,80317
11/5/2021 12H,80297
11/5/2021 11H,80220
11/5/2021 10H,80141
11/5/2021 09H,80006
11/5/2021 08H,79851
11/5/2021 07H,79639
11/5/2021 06H,79731
11/5/2021 05H,79874
11/5/2021 04H,80081
11/5/2021 03H,80194
11/5/2021 02H,80105
11/5/2021 01H,79986
11/5/2021 00H,79825
11/4/2021 23H,79619
11/4/2021 22H,79533
11/4/2021 21H,79389
11/4/2021 20H,79241
11/4/2021 19H,79126
11/4/2021 18H,79084
11/4/2021 17H,79155
11/4/2021 16H,79186
11/4/2021 15H,79329
11/4/2021 14H,79428
11/4/2021 13H,79315
11/4/2021 12H,79230
11/4/2021 11H,79063
11/4/2021 10H,78934
11/4/2021 09H,78675
11/4/2021 08H,78589
11/4/2021 07H,78723
11/4/2021 06H,78725
11/4/2021 05H,78752
11/4/2021 04H,78170
11/4/2021 03H,78577
11/4/2021 02H,78541
11/4/2021 01H,78540
11/4/2021 00H,78521
11/3/2021 23H,78535
11/3/2021 22H,78424
11/3/2021 21H,78369
11/3/2021 20H,78315
11/3/2021 19H,78204
11/3/2021 18H,78063
11/3/2021 17H,78022
11/3/2021 16H,77979
11/3/2021 15H,77928
11/3/2021 14H,77891
11/3/2021 13H,77845
11/3/2021 12H,77663
11/3/2021 11H,77642
11/3/2021 10H,77534
11/3/2021 09H,77318
11/3/2021 08H,77056
11/3/2021 07H,76838
11/3/2021 06H,76832
11/3/2021 05H,76774
11/3/2021 04H,76149
11/3/2021 03H,76399
11/3/2021 02H,76354
11/3/2021 01H,76273
11/3/2021 00H,76202
11/2/2021 23H,76148
11/2/2021 22H,76186
11/2/2021 21H,76067
11/2/2021 20H,76002
11/2/2021 19H,76015
11/2/2021 18H,75976
11/2/2021 17H,75939
11/2/2021 16H,75904
11/2/2021 15H,75955
11/2/2021 14H,75946
11/2/2021 13H,75974
11/2/2021 12H,75967
11/2/2021 11H,75959
11/2/2021 10H,75809
11/2/2021 09H,75652
11/2/2021 08H,75640
11/2/2021 07H,75563
11/2/2021 06H,75658
11/2/2021 05H,75661
11/2/2021 04H,75550
11/2/2021 03H,75590
11/2/2021 02H,75530
11/2/2021 01H,75394
11/2/2021 00H,75392
11/1/2021 23H,75210
11/1/2021 22H,75155
11/1/2021 21H,73916
11/1/2021 20H,75196
11/1/2021 19H,75176
11/1/2021 18H,75195
11/1/2021 17H,75236
11/1/2021 16H,75302
11/1/2021 15H,75304
11/1/2021 14H,75335
11/1/2021 13H,75343
11/1/2021 12H,75315
11/1/2021 11H,75264
11/1/2021 10H,75208
11/1/2021 09H,75101
11/1/2021 08H,75107
11/1/2021 07H,75073
11/1/2021 06H,75052
11/1/2021 05H,73076
11/1/2021 04H,72518
11/1/2021 03H,73072
11/1/2021 02H,73094
11/1/2021 01H,73056
11/1/2021 00H,73031
10/31/2021 23H,73010
10/31/2021 22H,72860
10/31/2021 21H,72869
10/31/2021 20H,72945
10/31/2021 19H,72931
10/31/2021 18H,72951
10/31/2021 17H,72955
10/31/2021 16H,72962
10/31/2021 15H,72941
10/31/2021 14H,72943
10/31/2021 13H,72847
10/31/2021 12H,72846
10/31/2021 11H,72862
10/31/2021 10H,72746
10/31/2021 09H,72637
10/31/2021 08H,72656
10/31/2021 07H,72558
10/31/2021 06H,72469
10/31/2021 05H,72441
10/31/2021 04H,72779
10/31/2021 03H,72162
10/31/2021 02H,72160
10/31/2021 01H,72719
10/31/2021 00H,72727
10/30/2021 23H,72755
10/30/2021 22H,72730
10/30/2021 21H,72733
10/30/2021 20H,72709
10/30/2021 19H,72639
10/30/2021 18H,72609
10/30/2021 17H,72679
10/30/2021 16H,72602
10/30/2021 15H,72578
10/30/2021 14H,72642
10/30/2021 13H,72653
10/30/2021 12H,72755
10/30/2021 11H,72678
10/30/2021 10H,72594
10/30/2021 09H,72561
10/30/2021 08H,72551
10/30/2021 07H,72461
10/30/2021 06H,72387
10/30/2021 05H,74238
10/30/2021 04H,74081
10/30/2021 03H,74097
10/30/2021 02H,74198
10/30/2021 01H,74507
10/30/2021 00H,74638
10/29/2021 23H,74665
10/29/2021 22H,74756
10/29/2021 21H,74907
10/29/2021 20H,75052
10/29/2021 19H,75178
10/29/2021 18H,75250
10/29/2021 17H,75244
10/29/2021 16H,75138
10/29/2021 15H,75091
10/29/2021 14H,74975
10/29/2021 13H,74906
10/29/2021 12H,74880
10/29/2021 11H,74742
10/29/2021 10H,74594
10/29/2021 09H,74581
10/29/2021 08H,74778
10/29/2021 07H,74673
10/29/2021 06H,74634
10/29/2021 05H,74514
10/29/2021 04H,74432
10/29/2021 03H,74333
10/29/2021 02H,74209
10/29/2021 01H,74314
10/29/2021 00H,74288
10/28/2021 23H,74283
10/28/2021 22H,74274
10/28/2021 21H,74312
10/28/2021 20H,74286
10/28/2021 19H,74289
10/28/2021 18H,74349
10/28/2021 17H,74388
10/28/2021 16H,74531
10/28/2021 15H,74814
10/28/2021 14H,75123
10/28/2021 13H,75270
10/28/2021 12H,75272
10/28/2021 11H,75273
10/28/2021 10H,75270
10/28/2021 09H,75186
10/28/2021 08H,75157
10/28/2021 07H,75136
10/28/2021 06H,75155
10/28/2021 05H,75202
10/28/2021 04H,75127
10/28/2021 03H,75144
10/28/2021 02H,75122
10/28/2021 01H,75103
10/28/2021 00H,75101
10/27/2021 23H,75080
10/27/2021 22H,75064
10/27/2021 21H,74997
10/27/2021 20H,74990
10/27/2021 19H,74919
10/27/2021 18H,74762
10/27/2021 17H,74633
10/27/2021 16H,74384
10/27/2021 15H,74344
10/27/2021 14H,74346
10/27/2021 13H,74324
10/27/2021 12H,74311
10/27/2021 11H,74374
10/27/2021 10H,74343
10/27/2021 09H,74286
10/27/2021 08H,74178
10/27/2021 07H,74194
10/27/2021 06H,74247
10/27/2021 05H,74119
10/27/2021 04H,74225
10/27/2021 03H,74259
10/27/2021 02H,73059
10/27/2021 01H,74288
10/27/2021 00H,74241
10/26/2021 23H,74233
10/26/2021 22H,74215
10/26/2021 21H,74262
10/26/2021 20H,74213
10/26/2021 19H,74208
10/26/2021 18H,74160
10/26/2021 17H,74253
10/26/2021 16H,74308
10/26/2021 15H,74327
10/26/2021 14H,74333
10/26/2021 13H,74335
10/26/2021 12H,74317
10/26/2021 11H,74235
10/26/2021 10H,74134
10/26/2021 09H,74146
10/26/2021 08H,74103
10/26/2021 07H,74110
10/26/2021 06H,74198
10/26/2021 05H,74247
10/26/2021 04H,74331
10/26/2021 03H,74424
10/26/2021 02H,74348
10/26/2021 01H,74386
10/26/2021 00H,74412
10/25/2021 23H,74380
10/25/2021 22H,74388
10/25/2021 21H,74929
10/25/2021 20H,75001
10/25/2021 19H,75017
10/25/2021 18H,75044
10/25/2021 17H,75068
10/25/2021 16H,75095
10/25/2021 15H,75125
10/25/2021 14H,75162
10/25/2021 13H,75125
10/25/2021 12H,75142
10/25/2021 11H,75171
10/25/2021 10H,75092
10/25/2021 09H,75087
10/25/2021 08H,75030
10/25/2021 07H,74998
10/25/2021 06H,75080
10/25/2021 05H,73035
10/25/2021 04H,74027
10/25/2021 03H,73177
10/25/2021 02H,73159
10/25/2021 01H,73228
10/25/2021 00H,73223
10/24/2021 23H,73251
10/24/2021 22H,73320
10/24/2021 21H,73305
10/24/2021 20H,73350
10/24/2021 19H,73367
10/24/2021 18H,73426
10/24/2021 17H,73791
10/24/2021 16H,73789
10/24/2021 15H,71211
10/24/2021 14H,71257
10/24/2021 13H,71289
10/24/2021 12H,71293
10/24/2021 11H,71291
10/24/2021 10H,71296
10/24/2021 09H,71259
10/24/2021 08H,71279
10/24/2021 07H,71271
10/24/2021 06H,71236
10/24/2021 05H,71275
10/24/2021 04H,70950
10/24/2021 03H,71382
10/24/2021 02H,71498
10/24/2021 01H,71653
10/24/2021 00H,71783
10/23/2021 23H,72860
10/23/2021 22H,71786
10/23/2021 21H,71772
10/23/2021 20H,71796
10/23/2021 19H,71759
10/23/2021 18H,71780
10/23/2021 17H,74632
10/23/2021 16H,74529
10/23/2021 15H,74462
10/23/2021 14H,74205
10/23/2021 13H,73951
10/23/2021 12H,73875
10/23/2021 11H,73758
10/23/2021 10H,71049
10/23/2021 09H,71069
10/23/2021 08H,69874
10/23/2021 07H,71017
10/23/2021 06H,70978
10/23/2021 05H,72988
10/23/2021 04H,73369
10/23/2021 03H,72863
10/23/2021 02H,72833
10/23/2021 01H,72793
10/23/2021 00H,72760
10/22/2021 23H,72723
10/22/2021 22H,72671
10/22/2021 21H,72601
10/22/2021 20H,72233
10/22/2021 19H,72232
10/22/2021 18H,72261
10/22/2021 17H,72305
10/22/2021 16H,72951
10/22/2021 15H,73346
10/22/2021 14H,73360
10/22/2021 13H,73314
10/22/2021 12H,73294
10/22/2021 11H,73262
10/22/2021 10H,73212
10/22/2021 09H,73189
10/22/2021 08H,73051
10/22/2021 07H,72974
10/22/2021 06H,73150
10/22/2021 05H,73349
10/22/2021 04H,73582
10/22/2021 03H,73260
10/22/2021 02H,72045
10/22/2021 01H,73232
10/22/2021 00H,73193
10/21/2021 23H,73168
10/21/2021 22H,73128
10/21/2021 21H,73122
10/21/2021 20H,73069
10/21/2021 19H,73041
10/21/2021 18H,73033
10/21/2021 17H,73043
10/21/2021 16H,73420
10/21/2021 15H,73640
10/21/2021 14H,73767
10/21/2021 13H,73821
10/21/2021 12H,73823
10/21/2021 11H,73813
10/21/2021 10H,73801
10/21/2021 09H,73783
10/21/2021 08H,73745
10/21/2021 07H,73736
10/21/2021 06H,73711
10/21/2021 05H,73659
10/21/2021 04H,73450
10/21/2021 03H,73548
10/21/2021 02H,73549
10/21/2021 01H,73497
10/21/2021 00H,73486
10/20/2021 23H,72275
10/20/2021 22H,73490
10/20/2021 21H,73464
10/20/2021 20H,73470
10/20/2021 19H,73496
10/20/2021 18H,73518
10/20/2021 17H,73563
10/20/2021 16H,73627
10/20/2021 15H,73598
10/20/2021 14H,73575
10/20/2021 13H,73469
10/20/2021 12H,73362
10/20/2021 11H,73352
10/20/2021 10H,73302
10/20/2021 09H,73299
10/20/2021 08H,73289
10/20/2021 07H,73209
10/20/2021 06H,73186
10/20/2021 05H,73138
10/20/2021 04H,73199
10/20/2021 03H,73058
10/20/2021 02H,72992
10/20/2021 01H,72945
10/20/2021 00H,72923
10/19/2021 23H,72905
10/19/2021 22H,72893
10/19/2021 21H,72869
10/19/2021 20H,72859
10/19/2021 19H,72850
10/19/2021 18H,72847
10/19/2021 17H,72830
10/19/2021 16H,73015
10/19/2021 15H,73256
10/19/2021 14H,73278
