Net generation from wind for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WND.H
19:02:48 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WND.H megawatthours
10/25/2021 17H,34977
10/25/2021 16H,34061
10/25/2021 15H,35710
10/25/2021 14H,41145
10/25/2021 13H,42097
10/25/2021 12H,43260
10/25/2021 11H,44285
10/25/2021 10H,45036
10/25/2021 09H,45927
10/25/2021 08H,46814
10/25/2021 07H,47670
10/25/2021 06H,49878
10/25/2021 05H,41859
10/25/2021 04H,36697
10/25/2021 03H,41086
10/25/2021 02H,37826
10/25/2021 01H,34585
10/25/2021 00H,34152
10/24/2021 23H,35831
10/24/2021 22H,37887
10/24/2021 21H,37903
10/24/2021 20H,37422
10/24/2021 19H,37753
10/24/2021 18H,38721
10/24/2021 17H,38776
10/24/2021 16H,39449
10/24/2021 15H,40142
10/24/2021 14H,41498
10/24/2021 13H,43292
10/24/2021 12H,43852
10/24/2021 11H,44579
10/24/2021 10H,45061
10/24/2021 09H,44400
10/24/2021 08H,43690
10/24/2021 07H,43747
10/24/2021 06H,44289
10/24/2021 05H,44143
10/24/2021 04H,42764
10/24/2021 03H,42774
10/24/2021 02H,42316
10/24/2021 01H,39812
10/24/2021 00H,38387
10/23/2021 23H,38782
10/23/2021 22H,37276
10/23/2021 21H,34616
10/23/2021 20H,33636
10/23/2021 19H,32503
10/23/2021 18H,30704
10/23/2021 17H,29691
10/23/2021 16H,27785
10/23/2021 15H,28250
10/23/2021 14H,31223
10/23/2021 13H,32867
10/23/2021 12H,32065
10/23/2021 11H,32476
10/23/2021 10H,32453
10/23/2021 09H,33132
10/23/2021 08H,34020
10/23/2021 07H,36075
10/23/2021 06H,36256
10/23/2021 05H,51894
10/23/2021 04H,53485
10/23/2021 03H,50031
10/23/2021 02H,44429
10/23/2021 01H,36427
10/23/2021 00H,30956
10/22/2021 23H,30084
10/22/2021 22H,28096
10/22/2021 21H,26186
10/22/2021 20H,23959
10/22/2021 19H,22162
10/22/2021 18H,21278
10/22/2021 17H,19903
10/22/2021 16H,18195
10/22/2021 15H,20379
10/22/2021 14H,25031
10/22/2021 13H,25444
10/22/2021 12H,25250
10/22/2021 11H,25532
10/22/2021 10H,28375
10/22/2021 09H,30352
10/22/2021 08H,32373
10/22/2021 07H,33107
10/22/2021 06H,33184
10/22/2021 05H,32148
10/22/2021 04H,35190
10/22/2021 03H,29665
10/22/2021 02H,28577
10/22/2021 01H,24849
10/22/2021 00H,21642
10/21/2021 23H,21646
10/21/2021 22H,22650
10/21/2021 21H,24260
10/21/2021 20H,26105
10/21/2021 19H,27631
10/21/2021 18H,29514
10/21/2021 17H,31197
10/21/2021 16H,32594
10/21/2021 15H,35398
10/21/2021 14H,37912
10/21/2021 13H,38295
10/21/2021 12H,39310
10/21/2021 11H,40923
10/21/2021 10H,41124
10/21/2021 09H,41352
10/21/2021 08H,42188
10/21/2021 07H,43025
10/21/2021 06H,43429
10/21/2021 05H,44392
10/21/2021 04H,43993
10/21/2021 03H,44053
10/21/2021 02H,41598
10/21/2021 01H,37200
10/21/2021 00H,35431
10/20/2021 23H,36128
10/20/2021 22H,37763
10/20/2021 21H,38416
10/20/2021 20H,37286
10/20/2021 19H,37308
10/20/2021 18H,37533
10/20/2021 17H,38681
10/20/2021 16H,40863
10/20/2021 15H,43574
10/20/2021 14H,48059
10/20/2021 13H,52022
10/20/2021 12H,53358
10/20/2021 11H,54413
10/20/2021 10H,55893
10/20/2021 09H,58788
10/20/2021 08H,61424
10/20/2021 07H,62754
10/20/2021 06H,65461
10/20/2021 05H,67524
10/20/2021 04H,68207
10/20/2021 03H,71301
10/20/2021 02H,70342
10/20/2021 01H,66604
10/20/2021 00H,63393
10/19/2021 23H,63075
10/19/2021 22H,63236
10/19/2021 21H,61410
10/19/2021 20H,59488
10/19/2021 19H,57384
10/19/2021 18H,55623
10/19/2021 17H,55569
10/19/2021 16H,55623
10/19/2021 15H,55507
10/19/2021 14H,60078
10/19/2021 13H,62928
10/19/2021 12H,62328
10/19/2021 11H,61712
10/19/2021 10H,62834
10/19/2021 09H,64340
10/19/2021 08H,65351
10/19/2021 07H,66604
10/19/2021 06H,67493
10/19/2021 05H,69610
10/19/2021 04H,69344
10/19/2021 03H,71906
10/19/2021 02H,71034
10/19/2021 01H,65846
10/19/2021 00H,59898
10/18/2021 23H,58772
10/18/2021 22H,59016
10/18/2021 21H,58190
10/18/2021 20H,57344
10/18/2021 19H,53654
10/18/2021 18H,50371
10/18/2021 17H,46610
10/18/2021 16H,44573
10/18/2021 15H,47617
10/18/2021 14H,54210
10/18/2021 13H,55114
10/18/2021 12H,55443
10/18/2021 11H,55515
10/18/2021 10H,57219
10/18/2021 09H,58699
10/18/2021 08H,59196
10/18/2021 07H,60165
10/18/2021 06H,61631
10/18/2021 05H,46559
10/18/2021 04H,47770
10/18/2021 03H,42099
10/18/2021 02H,36841
10/18/2021 01H,30301
10/18/2021 00H,25839
10/17/2021 23H,25208
10/17/2021 22H,25237
10/17/2021 21H,25139
10/17/2021 20H,25706
10/17/2021 19H,24491
10/17/2021 18H,21483
10/17/2021 17H,19407
10/17/2021 16H,17828
10/17/2021 15H,18535
10/17/2021 14H,21220
10/17/2021 13H,23333
10/17/2021 12H,24398
10/17/2021 11H,25484
10/17/2021 10H,27261
10/17/2021 09H,28867
10/17/2021 08H,30519
10/17/2021 07H,31270
10/17/2021 06H,31820
10/17/2021 05H,32178
10/17/2021 04H,31844
10/17/2021 03H,31983
10/17/2021 02H,29192
10/17/2021 01H,24640
10/17/2021 00H,21619
10/16/2021 23H,25221
10/16/2021 22H,30068
10/16/2021 21H,32782
10/16/2021 20H,33795
10/16/2021 19H,34230
10/16/2021 18H,33643
10/16/2021 17H,30608
10/16/2021 16H,26908
10/16/2021 15H,27492
10/16/2021 14H,30794
10/16/2021 13H,32618
10/16/2021 12H,34088
10/16/2021 11H,35285
10/16/2021 10H,35947
10/16/2021 09H,36354
10/16/2021 08H,37109
10/16/2021 07H,36580
10/16/2021 06H,34460
10/16/2021 05H,43994
10/16/2021 04H,40517
10/16/2021 03H,44628
10/16/2021 02H,43446
10/16/2021 01H,41653
10/16/2021 00H,46226
10/15/2021 23H,51351
10/15/2021 22H,52729
10/15/2021 21H,53694
10/15/2021 20H,53335
10/15/2021 19H,52909
10/15/2021 18H,51294
10/15/2021 17H,48203
10/15/2021 16H,45098
10/15/2021 15H,44109
10/15/2021 14H,49337
10/15/2021 13H,49528
10/15/2021 12H,46059
10/15/2021 11H,42227
10/15/2021 10H,40741
10/15/2021 09H,39826
10/15/2021 08H,39982
10/15/2021 07H,39516
10/15/2021 06H,38195
10/15/2021 05H,36719
10/15/2021 04H,39838
10/15/2021 03H,34920
10/15/2021 02H,33204
10/15/2021 01H,30317
10/15/2021 00H,29359
10/14/2021 23H,30306
10/14/2021 22H,31612
10/14/2021 21H,32255
10/14/2021 20H,32315
10/14/2021 19H,31548
10/14/2021 18H,28922
10/14/2021 17H,26033
10/14/2021 16H,26464
10/14/2021 15H,29402
10/14/2021 14H,32610
10/14/2021 13H,35008
10/14/2021 12H,36473
10/14/2021 11H,38269
10/14/2021 10H,41125
10/14/2021 09H,44023
10/14/2021 08H,45929
10/14/2021 07H,47164
10/14/2021 06H,47719
10/14/2021 05H,48994
10/14/2021 04H,47180
10/14/2021 03H,52709
10/14/2021 02H,52939
10/14/2021 01H,50738
10/14/2021 00H,50959
10/13/2021 23H,49156
10/13/2021 22H,48639
10/13/2021 21H,46612
10/13/2021 20H,46417
10/13/2021 19H,46351
10/13/2021 18H,45814
10/13/2021 17H,46224
10/13/2021 16H,46761
10/13/2021 15H,47752
10/13/2021 14H,49773
10/13/2021 13H,52479
10/13/2021 12H,53947
10/13/2021 11H,56333
10/13/2021 10H,57498
10/13/2021 09H,57878
10/13/2021 08H,57797
10/13/2021 07H,58044
10/13/2021 06H,58687
10/13/2021 05H,60469
10/13/2021 04H,65836
10/13/2021 03H,61883
10/13/2021 02H,60837
10/13/2021 01H,59685
10/13/2021 00H,56496
10/12/2021 23H,53191
10/12/2021 22H,53015
10/12/2021 21H,53304
10/12/2021 20H,52340
10/12/2021 19H,51368
10/12/2021 18H,52123
10/12/2021 17H,51308
10/12/2021 16H,50314
10/12/2021 15H,51277
10/12/2021 14H,55018
10/12/2021 13H,56441
10/12/2021 12H,57500
10/12/2021 11H,57643
10/12/2021 10H,58636
10/12/2021 09H,60582
10/12/2021 08H,61415
10/12/2021 07H,62285
10/12/2021 06H,61985
10/12/2021 05H,62643
10/12/2021 04H,63949
10/12/2021 03H,61438
10/12/2021 02H,56829
10/12/2021 01H,49543
10/12/2021 00H,42256
10/11/2021 23H,41097
10/11/2021 22H,38297
10/11/2021 21H,35900
10/11/2021 20H,34646
10/11/2021 19H,32150
10/11/2021 18H,28947
10/11/2021 17H,27960
10/11/2021 16H,28829
10/11/2021 15H,32105
10/11/2021 14H,37277
10/11/2021 13H,39128
10/11/2021 12H,40923
10/11/2021 11H,43905
10/11/2021 10H,47223
10/11/2021 09H,50338
10/11/2021 08H,54360
10/11/2021 07H,58133
10/11/2021 06H,60565
10/11/2021 05H,61993
10/11/2021 04H,61798
10/11/2021 03H,63768
10/11/2021 02H,63621
10/11/2021 01H,64358
10/11/2021 00H,63823
10/10/2021 23H,61874
10/10/2021 22H,60718
10/10/2021 21H,61388
10/10/2021 20H,60619
10/10/2021 19H,59043
10/10/2021 18H,58677
10/10/2021 17H,59446
10/10/2021 16H,61313
10/10/2021 15H,62337
10/10/2021 14H,63595
10/10/2021 13H,64209
10/10/2021 12H,64266
10/10/2021 11H,64500
10/10/2021 10H,64445
10/10/2021 09H,64240
10/10/2021 08H,64844
10/10/2021 07H,65209
10/10/2021 06H,67072
10/10/2021 05H,69089
10/10/2021 04H,66403
10/10/2021 03H,70742
10/10/2021 02H,71398
10/10/2021 01H,70429
10/10/2021 00H,68908
10/9/2021 23H,66361
10/9/2021 22H,63890
10/9/2021 21H,64113
10/9/2021 20H,62071
10/9/2021 19H,59597
10/9/2021 18H,56270
10/9/2021 17H,53772
10/9/2021 16H,51018
10/9/2021 15H,51201
10/9/2021 14H,55240
10/9/2021 13H,56750
10/9/2021 12H,55846
10/9/2021 11H,54985
10/9/2021 10H,55031
10/9/2021 09H,55285
10/9/2021 08H,56886
10/9/2021 07H,57933
10/9/2021 06H,58139
10/9/2021 05H,58254
10/9/2021 04H,56991
10/9/2021 03H,54367
10/9/2021 02H,49710
10/9/2021 01H,41947
10/9/2021 00H,36688
10/8/2021 23H,36375
10/8/2021 22H,33762
10/8/2021 21H,31662
10/8/2021 20H,29071
10/8/2021 19H,25496
10/8/2021 18H,24590
10/8/2021 17H,23990
10/8/2021 16H,24805
10/8/2021 15H,27317
10/8/2021 14H,33677
10/8/2021 13H,36440
10/8/2021 12H,38014
10/8/2021 11H,39402
10/8/2021 10H,41439
10/8/2021 09H,42457
10/8/2021 08H,43031
10/8/2021 07H,43258
10/8/2021 06H,43277
10/8/2021 05H,43729
10/8/2021 04H,44868
10/8/2021 03H,42765
10/8/2021 02H,39696
10/8/2021 01H,33660
10/8/2021 00H,29828
10/7/2021 23H,28764
10/7/2021 22H,27436
10/7/2021 21H,26816
10/7/2021 20H,25654
10/7/2021 19H,24862
