Net generation from other for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.OTH.H
19:14:30 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.OTH.H megawatthours
11/3/2021 02H,1138
11/3/2021 01H,1133
11/3/2021 00H,1131
11/2/2021 23H,1120
11/2/2021 22H,1036
11/2/2021 21H,995
11/2/2021 20H,995
11/2/2021 19H,1004
11/2/2021 18H,1026
11/2/2021 17H,1052
11/2/2021 16H,1131
11/2/2021 15H,1107
11/2/2021 14H,1144
11/2/2021 13H,1145
11/2/2021 12H,1103
11/2/2021 11H,1035
11/2/2021 10H,1010
11/2/2021 09H,986
11/2/2021 08H,987
11/2/2021 07H,984
11/2/2021 06H,992
11/2/2021 05H,996
11/2/2021 04H,987
11/2/2021 03H,997
11/2/2021 02H,1020
11/2/2021 01H,1093
11/2/2021 00H,1060
11/1/2021 23H,1015
11/1/2021 22H,1014
11/1/2021 21H,992
11/1/2021 20H,993
11/1/2021 19H,985
11/1/2021 18H,1009
11/1/2021 17H,1018
11/1/2021 16H,1040
11/1/2021 15H,1043
11/1/2021 14H,1045
11/1/2021 13H,1037
11/1/2021 12H,1039
11/1/2021 11H,1011
11/1/2021 10H,978
11/1/2021 09H,916
11/1/2021 08H,822
11/1/2021 07H,856
11/1/2021 06H,952
11/1/2021 05H,969
11/1/2021 04H,971
11/1/2021 03H,968
11/1/2021 02H,971
11/1/2021 01H,968
11/1/2021 00H,949
10/31/2021 23H,947
10/31/2021 22H,938
10/31/2021 21H,920
10/31/2021 20H,916
10/31/2021 19H,916
10/31/2021 18H,924
10/31/2021 17H,942
10/31/2021 16H,948
10/31/2021 15H,953
10/31/2021 14H,953
10/31/2021 13H,947
10/31/2021 12H,934
10/31/2021 11H,936
10/31/2021 10H,941
10/31/2021 09H,949
10/31/2021 08H,954
10/31/2021 07H,951
10/31/2021 06H,953
10/31/2021 05H,951
10/31/2021 04H,952
10/31/2021 03H,957
10/31/2021 02H,964
10/31/2021 01H,970
10/31/2021 00H,974
10/30/2021 23H,978
10/30/2021 22H,981
10/30/2021 21H,995
10/30/2021 20H,1018
10/30/2021 19H,1021
10/30/2021 18H,1025
10/30/2021 17H,1045
10/30/2021 16H,1033
10/30/2021 15H,1017
10/30/2021 14H,1011
10/30/2021 13H,1002
10/30/2021 12H,1000
10/30/2021 11H,1005
10/30/2021 10H,1002
10/30/2021 09H,1001
10/30/2021 08H,1003
10/30/2021 07H,1000
10/30/2021 06H,1013
10/30/2021 05H,1022
10/30/2021 04H,1018
10/30/2021 03H,1021
10/30/2021 02H,1020
10/30/2021 01H,1023
10/30/2021 00H,1028
10/29/2021 23H,1020
10/29/2021 22H,1012
10/29/2021 21H,1003
10/29/2021 20H,1001
10/29/2021 19H,998
10/29/2021 18H,998
10/29/2021 17H,1013
10/29/2021 16H,996
10/29/2021 15H,995
10/29/2021 14H,998
10/29/2021 13H,992
10/29/2021 12H,990
10/29/2021 11H,980
10/29/2021 10H,974
10/29/2021 09H,970
10/29/2021 08H,973
10/29/2021 07H,975
10/29/2021 06H,978
10/29/2021 05H,973
10/29/2021 04H,978
10/29/2021 03H,975
10/29/2021 02H,976
10/29/2021 01H,977
10/29/2021 00H,978
10/28/2021 23H,978
10/28/2021 22H,978
10/28/2021 21H,975
10/28/2021 20H,977
10/28/2021 19H,979
10/28/2021 18H,979
10/28/2021 17H,975
10/28/2021 16H,977
10/28/2021 15H,990
10/28/2021 14H,995
10/28/2021 13H,993
10/28/2021 12H,988
10/28/2021 11H,990
10/28/2021 10H,985
10/28/2021 09H,984
10/28/2021 08H,989
10/28/2021 07H,992
10/28/2021 06H,989
10/28/2021 05H,994
10/28/2021 04H,997
10/28/2021 03H,1003
10/28/2021 02H,1002
10/28/2021 01H,1004
10/28/2021 00H,999
10/27/2021 23H,994
10/27/2021 22H,995
10/27/2021 21H,1003
10/27/2021 20H,1002
10/27/2021 19H,986
10/27/2021 18H,993
10/27/2021 17H,996
10/27/2021 16H,985
10/27/2021 15H,988
10/27/2021 14H,987
10/27/2021 13H,994
10/27/2021 12H,992
10/27/2021 11H,992
10/27/2021 10H,983
10/27/2021 09H,987
10/27/2021 08H,980
10/27/2021 07H,973
10/27/2021 06H,981
10/27/2021 05H,993
10/27/2021 04H,994
10/27/2021 03H,1001
10/27/2021 02H,1003
10/27/2021 01H,1004
10/27/2021 00H,1007
10/26/2021 23H,1007
10/26/2021 22H,1005
10/26/2021 21H,1005
10/26/2021 20H,1002
10/26/2021 19H,1002
10/26/2021 18H,1000
10/26/2021 17H,998
10/26/2021 16H,997
10/26/2021 15H,1004
10/26/2021 14H,1011
10/26/2021 13H,1006
10/26/2021 12H,1002
10/26/2021 11H,995
10/26/2021 10H,929
10/26/2021 09H,892
10/26/2021 08H,939
10/26/2021 07H,959
10/26/2021 06H,965
10/26/2021 05H,966
10/26/2021 04H,966
10/26/2021 03H,970
10/26/2021 02H,975
10/26/2021 01H,974
10/26/2021 00H,972
10/25/2021 23H,969
10/25/2021 22H,961
10/25/2021 21H,961
10/25/2021 20H,965
10/25/2021 19H,965
10/25/2021 18H,963
10/25/2021 17H,957
10/25/2021 16H,925
10/25/2021 15H,920
10/25/2021 14H,825
10/25/2021 13H,782
10/25/2021 12H,759
10/25/2021 11H,723
10/25/2021 10H,680
10/25/2021 09H,653
10/25/2021 08H,669
10/25/2021 07H,679
10/25/2021 06H,690
10/25/2021 05H,696
10/25/2021 04H,716
10/25/2021 03H,746
10/25/2021 02H,767
10/25/2021 01H,772
10/25/2021 00H,771
10/24/2021 23H,773
10/24/2021 22H,766
10/24/2021 21H,761
10/24/2021 20H,770
10/24/2021 19H,776
10/24/2021 18H,816
10/24/2021 17H,868
10/24/2021 16H,845
10/24/2021 15H,816
10/24/2021 14H,817
10/24/2021 13H,803
10/24/2021 12H,782
10/24/2021 11H,781
10/24/2021 10H,783
10/24/2021 09H,791
10/24/2021 08H,803
10/24/2021 07H,826
10/24/2021 06H,846
10/24/2021 05H,869
10/24/2021 04H,868
10/24/2021 03H,875
10/24/2021 02H,874
10/24/2021 01H,892
10/24/2021 00H,904
10/23/2021 23H,921
10/23/2021 22H,987
10/23/2021 21H,1020
10/23/2021 20H,1022
10/23/2021 19H,1019
10/23/2021 18H,989
10/23/2021 17H,882
10/23/2021 16H,794
10/23/2021 15H,776
10/23/2021 14H,778
10/23/2021 13H,781
10/23/2021 12H,778
10/23/2021 11H,773
10/23/2021 10H,774
10/23/2021 09H,778
10/23/2021 08H,792
10/23/2021 07H,793
10/23/2021 06H,815
10/23/2021 05H,827
10/23/2021 04H,827
10/23/2021 03H,828
10/23/2021 02H,849
10/23/2021 01H,882
10/23/2021 00H,882
10/22/2021 23H,899
10/22/2021 22H,1041
10/22/2021 21H,1084
10/22/2021 20H,1093
10/22/2021 19H,1092
10/22/2021 18H,1082
10/22/2021 17H,1078
10/22/2021 16H,1083
10/22/2021 15H,1082
10/22/2021 14H,1082
10/22/2021 13H,1076
10/22/2021 12H,1074
10/22/2021 11H,1042
10/22/2021 10H,1034
10/22/2021 09H,1033
10/22/2021 08H,1036
10/22/2021 07H,1032
10/22/2021 06H,1024
10/22/2021 05H,1022
10/22/2021 04H,1019
10/22/2021 03H,1014
10/22/2021 02H,1014
10/22/2021 01H,1009
10/22/2021 00H,1005
10/21/2021 23H,1004
10/21/2021 22H,1006
10/21/2021 21H,1007
10/21/2021 20H,1012
10/21/2021 19H,1027
10/21/2021 18H,1017
10/21/2021 17H,1012
10/21/2021 16H,1013
10/21/2021 15H,1022
10/21/2021 14H,1013
10/21/2021 13H,1019
10/21/2021 12H,992
10/21/2021 11H,928
10/21/2021 10H,871
10/21/2021 09H,899
10/21/2021 08H,891
10/21/2021 07H,948
10/21/2021 06H,993
10/21/2021 05H,1000
10/21/2021 04H,1001
10/21/2021 03H,1002
10/21/2021 02H,1004
10/21/2021 01H,1003
10/21/2021 00H,1003
10/20/2021 23H,1005
10/20/2021 22H,1001
10/20/2021 21H,999
10/20/2021 20H,999
10/20/2021 19H,1000
10/20/2021 18H,1003
10/20/2021 17H,1002
10/20/2021 16H,1001
10/20/2021 15H,1006
10/20/2021 14H,1007
10/20/2021 13H,1000
10/20/2021 12H,975
10/20/2021 11H,911
10/20/2021 10H,869
10/20/2021 09H,862
10/20/2021 08H,867
10/20/2021 07H,910
10/20/2021 06H,938
10/20/2021 05H,970
10/20/2021 04H,974
10/20/2021 03H,979
10/20/2021 02H,984
10/20/2021 01H,988
10/20/2021 00H,983
10/19/2021 23H,981
10/19/2021 22H,982
10/19/2021 21H,983
10/19/2021 20H,979
10/19/2021 19H,983
10/19/2021 18H,976
10/19/2021 17H,976
10/19/2021 16H,979
10/19/2021 15H,975
10/19/2021 14H,973
10/19/2021 13H,971
10/19/2021 12H,975
10/19/2021 11H,975
10/19/2021 10H,972
10/19/2021 09H,960
10/19/2021 08H,946
10/19/2021 07H,946
10/19/2021 06H,975
10/19/2021 05H,995
10/19/2021 04H,995
10/19/2021 03H,1002
10/19/2021 02H,1009
10/19/2021 01H,1016
10/19/2021 00H,1016
10/18/2021 23H,1019
10/18/2021 22H,1015
10/18/2021 21H,1016
10/18/2021 20H,1014
10/18/2021 19H,1009
10/18/2021 18H,1020
10/18/2021 17H,1026
10/18/2021 16H,1028
10/18/2021 15H,1024
10/18/2021 14H,1025
10/18/2021 13H,1018
10/18/2021 12H,1019
10/18/2021 11H,1001
10/18/2021 10H,948
10/18/2021 09H,876
10/18/2021 08H,861
10/18/2021 07H,837
10/18/2021 06H,799
10/18/2021 05H,841
10/18/2021 04H,915
10/18/2021 03H,985
10/18/2021 02H,1024
10/18/2021 01H,1030
10/18/2021 00H,1031
10/17/2021 23H,1030
10/17/2021 22H,1021
10/17/2021 21H,1022
10/17/2021 20H,1014
10/17/2021 19H,1015
10/17/2021 18H,1020
10/17/2021 17H,1023
10/17/2021 16H,1024
10/17/2021 15H,1022
10/17/2021 14H,1018
10/17/2021 13H,1017
10/17/2021 12H,1015
10/17/2021 11H,1014
10/17/2021 10H,992
10/17/2021 09H,970
10/17/2021 08H,936
10/17/2021 07H,932
10/17/2021 06H,875
10/17/2021 05H,922
10/17/2021 04H,948
10/17/2021 03H,961
10/17/2021 02H,991
10/17/2021 01H,1000
10/17/2021 00H,999
10/16/2021 23H,994
10/16/2021 22H,994
10/16/2021 21H,979
10/16/2021 20H,978
10/16/2021 19H,970
10/16/2021 18H,978
10/16/2021 17H,997
10/16/2021 16H,998
10/16/2021 15H,999
10/16/2021 14H,989
10/16/2021 13H,988
10/16/2021 12H,980
10/16/2021 11H,962
10/16/2021 10H,946
10/16/2021 09H,940
10/16/2021 08H,947
10/16/2021 07H,937
10/16/2021 06H,953
10/16/2021 05H,986
10/16/2021 04H,994
10/16/2021 03H,1016
10/16/2021 02H,1032
10/16/2021 01H,1029
10/16/2021 00H,1031
10/15/2021 23H,1029
10/15/2021 22H,1029
10/15/2021 21H,1027
10/15/2021 20H,1028
10/15/2021 19H,1038
10/15/2021 18H,1069
10/15/2021 17H,1046
10/15/2021 16H,1055
10/15/2021 15H,1066
10/15/2021 14H,1055
10/15/2021 13H,1072
10/15/2021 12H,1083
10/15/2021 11H,1079
10/15/2021 10H,1043
10/15/2021 09H,1006
10/15/2021 08H,989
10/15/2021 07H,1003
10/15/2021 06H,1015
10/15/2021 05H,1033
10/15/2021 04H,1040
10/15/2021 03H,1062
10/15/2021 02H,1073
10/15/2021 01H,1075
10/15/2021 00H,1083
10/14/2021 23H,1068
10/14/2021 22H,1063
10/14/2021 21H,1047
10/14/2021 20H,1037
10/14/2021 19H,1029
10/14/2021 18H,1029
10/14/2021 17H,1024
10/14/2021 16H,1033
10/14/2021 15H,1029
10/14/2021 14H,1001
10/14/2021 13H,983
10/14/2021 12H,971
10/14/2021 11H,972
10/14/2021 10H,980
10/14/2021 09H,976
10/14/2021 08H,964
10/14/2021 07H,974
10/14/2021 06H,988
10/14/2021 05H,994
10/14/2021 04H,984
10/14/2021 03H,991
10/14/2021 02H,999
10/14/2021 01H,1014
10/14/2021 00H,1014
10/13/2021 23H,1014
10/13/2021 22H,1016
10/13/2021 21H,1033
10/13/2021 20H,1021
10/13/2021 19H,1021
10/13/2021 18H,1023
10/13/2021 17H,1025
10/13/2021 16H,1026
10/13/2021 15H,1037
10/13/2021 14H,1036
10/13/2021 13H,1029
10/13/2021 12H,1019
10/13/2021 11H,1005
10/13/2021 10H,1003
10/13/2021 09H,995
10/13/2021 08H,986
10/13/2021 07H,991
10/13/2021 06H,993
10/13/2021 05H,994
10/13/2021 04H,994
10/13/2021 03H,1007
10/13/2021 02H,1012
10/13/2021 01H,1034
10/13/2021 00H,1042
10/12/2021 23H,1040
10/12/2021 22H,1041
10/12/2021 21H,1038
10/12/2021 20H,1038
10/12/2021 19H,1038
10/12/2021 18H,1030
10/12/2021 17H,1042
10/12/2021 16H,1047
10/12/2021 15H,1046
10/12/2021 14H,1042
10/12/2021 13H,1038
10/12/2021 12H,1044
10/12/2021 11H,1028
10/12/2021 10H,998
10/12/2021 09H,899
10/12/2021 08H,825
10/12/2021 07H,880
10/12/2021 06H,998
10/12/2021 05H,1022
10/12/2021 04H,1038
10/12/2021 03H,1026
10/12/2021 02H,1039
10/12/2021 01H,1041
10/12/2021 00H,1041
10/11/2021 23H,1042
10/11/2021 22H,1040
10/11/2021 21H,1040
10/11/2021 20H,1038
10/11/2021 19H,1043
10/11/2021 18H,1044
10/11/2021 17H,1042
10/11/2021 16H,1043
10/11/2021 15H,1046
10/11/2021 14H,1047
10/11/2021 13H,1037
10/11/2021 12H,1044
10/11/2021 11H,1040
10/11/2021 10H,1014
10/11/2021 09H,999
10/11/2021 08H,1006
10/11/2021 07H,1012
10/11/2021 06H,1020
10/11/2021 05H,1028
10/11/2021 04H,1041
10/11/2021 03H,1043
10/11/2021 02H,1048
10/11/2021 01H,1049
10/11/2021 00H,1048
10/10/2021 23H,1045
10/10/2021 22H,1043
10/10/2021 21H,1053
10/10/2021 20H,1058
10/10/2021 19H,1058
10/10/2021 18H,1056
10/10/2021 17H,1055
10/10/2021 16H,1042
10/10/2021 15H,1013
10/10/2021 14H,994
10/10/2021 13H,974
10/10/2021 12H,1004
10/10/2021 11H,1006
10/10/2021 10H,1012
10/10/2021 09H,1032
10/10/2021 08H,1041
10/10/2021 07H,1046
10/10/2021 06H,1044
10/10/2021 05H,1044
10/10/2021 04H,1039
10/10/2021 03H,1025
10/10/2021 02H,1038
10/10/2021 01H,1029
10/10/2021 00H,1017
10/9/2021 23H,1016
10/9/2021 22H,1017
10/9/2021 21H,1026
10/9/2021 20H,1031
10/9/2021 19H,1053
10/9/2021 18H,1114
10/9/2021 17H,1128
10/9/2021 16H,1127
10/9/2021 15H,1051
10/9/2021 14H,1035
10/9/2021 13H,1034
10/9/2021 12H,1034
10/9/2021 11H,1025
10/9/2021 10H,1007
10/9/2021 09H,996
10/9/2021 08H,1004
10/9/2021 07H,1005
10/9/2021 06H,1013
10/9/2021 05H,1012
10/9/2021 04H,1031
10/9/2021 03H,1066
10/9/2021 02H,1086
10/9/2021 01H,1150
10/9/2021 00H,1152
10/8/2021 23H,1172
10/8/2021 22H,1177
10/8/2021 21H,1177
10/8/2021 20H,1173
10/8/2021 19H,1175
10/8/2021 18H,1175
10/8/2021 17H,1174
10/8/2021 16H,1168
10/8/2021 15H,1123
10/8/2021 14H,1083
10/8/2021 13H,1083
10/8/2021 12H,1085
10/8/2021 11H,1090
10/8/2021 10H,1080
10/8/2021 09H,1066
10/8/2021 08H,1068
10/8/2021 07H,1067
10/8/2021 06H,1069
10/8/2021 05H,1082
10/8/2021 04H,1089
10/8/2021 03H,1104
10/8/2021 02H,1173
10/8/2021 01H,1184
10/8/2021 00H,1181
10/7/2021 23H,1191
10/7/2021 22H,1190
10/7/2021 21H,1185
10/7/2021 20H,1173
10/7/2021 19H,1167
10/7/2021 18H,1172
10/7/2021 17H,1167
10/7/2021 16H,1134
10/7/2021 15H,1097
10/7/2021 14H,1092
10/7/2021 13H,1081
10/7/2021 12H,1085
10/7/2021 11H,1097
10/7/2021 10H,1108
10/7/2021 09H,1086
10/7/2021 08H,1078
10/7/2021 07H,1081
10/7/2021 06H,1085
10/7/2021 05H,1101
10/7/2021 04H,1098
10/7/2021 03H,1094
10/7/2021 02H,1102
10/7/2021 01H,1103
10/7/2021 00H,1103
10/6/2021 23H,1094
10/6/2021 22H,1086
10/6/2021 21H,1084
10/6/2021 20H,1083
10/6/2021 19H,1079
10/6/2021 18H,1077
10/6/2021 17H,1083
10/6/2021 16H,1085
10/6/2021 15H,1082
10/6/2021 14H,1091
10/6/2021 13H,1087
10/6/2021 12H,1091
10/6/2021 11H,1089
10/6/2021 10H,1069
10/6/2021 09H,1059
10/6/2021 08H,1054
10/6/2021 07H,1049
10/6/2021 06H,1049
10/6/2021 05H,1064
10/6/2021 04H,1057
10/6/2021 03H,1057
10/6/2021 02H,1078
10/6/2021 01H,1085
10/6/2021 00H,1114
10/5/2021 23H,1108
10/5/2021 22H,1112
10/5/2021 21H,1109
10/5/2021 20H,1110
10/5/2021 19H,1125
10/5/2021 18H,1123
10/5/2021 17H,1116
10/5/2021 16H,1078
10/5/2021 15H,1076
10/5/2021 14H,1069
10/5/2021 13H,1073
10/5/2021 12H,1072
10/5/2021 11H,1067
10/5/2021 10H,1060
10/5/2021 09H,1045
10/5/2021 08H,1047
10/5/2021 07H,1049
10/5/2021 06H,1065
10/5/2021 05H,1076
10/5/2021 04H,1085
10/5/2021 03H,1083
