Net generation from coal for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.COL.H
19:14:04 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.COL.H megawatthours
10/21/2021 07H,20236
10/21/2021 06H,21954
10/21/2021 05H,23743
10/21/2021 04H,24350
10/21/2021 03H,25692
10/21/2021 02H,26828
10/21/2021 01H,28543
10/21/2021 00H,28520
10/20/2021 23H,27719
10/20/2021 22H,27184
10/20/2021 21H,27456
10/20/2021 20H,27831
10/20/2021 19H,28568
10/20/2021 18H,28715
10/20/2021 17H,27947
10/20/2021 16H,27015
10/20/2021 15H,26771
10/20/2021 14H,26183
10/20/2021 13H,25995
10/20/2021 12H,24285
10/20/2021 11H,22463
10/20/2021 10H,21075
10/20/2021 09H,20293
10/20/2021 08H,20226
10/20/2021 07H,20400
10/20/2021 06H,21513
10/20/2021 05H,22657
10/20/2021 04H,24251
10/20/2021 03H,25595
10/20/2021 02H,26849
10/20/2021 01H,28282
10/20/2021 00H,28744
10/19/2021 23H,27836
10/19/2021 22H,26405
10/19/2021 21H,26010
10/19/2021 20H,26319
10/19/2021 19H,26835
10/19/2021 18H,27367
10/19/2021 17H,26670
10/19/2021 16H,26055
10/19/2021 15H,25379
10/19/2021 14H,25729
10/19/2021 13H,25832
10/19/2021 12H,23814
10/19/2021 11H,20963
10/19/2021 10H,19622
10/19/2021 09H,19511
10/19/2021 08H,19797
10/19/2021 07H,20069
10/19/2021 06H,21000
10/19/2021 05H,22520
10/19/2021 04H,23906
10/19/2021 03H,25618
10/19/2021 02H,27011
10/19/2021 01H,28581
10/19/2021 00H,29877
10/18/2021 23H,29177
10/18/2021 22H,27889
10/18/2021 21H,26888
10/18/2021 20H,26900
10/18/2021 19H,27857
10/18/2021 18H,28892
10/18/2021 17H,29982
10/18/2021 16H,29622
10/18/2021 15H,28252
10/18/2021 14H,28109
10/18/2021 13H,27451
10/18/2021 12H,24990
10/18/2021 11H,21903
10/18/2021 10H,20292
10/18/2021 09H,19915
10/18/2021 08H,19503
10/18/2021 07H,19664
10/18/2021 06H,20471
10/18/2021 05H,21371
10/18/2021 04H,22827
10/18/2021 03H,24830
10/18/2021 02H,27404
10/18/2021 01H,29278
10/18/2021 00H,29662
10/17/2021 23H,28925
10/17/2021 22H,27022
10/17/2021 21H,26353
10/17/2021 20H,25485
10/17/2021 19H,25451
10/17/2021 18H,25815
10/17/2021 17H,26018
10/17/2021 16H,25912
10/17/2021 15H,25964
10/17/2021 14H,25989
10/17/2021 13H,25111
10/17/2021 12H,23665
10/17/2021 11H,22588
10/17/2021 10H,21938
10/17/2021 09H,21294
10/17/2021 08H,21080
10/17/2021 07H,21079
10/17/2021 06H,21796
10/17/2021 05H,22439
10/17/2021 04H,22612
10/17/2021 03H,24126
10/17/2021 02H,25977
10/17/2021 01H,27795
10/17/2021 00H,27981
10/16/2021 23H,25937
10/16/2021 22H,24404
10/16/2021 21H,23905
10/16/2021 20H,24002
10/16/2021 19H,24166
10/16/2021 18H,25538
10/16/2021 17H,27351
10/16/2021 16H,28150
10/16/2021 15H,27734
10/16/2021 14H,26157
10/16/2021 13H,24613
10/16/2021 12H,23620
10/16/2021 11H,22928
10/16/2021 10H,22425
10/16/2021 09H,22117
10/16/2021 08H,22591
10/16/2021 07H,23626
10/16/2021 06H,25338
10/16/2021 05H,26962
10/16/2021 04H,29352
10/16/2021 03H,30728
10/16/2021 02H,32019
10/16/2021 01H,32835
10/16/2021 00H,31789
10/15/2021 23H,30763
10/15/2021 22H,31037
10/15/2021 21H,31139
10/15/2021 20H,31548
10/15/2021 19H,31460
10/15/2021 18H,31566
10/15/2021 17H,31965
10/15/2021 16H,32494
10/15/2021 15H,32736
10/15/2021 14H,32087
10/15/2021 13H,31915
10/15/2021 12H,30349
10/15/2021 11H,27745
10/15/2021 10H,26217
10/15/2021 09H,25317
10/15/2021 08H,25349
10/15/2021 07H,26248
10/15/2021 06H,27884
10/15/2021 05H,29535
10/15/2021 04H,30944
10/15/2021 03H,32571
10/15/2021 02H,33720
10/15/2021 01H,33784
10/15/2021 00H,33480
10/14/2021 23H,32743
10/14/2021 22H,32281
10/14/2021 21H,31816
10/14/2021 20H,31532
10/14/2021 19H,31498
10/14/2021 18H,31414
10/14/2021 17H,30913
10/14/2021 16H,30251
10/14/2021 15H,29925
10/14/2021 14H,29473
10/14/2021 13H,28506
10/14/2021 12H,27186
10/14/2021 11H,25393
10/14/2021 10H,23583
10/14/2021 09H,22618
10/14/2021 08H,22699
10/14/2021 07H,23697
10/14/2021 06H,25436
10/14/2021 05H,26748
10/14/2021 04H,27741
10/14/2021 03H,29334
10/14/2021 02H,30425
10/14/2021 01H,30990
10/14/2021 00H,31035
10/13/2021 23H,30796
10/13/2021 22H,30574
10/13/2021 21H,30864
10/13/2021 20H,30704
10/13/2021 19H,30717
10/13/2021 18H,30123
10/13/2021 17H,30521
10/13/2021 16H,30187
10/13/2021 15H,29802
10/13/2021 14H,29432
10/13/2021 13H,29063
10/13/2021 12H,27821
10/13/2021 11H,24937
10/13/2021 10H,23218
10/13/2021 09H,22913
10/13/2021 08H,23115
10/13/2021 07H,23994
10/13/2021 06H,26052
10/13/2021 05H,27894
10/13/2021 04H,29208
10/13/2021 03H,31461
10/13/2021 02H,33003
10/13/2021 01H,33895
10/13/2021 00H,34512
10/12/2021 23H,34910
10/12/2021 22H,34710
10/12/2021 21H,34855
10/12/2021 20H,34592
10/12/2021 19H,34543
10/12/2021 18H,34658
10/12/2021 17H,34283
10/12/2021 16H,33969
10/12/2021 15H,33548
10/12/2021 14H,32876
10/12/2021 13H,31872
10/12/2021 12H,29983
10/12/2021 11H,27215
10/12/2021 10H,25311
10/12/2021 09H,24483
10/12/2021 08H,24189
10/12/2021 07H,24610
10/12/2021 06H,26900
10/12/2021 05H,28916
10/12/2021 04H,30866
10/12/2021 03H,32657
10/12/2021 02H,34396
10/12/2021 01H,35306
10/12/2021 00H,35474
10/11/2021 23H,35258
10/11/2021 22H,35602
10/11/2021 21H,36053
10/11/2021 20H,36327
10/11/2021 19H,36187
10/11/2021 18H,35886
10/11/2021 17H,35454
10/11/2021 16H,34934
10/11/2021 15H,33816
10/11/2021 14H,33879
10/11/2021 13H,33535
10/11/2021 12H,31119
10/11/2021 11H,28163
10/11/2021 10H,26367
10/11/2021 09H,25984
10/11/2021 08H,26050
10/11/2021 07H,26373
10/11/2021 06H,27438
10/11/2021 05H,29362
10/11/2021 04H,31369
10/11/2021 03H,33323
10/11/2021 02H,34431
10/11/2021 01H,35245
10/11/2021 00H,34966
10/10/2021 23H,34128
10/10/2021 22H,33675
10/10/2021 21H,33467
10/10/2021 20H,33623
10/10/2021 19H,33867
10/10/2021 18H,33776
10/10/2021 17H,32955
10/10/2021 16H,31212
10/10/2021 15H,29522
10/10/2021 14H,27129
10/10/2021 13H,25702
10/10/2021 12H,24748
10/10/2021 11H,23956
10/10/2021 10H,23517
10/10/2021 09H,23924
10/10/2021 08H,24463
10/10/2021 07H,25790
10/10/2021 06H,27035
10/10/2021 05H,28528
10/10/2021 04H,30379
10/10/2021 03H,32327
10/10/2021 02H,33367
10/10/2021 01H,33766
10/10/2021 00H,33839
10/9/2021 23H,33803
10/9/2021 22H,33684
10/9/2021 21H,33685
10/9/2021 20H,33663
10/9/2021 19H,33667
10/9/2021 18H,33896
10/9/2021 17H,34030
10/9/2021 16H,34638
10/9/2021 15H,33327
10/9/2021 14H,31593
10/9/2021 13H,30711
10/9/2021 12H,29006
10/9/2021 11H,27436
10/9/2021 10H,26396
10/9/2021 09H,25990
10/9/2021 08H,26808
10/9/2021 07H,28525
10/9/2021 06H,30293
10/9/2021 05H,32686
10/9/2021 04H,34499
10/9/2021 03H,35892
10/9/2021 02H,36847
10/9/2021 01H,37534
10/9/2021 00H,38023
10/8/2021 23H,38036
10/8/2021 22H,37823
10/8/2021 21H,37682
10/8/2021 20H,37542
10/8/2021 19H,37277
10/8/2021 18H,37137
10/8/2021 17H,37036
10/8/2021 16H,37253
10/8/2021 15H,37158
10/8/2021 14H,36306
10/8/2021 13H,35142
10/8/2021 12H,33440
10/8/2021 11H,31213
10/8/2021 10H,29440
10/8/2021 09H,28683
10/8/2021 08H,28898
10/8/2021 07H,30024
10/8/2021 06H,31983
10/8/2021 05H,33643
10/8/2021 04H,35243
10/8/2021 03H,36497
10/8/2021 02H,37609
10/8/2021 01H,37834
10/8/2021 00H,37677
10/7/2021 23H,37668
10/7/2021 22H,37688
10/7/2021 21H,37692
10/7/2021 20H,37558
10/7/2021 19H,37524
10/7/2021 18H,37368
10/7/2021 17H,36808
10/7/2021 16H,36424
10/7/2021 15H,35972
10/7/2021 14H,35216
10/7/2021 13H,34470
10/7/2021 12H,32979
10/7/2021 11H,30905
10/7/2021 10H,29033
10/7/2021 09H,27920
10/7/2021 08H,27708
10/7/2021 07H,28482
10/7/2021 06H,30099
10/7/2021 05H,31725
10/7/2021 04H,33657
10/7/2021 03H,34788
10/7/2021 02H,35983
10/7/2021 01H,36365
10/7/2021 00H,36142
10/6/2021 23H,35886
10/6/2021 22H,35634
10/6/2021 21H,35432
10/6/2021 20H,35342
