Net generation from natural gas for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.NG.H
19:14:17 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.NG.H megawatthours
10/29/2021 05H,14646
10/29/2021 04H,16241
10/29/2021 03H,17445
10/29/2021 02H,19088
10/29/2021 01H,19646
10/29/2021 00H,19296
10/28/2021 23H,18885
10/28/2021 22H,18422
10/28/2021 21H,18096
10/28/2021 20H,18731
10/28/2021 19H,18532
10/28/2021 18H,18729
10/28/2021 17H,19220
10/28/2021 16H,19250
10/28/2021 15H,19261
10/28/2021 14H,19195
10/28/2021 13H,19197
10/28/2021 12H,18398
10/28/2021 11H,17585
10/28/2021 10H,16052
10/28/2021 09H,14746
10/28/2021 08H,14439
10/28/2021 07H,15365
10/28/2021 06H,16557
10/28/2021 05H,17566
10/28/2021 04H,19046
10/28/2021 03H,20805
10/28/2021 02H,21744
10/28/2021 01H,21643
10/28/2021 00H,21914
10/27/2021 23H,21719
10/27/2021 22H,21450
10/27/2021 21H,20827
10/27/2021 20H,20104
10/27/2021 19H,20091
10/27/2021 18H,20197
10/27/2021 17H,19947
10/27/2021 16H,20441
10/27/2021 15H,20474
10/27/2021 14H,20481
10/27/2021 13H,20674
10/27/2021 12H,19238
10/27/2021 11H,18119
10/27/2021 10H,16419
10/27/2021 09H,15750
10/27/2021 08H,15550
10/27/2021 07H,15207
10/27/2021 06H,15370
10/27/2021 05H,16951
10/27/2021 04H,18181
10/27/2021 03H,19689
10/27/2021 02H,21071
10/27/2021 01H,21498
10/27/2021 00H,21240
10/26/2021 23H,20703
10/26/2021 22H,20667
10/26/2021 21H,20137
10/26/2021 20H,20348
10/26/2021 19H,20357
10/26/2021 18H,20438
10/26/2021 17H,20528
10/26/2021 16H,19915
10/26/2021 15H,20752
10/26/2021 14H,21122
10/26/2021 13H,20878
10/26/2021 12H,19845
10/26/2021 11H,18700
10/26/2021 10H,16028
10/26/2021 09H,14745
10/26/2021 08H,15064
10/26/2021 07H,15500
10/26/2021 06H,16470
10/26/2021 05H,16947
10/26/2021 04H,19137
10/26/2021 03H,21272
10/26/2021 02H,24559
10/26/2021 01H,26736
10/26/2021 00H,27323
10/25/2021 23H,27514
10/25/2021 22H,27681
10/25/2021 21H,26963
10/25/2021 20H,27047
10/25/2021 19H,27250
10/25/2021 18H,26427
10/25/2021 17H,26482
10/25/2021 16H,26511
10/25/2021 15H,25785
10/25/2021 14H,23804
10/25/2021 13H,22581
10/25/2021 12H,20065
10/25/2021 11H,17828
10/25/2021 10H,15395
10/25/2021 09H,14373
10/25/2021 08H,15499
10/25/2021 07H,15103
10/25/2021 06H,15289
10/25/2021 05H,15258
10/25/2021 04H,16882
10/25/2021 03H,18998
10/25/2021 02H,21192
10/25/2021 01H,22570
10/25/2021 00H,22599
10/24/2021 23H,22760
10/24/2021 22H,22739
10/24/2021 21H,22353
10/24/2021 20H,21989
10/24/2021 19H,21355
10/24/2021 18H,20636
10/24/2021 17H,19765
10/24/2021 16H,19240
10/24/2021 15H,18398
10/24/2021 14H,17341
10/24/2021 13H,16823
10/24/2021 12H,16478
10/24/2021 11H,15885
10/24/2021 10H,15376
10/24/2021 09H,16098
10/24/2021 08H,16900
10/24/2021 07H,17491
10/24/2021 06H,18643
10/24/2021 05H,19443
10/24/2021 04H,19551
10/24/2021 03H,20814
10/24/2021 02H,21605
10/24/2021 01H,22715
10/24/2021 00H,23438
10/23/2021 23H,23280
10/23/2021 22H,23074
10/23/2021 21H,22692
10/23/2021 20H,22415
10/23/2021 19H,22852
10/23/2021 18H,22616
10/23/2021 17H,22081
10/23/2021 16H,22396
10/23/2021 15H,21984
10/23/2021 14H,21603
10/23/2021 13H,20968
10/23/2021 12H,20303
10/23/2021 11H,19859
10/23/2021 10H,19395
10/23/2021 09H,19267
10/23/2021 08H,19388
10/23/2021 07H,19014
10/23/2021 06H,19652
10/23/2021 05H,20520
10/23/2021 04H,21209
10/23/2021 03H,22118
10/23/2021 02H,23429
10/23/2021 01H,25203
10/23/2021 00H,26530
10/22/2021 23H,26683
10/22/2021 22H,27182
10/22/2021 21H,26762
10/22/2021 20H,26827
10/22/2021 19H,26400
10/22/2021 18H,26740
10/22/2021 17H,27039
10/22/2021 16H,26342
10/22/2021 15H,26035
10/22/2021 14H,25788
10/22/2021 13H,25599
10/22/2021 12H,24473
10/22/2021 11H,22941
10/22/2021 10H,20759
10/22/2021 09H,20809
10/22/2021 08H,20897
10/22/2021 07H,21034
10/22/2021 06H,21106
10/22/2021 05H,22070
10/22/2021 04H,22700
10/22/2021 03H,23369
10/22/2021 02H,24664
10/22/2021 01H,25760
10/22/2021 00H,25992
10/21/2021 23H,25692
10/21/2021 22H,25476
10/21/2021 21H,25161
10/21/2021 20H,24462
10/21/2021 19H,23505
10/21/2021 18H,21755
10/21/2021 17H,20315
10/21/2021 16H,19837
10/21/2021 15H,19226
10/21/2021 14H,18783
10/21/2021 13H,18550
10/21/2021 12H,18299
10/21/2021 11H,16176
10/21/2021 10H,14267
10/21/2021 09H,13829
10/21/2021 08H,13359
10/21/2021 07H,13646
10/21/2021 06H,14971
10/21/2021 05H,16311
10/21/2021 04H,17746
10/21/2021 03H,19327
10/21/2021 02H,20472
10/21/2021 01H,22171
10/21/2021 00H,22733
10/20/2021 23H,22181
10/20/2021 22H,22476
10/20/2021 21H,22898
10/20/2021 20H,23128
10/20/2021 19H,23454
10/20/2021 18H,22843
10/20/2021 17H,22142
10/20/2021 16H,21432
10/20/2021 15H,21032
10/20/2021 14H,20283
10/20/2021 13H,20079
10/20/2021 12H,19331
10/20/2021 11H,16211
10/20/2021 10H,13402
10/20/2021 09H,12424
10/20/2021 08H,11673
10/20/2021 07H,12076
10/20/2021 06H,12322
10/20/2021 05H,12808
10/20/2021 04H,13954
10/20/2021 03H,15651
10/20/2021 02H,17631
10/20/2021 01H,19576
10/20/2021 00H,20484
10/19/2021 23H,20201
10/19/2021 22H,20056
10/19/2021 21H,19668
10/19/2021 20H,19520
10/19/2021 19H,19996
10/19/2021 18H,20155
10/19/2021 17H,20428
10/19/2021 16H,20193
10/19/2021 15H,19312
10/19/2021 14H,18217
10/19/2021 13H,18281
10/19/2021 12H,17626
10/19/2021 11H,15212
10/19/2021 10H,12781
10/19/2021 09H,11848
10/19/2021 08H,11950
10/19/2021 07H,11898
10/19/2021 06H,12283
10/19/2021 05H,12935
10/19/2021 04H,13772
10/19/2021 03H,15310
10/19/2021 02H,17248
10/19/2021 01H,18525
10/19/2021 00H,20079
10/18/2021 23H,20098
10/18/2021 22H,19560
10/18/2021 21H,19622
10/18/2021 20H,19525
10/18/2021 19H,19901
10/18/2021 18H,20086
10/18/2021 17H,21039
10/18/2021 16H,21199
10/18/2021 15H,20158
10/18/2021 14H,19309
10/18/2021 13H,19661
10/18/2021 12H,18741
10/18/2021 11H,15911
10/18/2021 10H,12882
10/18/2021 09H,11665
10/18/2021 08H,11009
10/18/2021 07H,11398
10/18/2021 06H,10480
10/18/2021 05H,10736
10/18/2021 04H,12075
10/18/2021 03H,14188
10/18/2021 02H,16502
10/18/2021 01H,18387
10/18/2021 00H,18542
10/17/2021 23H,18413
10/17/2021 22H,17380
10/17/2021 21H,16351
10/17/2021 20H,15477
10/17/2021 19H,14958
10/17/2021 18H,15456
10/17/2021 17H,16159
10/17/2021 16H,16440
10/17/2021 15H,16327
10/17/2021 14H,16061
10/17/2021 13H,15467
10/17/2021 12H,14347
10/17/2021 11H,13234
10/17/2021 10H,13002
10/17/2021 09H,12415
10/17/2021 08H,11532
10/17/2021 07H,11367
10/17/2021 06H,11447
10/17/2021 05H,12184
10/17/2021 04H,12839
10/17/2021 03H,14249
10/17/2021 02H,15443
10/17/2021 01H,16894
10/17/2021 00H,17108
10/16/2021 23H,15944
10/16/2021 22H,14492
10/16/2021 21H,13734
10/16/2021 20H,13545
10/16/2021 19H,13609
10/16/2021 18H,13995
10/16/2021 17H,15577
10/16/2021 16H,16532
10/16/2021 15H,15727
10/16/2021 14H,14061
10/16/2021 13H,12764
10/16/2021 12H,11495
10/16/2021 11H,10643
10/16/2021 10H,10006
10/16/2021 09H,10140
10/16/2021 08H,10316
10/16/2021 07H,10974
10/16/2021 06H,12101
10/16/2021 05H,12696
10/16/2021 04H,14762
10/16/2021 03H,16735
10/16/2021 02H,18453
10/16/2021 01H,20037
10/16/2021 00H,21534
10/15/2021 23H,22172
10/15/2021 22H,23414
10/15/2021 21H,24003
10/15/2021 20H,24636
10/15/2021 19H,24720
10/15/2021 18H,24019
10/15/2021 17H,23509
10/15/2021 16H,22982
10/15/2021 15H,23131
10/15/2021 14H,22123
10/15/2021 13H,21551
10/15/2021 12H,20440
10/15/2021 11H,18477
10/15/2021 10H,16963
10/15/2021 09H,16055
10/15/2021 08H,16231
10/15/2021 07H,16247
10/15/2021 06H,17257
10/15/2021 05H,19017
10/15/2021 04H,20779
10/15/2021 03H,23195
10/15/2021 02H,26962
10/15/2021 01H,28807
10/15/2021 00H,29548
10/14/2021 23H,30037
10/14/2021 22H,29494
10/14/2021 21H,28592
10/14/2021 20H,28524
10/14/2021 19H,28256
10/14/2021 18H,28152
10/14/2021 17H,27344
10/14/2021 16H,26083
10/14/2021 15H,24452
10/14/2021 14H,23315
10/14/2021 13H,21272
10/14/2021 12H,20190
10/14/2021 11H,16636
10/14/2021 10H,14979
10/14/2021 09H,14250
10/14/2021 08H,14247
10/14/2021 07H,14179
10/14/2021 06H,15195
10/14/2021 05H,17035
10/14/2021 04H,18233
10/14/2021 03H,20688
10/14/2021 02H,23003
10/14/2021 01H,25060
10/14/2021 00H,25331
10/13/2021 23H,25492
10/13/2021 22H,25184
10/13/2021 21H,24996
10/13/2021 20H,24571
10/13/2021 19H,24122
10/13/2021 18H,23154
10/13/2021 17H,22636
10/13/2021 16H,22325
10/13/2021 15H,20572
10/13/2021 14H,18763
10/13/2021 13H,18045
10/13/2021 12H,17326
10/13/2021 11H,15879
10/13/2021 10H,13810
10/13/2021 09H,13118
10/13/2021 08H,13295
10/13/2021 07H,13627
10/13/2021 06H,14825
10/13/2021 05H,16261
10/13/2021 04H,17294
10/13/2021 03H,19871
10/13/2021 02H,22888
10/13/2021 01H,24756
10/13/2021 00H,25775
10/12/2021 23H,26810
10/12/2021 22H,27054
10/12/2021 21H,27246
10/12/2021 20H,26866
10/12/2021 19H,26480
10/12/2021 18H,26022
10/12/2021 17H,25376
10/12/2021 16H,24548
10/12/2021 15H,22698
10/12/2021 14H,20768
10/12/2021 13H,19478
10/12/2021 12H,17867
10/12/2021 11H,15371
10/12/2021 10H,13191
10/12/2021 09H,12256
10/12/2021 08H,12017
10/12/2021 07H,12136
10/12/2021 06H,13265
10/12/2021 05H,14955
10/12/2021 04H,16271
10/12/2021 03H,18339
10/12/2021 02H,21652
10/12/2021 01H,23863
10/12/2021 00H,25655
10/11/2021 23H,26350
10/11/2021 22H,26483
10/11/2021 21H,26629
10/11/2021 20H,26625
10/11/2021 19H,25827
10/11/2021 18H,25205
10/11/2021 17H,24390
10/11/2021 16H,23433
10/11/2021 15H,21440
10/11/2021 14H,19190
10/11/2021 13H,18687
10/11/2021 12H,18024
10/11/2021 11H,15961
10/11/2021 10H,14395
10/11/2021 09H,13047
10/11/2021 08H,12475
10/11/2021 07H,12482
10/11/2021 06H,13359
10/11/2021 05H,14635
10/11/2021 04H,15694
10/11/2021 03H,18068
10/11/2021 02H,20323
10/11/2021 01H,21656
10/11/2021 00H,22207
10/10/2021 23H,22709
10/10/2021 22H,22973
10/10/2021 21H,22239
10/10/2021 20H,21307
10/10/2021 19H,20092
10/10/2021 18H,19276
10/10/2021 17H,17593
10/10/2021 16H,16082
10/10/2021 15H,14248
10/10/2021 14H,12813
10/10/2021 13H,11297
10/10/2021 12H,11617
10/10/2021 11H,11136
10/10/2021 10H,10937
10/10/2021 09H,11497
10/10/2021 08H,12254
10/10/2021 07H,12774
10/10/2021 06H,13030
10/10/2021 05H,13928
10/10/2021 04H,14838
10/10/2021 03H,16690
10/10/2021 02H,18811
10/10/2021 01H,20693
10/10/2021 00H,21340
10/9/2021 23H,22170
10/9/2021 22H,23194
10/9/2021 21H,23678
10/9/2021 20H,23747
10/9/2021 19H,22908
10/9/2021 18H,22158
10/9/2021 17H,20448
10/9/2021 16H,20315
10/9/2021 15H,18452
10/9/2021 14H,15841
10/9/2021 13H,14675
10/9/2021 12H,14723
10/9/2021 11H,14202
10/9/2021 10H,13497
10/9/2021 09H,13681
10/9/2021 08H,13908
10/9/2021 07H,14205
10/9/2021 06H,14433
10/9/2021 05H,15939
10/9/2021 04H,17527
10/9/2021 03H,19213
10/9/2021 02H,22533
10/9/2021 01H,25781
10/9/2021 00H,27738
10/8/2021 23H,29546
10/8/2021 22H,30386
10/8/2021 21H,30117
10/8/2021 20H,30280
10/8/2021 19H,29811
10/8/2021 18H,28467
10/8/2021 17H,26942
10/8/2021 16H,25079
10/8/2021 15H,23004
10/8/2021 14H,21469
10/8/2021 13H,20175
10/8/2021 12H,19379
10/8/2021 11H,17107
10/8/2021 10H,15820
10/8/2021 09H,15460
10/8/2021 08H,16133
10/8/2021 07H,16693
10/8/2021 06H,17198
10/8/2021 05H,18608
10/8/2021 04H,20997
10/8/2021 03H,23593
10/8/2021 02H,26188
10/8/2021 01H,27705
10/8/2021 00H,28278
10/7/2021 23H,29020
10/7/2021 22H,29098
10/7/2021 21H,28807
10/7/2021 20H,28685
10/7/2021 19H,28080
10/7/2021 18H,27001
10/7/2021 17H,25954
10/7/2021 16H,24281
10/7/2021 15H,23245
10/7/2021 14H,22273
10/7/2021 13H,21386
10/7/2021 12H,20050
10/7/2021 11H,17414
10/7/2021 10H,16055
10/7/2021 09H,14912
10/7/2021 08H,14747
10/7/2021 07H,14572
10/7/2021 06H,15307
10/7/2021 05H,16350
10/7/2021 04H,17883
10/7/2021 03H,21018
10/7/2021 02H,23698
10/7/2021 01H,25775
10/7/2021 00H,25841
10/6/2021 23H,25559
10/6/2021 22H,26032
10/6/2021 21H,26792
