Net generation from coal for Central (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390108&sdid=EBA.CENT-ALL.NG.COL.H
19:09:35 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CENT-ALL.NG.COL.H megawatthours
11/7/2021 23H,8499
11/7/2021 22H,8143
11/7/2021 21H,8324
11/7/2021 20H,8464
11/7/2021 19H,9085
11/7/2021 18H,8977
11/7/2021 17H,8945
11/7/2021 16H,7674
11/7/2021 15H,7116
11/7/2021 14H,6892
11/7/2021 13H,6055
11/7/2021 12H,6153
11/7/2021 11H,5996
11/7/2021 10H,5751
11/7/2021 09H,5711
11/7/2021 08H,5480
11/7/2021 07H,5547
11/7/2021 06H,5564
11/7/2021 05H,5633
11/7/2021 04H,6000
11/7/2021 03H,6041
11/7/2021 02H,6388
11/7/2021 01H,7283
11/7/2021 00H,8765
11/6/2021 23H,9126
11/6/2021 22H,9383
11/6/2021 21H,9597
11/6/2021 20H,9785
11/6/2021 19H,11515
11/6/2021 18H,11415
11/6/2021 17H,11044
11/6/2021 16H,10375
11/6/2021 15H,9159
11/6/2021 14H,8870
11/6/2021 13H,8102
11/6/2021 12H,7251
11/6/2021 11H,6977
11/6/2021 10H,6483
11/6/2021 09H,6295
11/6/2021 08H,5971
11/6/2021 07H,5877
11/6/2021 06H,5933
11/6/2021 05H,6274
11/6/2021 04H,6585
11/6/2021 03H,6962
11/6/2021 02H,7304
11/6/2021 01H,8399
11/6/2021 00H,9299
11/5/2021 23H,9115
11/5/2021 22H,9059
11/5/2021 21H,8097
11/5/2021 20H,7783
11/5/2021 19H,7781
11/5/2021 18H,7891
11/5/2021 17H,8389
11/5/2021 16H,8148
11/5/2021 15H,7255
11/5/2021 14H,7404
11/5/2021 13H,7337
11/5/2021 12H,7017
11/5/2021 11H,6557
11/5/2021 10H,5963
11/5/2021 09H,5469
11/5/2021 08H,5593
11/5/2021 07H,5572
11/5/2021 06H,5884
11/5/2021 05H,6030
11/5/2021 04H,6652
11/5/2021 03H,7253
11/5/2021 02H,8403
11/5/2021 01H,9604
11/5/2021 00H,11363
11/4/2021 23H,11877
11/4/2021 22H,11540
11/4/2021 21H,11839
11/4/2021 20H,12015
11/4/2021 19H,12175
11/4/2021 18H,12201
11/4/2021 17H,12466
11/4/2021 16H,12574
11/4/2021 15H,12532
11/4/2021 14H,12455
11/4/2021 13H,12391
11/4/2021 12H,12081
11/4/2021 11H,11907
11/4/2021 10H,11728
11/4/2021 09H,11672
11/4/2021 08H,11657
11/4/2021 07H,11765
11/4/2021 06H,12033
11/4/2021 05H,12270
11/4/2021 04H,12393
11/4/2021 03H,12298
11/4/2021 02H,12312
11/4/2021 01H,12301
11/4/2021 00H,12300
11/3/2021 23H,12343
11/3/2021 22H,12372
11/3/2021 21H,12428
11/3/2021 20H,12532
11/3/2021 19H,12596
11/3/2021 18H,12651
11/3/2021 17H,12545
11/3/2021 16H,12642
11/3/2021 15H,12587
11/3/2021 14H,12473
11/3/2021 13H,12568
11/3/2021 12H,12612
11/3/2021 11H,12466
11/3/2021 10H,12437
11/3/2021 09H,12386
11/3/2021 08H,12394
11/3/2021 07H,12486
11/3/2021 06H,12681
11/3/2021 05H,12755
11/3/2021 04H,12716
11/3/2021 03H,12768
11/3/2021 02H,12824
11/3/2021 01H,12861
11/3/2021 00H,12801
11/2/2021 23H,12761
11/2/2021 22H,12884
11/2/2021 21H,12902
11/2/2021 20H,12882
11/2/2021 19H,12814
11/2/2021 18H,12779
11/2/2021 17H,12753
11/2/2021 16H,12636
11/2/2021 15H,12662
11/2/2021 14H,12661
11/2/2021 13H,12507
11/2/2021 12H,12205
11/2/2021 11H,11963
11/2/2021 10H,11914
11/2/2021 09H,11818
11/2/2021 08H,11406
11/2/2021 07H,11136
11/2/2021 06H,11286
11/2/2021 05H,11563
11/2/2021 04H,11806
11/2/2021 03H,11894
11/2/2021 02H,12098
11/2/2021 01H,12331
11/2/2021 00H,12435
11/1/2021 23H,12532
11/1/2021 22H,12425
11/1/2021 21H,12306
11/1/2021 20H,12312
11/1/2021 19H,12293
11/1/2021 18H,12160
11/1/2021 17H,11943
11/1/2021 16H,11852
11/1/2021 15H,11973
11/1/2021 14H,12053
11/1/2021 13H,11903
11/1/2021 12H,11471
11/1/2021 11H,11091
11/1/2021 10H,11129
11/1/2021 09H,11231
11/1/2021 08H,10753
11/1/2021 07H,10569
11/1/2021 06H,10302
11/1/2021 05H,0
11/1/2021 04H,0
11/1/2021 03H,0
11/1/2021 02H,0
11/1/2021 01H,0
11/1/2021 00H,0
10/31/2021 23H,0
10/31/2021 22H,0
10/31/2021 21H,0
10/31/2021 20H,0
10/31/2021 19H,0
10/31/2021 18H,0
10/31/2021 17H,0
10/31/2021 16H,0
10/31/2021 15H,0
10/31/2021 14H,0
10/31/2021 13H,0
10/31/2021 12H,0
10/31/2021 11H,0
10/31/2021 10H,0
10/31/2021 09H,0
10/31/2021 08H,0
10/31/2021 07H,0
10/31/2021 06H,0
10/31/2021 05H,0
10/31/2021 04H,0
10/31/2021 03H,0
10/31/2021 02H,0
10/31/2021 01H,0
10/31/2021 00H,0
10/30/2021 23H,0
10/30/2021 22H,0
10/30/2021 21H,0
10/30/2021 20H,0
10/30/2021 19H,0
10/30/2021 18H,0
10/30/2021 17H,0
10/30/2021 16H,0
10/30/2021 15H,0
10/30/2021 14H,0
10/30/2021 13H,0
10/30/2021 12H,0
10/30/2021 11H,0
10/30/2021 10H,0
10/30/2021 09H,0
10/30/2021 08H,0
10/30/2021 07H,0
10/30/2021 06H,0
10/30/2021 05H,10502
10/30/2021 04H,10596
10/30/2021 03H,10462
10/30/2021 02H,10317
10/30/2021 01H,10781
10/30/2021 00H,10541
10/29/2021 23H,9495
10/29/2021 22H,9118
10/29/2021 21H,8990
10/29/2021 20H,8768
10/29/2021 19H,8472
10/29/2021 18H,8421
10/29/2021 17H,7908
10/29/2021 16H,7837
10/29/2021 15H,7139
10/29/2021 14H,6381
10/29/2021 13H,5691
10/29/2021 12H,5202
10/29/2021 11H,4707
10/29/2021 10H,4686
10/29/2021 09H,4595
10/29/2021 08H,4742
10/29/2021 07H,4873
10/29/2021 06H,4873
10/29/2021 05H,5259
10/29/2021 04H,5272
10/29/2021 03H,5688
10/29/2021 02H,5811
10/29/2021 01H,6035
10/29/2021 00H,6115
10/28/2021 23H,6161
10/28/2021 22H,6146
10/28/2021 21H,6184
10/28/2021 20H,5866
10/28/2021 19H,5588
10/28/2021 18H,5513
10/28/2021 17H,5241
10/28/2021 16H,4916
10/28/2021 15H,4487
10/28/2021 14H,3998
10/28/2021 13H,4093
10/28/2021 12H,4127
10/28/2021 11H,4083
10/28/2021 10H,3910
10/28/2021 09H,3999
10/28/2021 08H,4084
10/28/2021 07H,4079
10/28/2021 06H,4317
10/28/2021 05H,4918
10/28/2021 04H,5523
10/28/2021 03H,6108
10/28/2021 02H,6429
10/28/2021 01H,6446
10/28/2021 00H,6494
10/27/2021 23H,6250
10/27/2021 22H,6149
10/27/2021 21H,6227
10/27/2021 20H,6394
10/27/2021 19H,6219
10/27/2021 18H,5980
10/27/2021 17H,5764
10/27/2021 16H,5547
10/27/2021 15H,5531
10/27/2021 14H,5595
10/27/2021 13H,5472
10/27/2021 12H,4688
10/27/2021 11H,4338
10/27/2021 10H,4464
10/27/2021 09H,4850
10/27/2021 08H,4809
10/27/2021 07H,4992
10/27/2021 06H,4813
10/27/2021 05H,4827
10/27/2021 04H,4827
10/27/2021 03H,4763
10/27/2021 02H,5009
10/27/2021 01H,5054
10/27/2021 00H,4811
10/26/2021 23H,4657
10/26/2021 22H,4582
10/26/2021 21H,4634
10/26/2021 20H,4710
10/26/2021 19H,4661
10/26/2021 18H,4617
10/26/2021 17H,5081
10/26/2021 16H,4994
10/26/2021 15H,4880
10/26/2021 14H,4749
10/26/2021 13H,4591
10/26/2021 12H,4188
10/26/2021 11H,4163
10/26/2021 10H,4115
10/26/2021 09H,4212
10/26/2021 08H,4493
10/26/2021 07H,4629
10/26/2021 06H,5142
10/26/2021 05H,5649
10/26/2021 04H,6152
10/26/2021 03H,6536
10/26/2021 02H,7156
10/26/2021 01H,8570
10/26/2021 00H,9089
10/25/2021 23H,9020
10/25/2021 22H,9479
10/25/2021 21H,9913
10/25/2021 20H,10223
10/25/2021 19H,10313
10/25/2021 18H,10421
10/25/2021 17H,10427
10/25/2021 16H,10435
10/25/2021 15H,10430
10/25/2021 14H,10231
10/25/2021 13H,9755
10/25/2021 12H,9233
10/25/2021 11H,9063
10/25/2021 10H,8382
10/25/2021 09H,7406
10/25/2021 08H,7346
10/25/2021 07H,8037
10/25/2021 06H,8410
10/25/2021 05H,0
10/25/2021 04H,0
10/25/2021 03H,0
10/25/2021 02H,0
10/25/2021 01H,0
10/25/2021 00H,0
10/24/2021 23H,0
10/24/2021 22H,0
10/24/2021 21H,0
10/24/2021 20H,0
10/24/2021 19H,0
10/24/2021 18H,0
10/24/2021 17H,0
10/24/2021 16H,0
10/24/2021 15H,0
10/24/2021 14H,0
10/24/2021 13H,0
10/24/2021 12H,0
10/24/2021 11H,0
10/24/2021 10H,0
10/24/2021 09H,0
10/24/2021 08H,0
10/24/2021 07H,0
10/24/2021 06H,0
10/24/2021 05H,0
10/24/2021 04H,0
10/24/2021 03H,0
10/24/2021 02H,0
10/24/2021 01H,0
10/24/2021 00H,0
10/23/2021 23H,0
10/23/2021 22H,0
10/23/2021 21H,0
10/23/2021 20H,0
10/23/2021 19H,0
10/23/2021 18H,0
10/23/2021 17H,0
10/23/2021 16H,0
10/23/2021 15H,0
10/23/2021 14H,0
10/23/2021 13H,0
10/23/2021 12H,0
10/23/2021 11H,0
10/23/2021 10H,0
10/23/2021 09H,0
10/23/2021 08H,0
10/23/2021 07H,0
10/23/2021 06H,0
10/23/2021 05H,6928
10/23/2021 04H,7138
10/23/2021 03H,7713
10/23/2021 02H,8169
10/23/2021 01H,9804
10/23/2021 00H,10261
10/22/2021 23H,10470
10/22/2021 22H,10412
10/22/2021 21H,10330
10/22/2021 20H,10360
10/22/2021 19H,10355
10/22/2021 18H,10270
10/22/2021 17H,10457
10/22/2021 16H,10466
10/22/2021 15H,10154
10/22/2021 14H,10053
10/22/2021 13H,9968
10/22/2021 12H,9744
10/22/2021 11H,9611
10/22/2021 10H,9352
10/22/2021 09H,8993
10/22/2021 08H,8791
10/22/2021 07H,8941
10/22/2021 06H,9362
10/22/2021 05H,9265
10/22/2021 04H,9360
10/22/2021 03H,9505
10/22/2021 02H,9492
10/22/2021 01H,9521
10/22/2021 00H,9529
10/21/2021 23H,9530
10/21/2021 22H,9486
10/21/2021 21H,9473
10/21/2021 20H,9420
10/21/2021 19H,9831
10/21/2021 18H,10592
10/21/2021 17H,10668
10/21/2021 16H,10403
10/21/2021 15H,9628
10/21/2021 14H,8844
10/21/2021 13H,8864
10/21/2021 12H,8322
10/21/2021 11H,7765
10/21/2021 10H,7844
10/21/2021 09H,7371
10/21/2021 08H,7272
10/21/2021 07H,7698
10/21/2021 06H,8253
10/21/2021 05H,9003
10/21/2021 04H,8934
10/21/2021 03H,8895
10/21/2021 02H,8869
10/21/2021 01H,9134
10/21/2021 00H,9168
10/20/2021 23H,8477
10/20/2021 22H,8426
10/20/2021 21H,8568
10/20/2021 20H,9175
10/20/2021 19H,8791
10/20/2021 18H,8579
10/20/2021 17H,7919
10/20/2021 16H,7028
10/20/2021 15H,6843
10/20/2021 14H,7386
10/20/2021 13H,7163
10/20/2021 12H,6594
10/20/2021 11H,5984
10/20/2021 10H,5236
10/20/2021 09H,4932
10/20/2021 08H,4814
10/20/2021 07H,5021
10/20/2021 06H,5099
10/20/2021 05H,5617
10/20/2021 04H,6016
10/20/2021 03H,6227
10/20/2021 02H,6491
10/20/2021 01H,7151
10/20/2021 00H,6764
10/19/2021 23H,6461
10/19/2021 22H,6514
10/19/2021 21H,6421
10/19/2021 20H,6595
10/19/2021 19H,6393
10/19/2021 18H,6004
10/19/2021 17H,5528
10/19/2021 16H,4896
10/19/2021 15H,4930
10/19/2021 14H,4852
10/19/2021 13H,4783
10/19/2021 12H,4402
10/19/2021 11H,4233
10/19/2021 10H,4165
10/19/2021 09H,4271
10/19/2021 08H,4267
10/19/2021 07H,4288
10/19/2021 06H,4506
10/19/2021 05H,4894
10/19/2021 04H,5211
10/19/2021 03H,5252
10/19/2021 02H,5394
10/19/2021 01H,5721
10/19/2021 00H,5944
10/18/2021 23H,5894
10/18/2021 22H,5771
10/18/2021 21H,5996
10/18/2021 20H,6437
10/18/2021 19H,7060
10/18/2021 18H,7749
10/18/2021 17H,8331
10/18/2021 16H,8559
10/18/2021 15H,7412
10/18/2021 14H,6353
10/18/2021 13H,5996
10/18/2021 12H,5106
10/18/2021 11H,4892
10/18/2021 10H,4824
10/18/2021 09H,4781
10/18/2021 08H,4772
10/18/2021 07H,4982
10/18/2021 06H,5167
10/18/2021 05H,0
10/18/2021 04H,0
10/18/2021 03H,0
10/18/2021 02H,0
10/18/2021 01H,0
10/18/2021 00H,0
10/17/2021 23H,0
10/17/2021 22H,0
10/17/2021 21H,0
10/17/2021 20H,0
10/17/2021 19H,0
10/17/2021 18H,0
10/17/2021 17H,0
10/17/2021 16H,0
10/17/2021 15H,0
10/17/2021 14H,0
10/17/2021 13H,0
10/17/2021 12H,0
10/17/2021 11H,0
10/17/2021 10H,0
10/17/2021 09H,0
10/17/2021 08H,0
10/17/2021 07H,0
10/17/2021 06H,0
10/17/2021 05H,0
10/17/2021 04H,0
10/17/2021 03H,0
10/17/2021 02H,0
10/17/2021 01H,0
10/17/2021 00H,0
10/16/2021 23H,0
10/16/2021 22H,0
10/16/2021 21H,0
10/16/2021 20H,0
10/16/2021 19H,0
10/16/2021 18H,0
10/16/2021 17H,0
10/16/2021 16H,0
10/16/2021 15H,0
10/16/2021 14H,0
10/16/2021 13H,0
10/16/2021 12H,0
10/16/2021 11H,0
10/16/2021 10H,0
10/16/2021 09H,0
10/16/2021 08H,0
10/16/2021 07H,0
10/16/2021 06H,0
10/16/2021 05H,9271
10/16/2021 04H,9446
10/16/2021 03H,9287
10/16/2021 02H,9107
10/16/2021 01H,9376
10/16/2021 00H,8054
10/15/2021 23H,7408
10/15/2021 22H,7387
10/15/2021 21H,7317
10/15/2021 20H,7351
10/15/2021 19H,7807
10/15/2021 18H,8240
10/15/2021 17H,8996
10/15/2021 16H,9524
10/15/2021 15H,8988
10/15/2021 14H,7376
10/15/2021 13H,6685
10/15/2021 12H,6839
10/15/2021 11H,6670
10/15/2021 10H,6383
10/15/2021 09H,6373
10/15/2021 08H,6721
10/15/2021 07H,7307
10/15/2021 06H,7983
10/15/2021 05H,8960
10/15/2021 04H,9896
10/15/2021 03H,11159
10/15/2021 02H,12143
10/15/2021 01H,13244
10/15/2021 00H,13374
10/14/2021 23H,13208
10/14/2021 22H,13097
10/14/2021 21H,13156
10/14/2021 20H,13043
10/14/2021 19H,13007
10/14/2021 18H,12870
10/14/2021 17H,12826
10/14/2021 16H,12853
10/14/2021 15H,12320
10/14/2021 14H,11481
10/14/2021 13H,11230
10/14/2021 12H,10015
10/14/2021 11H,8652
10/14/2021 10H,8222
10/14/2021 09H,7930
10/14/2021 08H,7798
10/14/2021 07H,8035
10/14/2021 06H,8218
10/14/2021 05H,8671
10/14/2021 04H,8946
10/14/2021 03H,9806
10/14/2021 02H,10611
10/14/2021 01H,11324
10/14/2021 00H,10974
10/13/2021 23H,10545
10/13/2021 22H,10093
10/13/2021 21H,10075
10/13/2021 20H,10230
10/13/2021 19H,10348
10/13/2021 18H,10388
10/13/2021 17H,9581
10/13/2021 16H,8857
10/13/2021 15H,8283
10/13/2021 14H,8156
10/13/2021 13H,7937
10/13/2021 12H,7232
10/13/2021 11H,6643
10/13/2021 10H,6179
10/13/2021 09H,6172
10/13/2021 08H,6105
10/13/2021 07H,6037
10/13/2021 06H,6028
10/13/2021 05H,6045
10/13/2021 04H,6130
10/13/2021 03H,6232
10/13/2021 02H,6467
10/13/2021 01H,7106
10/13/2021 00H,7339
10/12/2021 23H,7450
10/12/2021 22H,7899
10/12/2021 21H,7790
10/12/2021 20H,8280
10/12/2021 19H,8686
10/12/2021 18H,9090
10/12/2021 17H,9470
10/12/2021 16H,9458
10/12/2021 15H,8455
10/12/2021 14H,8108
10/12/2021 13H,7854
10/12/2021 12H,6500
10/12/2021 11H,5830
10/12/2021 10H,5974
10/12/2021 09H,5929
10/12/2021 08H,6057
10/12/2021 07H,6457
10/12/2021 06H,6703
10/12/2021 05H,7395
10/12/2021 04H,7783
10/12/2021 03H,9224
10/12/2021 02H,11014
10/12/2021 01H,12198
10/12/2021 00H,12639
10/11/2021 23H,12420
10/11/2021 22H,12174
10/11/2021 21H,11958
10/11/2021 20H,12086
10/11/2021 19H,12024
10/11/2021 18H,11840
10/11/2021 17H,11355
10/11/2021 16H,10283
10/11/2021 15H,8669
10/11/2021 14H,7336
10/11/2021 13H,6919
10/11/2021 12H,7000
10/11/2021 11H,6687
10/11/2021 10H,6593
10/11/2021 09H,6414
10/11/2021 08H,6820
10/11/2021 07H,7537
10/11/2021 06H,8544
10/11/2021 05H,8627
10/11/2021 04H,9208
10/11/2021 03H,9460
10/11/2021 02H,9924
10/11/2021 01H,9648
10/11/2021 00H,9143
10/10/2021 23H,9195
10/10/2021 22H,9018
10/10/2021 21H,8790
10/10/2021 20H,8610
10/10/2021 19H,8349
10/10/2021 18H,8121
10/10/2021 17H,7630
10/10/2021 16H,6897
10/10/2021 15H,6372
10/10/2021 14H,5872
10/10/2021 13H,5917
10/10/2021 12H,5726
10/10/2021 11H,5608
10/10/2021 10H,5509
10/10/2021 09H,5419
10/10/2021 08H,5898
10/10/2021 07H,6331
10/10/2021 06H,6792
10/10/2021 05H,7487
10/10/2021 04H,7794
10/10/2021 03H,7854
10/10/2021 02H,8225
10/10/2021 01H,8204
10/10/2021 00H,8208
10/9/2021 23H,8321
10/9/2021 22H,7899
10/9/2021 21H,7420
10/9/2021 20H,7554
10/9/2021 19H,7718
10/9/2021 18H,7424
10/9/2021 17H,7165
10/9/2021 16H,6808
10/9/2021 15H,6175
10/9/2021 14H,5558
10/9/2021 13H,5533
10/9/2021 12H,5390
10/9/2021 11H,5334
10/9/2021 10H,5495
10/9/2021 09H,5567
10/9/2021 08H,5829
10/9/2021 07H,6277
10/9/2021 06H,7070
10/9/2021 05H,9250
10/9/2021 04H,9494
10/9/2021 03H,10770
10/9/2021 02H,12135
10/9/2021 01H,12730
10/9/2021 00H,12925
10/8/2021 23H,12972
10/8/2021 22H,12965
10/8/2021 21H,13295
10/8/2021 20H,13373
10/8/2021 19H,13481
10/8/2021 18H,13619
10/8/2021 17H,13312
10/8/2021 16H,12696
10/8/2021 15H,12146
10/8/2021 14H,11203
10/8/2021 13H,10478
10/8/2021 12H,9521
10/8/2021 11H,8396
10/8/2021 10H,7096
10/8/2021 09H,6486
10/8/2021 08H,6533
10/8/2021 07H,6882
10/8/2021 06H,7764
10/8/2021 05H,9967
10/8/2021 04H,9970
10/8/2021 03H,10769
10/8/2021 02H,12072
10/8/2021 01H,14207
10/8/2021 00H,14721
10/7/2021 23H,14679
10/7/2021 22H,14618
10/7/2021 21H,14514
10/7/2021 20H,14375
10/7/2021 19H,14233
10/7/2021 18H,13900
10/7/2021 17H,13633
10/7/2021 16H,12976
10/7/2021 15H,11647
10/7/2021 14H,10543
10/7/2021 13H,10211
10/7/2021 12H,9851
10/7/2021 11H,9142
10/7/2021 10H,8471
10/7/2021 09H,8300
10/7/2021 08H,8134
10/7/2021 07H,8211
10/7/2021 06H,8510
10/7/2021 05H,8992
10/7/2021 04H,9882
10/7/2021 03H,10972
10/7/2021 02H,12324
10/7/2021 01H,14347
10/7/2021 00H,14574
10/6/2021 23H,14205
10/6/2021 22H,14224
10/6/2021 21H,14380
10/6/2021 20H,14628
10/6/2021 19H,14819
10/6/2021 18H,14876
10/6/2021 17H,14932
10/6/2021 16H,14646
10/6/2021 15H,14061
10/6/2021 14H,13547
10/6/2021 13H,12966
10/6/2021 12H,12217
10/6/2021 11H,11118
10/6/2021 10H,10132
10/6/2021 09H,9024
