Net generation from natural gas for Central (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390108&sdid=EBA.CENT-ALL.NG.NG.H
19:09:48 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CENT-ALL.NG.NG.H megawatthours
10/20/2021 17H,5742
10/20/2021 16H,5124
10/20/2021 15H,4354
10/20/2021 14H,4025
10/20/2021 13H,3428
10/20/2021 12H,3090
10/20/2021 11H,2428
10/20/2021 10H,2082
10/20/2021 09H,1990
10/20/2021 08H,1752
10/20/2021 07H,1684
10/20/2021 06H,1633
10/20/2021 05H,1579
10/20/2021 04H,2202
10/20/2021 03H,2754
10/20/2021 02H,2916
10/20/2021 01H,3362
10/20/2021 00H,3174
10/19/2021 23H,3093
10/19/2021 22H,3296
10/19/2021 21H,3443
10/19/2021 20H,3634
10/19/2021 19H,3294
10/19/2021 18H,3215
10/19/2021 17H,3386
10/19/2021 16H,3325
10/19/2021 15H,3272
10/19/2021 14H,2977
10/19/2021 13H,2749
10/19/2021 12H,2760
10/19/2021 11H,2407
10/19/2021 10H,1910
10/19/2021 09H,1667
10/19/2021 08H,1639
10/19/2021 07H,1608
10/19/2021 06H,1603
10/19/2021 05H,1826
10/19/2021 04H,2176
10/19/2021 03H,2383
10/19/2021 02H,2880
10/19/2021 01H,3215
10/19/2021 00H,3281
10/18/2021 23H,3432
10/18/2021 22H,3414
10/18/2021 21H,3642
10/18/2021 20H,3658
10/18/2021 19H,3663
10/18/2021 18H,3786
10/18/2021 17H,3937
10/18/2021 16H,4106
10/18/2021 15H,4496
10/18/2021 14H,3697
10/18/2021 13H,3695
10/18/2021 12H,3468
10/18/2021 11H,3166
10/18/2021 10H,2658
10/18/2021 09H,2537
10/18/2021 08H,2509
10/18/2021 07H,2516
10/18/2021 06H,2589
10/18/2021 05H,0
10/18/2021 04H,0
10/18/2021 03H,0
10/18/2021 02H,0
10/18/2021 01H,0
10/18/2021 00H,0
10/17/2021 23H,0
10/17/2021 22H,0
10/17/2021 21H,0
10/17/2021 20H,0
10/17/2021 19H,0
10/17/2021 18H,0
10/17/2021 17H,0
10/17/2021 16H,0
10/17/2021 15H,0
10/17/2021 14H,0
10/17/2021 13H,0
10/17/2021 12H,0
10/17/2021 11H,0
10/17/2021 10H,0
10/17/2021 09H,0
10/17/2021 08H,0
10/17/2021 07H,0
10/17/2021 06H,0
10/17/2021 05H,0
10/17/2021 04H,0
10/17/2021 03H,0
10/17/2021 02H,0
10/17/2021 01H,0
10/17/2021 00H,0
10/16/2021 23H,0
10/16/2021 22H,0
10/16/2021 21H,0
10/16/2021 20H,0
10/16/2021 19H,0
10/16/2021 18H,0
10/16/2021 17H,0
10/16/2021 16H,0
10/16/2021 15H,0
10/16/2021 14H,0
10/16/2021 13H,0
10/16/2021 12H,0
10/16/2021 11H,0
10/16/2021 10H,0
10/16/2021 09H,0
10/16/2021 08H,0
10/16/2021 07H,0
10/16/2021 06H,0
10/16/2021 05H,3383
10/16/2021 04H,3593
10/16/2021 03H,3297
10/16/2021 02H,3766
10/16/2021 01H,4468
10/16/2021 00H,4466
10/15/2021 23H,3480
10/15/2021 22H,3346
10/15/2021 21H,3341
10/15/2021 20H,2985
10/15/2021 19H,2664
10/15/2021 18H,2562
10/15/2021 17H,2832
10/15/2021 16H,2939
10/15/2021 15H,2844
10/15/2021 14H,2851
10/15/2021 13H,2443
10/15/2021 12H,2284
10/15/2021 11H,1900
10/15/2021 10H,1707
10/15/2021 09H,1645
10/15/2021 08H,1805
10/15/2021 07H,1915
10/15/2021 06H,2227
10/15/2021 05H,3350
10/15/2021 04H,3935
10/15/2021 03H,4846
10/15/2021 02H,4822
10/15/2021 01H,6122
10/15/2021 00H,6951
10/14/2021 23H,7097
10/14/2021 22H,7156
10/14/2021 21H,7170
10/14/2021 20H,7307
10/14/2021 19H,7222
10/14/2021 18H,6964
10/14/2021 17H,6335
10/14/2021 16H,6217
10/14/2021 15H,6025
10/14/2021 14H,4842
10/14/2021 13H,4602
10/14/2021 12H,4343
10/14/2021 11H,3576
10/14/2021 10H,3823
10/14/2021 09H,3851
10/14/2021 08H,3554
10/14/2021 07H,3595
10/14/2021 06H,3290
10/14/2021 05H,3729
10/14/2021 04H,4363
10/14/2021 03H,4971
10/14/2021 02H,5907
10/14/2021 01H,7510
10/14/2021 00H,8090
10/13/2021 23H,8101
10/13/2021 22H,8167
10/13/2021 21H,8172
10/13/2021 20H,8078
10/13/2021 19H,7786
10/13/2021 18H,7200
10/13/2021 17H,6395
10/13/2021 16H,5546
10/13/2021 15H,5159
10/13/2021 14H,4653
10/13/2021 13H,3997
10/13/2021 12H,3350
10/13/2021 11H,2758
10/13/2021 10H,2062
10/13/2021 09H,1887
10/13/2021 08H,2008
10/13/2021 07H,1940
10/13/2021 06H,1952
10/13/2021 05H,2373
10/13/2021 04H,3177
10/13/2021 03H,3563
10/13/2021 02H,3782
10/13/2021 01H,4421
10/13/2021 00H,4077
10/12/2021 23H,3944
10/12/2021 22H,4037
10/12/2021 21H,3966
10/12/2021 20H,3974
10/12/2021 19H,3881
10/12/2021 18H,3648
10/12/2021 17H,3681
10/12/2021 16H,3938
10/12/2021 15H,3909
10/12/2021 14H,3379
10/12/2021 13H,3255
10/12/2021 12H,3242
10/12/2021 11H,2645
10/12/2021 10H,2068
10/12/2021 09H,1599
10/12/2021 08H,1557
10/12/2021 07H,1737
10/12/2021 06H,1988
10/12/2021 05H,2593
10/12/2021 04H,3579
10/12/2021 03H,4897
10/12/2021 02H,6142
10/12/2021 01H,6708
10/12/2021 00H,7904
10/11/2021 23H,8577
10/11/2021 22H,8594
10/11/2021 21H,8571
10/11/2021 20H,8214
10/11/2021 19H,7954
10/11/2021 18H,7450
10/11/2021 17H,7457
10/11/2021 16H,7456
10/11/2021 15H,6382
10/11/2021 14H,5012
10/11/2021 13H,4073
10/11/2021 12H,3407
10/11/2021 11H,2620
10/11/2021 10H,2457
10/11/2021 09H,2220
10/11/2021 08H,2236
10/11/2021 07H,2373
10/11/2021 06H,3143
10/11/2021 05H,4315
10/11/2021 04H,5209
10/11/2021 03H,5664
10/11/2021 02H,6469
10/11/2021 01H,7005
10/11/2021 00H,6977
10/10/2021 23H,8002
10/10/2021 22H,8313
10/10/2021 21H,7983
10/10/2021 20H,7866
10/10/2021 19H,7713
10/10/2021 18H,6877
10/10/2021 17H,5527
10/10/2021 16H,4821
10/10/2021 15H,4013
10/10/2021 14H,3600
10/10/2021 13H,3075
10/10/2021 12H,2646
10/10/2021 11H,2479
10/10/2021 10H,2683
10/10/2021 09H,2565
10/10/2021 08H,2568
10/10/2021 07H,2779
10/10/2021 06H,3602
10/10/2021 05H,4148
10/10/2021 04H,5213
10/10/2021 03H,5943
10/10/2021 02H,6380
10/10/2021 01H,7247
10/10/2021 00H,7891
10/9/2021 23H,8901
10/9/2021 22H,9082
10/9/2021 21H,8677
10/9/2021 20H,7689
10/9/2021 19H,6992
10/9/2021 18H,6079
10/9/2021 17H,5307
10/9/2021 16H,4013
10/9/2021 15H,3710
10/9/2021 14H,3155
10/9/2021 13H,2742
10/9/2021 12H,2543
10/9/2021 11H,2664
10/9/2021 10H,2783
10/9/2021 09H,2846
10/9/2021 08H,2946
10/9/2021 07H,3041
10/9/2021 06H,3532
10/9/2021 05H,5121
10/9/2021 04H,5246
10/9/2021 03H,5723
10/9/2021 02H,7106
10/9/2021 01H,9641
10/9/2021 00H,11950
10/8/2021 23H,12838
10/8/2021 22H,13565
10/8/2021 21H,13294
10/8/2021 20H,13230
10/8/2021 19H,12314
10/8/2021 18H,10973
10/8/2021 17H,10070
10/8/2021 16H,8851
10/8/2021 15H,6887
10/8/2021 14H,4577
10/8/2021 13H,3599
10/8/2021 12H,3016
10/8/2021 11H,2625
10/8/2021 10H,2299
10/8/2021 09H,2240
10/8/2021 08H,2194
10/8/2021 07H,2216
10/8/2021 06H,2342
10/8/2021 05H,3866
10/8/2021 04H,3857
10/8/2021 03H,3662
10/8/2021 02H,4230
10/8/2021 01H,5237
10/8/2021 00H,6548
10/7/2021 23H,6984
10/7/2021 22H,7123
10/7/2021 21H,6631
10/7/2021 20H,6712
10/7/2021 19H,5871
10/7/2021 18H,5623
10/7/2021 17H,4765
10/7/2021 16H,5103
10/7/2021 15H,4879
10/7/2021 14H,3898
10/7/2021 13H,3396
10/7/2021 12H,3314
10/7/2021 11H,2728
10/7/2021 10H,2526
10/7/2021 09H,2607
10/7/2021 08H,2615
10/7/2021 07H,2817
10/7/2021 06H,3142
10/7/2021 05H,3767
10/7/2021 04H,4445
10/7/2021 03H,5146
10/7/2021 02H,5944
10/7/2021 01H,6986
10/7/2021 00H,8480
10/6/2021 23H,9599
10/6/2021 22H,9856
10/6/2021 21H,9564
10/6/2021 20H,9154
10/6/2021 19H,9186
10/6/2021 18H,8443
10/6/2021 17H,7892
10/6/2021 16H,7479
10/6/2021 15H,6592
10/6/2021 14H,5135
10/6/2021 13H,4748
10/6/2021 12H,4212
10/6/2021 11H,3354
10/6/2021 10H,2792
