Net generation from other for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.OTH.H
19:06:47 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.OTH.H megawatthours
11/9/2021 08H,809
11/9/2021 07H,828
11/9/2021 06H,942
11/9/2021 05H,1023
11/9/2021 04H,1020
11/9/2021 03H,1027
11/9/2021 02H,1086
11/9/2021 01H,1062
11/9/2021 00H,1016
11/8/2021 23H,998
11/8/2021 22H,982
11/8/2021 21H,894
11/8/2021 20H,780
11/8/2021 19H,740
11/8/2021 18H,742
11/8/2021 17H,734
11/8/2021 16H,697
11/8/2021 15H,717
11/8/2021 14H,859
11/8/2021 13H,1107
11/8/2021 12H,1162
11/8/2021 11H,1111
11/8/2021 10H,1096
11/8/2021 09H,1087
11/8/2021 08H,1027
11/8/2021 07H,963
11/8/2021 06H,993
11/8/2021 05H,999
11/8/2021 04H,1063
11/8/2021 03H,1074
11/8/2021 02H,1118
11/8/2021 01H,1144
11/8/2021 00H,1112
11/7/2021 23H,1025
11/7/2021 22H,754
11/7/2021 21H,634
11/7/2021 20H,575
11/7/2021 19H,571
11/7/2021 18H,576
11/7/2021 17H,616
11/7/2021 16H,700
11/7/2021 15H,820
11/7/2021 14H,960
11/7/2021 13H,968
11/7/2021 12H,911
11/7/2021 11H,904
11/7/2021 10H,809
11/7/2021 09H,713
11/7/2021 08H,703
11/7/2021 07H,720
11/7/2021 06H,734
11/7/2021 05H,812
11/7/2021 04H,865
11/7/2021 03H,1013
11/7/2021 02H,1063
11/7/2021 01H,1060
11/7/2021 00H,1065
11/6/2021 23H,1062
11/6/2021 22H,1071
11/6/2021 21H,1030
11/6/2021 20H,926
11/6/2021 19H,910
11/6/2021 18H,856
11/6/2021 17H,906
11/6/2021 16H,969
11/6/2021 15H,1041
11/6/2021 14H,1120
11/6/2021 13H,1136
11/6/2021 12H,1128
11/6/2021 11H,1057
11/6/2021 10H,989
11/6/2021 09H,981
11/6/2021 08H,979
11/6/2021 07H,959
11/6/2021 06H,943
11/6/2021 05H,975
11/6/2021 04H,968
11/6/2021 03H,1139
11/6/2021 02H,1149
11/6/2021 01H,1148
11/6/2021 00H,1147
11/5/2021 23H,1147
11/5/2021 22H,1055
11/5/2021 21H,982
11/5/2021 20H,969
11/5/2021 19H,969
11/5/2021 18H,992
11/5/2021 17H,1045
11/5/2021 16H,1043
11/5/2021 15H,1046
11/5/2021 14H,1030
11/5/2021 13H,1035
11/5/2021 12H,1041
11/5/2021 11H,1025
11/5/2021 10H,1004
11/5/2021 09H,931
11/5/2021 08H,911
11/5/2021 07H,883
11/5/2021 06H,867
11/5/2021 05H,922
11/5/2021 04H,907
11/5/2021 03H,961
11/5/2021 02H,1027
11/5/2021 01H,1046
11/5/2021 00H,1030
11/4/2021 23H,1074
11/4/2021 22H,1070
11/4/2021 21H,1079
11/4/2021 20H,1073
11/4/2021 19H,1047
11/4/2021 18H,1068
11/4/2021 17H,1073
11/4/2021 16H,1076
11/4/2021 15H,1071
11/4/2021 14H,1075
11/4/2021 13H,1072
11/4/2021 12H,1073
11/4/2021 11H,1068
11/4/2021 10H,1060
11/4/2021 09H,1071
11/4/2021 08H,1067
11/4/2021 07H,1069
11/4/2021 06H,1068
11/4/2021 05H,1099
11/4/2021 04H,1067
11/4/2021 03H,1068
11/4/2021 02H,1067
11/4/2021 01H,1056
11/4/2021 00H,1040
11/3/2021 23H,1044
11/3/2021 22H,974
11/3/2021 21H,869
11/3/2021 20H,808
11/3/2021 19H,782
11/3/2021 18H,808
11/3/2021 17H,873
11/3/2021 16H,923
11/3/2021 15H,958
11/3/2021 14H,950
11/3/2021 13H,1020
11/3/2021 12H,1024
11/3/2021 11H,1051
11/3/2021 10H,995
11/3/2021 09H,965
11/3/2021 08H,968
11/3/2021 07H,968
11/3/2021 06H,967
11/3/2021 05H,996
11/3/2021 04H,964
11/3/2021 03H,1044
11/3/2021 02H,1067
11/3/2021 01H,1071
11/3/2021 00H,1077
11/2/2021 23H,1069
11/2/2021 22H,974
11/2/2021 21H,949
11/2/2021 20H,920
11/2/2021 19H,875
11/2/2021 18H,871
11/2/2021 17H,868
11/2/2021 16H,874
11/2/2021 15H,844
11/2/2021 14H,844
11/2/2021 13H,1038
11/2/2021 12H,1062
11/2/2021 11H,1049
11/2/2021 10H,939
11/2/2021 09H,919
11/2/2021 08H,916
11/2/2021 07H,905
11/2/2021 06H,881
11/2/2021 05H,943
11/2/2021 04H,950
11/2/2021 03H,1003
11/2/2021 02H,1046
11/2/2021 01H,1117
11/2/2021 00H,1131
11/1/2021 23H,1037
11/1/2021 22H,993
11/1/2021 21H,775
11/1/2021 20H,670
11/1/2021 19H,626
11/1/2021 18H,624
11/1/2021 17H,595
11/1/2021 16H,593
11/1/2021 15H,634
11/1/2021 14H,727
11/1/2021 13H,890
11/1/2021 12H,993
11/1/2021 11H,1056
11/1/2021 10H,928
11/1/2021 09H,804
11/1/2021 08H,771
11/1/2021 07H,767
11/1/2021 06H,772
11/1/2021 05H,821
11/1/2021 04H,937
11/1/2021 03H,960
11/1/2021 02H,1082
11/1/2021 01H,1088
11/1/2021 00H,1051
10/31/2021 23H,991
10/31/2021 22H,956
10/31/2021 21H,924
10/31/2021 20H,838
10/31/2021 19H,762
10/31/2021 18H,700
10/31/2021 17H,677
10/31/2021 16H,672
10/31/2021 15H,723
10/31/2021 14H,901
10/31/2021 13H,931
10/31/2021 12H,917
10/31/2021 11H,950
10/31/2021 10H,945
10/31/2021 09H,951
10/31/2021 08H,948
10/31/2021 07H,944
10/31/2021 06H,950
10/31/2021 05H,943
10/31/2021 04H,946
10/31/2021 03H,1058
10/31/2021 02H,1084
10/31/2021 01H,1072
10/31/2021 00H,1048
10/30/2021 23H,1036
10/30/2021 22H,978
10/30/2021 21H,840
10/30/2021 20H,778
10/30/2021 19H,830
10/30/2021 18H,860
10/30/2021 17H,893
10/30/2021 16H,920
10/30/2021 15H,969
10/30/2021 14H,963
10/30/2021 13H,963
10/30/2021 12H,948
10/30/2021 11H,978
10/30/2021 10H,976
10/30/2021 09H,930
10/30/2021 08H,943
10/30/2021 07H,975
10/30/2021 06H,983
10/30/2021 05H,989
10/30/2021 04H,991
10/30/2021 03H,1096
10/30/2021 02H,1154
10/30/2021 01H,1149
10/30/2021 00H,1130
10/29/2021 23H,1132
10/29/2021 22H,1078
10/29/2021 21H,1057
10/29/2021 20H,1057
10/29/2021 19H,1058
10/29/2021 18H,1057
10/29/2021 17H,1018
10/29/2021 16H,1046
10/29/2021 15H,1032
10/29/2021 14H,979
10/29/2021 13H,979
10/29/2021 12H,977
10/29/2021 11H,1003
10/29/2021 10H,998
10/29/2021 09H,1004
10/29/2021 08H,994
10/29/2021 07H,992
10/29/2021 06H,994
10/29/2021 05H,992
10/29/2021 04H,1082
10/29/2021 03H,1158
10/29/2021 02H,1151
10/29/2021 01H,1153
10/29/2021 00H,1135
10/28/2021 23H,1138
10/28/2021 22H,1132
10/28/2021 21H,1140
10/28/2021 20H,1077
10/28/2021 19H,1040
10/28/2021 18H,958
10/28/2021 17H,915
10/28/2021 16H,897
10/28/2021 15H,968
10/28/2021 14H,1055
10/28/2021 13H,1057
10/28/2021 12H,1057
10/28/2021 11H,1043
10/28/2021 10H,963
10/28/2021 09H,934
10/28/2021 08H,928
10/28/2021 07H,946
10/28/2021 06H,949
10/28/2021 05H,950
10/28/2021 04H,962
10/28/2021 03H,1055
10/28/2021 02H,1098
10/28/2021 01H,1147
10/28/2021 00H,1137
10/27/2021 23H,1062
10/27/2021 22H,993
10/27/2021 21H,860
10/27/2021 20H,816
10/27/2021 19H,728
10/27/2021 18H,642
10/27/2021 17H,636
10/27/2021 16H,665
10/27/2021 15H,752
10/27/2021 14H,882
10/27/2021 13H,978
10/27/2021 12H,952
10/27/2021 11H,957
10/27/2021 10H,919
10/27/2021 09H,894
10/27/2021 08H,875
10/27/2021 07H,928
10/27/2021 06H,831
10/27/2021 05H,847
10/27/2021 04H,860
10/27/2021 03H,881
10/27/2021 02H,986
10/27/2021 01H,989
10/27/2021 00H,958
10/26/2021 23H,937
10/26/2021 22H,750
10/26/2021 21H,661
10/26/2021 20H,659
10/26/2021 19H,661
10/26/2021 18H,652
10/26/2021 17H,578
10/26/2021 16H,536
10/26/2021 15H,545
10/26/2021 14H,613
10/26/2021 13H,729
10/26/2021 12H,830
10/26/2021 11H,780
10/26/2021 10H,732
10/26/2021 09H,728
10/26/2021 08H,818
10/26/2021 07H,927
10/26/2021 06H,995
10/26/2021 05H,1070
10/26/2021 04H,1131
10/26/2021 03H,1153
10/26/2021 02H,1160
10/26/2021 01H,1161
10/26/2021 00H,1131
10/25/2021 23H,1137
10/25/2021 22H,1132
10/25/2021 21H,1133
10/25/2021 20H,1071
10/25/2021 19H,1052
10/25/2021 18H,1053
10/25/2021 17H,1059
10/25/2021 16H,1064
10/25/2021 15H,1064
10/25/2021 14H,1068
10/25/2021 13H,1062
10/25/2021 12H,1063
10/25/2021 11H,1033
10/25/2021 10H,812
10/25/2021 09H,717
10/25/2021 08H,704
10/25/2021 07H,709
10/25/2021 06H,741
10/25/2021 05H,767
10/25/2021 04H,848
10/25/2021 03H,955
10/25/2021 02H,1125
10/25/2021 01H,1159
10/25/2021 00H,1133
10/24/2021 23H,1139
10/24/2021 22H,1131
10/24/2021 21H,1104
10/24/2021 20H,936
10/24/2021 19H,788
10/24/2021 18H,738
10/24/2021 17H,745
10/24/2021 16H,733
10/24/2021 15H,762
10/24/2021 14H,815
10/24/2021 13H,933
10/24/2021 12H,885
10/24/2021 11H,806
10/24/2021 10H,763
10/24/2021 09H,748
10/24/2021 08H,746
10/24/2021 07H,757
10/24/2021 06H,752
10/24/2021 05H,768
10/24/2021 04H,873
10/24/2021 03H,977
10/24/2021 02H,1160
10/24/2021 01H,1167
10/24/2021 00H,1153
10/23/2021 23H,1156
10/23/2021 22H,1147
10/23/2021 21H,1124
10/23/2021 20H,1001
10/23/2021 19H,884
10/23/2021 18H,806
10/23/2021 17H,797
10/23/2021 16H,842
10/23/2021 15H,941
10/23/2021 14H,934
10/23/2021 13H,1040
10/23/2021 12H,1001
10/23/2021 11H,964
10/23/2021 10H,932
10/23/2021 09H,881
10/23/2021 08H,827
10/23/2021 07H,784
10/23/2021 06H,730
10/23/2021 05H,820
10/23/2021 04H,927
10/23/2021 03H,1012
10/23/2021 02H,1155
10/23/2021 01H,1162
10/23/2021 00H,1153
10/22/2021 23H,1148
10/22/2021 22H,1142
10/22/2021 21H,1149
10/22/2021 20H,1140
10/22/2021 19H,1130
10/22/2021 18H,1069
10/22/2021 17H,993
10/22/2021 16H,997
10/22/2021 15H,996
10/22/2021 14H,1079
10/22/2021 13H,1137
10/22/2021 12H,1077
10/22/2021 11H,1030
10/22/2021 10H,939
10/22/2021 09H,870
10/22/2021 08H,870
10/22/2021 07H,903
10/22/2021 06H,932
10/22/2021 05H,998
10/22/2021 04H,1101
10/22/2021 03H,1117
10/22/2021 02H,1173
10/22/2021 01H,1266
10/22/2021 00H,1242
10/21/2021 23H,1247
10/21/2021 22H,1237
10/21/2021 21H,1221
10/21/2021 20H,1142
10/21/2021 19H,1110
10/21/2021 18H,1026
10/21/2021 17H,1028
10/21/2021 16H,1058
10/21/2021 15H,1095
10/21/2021 14H,1152
10/21/2021 13H,1249
10/21/2021 12H,1247
10/21/2021 11H,1211
10/21/2021 10H,1153
10/21/2021 09H,1104
10/21/2021 08H,1026
10/21/2021 07H,1009
10/21/2021 06H,938
10/21/2021 05H,975
10/21/2021 04H,1048
10/21/2021 03H,1166
10/21/2021 02H,1278
10/21/2021 01H,1276
10/21/2021 00H,1254
10/20/2021 23H,1244
10/20/2021 22H,1187
10/20/2021 21H,1153
10/20/2021 20H,1029
10/20/2021 19H,1013
10/20/2021 18H,1014
10/20/2021 17H,996
10/20/2021 16H,1016
10/20/2021 15H,1048
10/20/2021 14H,1078
10/20/2021 13H,1098
10/20/2021 12H,1146
10/20/2021 11H,1090
10/20/2021 10H,1078
10/20/2021 09H,1052
10/20/2021 08H,1043
10/20/2021 07H,1038
10/20/2021 06H,1037
10/20/2021 05H,1033
10/20/2021 04H,1061
10/20/2021 03H,1171
10/20/2021 02H,1216
10/20/2021 01H,1261
10/20/2021 00H,1241
10/19/2021 23H,1229
10/19/2021 22H,1090
10/19/2021 21H,1038
10/19/2021 20H,1020
10/19/2021 19H,972
10/19/2021 18H,959
10/19/2021 17H,950
10/19/2021 16H,971
10/19/2021 15H,994
10/19/2021 14H,1122
10/19/2021 13H,1183
10/19/2021 12H,1240
10/19/2021 11H,1190
10/19/2021 10H,1151
10/19/2021 09H,1082
10/19/2021 08H,1018
10/19/2021 07H,1006
10/19/2021 06H,970
10/19/2021 05H,998
10/19/2021 04H,1010
10/19/2021 03H,1092
10/19/2021 02H,1221
10/19/2021 01H,1219
10/19/2021 00H,1202
10/18/2021 23H,1191
10/18/2021 22H,1098
10/18/2021 21H,1010
10/18/2021 20H,861
10/18/2021 19H,783
10/18/2021 18H,809
10/18/2021 17H,875
10/18/2021 16H,894
10/18/2021 15H,889
10/18/2021 14H,887
10/18/2021 13H,907
10/18/2021 12H,909
10/18/2021 11H,957
10/18/2021 10H,881
10/18/2021 09H,768
10/18/2021 08H,695
10/18/2021 07H,680
10/18/2021 06H,743
10/18/2021 05H,798
10/18/2021 04H,803
10/18/2021 03H,871
10/18/2021 02H,945
10/18/2021 01H,1074
10/18/2021 00H,1016
10/17/2021 23H,921
10/17/2021 22H,783
10/17/2021 21H,652
10/17/2021 20H,621
10/17/2021 19H,600
10/17/2021 18H,598
10/17/2021 17H,593
10/17/2021 16H,595
10/17/2021 15H,625
10/17/2021 14H,627
10/17/2021 13H,720
10/17/2021 12H,764
10/17/2021 11H,798
10/17/2021 10H,742
10/17/2021 09H,711
10/17/2021 08H,732
10/17/2021 07H,782
10/17/2021 06H,845
10/17/2021 05H,846
10/17/2021 04H,855
10/17/2021 03H,849
10/17/2021 02H,848
10/17/2021 01H,868
10/17/2021 00H,987
10/16/2021 23H,1005
10/16/2021 22H,997
10/16/2021 21H,993
10/16/2021 20H,1002
10/16/2021 19H,1026
10/16/2021 18H,1027
10/16/2021 17H,1029
10/16/2021 16H,982
10/16/2021 15H,841
10/16/2021 14H,780
10/16/2021 13H,828
10/16/2021 12H,825
10/16/2021 11H,801
10/16/2021 10H,732
10/16/2021 09H,713
10/16/2021 08H,699
10/16/2021 07H,728
10/16/2021 06H,821
10/16/2021 05H,877
10/16/2021 04H,865
10/16/2021 03H,878
10/16/2021 02H,888
10/16/2021 01H,971
10/16/2021 00H,983
10/15/2021 23H,1007
10/15/2021 22H,1017
10/15/2021 21H,1018
10/15/2021 20H,1023
10/15/2021 19H,962
10/15/2021 18H,867
10/15/2021 17H,800
10/15/2021 16H,744
10/15/2021 15H,725
10/15/2021 14H,758
10/15/2021 13H,803
10/15/2021 12H,816
10/15/2021 11H,780
10/15/2021 10H,686
10/15/2021 09H,653
10/15/2021 08H,653
10/15/2021 07H,684
10/15/2021 06H,762
10/15/2021 05H,838
10/15/2021 04H,840
10/15/2021 03H,964
10/15/2021 02H,1118
10/15/2021 01H,1125
10/15/2021 00H,1099
10/14/2021 23H,1100
10/14/2021 22H,1099
10/14/2021 21H,1092
10/14/2021 20H,1013
10/14/2021 19H,929
10/14/2021 18H,891
10/14/2021 17H,814
10/14/2021 16H,737
10/14/2021 15H,662
10/14/2021 14H,661
10/14/2021 13H,737
10/14/2021 12H,776
10/14/2021 11H,690
10/14/2021 10H,635
10/14/2021 09H,646
10/14/2021 08H,635
10/14/2021 07H,640
10/14/2021 06H,730
10/14/2021 05H,781
10/14/2021 04H,784
10/14/2021 03H,908
10/14/2021 02H,997
10/14/2021 01H,999
10/14/2021 00H,970
10/13/2021 23H,971
10/13/2021 22H,962
10/13/2021 21H,916
10/13/2021 20H,830
10/13/2021 19H,820
10/13/2021 18H,792
10/13/2021 17H,716
10/13/2021 16H,707
10/13/2021 15H,716
10/13/2021 14H,772
10/13/2021 13H,796
10/13/2021 12H,821
10/13/2021 11H,790
10/13/2021 10H,641
10/13/2021 09H,575
10/13/2021 08H,578
10/13/2021 07H,597
10/13/2021 06H,682
10/13/2021 05H,784
10/13/2021 04H,834
10/13/2021 03H,842
10/13/2021 02H,970
10/13/2021 01H,1006
10/13/2021 00H,981
10/12/2021 23H,980
10/12/2021 22H,915
10/12/2021 21H,899
10/12/2021 20H,898
10/12/2021 19H,852
10/12/2021 18H,843
10/12/2021 17H,803
10/12/2021 16H,818
10/12/2021 15H,826
10/12/2021 14H,821
10/12/2021 13H,830
10/12/2021 12H,834
10/12/2021 11H,826
10/12/2021 10H,747
10/12/2021 09H,682
10/12/2021 08H,671
10/12/2021 07H,688
10/12/2021 06H,765
10/12/2021 05H,843
10/12/2021 04H,905
10/12/2021 03H,977
10/12/2021 02H,983
10/12/2021 01H,983
10/12/2021 00H,965
10/11/2021 23H,982
10/11/2021 22H,979
10/11/2021 21H,981
10/11/2021 20H,983
10/11/2021 19H,980
10/11/2021 18H,915
10/11/2021 17H,891
10/11/2021 16H,867
10/11/2021 15H,863
10/11/2021 14H,859
10/11/2021 13H,866
10/11/2021 12H,852
10/11/2021 11H,830
10/11/2021 10H,823
10/11/2021 09H,745
10/11/2021 08H,751
10/11/2021 07H,829
10/11/2021 06H,862
10/11/2021 05H,857
10/11/2021 04H,866
10/11/2021 03H,992
10/11/2021 02H,1009
10/11/2021 01H,1007
10/11/2021 00H,984
10/10/2021 23H,983
10/10/2021 22H,978
10/10/2021 21H,972
10/10/2021 20H,980
10/10/2021 19H,979
10/10/2021 18H,958
10/10/2021 17H,900
10/10/2021 16H,903
10/10/2021 15H,907
10/10/2021 14H,913
10/10/2021 13H,850
10/10/2021 12H,693
10/10/2021 11H,624
10/10/2021 10H,621
10/10/2021 09H,632
10/10/2021 08H,627
10/10/2021 07H,642
10/10/2021 06H,734
10/10/2021 05H,825
10/10/2021 04H,897
10/10/2021 03H,966
10/10/2021 02H,965
10/10/2021 01H,969
10/10/2021 00H,940
10/9/2021 23H,942
10/9/2021 22H,940
10/9/2021 21H,939
10/9/2021 20H,939
10/9/2021 19H,940
10/9/2021 18H,939
10/9/2021 17H,939
10/9/2021 16H,930
10/9/2021 15H,863
10/9/2021 14H,844
10/9/2021 13H,812
10/9/2021 12H,793
10/9/2021 11H,812
10/9/2021 10H,820
10/9/2021 09H,806
10/9/2021 08H,806
10/9/2021 07H,812
10/9/2021 06H,832
10/9/2021 05H,849
10/9/2021 04H,957
10/9/2021 03H,958
10/9/2021 02H,952
10/9/2021 01H,933
10/9/2021 00H,898
10/8/2021 23H,901
10/8/2021 22H,895
10/8/2021 21H,899
10/8/2021 20H,860
10/8/2021 19H,860
10/8/2021 18H,819
10/8/2021 17H,810
10/8/2021 16H,811
10/8/2021 15H,809
10/8/2021 14H,803
10/8/2021 13H,801
10/8/2021 12H,795
10/8/2021 11H,737
10/8/2021 10H,696
10/8/2021 09H,670
10/8/2021 08H,669
10/8/2021 07H,652
10/8/2021 06H,653
10/8/2021 05H,738
10/8/2021 04H,826
10/8/2021 03H,829
10/8/2021 02H,825
10/8/2021 01H,829
10/8/2021 00H,802
10/7/2021 23H,801
10/7/2021 22H,801
10/7/2021 21H,803
10/7/2021 20H,805
10/7/2021 19H,800
10/7/2021 18H,799
10/7/2021 17H,806
10/7/2021 16H,803
10/7/2021 15H,803
10/7/2021 14H,804
10/7/2021 13H,793
10/7/2021 12H,807
10/7/2021 11H,822
10/7/2021 10H,828
10/7/2021 09H,820
10/7/2021 08H,823
10/7/2021 07H,818
10/7/2021 06H,816
10/7/2021 05H,824
10/7/2021 04H,821
10/7/2021 03H,818
10/7/2021 02H,821
10/7/2021 01H,855
10/7/2021 00H,895
10/6/2021 23H,894
10/6/2021 22H,889
10/6/2021 21H,889
10/6/2021 20H,894
10/6/2021 19H,887
10/6/2021 18H,861
10/6/2021 17H,835
10/6/2021 16H,804
10/6/2021 15H,795
10/6/2021 14H,811
10/6/2021 13H,798
10/6/2021 12H,803
10/6/2021 11H,761
10/6/2021 10H,693
10/6/2021 09H,663
10/6/2021 08H,629
10/6/2021 07H,661
10/6/2021 06H,755
10/6/2021 05H,835
10/6/2021 04H,834
10/6/2021 03H,832
10/6/2021 02H,835
10/6/2021 01H,833
10/6/2021 00H,808
10/5/2021 23H,809
10/5/2021 22H,805
10/5/2021 21H,808
10/5/2021 20H,805
10/5/2021 19H,805
10/5/2021 18H,807
10/5/2021 17H,798
10/5/2021 16H,726
10/5/2021 15H,713
10/5/2021 14H,727
10/5/2021 13H,792
10/5/2021 12H,806
10/5/2021 11H,771
10/5/2021 10H,693
10/5/2021 09H,599
10/5/2021 08H,595
10/5/2021 07H,656
10/5/2021 06H,673
10/5/2021 05H,668
10/5/2021 04H,779
10/5/2021 03H,838
10/5/2021 02H,829
10/5/2021 01H,830
10/5/2021 00H,806
10/4/2021 23H,805
10/4/2021 22H,796
10/4/2021 21H,807
10/4/2021 20H,801
10/4/2021 19H,802
10/4/2021 18H,801
10/4/2021 17H,802
10/4/2021 16H,800
10/4/2021 15H,797
10/4/2021 14H,804
10/4/2021 13H,805
10/4/2021 12H,751
10/4/2021 11H,745
10/4/2021 10H,642
10/4/2021 09H,571
10/4/2021 08H,575
