Net generation from solar for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.SUN.H
19:13:10 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.SUN.H megawatthours
11/8/2021 22H,13
11/8/2021 21H,434
11/8/2021 20H,1798
11/8/2021 19H,2383
11/8/2021 18H,2364
11/8/2021 17H,2436
11/8/2021 16H,2472
11/8/2021 15H,2540
11/8/2021 14H,2556
11/8/2021 13H,1935
11/8/2021 12H,400
11/8/2021 11H,13
11/8/2021 10H,13
11/8/2021 09H,13
11/8/2021 08H,7
11/8/2021 07H,13
11/8/2021 06H,13
11/8/2021 05H,13
11/8/2021 04H,13
11/8/2021 03H,13
11/8/2021 02H,13
11/8/2021 01H,13
11/8/2021 00H,13
11/7/2021 23H,13
11/7/2021 22H,13
11/7/2021 21H,394
11/7/2021 20H,1191
11/7/2021 19H,1503
11/7/2021 18H,1556
11/7/2021 17H,1654
11/7/2021 16H,1765
11/7/2021 15H,1657
11/7/2021 14H,1323
11/7/2021 13H,798
11/7/2021 12H,174
11/7/2021 11H,13
11/7/2021 10H,13
11/7/2021 09H,13
11/7/2021 08H,13
11/7/2021 07H,7
11/7/2021 06H,13
11/7/2021 05H,13
11/7/2021 04H,13
11/7/2021 03H,13
11/7/2021 02H,13
11/7/2021 01H,13
11/7/2021 00H,13
11/6/2021 23H,13
11/6/2021 22H,13
11/6/2021 21H,198
11/6/2021 20H,628
11/6/2021 19H,1038
11/6/2021 18H,1287
11/6/2021 17H,1477
11/6/2021 16H,1667
11/6/2021 15H,1717
11/6/2021 14H,1488
11/6/2021 13H,809
11/6/2021 12H,135
11/6/2021 11H,13
11/6/2021 10H,13
11/6/2021 09H,13
11/6/2021 08H,13
11/6/2021 07H,7
11/6/2021 06H,13
11/6/2021 05H,13
11/6/2021 04H,13
11/6/2021 03H,7
11/6/2021 02H,13
11/6/2021 01H,13
11/6/2021 00H,13
11/5/2021 23H,13
11/5/2021 22H,14
11/5/2021 21H,318
11/5/2021 20H,1247
11/5/2021 19H,1958
11/5/2021 18H,2145
11/5/2021 17H,2288
11/5/2021 16H,2350
11/5/2021 15H,2380
11/5/2021 14H,2182
11/5/2021 13H,1648
11/5/2021 12H,326
11/5/2021 11H,13
11/5/2021 10H,13
11/5/2021 09H,13
11/5/2021 08H,13
11/5/2021 07H,13
11/5/2021 06H,13
11/5/2021 05H,13
11/5/2021 04H,18
11/5/2021 03H,7
11/5/2021 02H,13
11/5/2021 01H,13
11/5/2021 00H,13
11/4/2021 23H,13
11/4/2021 22H,15
11/4/2021 21H,186
11/4/2021 20H,536
11/4/2021 19H,648
11/4/2021 18H,757
11/4/2021 17H,1004
11/4/2021 16H,1129
11/4/2021 15H,1113
11/4/2021 14H,955
11/4/2021 13H,563
11/4/2021 12H,125
11/4/2021 11H,18
11/4/2021 10H,18
11/4/2021 09H,18
11/4/2021 08H,18
11/4/2021 07H,12
11/4/2021 06H,18
11/4/2021 05H,18
11/4/2021 04H,4
11/4/2021 03H,12
11/4/2021 02H,18
11/4/2021 01H,18
11/4/2021 00H,18
11/3/2021 23H,18
11/3/2021 22H,21
11/3/2021 21H,416
11/3/2021 20H,1698
11/3/2021 19H,2240
11/3/2021 18H,2359
11/3/2021 17H,2348
11/3/2021 16H,2320
11/3/2021 15H,2399
11/3/2021 14H,2307
11/3/2021 13H,1537
11/3/2021 12H,258
11/3/2021 11H,4
11/3/2021 10H,4
11/3/2021 09H,4
11/3/2021 08H,4
11/3/2021 07H,4
11/3/2021 06H,4
11/3/2021 05H,4
11/3/2021 04H,4
11/3/2021 03H,4
11/3/2021 02H,4
11/3/2021 01H,4
11/3/2021 00H,4
11/2/2021 23H,4
11/2/2021 22H,7
11/2/2021 21H,171
11/2/2021 20H,412
11/2/2021 19H,567
11/2/2021 18H,1135
11/2/2021 17H,1226
11/2/2021 16H,1340
11/2/2021 15H,1250
11/2/2021 14H,1261
11/2/2021 13H,1084
11/2/2021 12H,332
11/2/2021 11H,4
11/2/2021 10H,4
11/2/2021 09H,4
11/2/2021 08H,4
11/2/2021 07H,4
11/2/2021 06H,4
11/2/2021 05H,4
11/2/2021 04H,4
11/2/2021 03H,4
11/2/2021 02H,6
11/2/2021 01H,4
11/2/2021 00H,4
11/1/2021 23H,4
11/1/2021 22H,4
11/1/2021 21H,336
11/1/2021 20H,1508
11/1/2021 19H,1972
11/1/2021 18H,2033
11/1/2021 17H,2183
11/1/2021 16H,2381
11/1/2021 15H,2451
11/1/2021 14H,2387
11/1/2021 13H,2000
11/1/2021 12H,548
11/1/2021 11H,4
11/1/2021 10H,4
11/1/2021 09H,4
11/1/2021 08H,4
11/1/2021 07H,4
11/1/2021 06H,4
11/1/2021 05H,4
11/1/2021 04H,5
11/1/2021 03H,4
11/1/2021 02H,4
11/1/2021 01H,4
11/1/2021 00H,4
10/31/2021 23H,4
10/31/2021 22H,4
10/31/2021 21H,364
10/31/2021 20H,1168
10/31/2021 19H,1732
10/31/2021 18H,1782
10/31/2021 17H,2064
10/31/2021 16H,2033
10/31/2021 15H,2269
10/31/2021 14H,2156
10/31/2021 13H,1653
10/31/2021 12H,454
10/31/2021 11H,4
10/31/2021 10H,4
10/31/2021 09H,4
10/31/2021 08H,4
10/31/2021 07H,4
10/31/2021 06H,4
10/31/2021 05H,4
10/31/2021 04H,4
10/31/2021 03H,4
10/31/2021 02H,4
10/31/2021 01H,4
10/31/2021 00H,4
10/30/2021 23H,4
10/30/2021 22H,4
10/30/2021 21H,304
10/30/2021 20H,1171
10/30/2021 19H,1004
10/30/2021 18H,1252
10/30/2021 17H,1607
10/30/2021 16H,1631
10/30/2021 15H,1569
10/30/2021 14H,1495
10/30/2021 13H,1208
10/30/2021 12H,389
10/30/2021 11H,4
10/30/2021 10H,4
10/30/2021 09H,4
10/30/2021 08H,4
10/30/2021 07H,4
10/30/2021 06H,4
10/30/2021 05H,4
10/30/2021 04H,4
10/30/2021 03H,4
10/30/2021 02H,4
10/30/2021 01H,4
10/30/2021 00H,4
10/29/2021 23H,4
10/29/2021 22H,4
10/29/2021 21H,289
10/29/2021 20H,841
10/29/2021 19H,664
10/29/2021 18H,745
10/29/2021 17H,1098
10/29/2021 16H,1239
10/29/2021 15H,1004
10/29/2021 14H,712
10/29/2021 13H,260
10/29/2021 12H,45
10/29/2021 11H,4
10/29/2021 10H,4
10/29/2021 09H,4
10/29/2021 08H,4
10/29/2021 07H,4
10/29/2021 06H,4
10/29/2021 05H,4
10/29/2021 04H,4
10/29/2021 03H,4
10/29/2021 02H,4
10/29/2021 01H,4
10/29/2021 00H,4
10/28/2021 23H,4
10/28/2021 22H,4
10/28/2021 21H,72
10/28/2021 20H,340
10/28/2021 19H,831
10/28/2021 18H,1056
10/28/2021 17H,1509
10/28/2021 16H,1992
10/28/2021 15H,1901
10/28/2021 14H,1640
10/28/2021 13H,1326
10/28/2021 12H,380
10/28/2021 11H,4
10/28/2021 10H,4
10/28/2021 09H,4
10/28/2021 08H,4
10/28/2021 07H,4
10/28/2021 06H,4
10/28/2021 05H,4
10/28/2021 04H,4
10/28/2021 03H,4
10/28/2021 02H,4
10/28/2021 01H,5
10/28/2021 00H,4
10/27/2021 23H,4
10/27/2021 22H,4
10/27/2021 21H,523
10/27/2021 20H,1599
10/27/2021 19H,1919
10/27/2021 18H,1996
10/27/2021 17H,1943
10/27/2021 16H,1967
10/27/2021 15H,1947
10/27/2021 14H,1955
10/27/2021 13H,1614
10/27/2021 12H,591
10/27/2021 11H,4
10/27/2021 10H,4
10/27/2021 09H,4
10/27/2021 08H,4
10/27/2021 07H,4
10/27/2021 06H,4
10/27/2021 05H,4
10/27/2021 04H,4
10/27/2021 03H,4
10/27/2021 02H,4
10/27/2021 01H,4
10/27/2021 00H,4
10/26/2021 23H,4
10/26/2021 22H,16
10/26/2021 21H,686
10/26/2021 20H,1613
10/26/2021 19H,1463
10/26/2021 18H,1774
10/26/2021 17H,2043
10/26/2021 16H,2193
10/26/2021 15H,2211
10/26/2021 14H,1980
10/26/2021 13H,1284
10/26/2021 12H,350
10/26/2021 11H,4
10/26/2021 10H,4
10/26/2021 09H,4
10/26/2021 08H,4
10/26/2021 07H,4
10/26/2021 06H,4
10/26/2021 05H,4
10/26/2021 04H,4
10/26/2021 03H,4
10/26/2021 02H,4
10/26/2021 01H,4
10/26/2021 00H,4
10/25/2021 23H,4
10/25/2021 22H,4
10/25/2021 21H,224
10/25/2021 20H,763
10/25/2021 19H,954
10/25/2021 18H,987
10/25/2021 17H,1254
10/25/2021 16H,1307
10/25/2021 15H,1235
10/25/2021 14H,896
10/25/2021 13H,506
10/25/2021 12H,114
10/25/2021 11H,4
10/25/2021 10H,4
10/25/2021 09H,4
10/25/2021 08H,4
10/25/2021 07H,4
10/25/2021 06H,4
10/25/2021 05H,4
10/25/2021 04H,4
10/25/2021 03H,4
10/25/2021 02H,4
10/25/2021 01H,4
10/25/2021 00H,4
10/24/2021 23H,4
10/24/2021 22H,10
10/24/2021 21H,693
10/24/2021 20H,1767
10/24/2021 19H,2065
10/24/2021 18H,2000
10/24/2021 17H,1987
10/24/2021 16H,1901
10/24/2021 15H,1877
10/24/2021 14H,1652
10/24/2021 13H,1339
10/24/2021 12H,360
10/24/2021 11H,4
10/24/2021 10H,4
10/24/2021 09H,4
10/24/2021 08H,4
10/24/2021 07H,4
10/24/2021 06H,4
10/24/2021 05H,4
10/24/2021 04H,3
10/24/2021 03H,4
10/24/2021 02H,4
10/24/2021 01H,4
10/24/2021 00H,4
10/23/2021 23H,4
10/23/2021 22H,8
10/23/2021 21H,501
10/23/2021 20H,1816
10/23/2021 19H,2006
10/23/2021 18H,2142
10/23/2021 17H,2000
10/23/2021 16H,2141
10/23/2021 15H,2150
10/23/2021 14H,1784
10/23/2021 13H,1113
10/23/2021 12H,404
10/23/2021 11H,3
10/23/2021 10H,4
10/23/2021 09H,3
10/23/2021 08H,3
10/23/2021 07H,3
10/23/2021 06H,3
10/23/2021 05H,3
10/23/2021 04H,2
10/23/2021 03H,3
10/23/2021 02H,3
10/23/2021 01H,3
10/23/2021 00H,4
10/22/2021 23H,3
10/22/2021 22H,7
10/22/2021 21H,324
10/22/2021 20H,845
10/22/2021 19H,1293
10/22/2021 18H,1382
10/22/2021 17H,1318
10/22/2021 16H,1455
10/22/2021 15H,1540
10/22/2021 14H,1005
10/22/2021 13H,573
10/22/2021 12H,128
10/22/2021 11H,2
10/22/2021 10H,2
10/22/2021 09H,3
10/22/2021 08H,2
10/22/2021 07H,2
10/22/2021 06H,2
10/22/2021 05H,2
10/22/2021 04H,2
10/22/2021 03H,2
10/22/2021 02H,2
10/22/2021 01H,2
10/22/2021 00H,2
10/21/2021 23H,2
10/21/2021 22H,22
10/21/2021 21H,628
10/21/2021 20H,1919
10/21/2021 19H,2327
10/21/2021 18H,2272
10/21/2021 17H,2266
10/21/2021 16H,2246
10/21/2021 15H,2305
10/21/2021 14H,2238
10/21/2021 13H,1970
10/21/2021 12H,623
10/21/2021 11H,2
10/21/2021 10H,2
10/21/2021 09H,2
10/21/2021 08H,2
10/21/2021 07H,2
10/21/2021 06H,2
10/21/2021 05H,2
10/21/2021 04H,5
10/21/2021 03H,2
10/21/2021 02H,2
10/21/2021 01H,2
10/21/2021 00H,2
10/20/2021 23H,2
10/20/2021 22H,23
10/20/2021 21H,948
10/20/2021 20H,2167
10/20/2021 19H,2445
10/20/2021 18H,2452
10/20/2021 17H,2487
10/20/2021 16H,2501
10/20/2021 15H,2554
10/20/2021 14H,2527
10/20/2021 13H,1824
10/20/2021 12H,361
10/20/2021 11H,5
10/20/2021 10H,5
10/20/2021 09H,5
10/20/2021 08H,5
10/20/2021 07H,5
10/20/2021 06H,5
10/20/2021 05H,5
10/20/2021 04H,5
10/20/2021 03H,5
10/20/2021 02H,5
10/20/2021 01H,5
10/20/2021 00H,5
10/19/2021 23H,5
10/19/2021 22H,18
10/19/2021 21H,1008
10/19/2021 20H,2101
10/19/2021 19H,2451
10/19/2021 18H,2498
10/19/2021 17H,2509
10/19/2021 16H,2565
10/19/2021 15H,2595
10/19/2021 14H,2573
10/19/2021 13H,2042
10/19/2021 12H,713
10/19/2021 11H,5
10/19/2021 10H,5
10/19/2021 09H,5
10/19/2021 08H,5
10/19/2021 07H,5
10/19/2021 06H,5
10/19/2021 05H,5
10/19/2021 04H,5
10/19/2021 03H,5
10/19/2021 02H,5
10/19/2021 01H,5
10/19/2021 00H,5
10/18/2021 23H,5
10/18/2021 22H,30
10/18/2021 21H,994
10/18/2021 20H,2182
10/18/2021 19H,2479
10/18/2021 18H,2454
10/18/2021 17H,2324
10/18/2021 16H,2446
10/18/2021 15H,2611
10/18/2021 14H,2678
10/18/2021 13H,2194
10/18/2021 12H,835
10/18/2021 11H,5
10/18/2021 10H,5
10/18/2021 09H,5
10/18/2021 08H,5
10/18/2021 07H,5
10/18/2021 06H,5
10/18/2021 05H,5
10/18/2021 04H,0
10/18/2021 03H,5
10/18/2021 02H,5
10/18/2021 01H,5
10/18/2021 00H,5
10/17/2021 23H,5
10/17/2021 22H,29
10/17/2021 21H,878
10/17/2021 20H,1861
10/17/2021 19H,2288
10/17/2021 18H,2369
10/17/2021 17H,2414
10/17/2021 16H,2526
10/17/2021 15H,2675
10/17/2021 14H,2659
10/17/2021 13H,2313
10/17/2021 12H,935
10/17/2021 11H,0
10/17/2021 10H,0
10/17/2021 09H,0
10/17/2021 08H,0
10/17/2021 07H,0
10/17/2021 06H,0
10/17/2021 05H,0
10/17/2021 04H,0
10/17/2021 03H,0
10/17/2021 02H,0
10/17/2021 01H,0
10/17/2021 00H,0
10/16/2021 23H,0
10/16/2021 22H,38
10/16/2021 21H,281
10/16/2021 20H,969
10/16/2021 19H,1520
10/16/2021 18H,1786
10/16/2021 17H,1978
10/16/2021 16H,2108
10/16/2021 15H,2321
10/16/2021 14H,2202
10/16/2021 13H,1742
10/16/2021 12H,622
10/16/2021 11H,0
10/16/2021 10H,0
10/16/2021 09H,0
10/16/2021 08H,0
10/16/2021 07H,0
10/16/2021 06H,0
10/16/2021 05H,0
10/16/2021 04H,0
10/16/2021 03H,0
10/16/2021 02H,0
10/16/2021 01H,0
10/16/2021 00H,0
10/15/2021 23H,0
10/15/2021 22H,18
10/15/2021 21H,722
10/15/2021 20H,1706
10/15/2021 19H,2018
10/15/2021 18H,2099
10/15/2021 17H,2229
10/15/2021 16H,2239
10/15/2021 15H,2192
10/15/2021 14H,2213
10/15/2021 13H,1783
10/15/2021 12H,670
10/15/2021 11H,0
10/15/2021 10H,0
10/15/2021 09H,0
10/15/2021 08H,0
10/15/2021 07H,0
10/15/2021 06H,0
10/15/2021 05H,0
10/15/2021 04H,0
10/15/2021 03H,0
10/15/2021 02H,0
10/15/2021 01H,0
10/15/2021 00H,0
10/14/2021 23H,0
10/14/2021 22H,17
10/14/2021 21H,887
10/14/2021 20H,1732
10/14/2021 19H,1860
10/14/2021 18H,2171
10/14/2021 17H,2140
10/14/2021 16H,2192
10/14/2021 15H,2241
10/14/2021 14H,2080
10/14/2021 13H,1362
10/14/2021 12H,398
10/14/2021 11H,0
10/14/2021 10H,0
10/14/2021 09H,0
10/14/2021 08H,0
10/14/2021 07H,0
10/14/2021 06H,0
10/14/2021 05H,0
10/14/2021 04H,0
10/14/2021 03H,0
10/14/2021 02H,0
10/14/2021 01H,0
10/14/2021 00H,0
10/13/2021 23H,0
10/13/2021 22H,28
10/13/2021 21H,402
10/13/2021 20H,882
10/13/2021 19H,1071
10/13/2021 18H,1188
10/13/2021 17H,1285
10/13/2021 16H,1473
10/13/2021 15H,1478
10/13/2021 14H,1446
10/13/2021 13H,899
10/13/2021 12H,226
10/13/2021 11H,0
10/13/2021 10H,0
10/13/2021 09H,0
10/13/2021 08H,0
10/13/2021 07H,0
10/13/2021 06H,0
10/13/2021 05H,0
10/13/2021 04H,0
10/13/2021 03H,0
10/13/2021 02H,0
10/13/2021 01H,0
10/13/2021 00H,0
10/12/2021 23H,0
10/12/2021 22H,61
10/12/2021 21H,498
10/12/2021 20H,680
10/12/2021 19H,962
10/12/2021 18H,1260
10/12/2021 17H,1072
10/12/2021 16H,954
10/12/2021 15H,854
10/12/2021 14H,566
10/12/2021 13H,376
10/12/2021 12H,130
10/12/2021 11H,0
10/12/2021 10H,0
10/12/2021 09H,0
10/12/2021 08H,0
10/12/2021 07H,0
10/12/2021 06H,0
10/12/2021 05H,0
10/12/2021 04H,9
10/12/2021 03H,0
10/12/2021 02H,0
10/12/2021 01H,0
10/12/2021 00H,0
10/11/2021 23H,0
10/11/2021 22H,55
10/11/2021 21H,319
10/11/2021 20H,521
10/11/2021 19H,699
10/11/2021 18H,879
10/11/2021 17H,1154
10/11/2021 16H,1025
10/11/2021 15H,874
10/11/2021 14H,788
10/11/2021 13H,566
10/11/2021 12H,170
10/11/2021 11H,6
10/11/2021 10H,6
10/11/2021 09H,7
10/11/2021 08H,7
10/11/2021 07H,7
10/11/2021 06H,7
10/11/2021 05H,7
10/11/2021 04H,6
10/11/2021 03H,7
10/11/2021 02H,7
10/11/2021 01H,7
10/11/2021 00H,7
10/10/2021 23H,7
10/10/2021 22H,74
10/10/2021 21H,786
10/10/2021 20H,1359
10/10/2021 19H,1454
10/10/2021 18H,1336
10/10/2021 17H,1329
10/10/2021 16H,1334
10/10/2021 15H,1025
10/10/2021 14H,857
10/10/2021 13H,419
10/10/2021 12H,99
10/10/2021 11H,9
10/10/2021 10H,6
10/10/2021 09H,6
10/10/2021 08H,6
10/10/2021 07H,6
10/10/2021 06H,6
10/10/2021 05H,6
10/10/2021 04H,7
10/10/2021 03H,6
10/10/2021 02H,6
10/10/2021 01H,6
10/10/2021 00H,6
10/9/2021 23H,6
10/9/2021 22H,38
10/9/2021 21H,305
10/9/2021 20H,506
10/9/2021 19H,700
10/9/2021 18H,835
10/9/2021 17H,926
10/9/2021 16H,820
10/9/2021 15H,773
10/9/2021 14H,675
10/9/2021 13H,371
10/9/2021 12H,84
10/9/2021 11H,7
10/9/2021 10H,7
10/9/2021 09H,7
10/9/2021 08H,7
10/9/2021 07H,7
10/9/2021 06H,7
10/9/2021 05H,7
10/9/2021 04H,0
10/9/2021 03H,7
10/9/2021 02H,11
10/9/2021 01H,7
10/9/2021 00H,7
10/8/2021 23H,7
10/8/2021 22H,38
10/8/2021 21H,439
10/8/2021 20H,923
10/8/2021 19H,1356
10/8/2021 18H,1638
10/8/2021 17H,1764
10/8/2021 16H,1619
10/8/2021 15H,1326
10/8/2021 14H,1191
10/8/2021 13H,859
10/8/2021 12H,299
10/8/2021 11H,3
10/8/2021 10H,0
10/8/2021 09H,0
10/8/2021 08H,0
10/8/2021 07H,0
10/8/2021 06H,0
10/8/2021 05H,0
10/8/2021 04H,0
10/8/2021 03H,0
10/8/2021 02H,0
10/8/2021 01H,0
10/8/2021 00H,0
10/7/2021 23H,0
10/7/2021 22H,52
10/7/2021 21H,325
10/7/2021 20H,564
10/7/2021 19H,1013
10/7/2021 18H,1243
10/7/2021 17H,1211
10/7/2021 16H,1449
10/7/2021 15H,1142
10/7/2021 14H,772
10/7/2021 13H,560
10/7/2021 12H,216
10/7/2021 11H,10
10/7/2021 10H,0
10/7/2021 09H,0
10/7/2021 08H,0
10/7/2021 07H,0
10/7/2021 06H,1
10/7/2021 05H,0
10/7/2021 04H,0
10/7/2021 03H,0
10/7/2021 02H,0
10/7/2021 01H,0
10/7/2021 00H,0
10/6/2021 23H,0
10/6/2021 22H,50
10/6/2021 21H,715
10/6/2021 20H,1024
10/6/2021 19H,968
10/6/2021 18H,1234
10/6/2021 17H,1241
10/6/2021 16H,1126
10/6/2021 15H,1091
10/6/2021 14H,735
10/6/2021 13H,367
10/6/2021 12H,170
10/6/2021 11H,12
10/6/2021 10H,0
10/6/2021 09H,0
10/6/2021 08H,0
10/6/2021 07H,0
10/6/2021 06H,0
10/6/2021 05H,0
10/6/2021 04H,8
10/6/2021 03H,0
10/6/2021 02H,0
10/6/2021 01H,0
10/6/2021 00H,0
10/5/2021 23H,0
10/5/2021 22H,75
10/5/2021 21H,790
10/5/2021 20H,1306
10/5/2021 19H,1402
10/5/2021 18H,1667
10/5/2021 17H,1652
10/5/2021 16H,1734
10/5/2021 15H,1833
10/5/2021 14H,1709
10/5/2021 13H,1370
10/5/2021 12H,560
10/5/2021 11H,21
10/5/2021 10H,8
10/5/2021 09H,8
10/5/2021 08H,8
10/5/2021 07H,8
10/5/2021 06H,8
10/5/2021 05H,8
10/5/2021 04H,8
10/5/2021 03H,8
10/5/2021 02H,8
10/5/2021 01H,8
10/5/2021 00H,8
10/4/2021 23H,8
10/4/2021 22H,134
10/4/2021 21H,537
10/4/2021 20H,1217
10/4/2021 19H,1467
10/4/2021 18H,1519
10/4/2021 17H,1795
10/4/2021 16H,1774
10/4/2021 15H,1499
10/4/2021 14H,1258
10/4/2021 13H,812
10/4/2021 12H,300
10/4/2021 11H,27
10/4/2021 10H,8
10/4/2021 09H,8
10/4/2021 08H,8
10/4/2021 07H,8
10/4/2021 06H,8
10/4/2021 05H,8
10/4/2021 04H,8
10/4/2021 03H,8
10/4/2021 02H,8
10/4/2021 01H,8
10/4/2021 00H,8
10/3/2021 23H,8
10/3/2021 22H,162
10/3/2021 21H,810
10/3/2021 20H,1392
