Net generation from petroleum for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.OIL.H
19:13:03 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.OIL.H megawatthours
10/25/2021 17H,207
10/25/2021 16H,209
10/25/2021 15H,210
10/25/2021 14H,212
10/25/2021 13H,214
10/25/2021 12H,214
10/25/2021 11H,217
10/25/2021 10H,210
10/25/2021 09H,178
10/25/2021 08H,173
10/25/2021 07H,137
10/25/2021 06H,87
10/25/2021 05H,80
10/25/2021 04H,74
10/25/2021 03H,75
10/25/2021 02H,76
10/25/2021 01H,79
10/25/2021 00H,79
10/24/2021 23H,78
10/24/2021 22H,77
10/24/2021 21H,77
10/24/2021 20H,72
10/24/2021 19H,73
10/24/2021 18H,73
10/24/2021 17H,74
10/24/2021 16H,73
10/24/2021 15H,77
10/24/2021 14H,76
10/24/2021 13H,79
10/24/2021 12H,78
10/24/2021 11H,81
10/24/2021 10H,83
10/24/2021 09H,80
10/24/2021 08H,76
10/24/2021 07H,75
10/24/2021 06H,75
10/24/2021 05H,75
10/24/2021 04H,214
10/24/2021 03H,71
10/24/2021 02H,69
10/24/2021 01H,71
10/24/2021 00H,72
10/23/2021 23H,71
10/23/2021 22H,196
10/23/2021 21H,210
10/23/2021 20H,206
10/23/2021 19H,209
10/23/2021 18H,210
10/23/2021 17H,203
10/23/2021 16H,209
10/23/2021 15H,211
10/23/2021 14H,212
10/23/2021 13H,214
10/23/2021 12H,213
10/23/2021 11H,215
10/23/2021 10H,218
10/23/2021 09H,219
10/23/2021 08H,219
10/23/2021 07H,218
10/23/2021 06H,219
10/23/2021 05H,216
10/23/2021 04H,206
10/23/2021 03H,211
10/23/2021 02H,211
10/23/2021 01H,543
10/23/2021 00H,538
10/22/2021 23H,535
10/22/2021 22H,434
10/22/2021 21H,439
10/22/2021 20H,520
10/22/2021 19H,320
10/22/2021 18H,206
10/22/2021 17H,206
10/22/2021 16H,207
10/22/2021 15H,208
10/22/2021 14H,440
10/22/2021 13H,372
10/22/2021 12H,375
10/22/2021 11H,212
10/22/2021 10H,212
10/22/2021 09H,212
10/22/2021 08H,210
10/22/2021 07H,208
10/22/2021 06H,208
10/22/2021 05H,206
10/22/2021 04H,215
10/22/2021 03H,206
10/22/2021 02H,207
10/22/2021 01H,203
10/22/2021 00H,206
10/21/2021 23H,205
10/21/2021 22H,204
10/21/2021 21H,205
10/21/2021 20H,201
10/21/2021 19H,204
10/21/2021 18H,206
10/21/2021 17H,304
10/21/2021 16H,207
10/21/2021 15H,252
10/21/2021 14H,234
10/21/2021 13H,210
10/21/2021 12H,215
10/21/2021 11H,214
10/21/2021 10H,218
10/21/2021 09H,217
10/21/2021 08H,218
10/21/2021 07H,216
10/21/2021 06H,218
10/21/2021 05H,218
10/21/2021 04H,208
10/21/2021 03H,211
10/21/2021 02H,213
10/21/2021 01H,215
10/21/2021 00H,218
10/20/2021 23H,212
10/20/2021 22H,209
10/20/2021 21H,207
10/20/2021 20H,251
10/20/2021 19H,206
10/20/2021 18H,210
10/20/2021 17H,211
10/20/2021 16H,210
10/20/2021 15H,211
10/20/2021 14H,211
10/20/2021 13H,214
10/20/2021 12H,213
10/20/2021 11H,213
10/20/2021 10H,212
10/20/2021 09H,212
10/20/2021 08H,211
10/20/2021 07H,210
10/20/2021 06H,211
10/20/2021 05H,211
10/20/2021 04H,209
10/20/2021 03H,207
10/20/2021 02H,206
10/20/2021 01H,206
10/20/2021 00H,208
10/19/2021 23H,206
10/19/2021 22H,206
10/19/2021 21H,208
10/19/2021 20H,205
10/19/2021 19H,205
10/19/2021 18H,205
10/19/2021 17H,264
10/19/2021 16H,264
10/19/2021 15H,263
10/19/2021 14H,210
10/19/2021 13H,213
10/19/2021 12H,219
10/19/2021 11H,222
10/19/2021 10H,222
10/19/2021 09H,215
10/19/2021 08H,216
10/19/2021 07H,214
10/19/2021 06H,211
10/19/2021 05H,210
10/19/2021 04H,205
10/19/2021 03H,209
10/19/2021 02H,209
10/19/2021 01H,211
10/19/2021 00H,209
10/18/2021 23H,209
10/18/2021 22H,207
10/18/2021 21H,207
10/18/2021 20H,202
10/18/2021 19H,200
10/18/2021 18H,204
10/18/2021 17H,202
10/18/2021 16H,198
10/18/2021 15H,200
10/18/2021 14H,198
10/18/2021 13H,200
10/18/2021 12H,206
10/18/2021 11H,205
10/18/2021 10H,379
10/18/2021 09H,205
10/18/2021 08H,204
10/18/2021 07H,205
10/18/2021 06H,206
10/18/2021 05H,206
10/18/2021 04H,209
10/18/2021 03H,205
10/18/2021 02H,205
10/18/2021 01H,205
10/18/2021 00H,206
10/17/2021 23H,206
10/17/2021 22H,204
10/17/2021 21H,206
10/17/2021 20H,205
10/17/2021 19H,205
10/17/2021 18H,206
10/17/2021 17H,205
10/17/2021 16H,208
10/17/2021 15H,211
10/17/2021 14H,211
10/17/2021 13H,212
10/17/2021 12H,212
10/17/2021 11H,215
10/17/2021 10H,215
10/17/2021 09H,217
10/17/2021 08H,215
10/17/2021 07H,215
10/17/2021 06H,217
10/17/2021 05H,214
10/17/2021 04H,210
10/17/2021 03H,210
10/17/2021 02H,210
10/17/2021 01H,211
10/17/2021 00H,213
10/16/2021 23H,209
10/16/2021 22H,208
10/16/2021 21H,209
10/16/2021 20H,204
10/16/2021 19H,203
10/16/2021 18H,202
10/16/2021 17H,204
10/16/2021 16H,206
10/16/2021 15H,210
10/16/2021 14H,211
10/16/2021 13H,213
10/16/2021 12H,215
10/16/2021 11H,217
10/16/2021 10H,215
10/16/2021 09H,213
10/16/2021 08H,210
10/16/2021 07H,210
10/16/2021 06H,211
10/16/2021 05H,209
10/16/2021 04H,216
10/16/2021 03H,205
10/16/2021 02H,205
10/16/2021 01H,207
10/16/2021 00H,208
10/15/2021 23H,206
10/15/2021 22H,208
10/15/2021 21H,208
10/15/2021 20H,206
10/15/2021 19H,209
10/15/2021 18H,211
10/15/2021 17H,208
10/15/2021 16H,209
10/15/2021 15H,214
10/15/2021 14H,214
10/15/2021 13H,214
10/15/2021 12H,217
10/15/2021 11H,219
10/15/2021 10H,227
10/15/2021 09H,222
10/15/2021 08H,220
10/15/2021 07H,219
10/15/2021 06H,218
10/15/2021 05H,218
10/15/2021 04H,210
10/15/2021 03H,213
10/15/2021 02H,214
10/15/2021 01H,216
10/15/2021 00H,219
10/14/2021 23H,215
10/14/2021 22H,213
10/14/2021 21H,210
10/14/2021 20H,205
10/14/2021 19H,206
10/14/2021 18H,208
10/14/2021 17H,233
10/14/2021 16H,208
10/14/2021 15H,212
10/14/2021 14H,229
10/14/2021 13H,213
10/14/2021 12H,217
10/14/2021 11H,216
10/14/2021 10H,212
10/14/2021 09H,212
10/14/2021 08H,213
10/14/2021 07H,211
10/14/2021 06H,209
10/14/2021 05H,209
10/14/2021 04H,213
10/14/2021 03H,207
10/14/2021 02H,254
10/14/2021 01H,301
10/14/2021 00H,321
10/13/2021 23H,320
10/13/2021 22H,273
10/13/2021 21H,256
10/13/2021 20H,255
10/13/2021 19H,262
10/13/2021 18H,217
10/13/2021 17H,209
10/13/2021 16H,210
10/13/2021 15H,211
10/13/2021 14H,213
10/13/2021 13H,214
10/13/2021 12H,217
10/13/2021 11H,217
10/13/2021 10H,221
10/13/2021 09H,218
10/13/2021 08H,220
10/13/2021 07H,221
10/13/2021 06H,220
10/13/2021 05H,218
10/13/2021 04H,210
10/13/2021 03H,211
10/13/2021 02H,254
10/13/2021 01H,260
10/13/2021 00H,328
10/12/2021 23H,394
10/12/2021 22H,298
10/12/2021 21H,296
10/12/2021 20H,206
10/12/2021 19H,208
10/12/2021 18H,208
10/12/2021 17H,208
10/12/2021 16H,210
10/12/2021 15H,211
10/12/2021 14H,217
10/12/2021 13H,220
10/12/2021 12H,219
10/12/2021 11H,219
10/12/2021 10H,223
10/12/2021 09H,216
10/12/2021 08H,212
10/12/2021 07H,211
10/12/2021 06H,214
10/12/2021 05H,210
10/12/2021 04H,214
10/12/2021 03H,207
10/12/2021 02H,208
10/12/2021 01H,255
10/12/2021 00H,312
10/11/2021 23H,311
10/11/2021 22H,256
10/11/2021 21H,254
10/11/2021 20H,206
10/11/2021 19H,206
10/11/2021 18H,206
10/11/2021 17H,210
10/11/2021 16H,210
10/11/2021 15H,212
10/11/2021 14H,216
10/11/2021 13H,210
10/11/2021 12H,216
10/11/2021 11H,217
10/11/2021 10H,219
10/11/2021 09H,220
10/11/2021 08H,218
10/11/2021 07H,220
10/11/2021 06H,222
10/11/2021 05H,218
10/11/2021 04H,211
10/11/2021 03H,213
10/11/2021 02H,212
10/11/2021 01H,214
10/11/2021 00H,215
10/10/2021 23H,212
10/10/2021 22H,210
10/10/2021 21H,211
10/10/2021 20H,208
10/10/2021 19H,208
10/10/2021 18H,208
10/10/2021 17H,208
10/10/2021 16H,208
10/10/2021 15H,210
10/10/2021 14H,213
10/10/2021 13H,210
10/10/2021 12H,212
10/10/2021 11H,216
10/10/2021 10H,219
10/10/2021 09H,216
10/10/2021 08H,214
10/10/2021 07H,210
10/10/2021 06H,214
10/10/2021 05H,212
10/10/2021 04H,321
10/10/2021 03H,209
10/10/2021 02H,208
10/10/2021 01H,209
10/10/2021 00H,210
10/9/2021 23H,209
10/9/2021 22H,208
10/9/2021 21H,210
10/9/2021 20H,207
10/9/2021 19H,209
10/9/2021 18H,211
10/9/2021 17H,210
10/9/2021 16H,211
10/9/2021 15H,214
10/9/2021 14H,215
10/9/2021 13H,214
10/9/2021 12H,217
10/9/2021 11H,219
10/9/2021 10H,221
10/9/2021 09H,220
10/9/2021 08H,219
10/9/2021 07H,221
10/9/2021 06H,221
10/9/2021 05H,217
10/9/2021 04H,209
10/9/2021 03H,379
10/9/2021 02H,378
10/9/2021 01H,378
10/9/2021 00H,378
10/8/2021 23H,338
10/8/2021 22H,335
10/8/2021 21H,213
10/8/2021 20H,209
10/8/2021 19H,207
10/8/2021 18H,175
10/8/2021 17H,210
10/8/2021 16H,212
10/8/2021 15H,215
10/8/2021 14H,214
10/8/2021 13H,436
10/8/2021 12H,431
10/8/2021 11H,557
10/8/2021 10H,468
10/8/2021 09H,218
10/8/2021 08H,213
10/8/2021 07H,213
10/8/2021 06H,214
10/8/2021 05H,212
10/8/2021 04H,215
10/8/2021 03H,208
10/8/2021 02H,204
10/8/2021 01H,209
10/8/2021 00H,210
10/7/2021 23H,206
10/7/2021 22H,208
10/7/2021 21H,210
10/7/2021 20H,205
10/7/2021 19H,205
10/7/2021 18H,254
10/7/2021 17H,208
10/7/2021 16H,208
10/7/2021 15H,250
10/7/2021 14H,252
10/7/2021 13H,216
10/7/2021 12H,215
10/7/2021 11H,218
10/7/2021 10H,217
10/7/2021 09H,218
10/7/2021 08H,215
10/7/2021 07H,212
10/7/2021 06H,214
10/7/2021 05H,216
10/7/2021 04H,208
10/7/2021 03H,210
10/7/2021 02H,213
10/7/2021 01H,216
10/7/2021 00H,218
10/6/2021 23H,214
10/6/2021 22H,213
10/6/2021 21H,212
10/6/2021 20H,287
10/6/2021 19H,284
10/6/2021 18H,284
10/6/2021 17H,286
10/6/2021 16H,254
10/6/2021 15H,238
10/6/2021 14H,212
10/6/2021 13H,290
10/6/2021 12H,217
10/6/2021 11H,217
10/6/2021 10H,220
10/6/2021 09H,216
10/6/2021 08H,212
10/6/2021 07H,211
10/6/2021 06H,214
10/6/2021 05H,209
10/6/2021 04H,214
10/6/2021 03H,206
10/6/2021 02H,206
10/6/2021 01H,208
10/6/2021 00H,209
10/5/2021 23H,208
10/5/2021 22H,206
10/5/2021 21H,209
10/5/2021 20H,207
10/5/2021 19H,210
10/5/2021 18H,434
10/5/2021 17H,366
10/5/2021 16H,288
10/5/2021 15H,289
10/5/2021 14H,292
10/5/2021 13H,216
10/5/2021 12H,220
10/5/2021 11H,223
10/5/2021 10H,220
10/5/2021 09H,218
10/5/2021 08H,215
10/5/2021 07H,219
10/5/2021 06H,221
10/5/2021 05H,218
10/5/2021 04H,180
10/5/2021 03H,211
10/5/2021 02H,213
10/5/2021 01H,214
10/5/2021 00H,214
10/4/2021 23H,210
10/4/2021 22H,219
10/4/2021 21H,325
10/4/2021 20H,321
10/4/2021 19H,226
10/4/2021 18H,228
10/4/2021 17H,230
10/4/2021 16H,207
10/4/2021 15H,210
10/4/2021 14H,213
10/4/2021 13H,214
10/4/2021 12H,254
10/4/2021 11H,231
10/4/2021 10H,209
10/4/2021 09H,194
10/4/2021 08H,176
10/4/2021 07H,175
10/4/2021 06H,176
10/4/2021 05H,178
10/4/2021 04H,190
10/4/2021 03H,195
10/4/2021 02H,207
10/4/2021 01H,207
10/4/2021 00H,206
10/3/2021 23H,206
10/3/2021 22H,206
10/3/2021 21H,209
10/3/2021 20H,208
10/3/2021 19H,205
10/3/2021 18H,207
10/3/2021 17H,208
10/3/2021 16H,210
10/3/2021 15H,208
10/3/2021 14H,213
10/3/2021 13H,213
10/3/2021 12H,214
10/3/2021 11H,213
10/3/2021 10H,201
10/3/2021 09H,193
10/3/2021 08H,193
10/3/2021 07H,192
