Net generation from nuclear for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.NUC.H
19:06:41 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.NUC.H megawatthours
11/6/2021 11H,10960
11/6/2021 10H,10942
11/6/2021 09H,10937
11/6/2021 08H,10932
11/6/2021 07H,10939
11/6/2021 06H,10926
11/6/2021 05H,10903
11/6/2021 04H,10875
11/6/2021 03H,10844
11/6/2021 02H,10834
11/6/2021 01H,10793
11/6/2021 00H,10786
11/5/2021 23H,10779
11/5/2021 22H,10767
11/5/2021 21H,10791
11/5/2021 20H,10781
11/5/2021 19H,10752
11/5/2021 18H,10711
11/5/2021 17H,10684
11/5/2021 16H,10681
11/5/2021 15H,10700
11/5/2021 14H,10684
11/5/2021 13H,10653
11/5/2021 12H,10645
11/5/2021 11H,10603
11/5/2021 10H,10586
11/5/2021 09H,10556
11/5/2021 08H,10527
11/5/2021 07H,10509
11/5/2021 06H,10482
11/5/2021 05H,10453
11/5/2021 04H,10422
11/5/2021 03H,10400
11/5/2021 02H,10371
11/5/2021 01H,10340
11/5/2021 00H,10321
11/4/2021 23H,10317
11/4/2021 22H,10327
11/4/2021 21H,10321
11/4/2021 20H,10324
11/4/2021 19H,10334
11/4/2021 18H,10293
11/4/2021 17H,10256
11/4/2021 16H,10236
11/4/2021 15H,10226
11/4/2021 14H,10215
11/4/2021 13H,10136
11/4/2021 12H,10033
11/4/2021 11H,10015
11/4/2021 10H,10008
11/4/2021 09H,10015
11/4/2021 08H,9997
11/4/2021 07H,9925
11/4/2021 06H,9880
11/4/2021 05H,9862
11/4/2021 04H,9781
11/4/2021 03H,9720
11/4/2021 02H,9721
11/4/2021 01H,9701
11/4/2021 00H,9681
11/3/2021 23H,9685
11/3/2021 22H,9680
11/3/2021 21H,9687
11/3/2021 20H,9681
11/3/2021 19H,9679
11/3/2021 18H,9637
11/3/2021 17H,9576
11/3/2021 16H,9541
11/3/2021 15H,9486
11/3/2021 14H,9427
11/3/2021 13H,9387
11/3/2021 12H,9327
11/3/2021 11H,9314
11/3/2021 10H,9300
11/3/2021 09H,9235
11/3/2021 08H,9183
11/3/2021 07H,9139
11/3/2021 06H,9150
11/3/2021 05H,9139
11/3/2021 04H,9063
11/3/2021 03H,8939
11/3/2021 02H,8943
11/3/2021 01H,8944
11/3/2021 00H,8937
11/2/2021 23H,8924
11/2/2021 22H,8941
11/2/2021 21H,8940
11/2/2021 20H,8936
11/2/2021 19H,8936
11/2/2021 18H,8911
11/2/2021 17H,8940
11/2/2021 16H,8941
11/2/2021 15H,8927
11/2/2021 14H,8934
11/2/2021 13H,8938
11/2/2021 12H,8931
11/2/2021 11H,8937
11/2/2021 10H,8938
11/2/2021 09H,8937
11/2/2021 08H,8935
11/2/2021 07H,8935
11/2/2021 06H,8937
11/2/2021 05H,8939
11/2/2021 04H,8928
11/2/2021 03H,8935
11/2/2021 02H,8927
11/2/2021 01H,8930
11/2/2021 00H,8926
11/1/2021 23H,8927
11/1/2021 22H,8921
11/1/2021 21H,8925
11/1/2021 20H,8931
11/1/2021 19H,8936
11/1/2021 18H,8943
11/1/2021 17H,8938
11/1/2021 16H,8945
11/1/2021 15H,8946
11/1/2021 14H,8956
11/1/2021 13H,8958
11/1/2021 12H,8950
11/1/2021 11H,8950
11/1/2021 10H,8955
11/1/2021 09H,8950
11/1/2021 08H,8961
11/1/2021 07H,8951
11/1/2021 06H,8955
11/1/2021 05H,8958
11/1/2021 04H,8956
11/1/2021 03H,8955
11/1/2021 02H,8951
11/1/2021 01H,8949
11/1/2021 00H,8955
10/31/2021 23H,8945
10/31/2021 22H,8946
10/31/2021 21H,8951
10/31/2021 20H,8950
10/31/2021 19H,8954
10/31/2021 18H,8955
10/31/2021 17H,8961
10/31/2021 16H,8963
10/31/2021 15H,8970
10/31/2021 14H,8974
10/31/2021 13H,8967
10/31/2021 12H,8970
10/31/2021 11H,8970
10/31/2021 10H,8963
10/31/2021 09H,8971
10/31/2021 08H,8972
10/31/2021 07H,8979
10/31/2021 06H,8981
10/31/2021 05H,8971
10/31/2021 04H,8975
10/31/2021 03H,8978
10/31/2021 02H,8975
10/31/2021 01H,8976
10/31/2021 00H,8979
10/30/2021 23H,8980
10/30/2021 22H,8984
10/30/2021 21H,8983
10/30/2021 20H,8979
10/30/2021 19H,8920
10/30/2021 18H,8878
10/30/2021 17H,8968
10/30/2021 16H,8983
10/30/2021 15H,8983
10/30/2021 14H,8985
10/30/2021 13H,8985
10/30/2021 12H,8981
10/30/2021 11H,8990
10/30/2021 10H,8985
10/30/2021 09H,8982
10/30/2021 08H,8983
10/30/2021 07H,8974
10/30/2021 06H,8974
10/30/2021 05H,8978
10/30/2021 04H,8980
10/30/2021 03H,8980
10/30/2021 02H,8980
10/30/2021 01H,8978
10/30/2021 00H,8975
10/29/2021 23H,8975
10/29/2021 22H,8970
10/29/2021 21H,8972
10/29/2021 20H,8971
10/29/2021 19H,8969
10/29/2021 18H,8971
10/29/2021 17H,8971
10/29/2021 16H,8966
10/29/2021 15H,8974
10/29/2021 14H,8970
10/29/2021 13H,8973
10/29/2021 12H,8970
10/29/2021 11H,8969
10/29/2021 10H,8966
10/29/2021 09H,8967
10/29/2021 08H,8966
10/29/2021 07H,8970
10/29/2021 06H,8973
10/29/2021 05H,8987
10/29/2021 04H,8978
10/29/2021 03H,8979
10/29/2021 02H,8985
10/29/2021 01H,8980
10/29/2021 00H,8986
10/28/2021 23H,8979
10/28/2021 22H,8987
10/28/2021 21H,8982
10/28/2021 20H,8982
10/28/2021 19H,8986
10/28/2021 18H,8987
10/28/2021 17H,8990
10/28/2021 16H,8991
10/28/2021 15H,8995
10/28/2021 14H,8990
10/28/2021 13H,9003
10/28/2021 12H,8998
10/28/2021 11H,8996
10/28/2021 10H,8994
10/28/2021 09H,8999
10/28/2021 08H,8988
10/28/2021 07H,8994
10/28/2021 06H,8995
10/28/2021 05H,9000
10/28/2021 04H,8994
10/28/2021 03H,8990
10/28/2021 02H,8979
10/28/2021 01H,8982
10/28/2021 00H,8975
10/27/2021 23H,8978
10/27/2021 22H,8985
10/27/2021 21H,8982
10/27/2021 20H,8985
10/27/2021 19H,8991
10/27/2021 18H,8989
10/27/2021 17H,8993
10/27/2021 16H,8954
10/27/2021 15H,8998
10/27/2021 14H,8996
10/27/2021 13H,8997
10/27/2021 12H,8997
10/27/2021 11H,8995
10/27/2021 10H,8997
10/27/2021 09H,8995
10/27/2021 08H,8982
10/27/2021 07H,8992
10/27/2021 06H,8990
10/27/2021 05H,8989
10/27/2021 04H,8991
10/27/2021 03H,8989
10/27/2021 02H,8987
10/27/2021 01H,8988
10/27/2021 00H,8984
10/26/2021 23H,8976
10/26/2021 22H,8968
10/26/2021 21H,8968
10/26/2021 20H,8970
10/26/2021 19H,8975
10/26/2021 18H,8980
10/26/2021 17H,8976
10/26/2021 16H,8985
10/26/2021 15H,8980
10/26/2021 14H,8989
10/26/2021 13H,8996
10/26/2021 12H,8998
10/26/2021 11H,8993
10/26/2021 10H,8992
10/26/2021 09H,8989
10/26/2021 08H,8984
10/26/2021 07H,8981
10/26/2021 06H,8976
10/26/2021 05H,8967
10/26/2021 04H,8973
10/26/2021 03H,8969
10/26/2021 02H,8968
10/26/2021 01H,8962
10/26/2021 00H,8957
10/25/2021 23H,8961
10/25/2021 22H,8962
10/25/2021 21H,8957
10/25/2021 20H,8959
10/25/2021 19H,8958
10/25/2021 18H,8959
10/25/2021 17H,8964
10/25/2021 16H,8973
10/25/2021 15H,8972
10/25/2021 14H,8977
10/25/2021 13H,8976
10/25/2021 12H,8976
10/25/2021 11H,8980
10/25/2021 10H,8973
10/25/2021 09H,8977
10/25/2021 08H,8979
10/25/2021 07H,8978
10/25/2021 06H,8972
10/25/2021 05H,8980
10/25/2021 04H,8976
10/25/2021 03H,8978
10/25/2021 02H,8977
10/25/2021 01H,8973
10/25/2021 00H,8971
10/24/2021 23H,8971
10/24/2021 22H,8972
10/24/2021 21H,8972
10/24/2021 20H,8976
10/24/2021 19H,8977
10/24/2021 18H,8975
10/24/2021 17H,8984
10/24/2021 16H,8987
10/24/2021 15H,8988
10/24/2021 14H,8999
10/24/2021 13H,9000
10/24/2021 12H,8995
10/24/2021 11H,8997
10/24/2021 10H,8997
10/24/2021 09H,8992
10/24/2021 08H,8997
10/24/2021 07H,8993
10/24/2021 06H,8992
10/24/2021 05H,8991
10/24/2021 04H,8988
10/24/2021 03H,8991
10/24/2021 02H,8985
10/24/2021 01H,8982
10/24/2021 00H,8978
10/23/2021 23H,8977
10/23/2021 22H,8975
10/23/2021 21H,8974
10/23/2021 20H,8982
10/23/2021 19H,8978
10/23/2021 18H,8988
10/23/2021 17H,8991
10/23/2021 16H,8993
10/23/2021 15H,8997
10/23/2021 14H,8999
10/23/2021 13H,9000
10/23/2021 12H,8998
10/23/2021 11H,8998
10/23/2021 10H,8995
10/23/2021 09H,8996
10/23/2021 08H,8994
10/23/2021 07H,8994
10/23/2021 06H,8992
10/23/2021 05H,8997
10/23/2021 04H,8986
10/23/2021 03H,8983
10/23/2021 02H,8980
10/23/2021 01H,8976
10/23/2021 00H,8973
10/22/2021 23H,8974
10/22/2021 22H,8971
10/22/2021 21H,8978
10/22/2021 20H,8978
10/22/2021 19H,8980
10/22/2021 18H,8982
10/22/2021 17H,8981
10/22/2021 16H,8981
10/22/2021 15H,8982
10/22/2021 14H,8985
10/22/2021 13H,8988
10/22/2021 12H,8981
10/22/2021 11H,8983
10/22/2021 10H,8984
10/22/2021 09H,8983
10/22/2021 08H,8980
10/22/2021 07H,8982
10/22/2021 06H,8979
10/22/2021 05H,8977
10/22/2021 04H,8979
10/22/2021 03H,8979
10/22/2021 02H,8977
10/22/2021 01H,8978
10/22/2021 00H,8975
10/21/2021 23H,8979
10/21/2021 22H,8976
10/21/2021 21H,8968
10/21/2021 20H,8974
10/21/2021 19H,8969
10/21/2021 18H,8977
10/21/2021 17H,8984
10/21/2021 16H,8992
10/21/2021 15H,9004
10/21/2021 14H,9002
10/21/2021 13H,9006
10/21/2021 12H,9001
10/21/2021 11H,9002
10/21/2021 10H,9000
10/21/2021 09H,8997
10/21/2021 08H,9001
10/21/2021 07H,9001
10/21/2021 06H,9000
10/21/2021 05H,9001
10/21/2021 04H,8997
10/21/2021 03H,8992
10/21/2021 02H,8992
10/21/2021 01H,8990
10/21/2021 00H,8990
10/20/2021 23H,8979
10/20/2021 22H,8990
10/20/2021 21H,8986
10/20/2021 20H,8995
10/20/2021 19H,8991
10/20/2021 18H,8991
10/20/2021 17H,8995
10/20/2021 16H,9005
10/20/2021 15H,9002
10/20/2021 14H,9009
10/20/2021 13H,9011
10/20/2021 12H,9007
10/20/2021 11H,9004
10/20/2021 10H,9003
10/20/2021 09H,9000
10/20/2021 08H,8997
10/20/2021 07H,9001
10/20/2021 06H,8994
10/20/2021 05H,8995
10/20/2021 04H,8997
10/20/2021 03H,8994
10/20/2021 02H,8993
10/20/2021 01H,8990
10/20/2021 00H,8987
10/19/2021 23H,8989
10/19/2021 22H,8979
10/19/2021 21H,8994
10/19/2021 20H,8998
10/19/2021 19H,8997
10/19/2021 18H,9003
10/19/2021 17H,9007
10/19/2021 16H,9050
10/19/2021 15H,9052
10/19/2021 14H,9049
10/19/2021 13H,9008
10/19/2021 12H,9006
10/19/2021 11H,9008
10/19/2021 10H,8999
10/19/2021 09H,8998
10/19/2021 08H,9000
10/19/2021 07H,8997
10/19/2021 06H,8996
10/19/2021 05H,8993
10/19/2021 04H,8990
10/19/2021 03H,8990
10/19/2021 02H,8989
10/19/2021 01H,8988
10/19/2021 00H,8986
10/18/2021 23H,8985
10/18/2021 22H,9098
10/18/2021 21H,9296
10/18/2021 20H,9525
10/18/2021 19H,9739
10/18/2021 18H,9761
10/18/2021 17H,9775
10/18/2021 16H,9771
10/18/2021 15H,9778
10/18/2021 14H,9781
10/18/2021 13H,9779
10/18/2021 12H,9784
10/18/2021 11H,9784
10/18/2021 10H,9779
10/18/2021 09H,9781
10/18/2021 08H,9782
10/18/2021 07H,9781
10/18/2021 06H,9772
10/18/2021 05H,9773
10/18/2021 04H,9774
10/18/2021 03H,9770
10/18/2021 02H,9766
10/18/2021 01H,9765
10/18/2021 00H,9770
10/17/2021 23H,9764
10/17/2021 22H,9766
10/17/2021 21H,9762
10/17/2021 20H,9766
10/17/2021 19H,9767
10/17/2021 18H,9766
10/17/2021 17H,9769
10/17/2021 16H,9765
10/17/2021 15H,9770
10/17/2021 14H,9774
10/17/2021 13H,9775
10/17/2021 12H,9767
10/17/2021 11H,9762
10/17/2021 10H,9761
10/17/2021 09H,9757
10/17/2021 08H,9754
10/17/2021 07H,9751
10/17/2021 06H,9750
10/17/2021 05H,9746
10/17/2021 04H,9756
10/17/2021 03H,9738
10/17/2021 02H,9740
10/17/2021 01H,9734
10/17/2021 00H,9734
10/16/2021 23H,9725
10/16/2021 22H,9726
10/16/2021 21H,9710
10/16/2021 20H,9704
10/16/2021 19H,9699
10/16/2021 18H,9701
10/16/2021 17H,9696
10/16/2021 16H,9700
10/16/2021 15H,9701
10/16/2021 14H,9704
10/16/2021 13H,9698
10/16/2021 12H,9697
10/16/2021 11H,9687
10/16/2021 10H,9682
10/16/2021 09H,9680
10/16/2021 08H,9760
10/16/2021 07H,9882
10/16/2021 06H,10033
10/16/2021 05H,10182
10/16/2021 04H,10333
10/16/2021 03H,10495
10/16/2021 02H,10665
10/16/2021 01H,10741
10/16/2021 00H,10751
10/15/2021 23H,10751
10/15/2021 22H,10747
10/15/2021 21H,10751
10/15/2021 20H,10751
10/15/2021 19H,10754
10/15/2021 18H,10760
10/15/2021 17H,10740
10/15/2021 16H,10765
10/15/2021 15H,10764
10/15/2021 14H,10772
10/15/2021 13H,10777
10/15/2021 12H,10785
10/15/2021 11H,10782
10/15/2021 10H,10778
10/15/2021 09H,10783
10/15/2021 08H,10771
10/15/2021 07H,10772
10/15/2021 06H,10764
10/15/2021 05H,10760
10/15/2021 04H,10757
10/15/2021 03H,10757
10/15/2021 02H,10762
10/15/2021 01H,10744
10/15/2021 00H,10738
10/14/2021 23H,10734
10/14/2021 22H,10728
10/14/2021 21H,10720
10/14/2021 20H,10710
10/14/2021 19H,10715
10/14/2021 18H,10716
10/14/2021 17H,10706
10/14/2021 16H,10711
10/14/2021 15H,10719
10/14/2021 14H,10720
10/14/2021 13H,10733
10/14/2021 12H,10718
10/14/2021 11H,10722
10/14/2021 10H,10733
10/14/2021 09H,10725
10/14/2021 08H,10729
10/14/2021 07H,10730
10/14/2021 06H,10739
10/14/2021 05H,10743
10/14/2021 04H,10752
10/14/2021 03H,10758
10/14/2021 02H,10763
10/14/2021 01H,10752
10/14/2021 00H,10752
10/13/2021 23H,10753
10/13/2021 22H,10757
10/13/2021 21H,10757
10/13/2021 20H,10758
10/13/2021 19H,10764
10/13/2021 18H,10759
10/13/2021 17H,10740
10/13/2021 16H,10748
10/13/2021 15H,10753
10/13/2021 14H,10767
10/13/2021 13H,10734
10/13/2021 12H,10712
10/13/2021 11H,10677
10/13/2021 10H,10640
10/13/2021 09H,10609
10/13/2021 08H,10564
10/13/2021 07H,10559
10/13/2021 06H,10555
10/13/2021 05H,10549
10/13/2021 04H,10553
10/13/2021 03H,10535
10/13/2021 02H,10506
10/13/2021 01H,10413
10/13/2021 00H,10379
10/12/2021 23H,10340
10/12/2021 22H,10312
10/12/2021 21H,10268
10/12/2021 20H,10238
10/12/2021 19H,10207
10/12/2021 18H,10177
10/12/2021 17H,10136
10/12/2021 16H,10089
10/12/2021 15H,10076
10/12/2021 14H,10071
10/12/2021 13H,10079
10/12/2021 12H,10070
10/12/2021 11H,10071
10/12/2021 10H,10080
10/12/2021 09H,10067
10/12/2021 08H,10076
10/12/2021 07H,10061
10/12/2021 06H,10057
10/12/2021 05H,10055
10/12/2021 04H,10049
10/12/2021 03H,10045
10/12/2021 02H,10039
10/12/2021 01H,10041
10/12/2021 00H,10050
10/11/2021 23H,10061
10/11/2021 22H,9988
10/11/2021 21H,9893
10/11/2021 20H,9872
10/11/2021 19H,9879
10/11/2021 18H,9878
10/11/2021 17H,9879
10/11/2021 16H,9828
10/11/2021 15H,9688
10/11/2021 14H,9628
10/11/2021 13H,9626
10/11/2021 12H,9629
10/11/2021 11H,9626
10/11/2021 10H,9627
10/11/2021 09H,9627
10/11/2021 08H,9628
10/11/2021 07H,9624
10/11/2021 06H,9626
10/11/2021 05H,9616
10/11/2021 04H,9617
10/11/2021 03H,9618
10/11/2021 02H,9615
10/11/2021 01H,9610
10/11/2021 00H,9606
10/10/2021 23H,9609
10/10/2021 22H,9606
10/10/2021 21H,9608
10/10/2021 20H,9601
10/10/2021 19H,9611
10/10/2021 18H,9611
10/10/2021 17H,9614
10/10/2021 16H,9620
10/10/2021 15H,9621
10/10/2021 14H,9621
10/10/2021 13H,9619
10/10/2021 12H,9627
10/10/2021 11H,9611
10/10/2021 10H,9626
10/10/2021 09H,9620
10/10/2021 08H,9625
10/10/2021 07H,9619
10/10/2021 06H,9622
10/10/2021 05H,9619
10/10/2021 04H,9614
10/10/2021 03H,9618
10/10/2021 02H,9611
10/10/2021 01H,9612
10/10/2021 00H,9605
10/9/2021 23H,9608
10/9/2021 22H,9602
10/9/2021 21H,9604
10/9/2021 20H,9605
10/9/2021 19H,9594
10/9/2021 18H,9611
10/9/2021 17H,9604
10/9/2021 16H,9607
10/9/2021 15H,9611
10/9/2021 14H,9601
10/9/2021 13H,9598
10/9/2021 12H,9606
10/9/2021 11H,9613
10/9/2021 10H,9609
10/9/2021 09H,9613
10/9/2021 08H,9602
10/9/2021 07H,9611
10/9/2021 06H,9608
10/9/2021 05H,9602
10/9/2021 04H,9673
10/9/2021 03H,9717
10/9/2021 02H,9718
10/9/2021 01H,9810
10/9/2021 00H,9842
10/8/2021 23H,9836
10/8/2021 22H,9836
10/8/2021 21H,9843
10/8/2021 20H,9878
10/8/2021 19H,9966
10/8/2021 18H,10097
10/8/2021 17H,10180
10/8/2021 16H,10182
10/8/2021 15H,10190
10/8/2021 14H,10342
10/8/2021 13H,10417
10/8/2021 12H,10418
10/8/2021 11H,10420
10/8/2021 10H,10424
10/8/2021 09H,10415
10/8/2021 08H,10425
10/8/2021 07H,10418
10/8/2021 06H,10415
10/8/2021 05H,10420
10/8/2021 04H,10415
10/8/2021 03H,10412
10/8/2021 02H,10412
10/8/2021 01H,10411
10/8/2021 00H,10407
10/7/2021 23H,10405
10/7/2021 22H,10411
10/7/2021 21H,10407
10/7/2021 20H,10414
10/7/2021 19H,10412
10/7/2021 18H,10419
10/7/2021 17H,10420
10/7/2021 16H,10425
10/7/2021 15H,10422
10/7/2021 14H,10416
10/7/2021 13H,10430
10/7/2021 12H,10430
10/7/2021 11H,10426
10/7/2021 10H,10423
10/7/2021 09H,10428
10/7/2021 08H,10423
10/7/2021 07H,10423
10/7/2021 06H,10422
10/7/2021 05H,10429
10/7/2021 04H,10428
10/7/2021 03H,10423
10/7/2021 02H,10416
10/7/2021 01H,10418
10/7/2021 00H,10415
10/6/2021 23H,10412
10/6/2021 22H,10416
10/6/2021 21H,10412
