Net generation from natural gas for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.NG.H
19:06:34 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.NG.H megawatthours
11/9/2021 11H,6360
11/9/2021 10H,5987
11/9/2021 09H,5854
11/9/2021 08H,5808
11/9/2021 07H,5800
11/9/2021 06H,5892
11/9/2021 05H,6003
11/9/2021 04H,6118
11/9/2021 03H,6261
11/9/2021 02H,6462
11/9/2021 01H,6663
11/9/2021 00H,6776
11/8/2021 23H,6410
11/8/2021 22H,6025
11/8/2021 21H,5673
11/8/2021 20H,5278
11/8/2021 19H,5225
11/8/2021 18H,5358
11/8/2021 17H,5406
11/8/2021 16H,5550
11/8/2021 15H,5841
11/8/2021 14H,6708
11/8/2021 13H,7780
11/8/2021 12H,7291
11/8/2021 11H,6745
11/8/2021 10H,6403
11/8/2021 09H,6402
11/8/2021 08H,6353
11/8/2021 07H,6317
11/8/2021 06H,6283
11/8/2021 05H,6261
11/8/2021 04H,6195
11/8/2021 03H,6125
11/8/2021 02H,5803
11/8/2021 01H,5735
11/8/2021 00H,5701
11/7/2021 23H,5573
11/7/2021 22H,4932
11/7/2021 21H,4292
11/7/2021 20H,4081
11/7/2021 19H,4158
11/7/2021 18H,4291
11/7/2021 17H,4308
11/7/2021 16H,4641
11/7/2021 15H,5302
11/7/2021 14H,5848
11/7/2021 13H,5903
11/7/2021 12H,5802
11/7/2021 11H,5680
11/7/2021 10H,5348
11/7/2021 09H,5133
11/7/2021 08H,5016
11/7/2021 07H,4739
11/7/2021 06H,5140
11/7/2021 05H,5515
11/7/2021 04H,5670
11/7/2021 03H,6202
11/7/2021 02H,6964
11/7/2021 01H,7256
11/7/2021 00H,7396
11/6/2021 23H,7455
11/6/2021 22H,7129
11/6/2021 21H,7004
11/6/2021 20H,6855
11/6/2021 19H,6747
11/6/2021 18H,6665
11/6/2021 17H,6868
11/6/2021 16H,7056
11/6/2021 15H,7436
11/6/2021 14H,7715
11/6/2021 13H,7770
11/6/2021 12H,7442
11/6/2021 11H,7001
11/6/2021 10H,6513
11/6/2021 09H,6184
11/6/2021 08H,6131
11/6/2021 07H,6157
11/6/2021 06H,6371
11/6/2021 05H,6718
11/6/2021 04H,6535
11/6/2021 03H,6837
11/6/2021 02H,7224
11/6/2021 01H,7577
11/6/2021 00H,7500
11/5/2021 23H,7436
11/5/2021 22H,7103
11/5/2021 21H,7094
11/5/2021 20H,7008
11/5/2021 19H,6948
11/5/2021 18H,6858
11/5/2021 17H,7239
11/5/2021 16H,7584
