Feature,Importance
YRBUILT,0.1426510786116288
UNITSIZE,0.11126430571450473
NUMELDERS,0.042493900031774376
NUMOLDKIDS,0.03275617697935082
FIREPLACE,0.025643529146983868
DIVISION_5,0.02442140212269508
DIVISION_7,0.021738773508962694
HHRACE_2.0,0.019936619540698187
HEATTYPE_1,0.018730918867834963
BLD_6,0.01844735466748263
NUMYNGKIDS,0.018342211974154015
BLD_2,0.017789206132469898
BLD_7,0.017681949685127707
ACPRIMARY_1,0.017195010070821023
COOKFUEL_2,0.017157803911592835
HEATFUEL_1,0.016745930252199705
HHRACE_1.0,0.016547458881237286
BLD_5,0.016188309928725712
DIVISION_8,0.01611865570513357
COOKFUEL_1,0.015721075057777766
HEATFUEL_2,0.015246933399172664
TENURE_2.0,0.01523489429418364
DIVISION_3,0.015221759531327678
HEATTYPE_3,0.015209624432017036
BLD_3,0.015083451012451827
TENURE_1.0,0.014686546932741719
DIVISION_9,0.014396869397778492
HOTWATER_2,0.01435099787618271
HOTWATER_1,0.014215746614712917
BLD_4,0.012997547955512532
HEATTYPE_5,0.01294039905453049
ACPRIMARY_0,0.012501036296236933
DIVISION_2,0.012419715958472029
BLD_9,0.012180834501790534
ACPRIMARY_4,0.012098263322584615
BLD_8,0.011223504129576942
HEATTYPE_4,0.010774341986240627
BLD_1,0.010718804548936886
HEATTYPE_8,0.010004877897339705
HHRACE_4.0,0.00989172448788945
DIVISION_1,0.009515581004927996
HEATTYPE_2,0.008005011729737293
TENURE_0.0,0.007726704221979953
SOLAR,0.007427705003914305
DIVISION_6,0.0073632135046786335
ACPRIMARY_2,0.007027147594403291
ACPRIMARY_5,0.006652444632306084
HOTWATER_3,0.005800551150977307
DIVISION_4,0.0057966774305677855
HEATFUEL_3,0.005760982600855726
ACPRIMARY_6,0.005701105328603616
HHRACE_6.0,0.005004155726374314
ACPRIMARY_7,0.004278731664522215
HHRACE_3.0,0.002798413271619516
COOKFUEL_3,0.002698202482161485
HEATFUEL_7,0.002685916057623651
COOKFUEL_0,0.0024608125770176643
HHRACE_5.0,0.0022908464275466145
HEATTYPE_12,0.002046926796425842
HEATFUEL_4,0.0019392664154843178
HEATTYPE_7,0.0016787761705564566
HOTWATER_4,0.0015821275606941608
HEATTYPE_9,0.0013694995716017988
HEATTYPE_11,0.0008687564958671321
ACPRIMARY_3,0.0006300909057839983
HEATFUEL_5,0.0005416224534156678
HOTWATER_0,0.00048341454377712065
HEATTYPE_6,0.0003445920457675267
HOTWATER_5,0.00017506131320122367
HEATTYPE_0,8.454667864568294e-05
HEATFUEL_6,8.29398547587031e-05
HEATTYPE_13,8.064961639941208e-05
HEATFUEL_0,5.9771094068419016e-05
HEATTYPE_10,4.690640764208142e-05
HEATFUEL_9,1.2232044898861886e-05
COOKFUEL_4,6.688118777752821e-06
HOTWATER_6,2.385081581373253e-06
