,Importance
NUMELDERS,0.5940785395670386
UNITSIZE,0.5557140224288336
YRBUILT,0.4328056284612359
HHRACE_2.0,0.25563743437730535
FIREPLACE,0.19881788653394541
NUMOLDKIDS,0.1521771543106692
DIVISION_7,0.11938047364921907
DIVISION_9,0.11425135489049827
TENURE_1.0,0.09862756420048815
DIVISION_8,0.08070357446806158
DIVISION_5,0.07628950853450463
HEATFUEL_2,0.07302098916774298
HOTWATER_2,0.05600887334497913
COOKFUEL_2,0.05434301406105442
BLD_1,0.05187091179611845
BLD_2,0.05098449801399028
DIVISION_3,0.04774747205632053
COOKFUEL_1,0.047308739912969376
ACPRIMARY_1,0.04646549570343852
NUMYNGKIDS,0.04442916803327155
HEATTYPE_3,0.04308109614525617
HEATTYPE_8,0.042488636554125755
BLD_5,0.04202547714959368
TENURE_2.0,0.04126691625886534
BLD_7,0.04095727590107838
BLD_6,0.03834428011831041
HEATTYPE_1,0.037914301888696225
HOTWATER_1,0.037201377292588725
BLD_3,0.032562821716190626
ACPRIMARY_0,0.03149790911810355
DIVISION_6,0.028963310269831233
HEATTYPE_2,0.028941309920174407
ACPRIMARY_4,0.028282771779725314
HEATFUEL_1,0.028152879641218466
BLD_4,0.02754427217012796
HHRACE_4.0,0.02649553222267913
BLD_9,0.02606260348081164
DIVISION_2,0.022572226809776396
SOLAR,0.022571272553548405
HEATTYPE_5,0.02106937469016239
HHRACE_1.0,0.021044710013574174
ACPRIMARY_2,0.02085162243752785
HEATTYPE_4,0.020080301589830894
ACPRIMARY_5,0.016142890823482615
ACPRIMARY_6,0.014426801673960354
TENURE_0.0,0.014344433420341529
DIVISION_1,0.01424042033352435
DIVISION_4,0.013820396101049681
BLD_8,0.012997159286040127
ACPRIMARY_7,0.010732930914156835
HOTWATER_3,0.010320823044306971
HHRACE_3.0,0.009736751269563282
COOKFUEL_3,0.009063952483233838
HEATFUEL_3,0.00801826852812353
HHRACE_5.0,0.0062103666334992315
HHRACE_6.0,0.004927676837928186
COOKFUEL_0,0.004474138883124756
HEATFUEL_4,0.003860099616984125
HEATTYPE_12,0.003466892872381244
HEATTYPE_9,0.002435508447019252
HOTWATER_4,0.0021153342356763803
ACPRIMARY_3,0.0020795379862018626
HEATTYPE_6,0.001491333151520524
HEATTYPE_7,0.0013890545159283452
HEATTYPE_11,0.000969156018362205
HEATFUEL_0,0.0005438284228100221
HEATFUEL_7,0.0005259362303351222
HEATTYPE_0,0.00043796896809191745
HEATFUEL_5,0.0002382014640151864
HOTWATER_0,0.00016030004102061124
HEATFUEL_6,0.00011817490130874297
HOTWATER_5,7.437895228732395e-05
HEATTYPE_10,4.2560660186485855e-05
HEATTYPE_13,2.453445076271432e-05
HOTWATER_6,1.8177595788615443e-05
COOKFUEL_4,1.058468898369469e-05
HEATFUEL_9,9.63609144368771e-06
HEATFUEL_8,2.7753814970887803e-06
