Feature,Shapley Value
NUMELDERS,0.028616673715220052
NUMOLDKIDS,0.026911680204498127
YRBUILT,0.012405227608880014
HHRACE_2.0,0.011321553519185342
UNITSIZE,0.009917094150787868
FIREPLACE,0.00851262734103101
ACPRIMARY_1,0.00813378005720622
DIVISION_8,0.007589604373556198
TENURE_2.0,0.0070846883082764526
BLD_2,0.006377575945148208
DIVISION_5,0.006092856935068628
BLD_6,0.006087941383095307
DIVISION_7,0.005872083918166647
NUMYNGKIDS,0.005151664694324697
DIVISION_2,0.0049467962738285335
DIVISION_1,0.00466582054572707
BLD_5,0.004017439043599379
DIVISION_3,0.003874833887053332
BLD_4,0.003812505433536524
BLD_3,0.0037972230709747766
BLD_7,0.0037753014279286994
HEATTYPE_2,0.003624693866677919
TENURE_1.0,0.0033618511041378957
HEATTYPE_8,0.0032629721012468814
HEATTYPE_1,0.003071061176118884
HEATTYPE_5,0.002996060897787681
HHRACE_1.0,0.002980060006032862
HEATTYPE_3,0.0029126439877044884
COOKFUEL_2,0.0029044457527562305
DIVISION_9,0.002809758985900936
HEATTYPE_4,0.0027500842847118924
ACPRIMARY_0,0.002746501843178665
BLD_1,0.002551180514041613
ACPRIMARY_2,0.002457000278401498
BLD_9,0.002175495195275538
BLD_8,0.002116942174459999
HEATFUEL_1,0.002086437216377897
COOKFUEL_1,0.0019406251281988251
HOTWATER_2,0.001917791713550608
HOTWATER_1,0.00188679285826326
HEATFUEL_2,0.0018580483237932695
TENURE_0.0,0.0018453557507032362
HOTWATER_3,0.0017605773390419095
SOLAR,0.0016889109884753336
ACPRIMARY_4,0.0016578318154922666
ACPRIMARY_6,0.0014825376066838957
HHRACE_4.0,0.0014422328344453911
HHRACE_6.0,0.0012374924139413334
HEATFUEL_3,0.0011486012207134971
DIVISION_4,0.0011083400062461874
DIVISION_6,0.0009801477026489674
HHRACE_3.0,0.0008182626488432542
ACPRIMARY_7,0.0008019459436828957
ACPRIMARY_5,0.0007688154150351796
COOKFUEL_3,0.0007183954100565034
HEATFUEL_7,0.0006802931672024508
HHRACE_5.0,0.0004676817649275021
HEATTYPE_9,0.0004315831214718063
HEATFUEL_4,0.0004239488565682066
HEATTYPE_7,0.00034432779218198024
COOKFUEL_0,0.0003018995864445565
HOTWATER_4,0.0002980232278698936
HEATTYPE_12,0.0001367540278157022
HEATTYPE_11,0.00013116841424783376
ACPRIMARY_3,9.773739227957936e-05
HEATFUEL_5,8.220166045590941e-05
HEATTYPE_6,4.883422509965165e-05
HOTWATER_0,2.6059853103721003e-05
HOTWATER_6,1.8559315855761474e-05
HEATFUEL_0,1.4093379688437053e-05
HEATTYPE_10,1.2475975313227512e-05
HOTWATER_5,1.1039813633105677e-05
HEATTYPE_0,1.0088483522033932e-05
HEATFUEL_9,8.552464487017353e-06
HEATFUEL_6,7.410205209675586e-06
HEATTYPE_13,6.5030467128824875e-06
COOKFUEL_4,9.176875319340823e-07
