Feature,Shapley Value
NUMELDERS,0.0326533013150254
NUMOLDKIDS,0.02012679010064348
HHRACE_2.0,0.013854038550525482
TENURE_2.0,0.012704296845491401
YRBUILT,0.011363273271393947
UNITSIZE,0.009900778325570658
ACPRIMARY_1,0.009543818972116341
FIREPLACE,0.00865761084605952
DIVISION_7,0.0081259678577832
DIVISION_8,0.006933622688789569
BLD_6,0.006422913940479155
BLD_2,0.00622570027977417
DIVISION_2,0.005529376343904681
BLD_7,0.005015526561566019
DIVISION_3,0.0045220030116811
DIVISION_1,0.0043575198943496575
NUMYNGKIDS,0.004204843780097239
HEATTYPE_8,0.004137945498552635
BLD_5,0.004102756364190182
DIVISION_5,0.004028334700157857
COOKFUEL_2,0.0038235571010572377
HEATTYPE_2,0.003551105675073832
URBAN,0.003386783192563185
HHRACE_1.0,0.0033205477603069633
BLD_3,0.0033197125004611494
HEATTYPE_3,0.002968429839885626
HEATTYPE_1,0.002820067952467815
HEATTYPE_5,0.0028000173792273606
ACPRIMARY_0,0.0027419466306284213
COOKFUEL_1,0.002740564960085645
DIVISION_9,0.002730487842481138
HOTWATER_2,0.002722704907102361
TENURE_1.0,0.0026622568480606165
BLD_9,0.0026380103524847143
BLD_1,0.0025202939446751955
DIVISION_6,0.0024951076939338556
HOTWATER_1,0.0024777392566792443
ACPRIMARY_7,0.002396068764025004
HOTWATER_3,0.0023793525249110343
HEATFUEL_3,0.0023633986878257205
BLD_4,0.00229654172527527
SOLAR,0.0022229185248512874
HEATTYPE_4,0.0021114408059123278
HEATFUEL_1,0.0021038050797012793
HEATFUEL_2,0.001969467987435466
BLD_8,0.0017598108910933529
DIVISION_4,0.0015045635059761607
TENURE_0.0,0.0014605134111297464
HHRACE_4.0,0.0012843342835374637
ACPRIMARY_2,0.0011080884948364558
ACPRIMARY_4,0.0010300615140919824
ACPRIMARY_5,0.0010011598997278943
ACPRIMARY_6,0.0009962493606671182
HHRACE_3.0,0.0009082822222751202
HEATTYPE_7,0.0007703184502167678
HEATFUEL_4,0.0006955553109237362
HHRACE_6.0,0.0006463885620927398
COOKFUEL_3,0.0006198566291841817
HHRACE_5.0,0.0003801057665837526
HEATFUEL_7,0.00034038437547395287
HOTWATER_4,0.000306582225141611
COOKFUEL_0,0.0002635637409353548
HEATTYPE_9,0.00024937337763123184
HEATTYPE_6,0.00022007777301651929
HEATTYPE_12,0.00015441611276716612
HEATFUEL_0,9.291798653452995e-05
HEATTYPE_11,8.725849048615604e-05
HEATTYPE_0,7.11066875655483e-05
ACPRIMARY_3,5.8479311412530684e-05
HEATFUEL_9,5.812004145915885e-05
HOTWATER_0,5.312105137009818e-05
HEATFUEL_5,4.956969138471058e-05
HOTWATER_5,3.5447629738587084e-05
HEATTYPE_13,5.594417021740405e-06
HEATFUEL_6,5.154484893676142e-06
HEATTYPE_10,5.005954773283932e-06
COOKFUEL_4,2.9277108325617512e-06
HOTWATER_6,1.4586930821275784e-06
