,Importance
NUMELDERS,0.09680677557570024
UNITSIZE,0.06668890749962526
NUMOLDKIDS,0.016262605930916198
BLD_8,0.01334436471608207
YRBUILT,0.008427894495161903
FIREPLACE,0.0075332378318204276
DIVISION_8,0.006776040443573672
NUMYNGKIDS,0.006235825804968042
HEATTYPE_8,0.005835614745932105
BLD_1,0.005594291444627331
DIVISION_1,0.0052927838172949215
ACPRIMARY_2,0.003978661656024407
TENURE_0.0,0.0037919270444089826
SOLAR,0.0034131326097083916
BLD_2,0.0028996691686092647
TENURE_1.0,0.002668196987425153
ACPRIMARY_1,0.0011425149302167093
COOKFUEL_0,0.0005096761707202635
HEATTYPE_5,0.00039525971579563725
HEATFUEL_5,0.00038798839815807896
HEATTYPE_2,0.00024393477185817857
HEATTYPE_6,0.0001546517393232083
HEATTYPE_11,4.284007565016346e-05
HHRACE_5.0,7.909035576680878e-06
HOTWATER_6,4.6410761090243115e-06
HEATFUEL_8,0.0
HEATFUEL_9,-1.324368539279419e-07
COOKFUEL_4,-7.732932775894597e-07
HEATTYPE_10,-5.506606029559435e-06
HEATTYPE_13,-1.0503330069289162e-05
HEATFUEL_6,-1.0643809100807643e-05
HOTWATER_5,-1.6871197949974715e-05
ACPRIMARY_3,-2.9272137434022127e-05
HOTWATER_4,-0.00013006399374231313
HEATTYPE_0,-0.00020023569691653975
HEATFUEL_0,-0.00024803229722230035
HEATFUEL_7,-0.0002703399723618105
HEATTYPE_12,-0.00027922234358754847
HOTWATER_3,-0.00042313062737631135
ACPRIMARY_4,-0.00045400860122142285
HEATTYPE_7,-0.0005312699555036993
HHRACE_6.0,-0.0007899504256211109
ACPRIMARY_7,-0.0010451087858614372
HOTWATER_0,-0.001130999524159426
HEATTYPE_4,-0.001318665842964295
HEATTYPE_9,-0.0014082420382053318
COOKFUEL_3,-0.0014199221836224574
HEATFUEL_4,-0.0014599571734765782
DIVISION_4,-0.0016018812865052467
HEATTYPE_1,-0.001647021956554573
TENURE_2.0,-0.002078981194807028
HEATFUEL_3,-0.002714164644882322
ACPRIMARY_5,-0.002755446071836154
BLD_3,-0.002771863772736127
BLD_4,-0.0028624418619211944
HHRACE_3.0,-0.002981674140244461
BLD_7,-0.0031447643775338375
HHRACE_4.0,-0.0037020597425462044
URBAN,-0.004296520579660434
DIVISION_6,-0.004967320089839289
ACPRIMARY_6,-0.005230864481600195
BLD_6,-0.005500282070432405
ACPRIMARY_0,-0.006153777381387249
BLD_9,-0.006825930242229194
HHRACE_2.0,-0.007191160008397368
HOTWATER_1,-0.0073376284845678265
HEATTYPE_3,-0.0077830929873860645
BLD_5,-0.008511729025796643
HHRACE_1.0,-0.008600330275005553
DIVISION_2,-0.009253303293877213
DIVISION_3,-0.010928777559681713
COOKFUEL_2,-0.011034081559277497
COOKFUEL_1,-0.012077177256257432
HEATFUEL_2,-0.01232216999632243
HEATFUEL_1,-0.01275605302438998
HOTWATER_2,-0.013994181533995453
DIVISION_5,-0.014249626363045031
DIVISION_9,-0.021594716257280266
DIVISION_7,-0.025782139419416473
