Feature,Importance
UNITSIZE,0.12343521691957143
YRBUILT,0.11794638237350989
FIREPLACE,0.04532876240096804
NUMELDERS,0.04405842446831092
ACPRIMARY_0,0.028651031186155675
NUMOLDKIDS,0.027677814196854077
DIVISION_7,0.027172794745634946
DIVISION_4,0.02660085410347668
BLD_1,0.025343618953667192
ACPRIMARY_1,0.022974901800343846
HEATFUEL_3,0.020644511697914755
HEATTYPE_3,0.02002801526858505
DIVISION_5,0.019664670672505345
DIVISION_2,0.018980003336186685
TENURE_1.0,0.0185005906611179
HOTWATER_3,0.017577380875006998
HEATFUEL_2,0.016209369484088656
DIVISION_8,0.015123779110620093
DIVISION_3,0.014697713764875699
HEATTYPE_1,0.014522292412394609
COOKFUEL_2,0.014195182245110079
HHRACE_2.0,0.01401762105399061
ACPRIMARY_5,0.013843460761445771
BLD_8,0.013198495450373191
COOKFUEL_1,0.013045968964879784
HOTWATER_2,0.012753427093627099
COOKFUEL_3,0.012715418990998007
HOTWATER_1,0.012518691137082497
HEATFUEL_7,0.012373384217528125
HEATTYPE_8,0.012124311372718199
DIVISION_6,0.01188150926833571
HOTWATER_4,0.011743697176386247
BLD_2,0.01154785707906123
ACPRIMARY_4,0.010627538526989383
ACPRIMARY_6,0.009967647002362464
HEATFUEL_4,0.009823652607375458
HEATFUEL_1,0.009165209997144147
HHRACE_6.0,0.008965002713437736
NUMYNGKIDS,0.008838662013754236
DIVISION_9,0.00874039078419977
HEATTYPE_7,0.008642249729349388
TENURE_0.0,0.0086209819667021
BLD_4,0.008313118781909556
HHRACE_1.0,0.007981753415194342
HEATTYPE_4,0.0072877199545546755
HOTWATER_0,0.007118210724362922
ACPRIMARY_2,0.006620540610712576
TENURE_2.0,0.006521917202039702
DIVISION_1,0.005340527628231967
HEATTYPE_5,0.005191387204965691
HEATTYPE_2,0.004213219378972994
BLD_5,0.004064935421471722
HEATTYPE_6,0.0035613331979448865
BLD_7,0.002904529081719196
HEATFUEL_5,0.002763149593222788
SOLAR,0.002065656048689425
ACPRIMARY_7,0.001964146151127498
BLD_6,0.0018377294315206402
HHRACE_3.0,0.001765946973470985
HEATTYPE_9,0.0014361669451286086
BLD_3,0.0011845325334761863
HEATTYPE_12,0.0005665719293906836
HEATFUEL_6,0.0005665578665257191
COOKFUEL_4,0.0003933746477374204
BLD_9,0.0003797555069447642
HHRACE_4.0,0.0003419057883224683
HEATFUEL_0,0.00025184352413325884
HEATTYPE_0,0.0002486776868299223
ACPRIMARY_3,0.0001784760221065675
HEATTYPE_10,0.00013223431836071375
HEATFUEL_9,0.0001182893240451215
HOTWATER_6,6.77592360993497e-05
HEATTYPE_13,4.271623770917991e-05
HHRACE_5.0,4.125386831369666e-05
COOKFUEL_0,2.7501387029785963e-05
HOTWATER_5,1.672467122071032e-05
HEATTYPE_11,1.3491218745427921e-06
HEATFUEL_8,0.0
