Feature,Shapley Value
NUMELDERS,0.014602208157567194
TENURE_1.0,0.008875221379134386
YRBUILT,0.0071950757112848275
UNITSIZE,0.006103039185494654
HEATFUEL_3,0.005390001267266886
BLD_1,0.004287626120072654
DIVISION_5,0.00350901923890976
DIVISION_7,0.0031342873760778745
DIVISION_6,0.0026588101871593025
BLD_2,0.0025634354100067536
HEATFUEL_4,0.002508926192454123
HOTWATER_3,0.0024040719293561595
ACPRIMARY_1,0.002138953766262499
DIVISION_2,0.002011292176843385
DIVISION_4,0.00200783010002796
DIVISION_3,0.0019970324841873627
HEATTYPE_3,0.0018139683225613943
FIREPLACE,0.0017862599550212425
HOTWATER_4,0.0017450808319198485
HOTWATER_2,0.0016784408946492393
HEATFUEL_1,0.0016686779772391324
COOKFUEL_2,0.0016123318684817417
HEATTYPE_8,0.0015519752228233452
COOKFUEL_3,0.0014481570830165945
NUMYNGKIDS,0.0013331797876690343
HEATFUEL_2,0.0012887444007763599
NUMOLDKIDS,0.0012747921207928452
ACPRIMARY_0,0.0012255848023344355
BLD_4,0.0011008152553632416
HEATTYPE_7,0.0010771668541444776
BLD_5,0.0010684259860722408
ACPRIMARY_4,0.0010174013709826953
HEATTYPE_1,0.0009993728537756419
ACPRIMARY_5,0.0009974462812589351
HHRACE_2.0,0.0009135403471935181
ACPRIMARY_6,0.0008767095010271912
TENURE_2.0,0.0008600709731350082
BLD_8,0.0008493835288716311
TENURE_0.0,0.0008393741395612198
HOTWATER_1,0.0007967117946140338
HHRACE_6.0,0.000761984389451967
HEATTYPE_4,0.0006694411953919678
BLD_7,0.0006635005581531153
HEATTYPE_5,0.0006616880543049501
COOKFUEL_1,0.0005513428345511805
HHRACE_1.0,0.0005278500144967966
ACPRIMARY_2,0.00050121325947751
DIVISION_1,0.0004572677550580306
HEATTYPE_6,0.0004201018374119052
DIVISION_8,0.00040364490804552857
HEATFUEL_7,0.0003673629579930424
HHRACE_3.0,0.0003600873221390761
HOTWATER_0,0.00035581512512324444
DIVISION_9,0.0003163216691435416
HEATTYPE_2,0.0002816952181246955
ACPRIMARY_7,0.0002363215235559331
HEATFUEL_5,0.00022082459357017508
BLD_3,0.00019879082314757998
HEATTYPE_9,0.00013653366820490839
BLD_6,0.00012946271744625345
SOLAR,0.00010148057726907291
HEATFUEL_6,7.119209116478994e-05
HEATTYPE_12,6.592109604521966e-05
HHRACE_4.0,5.4034094941845474e-05
COOKFUEL_4,3.8103078906561634e-05
HEATTYPE_10,3.397621392450094e-05
BLD_9,3.0497456598767218e-05
HOTWATER_6,1.722257919437851e-05
HEATTYPE_0,1.6819453314821454e-05
ACPRIMARY_3,1.566520421168998e-05
HEATFUEL_0,1.4963911189584211e-05
HEATFUEL_9,1.1302204595045576e-05
HHRACE_5.0,6.668145431580285e-06
HOTWATER_5,4.342179818999281e-06
COOKFUEL_0,3.5140908918549663e-06
HEATTYPE_13,3.2252545462458385e-06
HEATTYPE_11,7.04794241603965e-07
HEATFUEL_8,0.0
