Feature,Shapley Value
NUMELDERS,0.017897645281229935
UNITSIZE,0.009834121063001282
TENURE_1.0,0.007961544265296047
HHRACE_2.0,0.005967678447818707
YRBUILT,0.00526764698922374
DIVISION_7,0.0036556136824557254
NUMOLDKIDS,0.00293400292301388
BLD_2,0.0028868253870664704
DIVISION_5,0.002654658933975029
BLD_1,0.0026473201213227256
FIREPLACE,0.0025337048033906434
DIVISION_3,0.0024451504732970254
DIVISION_8,0.0024358205146186277
URBAN,0.002303384134715547
DIVISION_9,0.002231165543484676
HEATFUEL_2,0.0018832817779934493
HOTWATER_2,0.001825001796090532
ACPRIMARY_4,0.0017023341684190235
BLD_6,0.0016374088690363547
DIVISION_6,0.0015466094747896165
ACPRIMARY_1,0.001512468565926319
DIVISION_2,0.0014785064319842952
DIVISION_1,0.0013976452487967361
NUMYNGKIDS,0.0013908934852241248
COOKFUEL_2,0.0013563257263990384
BLD_7,0.00130932832873223
TENURE_2.0,0.0012764123612374926
HEATTYPE_5,0.001252410659318108
HEATTYPE_3,0.0012021991760076682
HEATTYPE_1,0.001165454326967975
BLD_5,0.0011089730444360044
BLD_3,0.0011049985270500822
HEATFUEL_1,0.0010048767832882373
HEATTYPE_8,0.0009992984197636004
BLD_8,0.0009400092418097623
HEATTYPE_2,0.0009196137818106748
HOTWATER_1,0.0009126123951219022
COOKFUEL_1,0.0009114882341983748
HEATTYPE_4,0.0008676945148194857
HEATFUEL_3,0.0008643818643590498
BLD_9,0.0008320892559483599
ACPRIMARY_5,0.0008295239419067747
COOKFUEL_3,0.0007695342609454124
TENURE_0.0,0.0007220961917029028
ACPRIMARY_6,0.0007157365115471488
SOLAR,0.0007129100559487569
DIVISION_4,0.0007124610547005363
ACPRIMARY_0,0.0007007336191003397
BLD_4,0.0006908490763865966
ACPRIMARY_2,0.0006396014310365103
ACPRIMARY_7,0.0005640803545685794
HEATFUEL_4,0.0005458730472336692
HOTWATER_3,0.0005345492789897012
HHRACE_4.0,0.0005274967328097302
HHRACE_1.0,0.0004499195111072171
HHRACE_3.0,0.0003680678787345123
HOTWATER_4,0.00031223778752851174
HEATTYPE_7,0.00021852006958099942
HEATTYPE_9,0.00020378428364608317
HHRACE_6.0,0.0001488346907869124
HEATTYPE_6,0.00012398531710193825
HEATTYPE_12,0.00010468874848374224
HEATFUEL_7,9.533846208328303e-05
HEATFUEL_5,7.762858310915041e-05
COOKFUEL_0,7.581330227182916e-05
HOTWATER_0,5.762494044931657e-05
HHRACE_5.0,5.240315193937306e-05
HOTWATER_5,2.6728088356225967e-05
HEATFUEL_0,2.6643386490152994e-05
HEATTYPE_0,2.6290742326931387e-05
HEATTYPE_11,2.4963505678397757e-05
HEATTYPE_10,1.5739374612583707e-05
ACPRIMARY_3,9.463353388345402e-06
HEATFUEL_6,6.682187474439368e-06
HEATTYPE_13,4.971922932904279e-06
HOTWATER_6,4.316573193805121e-06
COOKFUEL_4,3.368049745720224e-06
HEATFUEL_9,3.2103745053004747e-06
HEATFUEL_8,7.113172189213818e-07
