,Test MSE,Val MSE
Config 1,0.013926612974951928,0.015446321983243493
Config 2,0.013950892248201377,0.016267650031041976
Config 3,0.015833431277347584,0.013987768640358745
Config 4,0.05285369348843979,0.05391275581459158
Config 5,0.06917241667919681,0.055591503884175705
Config 6,0.03436659261199604,0.03536359599922135
