                       OLS Regression Results                      
Dep. Variable:   ,BURDEN          ,  R-squared:         ,   0.090  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.088  
Method:          ,Least Squares   ,  F-statistic:       ,   48.93  
Date:            ,Sun, 12 Dec 2021,  Prob (F-statistic):,  0.00    
Time:            ,22:30:36        ,  Log-Likelihood:    ,  52826.  
No. Observations:, 34396          ,  AIC:               ,-1.055e+05
Df Residuals:    , 34326          ,  BIC:               ,-1.049e+05
Df Model:        ,    69          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
TENURE_0.0 ,    0.0542,    0.004,   13.304, 0.000,    0.046,    0.062
TENURE_1.0 ,    0.0246,    0.004,    6.567, 0.000,    0.017,    0.032
TENURE_2.0 ,    0.0361,    0.004,    9.632, 0.000,    0.029,    0.043
FIREPLACE  ,   -0.0052,    0.001,   -7.779, 0.000,   -0.007,   -0.004
NUMELDERS  ,    0.0122,    0.000,   28.090, 0.000,    0.011,    0.013
NUMYNGKIDS ,    0.0018,    0.001,    3.052, 0.002,    0.001,    0.003
NUMOLDKIDS ,    0.0034,    0.000,    9.406, 0.000,    0.003,    0.004
URBAN      ,   -0.0086,    0.001,   -7.965, 0.000,   -0.011,   -0.006
SOLAR      ,   -0.0016,    0.002,   -0.952, 0.341,   -0.005,    0.002
UNITSIZE   ,   -0.0024,    0.000,  -11.459, 0.000,   -0.003,   -0.002
YRBUILT    ,-9.867e-05, 1.29e-05,   -7.676, 0.000,   -0.000,-7.35e-05
Intercept  ,    0.1149,    0.011,   10.567, 0.000,    0.094,    0.136
Omnibus:      ,27802.125,  Durbin-Watson:     ,   1.988  
Prob(Omnibus):, 0.000   ,  Jarque-Bera (JB):  ,677777.784
Skew:         , 3.835   ,  Prob(JB):          ,    0.00  
Kurtosis:     ,23.350   ,  Cond. No.          ,5.11e+16  

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 5.13e-23. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
