                      OLS Regression Results                     
Dep. Variable:   ,BURDEN          ,  R-squared:         ,   0.097
Model:           ,OLS             ,  Adj. R-squared:    ,   0.077
Method:          ,Least Squares   ,  F-statistic:       ,   4.891
Date:            ,Sun, 12 Dec 2021,  Prob (F-statistic):,9.97e-34
Time:            ,22:30:37        ,  Log-Likelihood:    ,  4408.4
No. Observations:,  3134          ,  AIC:               ,  -8681.
Df Residuals:    ,  3066          ,  BIC:               ,  -8269.
Df Model:        ,    67          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
HOTWATER_4 ,    0.0189,    0.011,    1.696, 0.090,   -0.003,    0.041
HOTWATER_5 ,    0.0072,    0.020,    0.364, 0.716,   -0.031,    0.046
HOTWATER_6 ,    0.0033,    0.016,    0.210, 0.833,   -0.028,    0.034
TENURE_0.0 ,    0.0588,    0.014,    4.326, 0.000,    0.032,    0.085
TENURE_1.0 ,    0.0310,    0.013,    2.343, 0.019,    0.005,    0.057
TENURE_2.0 ,    0.0454,    0.013,    3.471, 0.001,    0.020,    0.071
FIREPLACE  ,   -0.0052,    0.003,   -1.974, 0.049,   -0.010,-3.41e-05
NUMELDERS  ,    0.0117,    0.002,    7.588, 0.000,    0.009,    0.015
NUMYNGKIDS ,    0.0058,    0.002,    2.357, 0.018,    0.001,    0.011
NUMOLDKIDS ,    0.0022,    0.001,    1.487, 0.137,   -0.001,    0.005
URBAN      ,         0,        0,      nan,   nan,        0,        0
SOLAR      ,   -0.0093,    0.008,   -1.142, 0.253,   -0.025,    0.007
UNITSIZE   ,   -0.0019,    0.001,   -2.471, 0.014,   -0.003,   -0.000
YRBUILT    ,   -0.0001, 4.58e-05,   -2.769, 0.006,   -0.000, -3.7e-05
Intercept  ,    0.1352,    0.038,    3.537, 0.000,    0.060,    0.210
Omnibus:      ,1935.390,  Durbin-Watson:     ,   2.009 
Prob(Omnibus):, 0.000  ,  Jarque-Bera (JB):  ,20584.263
Skew:         , 2.828  ,  Prob(JB):          ,    0.00 
Kurtosis:     ,14.209  ,  Cond. No.          ,9.06e+16 

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 1.48e-24. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
