,BURDEN,,,,,
3647,0.002372394,,,,,
44453,0.002374101,,,,,
5308,0.002374101,,,,,
4287,0.002380952,,,,,
29221,0.002384106,,,,,
38867,0.002395833,,,,,
19088,0.0024,,,,,
25319,0.0024,,,,,
29663,0.00241206,,,,,
36124,0.002424242,,,,,
40309,0.002426694,,,,,
44095,0.00244898,,,,,
17507,0.002450647,,,,,
10868,0.002461538,,,,,
5677,0.002463343,,,,,
7883,0.002467866,,,,,
40575,0.002467866,,,,,
35610,0.002469983,,,,,
34727,0.002470588,,,,,
8458,0.002474227,,,,,
36739,0.002474227,,,,,
38230,0.002474227,,,,,
23884,0.002475758,,,,,
35434,0.002477064,,,,,
26040,0.002486056,,,,,
44546,0.0025,,,,,
28051,0.0025,,,,,
21772,0.002503912,,,,,
43956,0.002504348,,,,,
5935,0.002514286,,,,,
38353,0.002526316,,,,,
13138,0.002539683,,,,,
42292,0.002548263,,,,,
8419,0.002584615,,,,,
36357,0.002586207,,,,,
22690,0.002589307,,,,,
36650,0.002589928,,,,,
6036,0.002589928,,,,,
32211,0.002596811,,,,,
13982,0.002599278,,,,,
18459,0.0026,,,,,
22016,0.002615804,,,,,
35455,0.002616822,,,,,
6273,0.002622108,,,,,
16496,0.002623156,,,,,
36630,0.002627737,,,,,
38497,0.002627737,,,,,
43499,0.002628285,,,,,
18104,0.002658034,,,,,
35057,0.002666497,,,,,
18455,0.002666667,,,,,
40341,0.002673267,,,,,
3336,0.002706767,,,,,
22983,0.002708804,,,,,
22671,0.002710472,,,,,
20166,0.002714932,,,,,
18035,0.002714932,,,,,
22138,0.002714932,,,,,
34497,0.002735562,,,,,
25919,0.002743902,,,,,
23016,0.002751592,,,,,
18348,0.002756184,,,,,
30124,0.00275681,,,,,
36870,0.002762148,,,,,
2195,0.002763385,,,,,
17968,0.002769231,,,,,
6306,0.00277635,,,,,
40330,0.00277635,,,,,
42959,0.00277635,,,,,
37502,0.002790698,,,,,
38840,0.002797586,,,,,
7770,0.002801556,,,,,
20504,0.002805195,,,,,
40095,0.002805755,,,,,
29364,0.002823529,,,,,
28918,0.002827225,,,,,
24599,0.002827225,,,,,
9246,0.002830189,,,,,
35402,0.002837718,,,,,
5959,0.00283871,,,,,
29216,0.002841226,,,,,
41127,0.002844828,,,,,
16499,0.00284585,,,,,
23632,0.002857143,,,,,
4759,0.002868526,,,,,
22103,0.002872008,,,,,
21818,0.00288,,,,,
43849,0.00288,,,,,
40162,0.002886598,,,,,
43646,0.002886598,,,,,
9946,0.002886598,,,,,
29138,0.002886598,,,,,
42688,0.002886598,,,,,
23946,0.002886751,,,,,
44562,0.002888889,,,,,
3030,0.002893226,,,,,
17733,0.00290469,,,,,
43062,0.002905028,,,,,
8155,0.00291498,,,,,
36057,0.002918919,,,,,
4729,0.002926829,,,,,
33129,0.002926829,,,,,
36899,0.002937576,,,,,
1787,0.002954856,,,,,
33168,0.002962049,,,,,
17353,0.002965116,,,,,
31355,0.002971429,,,,,
19491,0.002986425,,,,,
43880,0.002996878,,,,,
34376,0.002999827,,,,,
22130,0.003,,,,,
35488,0.003,,,,,
34680,0.003,,,,,
20468,0.003003755,,,,,
9552,0.003006834,,,,,
37520,0.003009404,,,,,
23932,0.003012552,,,,,
21083,0.003016158,,,,,
39508,0.003017734,,,,,
1135,0.003021583,,,,,
7440,0.003026122,,,,,
33020,0.003032491,,,,,
40142,0.003037975,,,,,
33027,0.003041096,,,,,
39507,0.003041475,,,,,
35401,0.00306383,,,,,
23530,0.003067933,,,,,
29558,0.003069054,,,,,
35793,0.003070101,,,,,
25568,0.003071672,,,,,
40429,0.003076923,,,,,
119,0.003076923,,,,,
8492,0.003076923,,,,,
44842,0.003076923,,,,,
22824,0.003079932,,,,,
10960,0.003083248,,,,,
44205,0.003086817,,,,,
1508,0.003092784,,,,,
42014,0.003092784,,,,,
44097,0.003096774,,,,,
41873,0.003096774,,,,,
24978,0.003106796,,,,,
34854,0.003108808,,,,,
9708,0.003112392,,,,,
42456,0.003113208,,,,,
2694,0.003115265,,,,,
43235,0.003116411,,,,,
4542,0.003121748,,,,,
13580,0.003125,,,,,
40413,0.003126551,,,,,
27848,0.003131796,,,,,
13355,0.003134328,,,,,
38168,0.003139013,,,,,
37814,0.003140758,,,,,
40287,0.003144105,,,,,
26725,0.003146657,,,,,
22957,0.003148426,,,,,
21727,0.003153285,,,,,
44717,0.003157895,,,,,
8310,0.003157895,,,,,
20010,0.003171806,,,,,
11979,0.003172881,,,,,
22077,0.003177189,,,,,
25306,0.003189369,,,,,
37170,0.003193916,,,,,
2709,0.003194676,,,,,
17660,0.0032,,,,,
1818,0.0032,,,,,
23653,0.0032,,,,,
17652,0.0032,,,,,
39164,0.003205128,,,,,
124,0.003216495,,,,,
38178,0.003218391,,,,,
16665,0.003219512,,,,,
20671,0.0032287,,,,,
17338,0.003234501,,,,,
38887,0.003235606,,,,,
12734,0.00323741,,,,,
44228,0.00323741,,,,,
15179,0.003239264,,,,,
5644,0.003243243,,,,,
23293,0.003243974,,,,,
28424,0.003248731,,,,,
20478,0.003253012,,,,,
39200,0.003257919,,,,,
23615,0.003262136,,,,,
32973,0.00326284,,,,,
26433,0.003265306,,,,,
34194,0.003270869,,,,,
1525,0.003272727,,,,,
34978,0.003272727,,,,,
42370,0.003272727,,,,,
44181,0.003273872,,,,,
28650,0.003278689,,,,,
2179,0.003296703,,,,,
30718,0.003296703,,,,,
6673,0.003297939,,,,,
43861,0.003298629,,,,,
1514,0.003298742,,,,,
8380,0.003298969,,,,,
39180,0.003298969,,,,,
41291,0.003300589,,,,,
38886,0.003310345,,,,,
16483,0.003310345,,,,,
25202,0.003310345,,,,,
25777,0.003333333,,,,,
17913,0.003348837,,,,,
4999,0.003348837,,,,,
23568,0.003356643,,,,,
36734,0.003356643,,,,,
22935,0.00336,,,,,
40763,0.003372973,,,,,
34640,0.003375959,,,,,
32612,0.00338134,,,,,
19556,0.003384182,,,,,
4537,0.003392226,,,,,
8735,0.003393281,,,,,
41846,0.003393316,,,,,
43447,0.003396226,,,,,
39502,0.003400236,,,,,
35086,0.00341448,,,,,
37835,0.00342246,,,,,
19824,0.003428571,,,,,
37123,0.003428571,,,,,
12797,0.003428571,,,,,
38853,0.003428571,,,,,
34434,0.003428571,,,,,
20153,0.003428571,,,,,
43800,0.003439803,,,,,
44843,0.003442623,,,,,
29718,0.003443329,,,,,
4194,0.003447332,,,,,
13330,0.003452554,,,,,
29397,0.003455838,,,,,
13060,0.003461013,,,,,
4836,0.003469792,,,,,
35940,0.003475298,,,,,
6890,0.003478261,,,,,
22314,0.003488372,,,,,
22409,0.003498542,,,,,
4276,0.003501684,,,,,
17829,0.003501946,,,,,
