,Configuration,SLR Val MSE,SLR R-Sqred,MLR Val MSE,MLR R-Sqred,Lasso Val MSE,Lasso R-Sqred
0,All Income,0.0027825269806465575,0.007888647986280084,0.08954033447999155,0.05067991006693293,0.0028046518961841954,-1.4391909886057874e-09
1,Low Income,0.03185416769922205,0.020685683312327674,0.0704831089443183,0.17659625660364503,0.032604825483462885,-0.002392298883956423
2,All Income Urban,0.0028066438937157227,0.005744436454458435,0.08134609059528763,0.050949124480654924,0.0028238174350814138,-0.00033930259303849297
3,Low Income Urban,0.03113178985500087,0.0010251152230968952,0.0722670545990639,0.17412095423525373,0.03116378738824285,-1.6401363742701847e-06
4,All Income Rural,0.003558538699480758,0.0065722862491366385,0.09656229941298544,0.057322137471987444,0.0035824801939247823,-0.00011139660438308496
5,Low Income Rural,0.01018419848086748,0.043013003316344056,0.14241714548985296,0.1062437867087195,0.010910730955730369,-0.02525767428468373
