Net generation from other for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.OTH.H
19:20:33 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.OTH.H megawatthours
11/8/2021 16H,212
11/8/2021 15H,213
11/8/2021 14H,218
11/8/2021 13H,224
11/8/2021 12H,224
11/8/2021 11H,225
11/8/2021 10H,226
11/8/2021 09H,225
11/8/2021 08H,225
11/8/2021 07H,225
11/8/2021 06H,225
11/8/2021 05H,216
11/8/2021 04H,29
11/8/2021 03H,29
11/8/2021 02H,29
11/8/2021 01H,30
11/8/2021 00H,28
11/7/2021 23H,28
11/7/2021 22H,30
11/7/2021 21H,29
11/7/2021 20H,28
11/7/2021 19H,28
11/7/2021 18H,28
11/7/2021 17H,27
11/7/2021 16H,26
11/7/2021 15H,26
11/7/2021 14H,27
11/7/2021 13H,28
11/7/2021 12H,29
11/7/2021 11H,29
11/7/2021 10H,28
11/7/2021 09H,28
11/7/2021 08H,29
11/7/2021 07H,28
11/7/2021 06H,29
11/7/2021 05H,34
11/7/2021 04H,35
11/7/2021 03H,32
11/7/2021 02H,32
11/7/2021 01H,31
11/7/2021 00H,36
11/6/2021 23H,35
11/6/2021 22H,34
11/6/2021 21H,35
11/6/2021 20H,35
11/6/2021 19H,36
11/6/2021 18H,32
11/6/2021 17H,33
11/6/2021 16H,31
11/6/2021 15H,31
11/6/2021 14H,33
11/6/2021 13H,32
11/6/2021 12H,34
11/6/2021 11H,35
11/6/2021 10H,33
11/6/2021 09H,32
11/6/2021 08H,33
11/6/2021 07H,34
11/6/2021 06H,31
11/6/2021 05H,30
11/6/2021 04H,32
11/6/2021 03H,33
11/6/2021 02H,36
11/6/2021 01H,35
11/6/2021 00H,36
11/5/2021 23H,39
11/5/2021 22H,34
11/5/2021 21H,31
11/5/2021 20H,32
11/5/2021 19H,35
11/5/2021 18H,34
11/5/2021 17H,35
11/5/2021 16H,34
11/5/2021 15H,31
11/5/2021 14H,37
11/5/2021 13H,41
11/5/2021 12H,40
11/5/2021 11H,38
11/5/2021 10H,35
11/5/2021 09H,34
11/5/2021 08H,36
11/5/2021 07H,34
11/5/2021 06H,36
11/5/2021 05H,230
11/5/2021 04H,229
11/5/2021 03H,231
11/5/2021 02H,232
11/5/2021 01H,234
11/5/2021 00H,235
11/4/2021 23H,230
11/4/2021 22H,238
11/4/2021 21H,235
11/4/2021 20H,226
11/4/2021 19H,223
11/4/2021 18H,222
11/4/2021 17H,227
11/4/2021 16H,235
11/4/2021 15H,225
11/4/2021 14H,216
11/4/2021 13H,211
11/4/2021 12H,214
11/4/2021 11H,233
11/4/2021 10H,232
11/4/2021 09H,235
11/4/2021 08H,234
11/4/2021 07H,234
11/4/2021 06H,232
11/4/2021 05H,234
11/4/2021 04H,232
11/4/2021 03H,237
11/4/2021 02H,234
11/4/2021 01H,235
11/4/2021 00H,232
11/3/2021 23H,228
11/3/2021 22H,231
11/3/2021 21H,227
11/3/2021 20H,226
11/3/2021 19H,220
11/3/2021 18H,221
11/3/2021 17H,225
11/3/2021 16H,230
11/3/2021 15H,231
11/3/2021 14H,232
11/3/2021 13H,232
11/3/2021 12H,228
11/3/2021 11H,227
11/3/2021 10H,226
11/3/2021 09H,224
11/3/2021 08H,231
11/3/2021 07H,236
11/3/2021 06H,238
11/3/2021 05H,234
11/3/2021 04H,236
11/3/2021 03H,238
11/3/2021 02H,241
11/3/2021 01H,244
11/3/2021 00H,245
11/2/2021 23H,238
11/2/2021 22H,236
11/2/2021 21H,239
11/2/2021 20H,241
11/2/2021 19H,243
11/2/2021 18H,245
11/2/2021 17H,240
11/2/2021 16H,241
11/2/2021 15H,235
11/2/2021 14H,242
11/2/2021 13H,272
11/2/2021 12H,258
11/2/2021 11H,240
11/2/2021 10H,241
11/2/2021 09H,242
11/2/2021 08H,244
11/2/2021 07H,241
11/2/2021 06H,239
11/2/2021 05H,238
11/2/2021 04H,230
11/2/2021 03H,229
11/2/2021 02H,253
11/2/2021 01H,260
11/2/2021 00H,252
11/1/2021 23H,221
11/1/2021 22H,228
11/1/2021 21H,224
11/1/2021 20H,223
11/1/2021 19H,226
11/1/2021 18H,223
11/1/2021 17H,220
11/1/2021 16H,225
11/1/2021 15H,221
11/1/2021 14H,225
11/1/2021 13H,257
11/1/2021 12H,240
11/1/2021 11H,229
11/1/2021 10H,232
11/1/2021 09H,230
11/1/2021 08H,229
11/1/2021 07H,229
11/1/2021 06H,227
11/1/2021 05H,231
11/1/2021 04H,226
11/1/2021 03H,229
11/1/2021 02H,229
11/1/2021 01H,231
11/1/2021 00H,230
10/31/2021 23H,231
10/31/2021 22H,230
10/31/2021 21H,231
10/31/2021 20H,231
10/31/2021 19H,231
10/31/2021 18H,234
10/31/2021 17H,233
10/31/2021 16H,232
10/31/2021 15H,229
10/31/2021 14H,232
10/31/2021 13H,223
10/31/2021 12H,224
10/31/2021 11H,216
10/31/2021 10H,212
10/31/2021 09H,205
10/31/2021 08H,193
10/31/2021 07H,176
10/31/2021 06H,166
10/31/2021 05H,225
10/31/2021 04H,230
10/31/2021 03H,231
10/31/2021 02H,228
10/31/2021 01H,231
10/31/2021 00H,231
10/30/2021 23H,232
10/30/2021 22H,234
10/30/2021 21H,231
10/30/2021 20H,232
10/30/2021 19H,230
10/30/2021 18H,229
10/30/2021 17H,230
10/30/2021 16H,229
10/30/2021 15H,231
10/30/2021 14H,234
10/30/2021 13H,238
10/30/2021 12H,235
10/30/2021 11H,228
10/30/2021 10H,238
10/30/2021 09H,240
10/30/2021 08H,238
10/30/2021 07H,240
10/30/2021 06H,240
10/30/2021 05H,238
10/30/2021 04H,240
10/30/2021 03H,237
10/30/2021 02H,231
10/30/2021 01H,229
10/30/2021 00H,249
10/29/2021 23H,272
10/29/2021 22H,254
10/29/2021 21H,236
10/29/2021 20H,233
10/29/2021 19H,252
10/29/2021 18H,254
10/29/2021 17H,251
10/29/2021 16H,260
10/29/2021 15H,266
10/29/2021 14H,269
10/29/2021 13H,271
10/29/2021 12H,267
10/29/2021 11H,272
10/29/2021 10H,274
10/29/2021 09H,278
10/29/2021 08H,276
10/29/2021 07H,276
10/29/2021 06H,276
10/29/2021 05H,278
10/29/2021 04H,280
10/29/2021 03H,283
10/29/2021 02H,283
10/29/2021 01H,286
10/29/2021 00H,281
10/28/2021 23H,287
10/28/2021 22H,294
10/28/2021 21H,305
10/28/2021 20H,309
10/28/2021 19H,312
10/28/2021 18H,329
10/28/2021 17H,331
10/28/2021 16H,334
10/28/2021 15H,362
10/28/2021 14H,365
10/28/2021 13H,368
10/28/2021 12H,365
10/28/2021 11H,343
10/28/2021 10H,329
10/28/2021 09H,331
10/28/2021 08H,335
10/28/2021 07H,332
10/28/2021 06H,324
10/28/2021 05H,313
10/28/2021 04H,308
10/28/2021 03H,336
10/28/2021 02H,340
10/28/2021 01H,345
10/28/2021 00H,351
10/27/2021 23H,348
10/27/2021 22H,339
10/27/2021 21H,333
10/27/2021 20H,338
10/27/2021 19H,343
10/27/2021 18H,346
10/27/2021 17H,336
10/27/2021 16H,341
10/27/2021 15H,337
10/27/2021 14H,347
10/27/2021 13H,338
10/27/2021 12H,320
10/27/2021 11H,313
10/27/2021 10H,307
10/27/2021 09H,314
10/27/2021 08H,337
10/27/2021 07H,338
10/27/2021 06H,335
10/27/2021 05H,335
10/27/2021 04H,336
10/27/2021 03H,317
10/27/2021 02H,305
10/27/2021 01H,303
10/27/2021 00H,306
10/26/2021 23H,313
10/26/2021 22H,309
10/26/2021 21H,300
10/26/2021 20H,301
10/26/2021 19H,302
10/26/2021 18H,299
10/26/2021 17H,280
10/26/2021 16H,259
10/26/2021 15H,257
10/26/2021 14H,260
10/26/2021 13H,267
10/26/2021 12H,295
10/26/2021 11H,306
10/26/2021 10H,305
10/26/2021 09H,305
10/26/2021 08H,301
10/26/2021 07H,303
10/26/2021 06H,303
10/26/2021 05H,303
10/26/2021 04H,301
10/26/2021 03H,301
10/26/2021 02H,303
10/26/2021 01H,299
10/26/2021 00H,293
10/25/2021 23H,290
10/25/2021 22H,295
10/25/2021 21H,270
10/25/2021 20H,265
10/25/2021 19H,275
10/25/2021 18H,283
10/25/2021 17H,275
10/25/2021 16H,276
10/25/2021 15H,277
10/25/2021 14H,272
10/25/2021 13H,271
10/25/2021 12H,273
10/25/2021 11H,292
10/25/2021 10H,298
10/25/2021 09H,313
10/25/2021 08H,312
10/25/2021 07H,310
10/25/2021 06H,310
10/25/2021 05H,308
10/25/2021 04H,309
10/25/2021 03H,310
10/25/2021 02H,309
10/25/2021 01H,310
10/25/2021 00H,309
10/24/2021 23H,307
10/24/2021 22H,308
10/24/2021 21H,303
10/24/2021 20H,303
10/24/2021 19H,302
10/24/2021 18H,310
10/24/2021 17H,309
10/24/2021 16H,306
10/24/2021 15H,295
10/24/2021 14H,304
10/24/2021 13H,305
10/24/2021 12H,303
10/24/2021 11H,304
10/24/2021 10H,307
10/24/2021 09H,308
10/24/2021 08H,307
10/24/2021 07H,309
10/24/2021 06H,307
10/24/2021 05H,308
10/24/2021 04H,310
10/24/2021 03H,322
10/24/2021 02H,329
10/24/2021 01H,343
10/24/2021 00H,362
10/23/2021 23H,347
10/23/2021 22H,330
10/23/2021 21H,325
10/23/2021 20H,323
10/23/2021 19H,323
10/23/2021 18H,306
10/23/2021 17H,300
10/23/2021 16H,289
10/23/2021 15H,270
10/23/2021 14H,263
10/23/2021 13H,270
10/23/2021 12H,311
10/23/2021 11H,321
10/23/2021 10H,326
10/23/2021 09H,327
10/23/2021 08H,325
10/23/2021 07H,325
10/23/2021 06H,320
10/23/2021 05H,349
10/23/2021 04H,352
10/23/2021 03H,353
10/23/2021 02H,349
10/23/2021 01H,350
10/23/2021 00H,350
10/22/2021 23H,352
10/22/2021 22H,354
10/22/2021 21H,349
10/22/2021 20H,343
10/22/2021 19H,340
10/22/2021 18H,317
10/22/2021 17H,299
10/22/2021 16H,298
10/22/2021 15H,308
10/22/2021 14H,301
10/22/2021 13H,300
10/22/2021 12H,313
10/22/2021 11H,321
10/22/2021 10H,324
10/22/2021 09H,325
10/22/2021 08H,324
10/22/2021 07H,326
10/22/2021 06H,328
10/22/2021 05H,331
10/22/2021 04H,332
10/22/2021 03H,334
10/22/2021 02H,324
10/22/2021 01H,323
10/22/2021 00H,333
10/21/2021 23H,330
10/21/2021 22H,323
10/21/2021 21H,329
10/21/2021 20H,328
10/21/2021 19H,321
10/21/2021 18H,316
10/21/2021 17H,319
10/21/2021 16H,311
10/21/2021 15H,302
10/21/2021 14H,287
10/21/2021 13H,293
10/21/2021 12H,330
10/21/2021 11H,332
10/21/2021 10H,328
10/21/2021 09H,331
10/21/2021 08H,332
10/21/2021 07H,330
10/21/2021 06H,329
10/21/2021 05H,330
10/21/2021 04H,324
10/21/2021 03H,329
10/21/2021 02H,335
10/21/2021 01H,362
10/21/2021 00H,349
10/20/2021 23H,335
10/20/2021 22H,337
10/20/2021 21H,326
10/20/2021 20H,326
10/20/2021 19H,330
10/20/2021 18H,338
10/20/2021 17H,342
10/20/2021 16H,327
10/20/2021 15H,309
10/20/2021 14H,317
10/20/2021 13H,326
10/20/2021 12H,346
10/20/2021 11H,342
10/20/2021 10H,337
10/20/2021 09H,327
10/20/2021 08H,325
10/20/2021 07H,340
10/20/2021 06H,337
10/20/2021 05H,335
10/20/2021 04H,331
10/20/2021 03H,337
10/20/2021 02H,340
10/20/2021 01H,329
10/20/2021 00H,325
10/19/2021 23H,306
10/19/2021 22H,293
10/19/2021 21H,295
10/19/2021 20H,294
10/19/2021 19H,303
10/19/2021 18H,334
10/19/2021 17H,339
10/19/2021 16H,334
10/19/2021 15H,333
10/19/2021 14H,333
10/19/2021 13H,342
10/19/2021 12H,334
10/19/2021 11H,332
10/19/2021 10H,335
10/19/2021 09H,334
10/19/2021 08H,333
10/19/2021 07H,333
10/19/2021 06H,327
10/19/2021 05H,329
10/19/2021 04H,328
10/19/2021 03H,325
10/19/2021 02H,313
10/19/2021 01H,300
10/19/2021 00H,305
10/18/2021 23H,319
10/18/2021 22H,309
10/18/2021 21H,315
10/18/2021 20H,310
10/18/2021 19H,301
10/18/2021 18H,295
10/18/2021 17H,278
10/18/2021 16H,277
10/18/2021 15H,278
10/18/2021 14H,283
10/18/2021 13H,283
10/18/2021 12H,302
10/18/2021 11H,316
10/18/2021 10H,312
10/18/2021 09H,306
10/18/2021 08H,314
10/18/2021 07H,315
10/18/2021 06H,312
10/18/2021 05H,312
10/18/2021 04H,311
10/18/2021 03H,313
10/18/2021 02H,313
10/18/2021 01H,311
10/18/2021 00H,311
10/17/2021 23H,310
10/17/2021 22H,311
10/17/2021 21H,309
10/17/2021 20H,309
10/17/2021 19H,310
10/17/2021 18H,307
10/17/2021 17H,307
10/17/2021 16H,303
10/17/2021 15H,306
10/17/2021 14H,297
10/17/2021 13H,305
10/17/2021 12H,299
10/17/2021 11H,303
10/17/2021 10H,305
10/17/2021 09H,304
10/17/2021 08H,305
10/17/2021 07H,304
10/17/2021 06H,304
10/17/2021 05H,284
10/17/2021 04H,290
10/17/2021 03H,304
10/17/2021 02H,307
10/17/2021 01H,300
10/17/2021 00H,299
10/16/2021 23H,305
10/16/2021 22H,302
10/16/2021 21H,304
10/16/2021 20H,303
10/16/2021 19H,304
10/16/2021 18H,301
10/16/2021 17H,294
10/16/2021 16H,285
10/16/2021 15H,273
10/16/2021 14H,271
10/16/2021 13H,294
10/16/2021 12H,295
10/16/2021 11H,298
10/16/2021 10H,306
10/16/2021 09H,305
10/16/2021 08H,304
10/16/2021 07H,303
10/16/2021 06H,296
10/16/2021 05H,297
10/16/2021 04H,303
10/16/2021 03H,303
10/16/2021 02H,318
10/16/2021 01H,329
10/16/2021 00H,328
10/15/2021 23H,342
10/15/2021 22H,339
10/15/2021 21H,328
10/15/2021 20H,313
10/15/2021 19H,284
10/15/2021 18H,275
10/15/2021 17H,285
10/15/2021 16H,309
10/15/2021 15H,305
10/15/2021 14H,316
10/15/2021 13H,310
10/15/2021 12H,310
10/15/2021 11H,304
10/15/2021 10H,307
10/15/2021 09H,309
10/15/2021 08H,308
10/15/2021 07H,306
10/15/2021 06H,308
10/15/2021 05H,298
10/15/2021 04H,295
10/15/2021 03H,301
10/15/2021 02H,321
10/15/2021 01H,332
10/15/2021 00H,323
10/14/2021 23H,306
10/14/2021 22H,309
10/14/2021 21H,315
10/14/2021 20H,320
10/14/2021 19H,305
10/14/2021 18H,277
10/14/2021 17H,258
10/14/2021 16H,263
10/14/2021 15H,280
10/14/2021 14H,296
10/14/2021 13H,300
10/14/2021 12H,336
10/14/2021 11H,332
10/14/2021 10H,341
10/14/2021 09H,346
10/14/2021 08H,347
10/14/2021 07H,344
10/14/2021 06H,344
10/14/2021 05H,355
10/14/2021 04H,354
10/14/2021 03H,354
10/14/2021 02H,351
10/14/2021 01H,339
10/14/2021 00H,348
10/13/2021 23H,352
10/13/2021 22H,356
10/13/2021 21H,359
10/13/2021 20H,356
10/13/2021 19H,355
10/13/2021 18H,357
10/13/2021 17H,354
10/13/2021 16H,350
10/13/2021 15H,342
10/13/2021 14H,334
10/13/2021 13H,316
10/13/2021 12H,327
10/13/2021 11H,351
