Net generation from solar for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.SUN.H
19:22:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.SUN.H megawatthours
10/22/2021 03H,45
10/22/2021 02H,61
10/22/2021 01H,183
10/22/2021 00H,842
10/21/2021 23H,1343
10/21/2021 22H,1414
10/21/2021 21H,1414
10/21/2021 20H,1395
10/21/2021 19H,1408
10/21/2021 18H,1443
10/21/2021 17H,1326
10/21/2021 16H,1204
10/21/2021 15H,584
10/21/2021 14H,42
10/21/2021 13H,10
10/21/2021 12H,17
10/21/2021 11H,12
10/21/2021 10H,6
10/21/2021 09H,8
10/21/2021 08H,7
10/21/2021 07H,3
10/21/2021 06H,1
10/21/2021 05H,3
10/21/2021 04H,2
10/21/2021 03H,9
10/21/2021 02H,42
10/21/2021 01H,191
10/21/2021 00H,847
10/20/2021 23H,1348
10/20/2021 22H,1437
10/20/2021 21H,1441
10/20/2021 20H,1431
10/20/2021 19H,1432
10/20/2021 18H,1419
10/20/2021 17H,1390
10/20/2021 16H,1170
10/20/2021 15H,600
10/20/2021 14H,46
10/20/2021 13H,7
10/20/2021 12H,6
10/20/2021 11H,3
10/20/2021 10H,2
10/20/2021 09H,6
10/20/2021 08H,6
10/20/2021 07H,9
10/20/2021 06H,10
10/20/2021 05H,4
10/20/2021 04H,3
10/20/2021 03H,15
10/20/2021 02H,15
10/20/2021 01H,165
10/20/2021 00H,1355
10/19/2021 23H,1373
10/19/2021 22H,1413
10/19/2021 21H,1321
10/19/2021 20H,1363
10/19/2021 19H,1382
10/19/2021 18H,1376
10/19/2021 17H,1218
10/19/2021 16H,1026
10/19/2021 15H,477
10/19/2021 14H,47
10/19/2021 13H,11
10/19/2021 12H,11
10/19/2021 11H,11
10/19/2021 10H,15
10/19/2021 09H,15
10/19/2021 08H,15
10/19/2021 07H,17
10/19/2021 06H,16
10/19/2021 05H,25
10/19/2021 04H,57
10/19/2021 03H,96
10/19/2021 02H,108
10/19/2021 01H,203
10/19/2021 00H,896
10/18/2021 23H,1327
10/18/2021 22H,1397
10/18/2021 21H,1490
10/18/2021 20H,1485
10/18/2021 19H,1505
10/18/2021 18H,1546
10/18/2021 17H,1470
10/18/2021 16H,1185
10/18/2021 15H,645
10/18/2021 14H,121
10/18/2021 13H,77
10/18/2021 12H,68
10/18/2021 11H,68
10/18/2021 10H,71
10/18/2021 09H,57
10/18/2021 08H,42
10/18/2021 07H,67
10/18/2021 06H,56
10/18/2021 05H,35
10/18/2021 04H,31
10/18/2021 03H,53
10/18/2021 02H,51
10/18/2021 01H,127
10/18/2021 00H,635
10/17/2021 23H,956
10/17/2021 22H,1131
10/17/2021 21H,1179
10/17/2021 20H,1237
10/17/2021 19H,1335
10/17/2021 18H,1330
10/17/2021 17H,1312
10/17/2021 16H,1064
10/17/2021 15H,602
10/17/2021 14H,79
10/17/2021 13H,26
10/17/2021 12H,33
10/17/2021 11H,28
10/17/2021 10H,34
10/17/2021 09H,42
10/17/2021 08H,44
10/17/2021 07H,49
10/17/2021 06H,48
10/17/2021 05H,41
10/17/2021 04H,59
10/17/2021 03H,63
10/17/2021 02H,79
10/17/2021 01H,217
10/17/2021 00H,895
10/16/2021 23H,1307
10/16/2021 22H,1435
10/16/2021 21H,1443
10/16/2021 20H,1448
10/16/2021 19H,1488
10/16/2021 18H,1509
10/16/2021 17H,1511
10/16/2021 16H,1315
10/16/2021 15H,680
10/16/2021 14H,75
10/16/2021 13H,16
10/16/2021 12H,12
10/16/2021 11H,14
10/16/2021 10H,14
10/16/2021 09H,18
10/16/2021 08H,17
10/16/2021 07H,26
10/16/2021 06H,40
10/16/2021 05H,57
10/16/2021 04H,78
10/16/2021 03H,100
10/16/2021 02H,114
10/16/2021 01H,300
10/16/2021 00H,1059
10/15/2021 23H,1554
10/15/2021 22H,1615
10/15/2021 21H,1586
10/15/2021 20H,1574
10/15/2021 19H,1571
10/15/2021 18H,1605
10/15/2021 17H,1505
10/15/2021 16H,1282
10/15/2021 15H,750
10/15/2021 14H,128
10/15/2021 13H,66
10/15/2021 12H,65
10/15/2021 11H,74
10/15/2021 10H,61
10/15/2021 09H,33
10/15/2021 08H,29
10/15/2021 07H,22
10/15/2021 06H,24
10/15/2021 05H,15
10/15/2021 04H,22
10/15/2021 03H,46
10/15/2021 02H,36
10/15/2021 01H,143
10/15/2021 00H,781
10/14/2021 23H,1232
10/14/2021 22H,1290
10/14/2021 21H,1217
10/14/2021 20H,1138
10/14/2021 19H,1152
10/14/2021 18H,1165
10/14/2021 17H,1191
10/14/2021 16H,1253
10/14/2021 15H,651
10/14/2021 14H,60
10/14/2021 13H,0
10/14/2021 12H,-1
10/14/2021 11H,-1
10/14/2021 10H,-1
10/14/2021 09H,-1
10/14/2021 08H,-1
10/14/2021 07H,-1
10/14/2021 06H,20
10/14/2021 05H,31
10/14/2021 04H,41
10/14/2021 03H,58
10/14/2021 02H,54
10/14/2021 01H,238
10/14/2021 00H,938
10/13/2021 23H,1384
10/13/2021 22H,1442
10/13/2021 21H,1450
10/13/2021 20H,1493
10/13/2021 19H,1488
10/13/2021 18H,1450
10/13/2021 17H,1463
10/13/2021 16H,1232
10/13/2021 15H,666
10/13/2021 14H,59
10/13/2021 13H,0
10/13/2021 12H,-1
10/13/2021 11H,0
10/13/2021 10H,-1
10/13/2021 09H,-1
10/13/2021 08H,0
10/13/2021 07H,-1
10/13/2021 06H,-1
10/13/2021 05H,-1
10/13/2021 04H,2
10/13/2021 03H,14
10/13/2021 02H,48
10/13/2021 01H,216
10/13/2021 00H,955
10/12/2021 23H,1395
10/12/2021 22H,1345
10/12/2021 21H,1342
10/12/2021 20H,1304
10/12/2021 19H,1272
10/12/2021 18H,1115
10/12/2021 17H,863
10/12/2021 16H,635
10/12/2021 15H,361
10/12/2021 14H,98
10/12/2021 13H,62
10/12/2021 12H,70
10/12/2021 11H,73
10/12/2021 10H,74
10/12/2021 09H,67
10/12/2021 08H,61
10/12/2021 07H,64
10/12/2021 06H,49
10/12/2021 05H,76
10/12/2021 04H,76
10/12/2021 03H,102
10/12/2021 02H,120
10/12/2021 01H,196
10/12/2021 00H,751
10/11/2021 23H,1204
10/11/2021 22H,1426
10/11/2021 21H,1560
10/11/2021 20H,1482
10/11/2021 19H,1507
10/11/2021 18H,1551
10/11/2021 17H,1576
10/11/2021 16H,1364
10/11/2021 15H,750
10/11/2021 14H,127
10/11/2021 13H,48
10/11/2021 12H,47
10/11/2021 11H,32
10/11/2021 10H,14
10/11/2021 09H,8
10/11/2021 08H,11
10/11/2021 07H,20
10/11/2021 06H,46
10/11/2021 05H,43
10/11/2021 04H,41
10/11/2021 03H,52
10/11/2021 02H,55
10/11/2021 01H,305
10/11/2021 00H,1016
10/10/2021 23H,1410
10/10/2021 22H,1434
10/10/2021 21H,1413
10/10/2021 20H,1392
10/10/2021 19H,1366
10/10/2021 18H,1363
10/10/2021 17H,1362
10/10/2021 16H,1165
10/10/2021 15H,630
10/10/2021 14H,79
10/10/2021 13H,10
10/10/2021 12H,11
10/10/2021 11H,10
10/10/2021 10H,13
10/10/2021 09H,17
10/10/2021 08H,25
10/10/2021 07H,15
10/10/2021 06H,18
10/10/2021 05H,27
10/10/2021 04H,51
10/10/2021 03H,51
10/10/2021 02H,77
10/10/2021 01H,314
10/10/2021 00H,914
10/9/2021 23H,1200
10/9/2021 22H,1252
10/9/2021 21H,1258
10/9/2021 20H,1163
10/9/2021 19H,1131
10/9/2021 18H,1181
10/9/2021 17H,1065
10/9/2021 16H,945
10/9/2021 15H,604
10/9/2021 14H,85
10/9/2021 13H,16
10/9/2021 12H,13
10/9/2021 11H,14
10/9/2021 10H,27
10/9/2021 09H,37
10/9/2021 08H,42
10/9/2021 07H,53
10/9/2021 06H,74
10/9/2021 05H,75
10/9/2021 04H,78
10/9/2021 03H,94
10/9/2021 02H,96
10/9/2021 01H,166
10/9/2021 00H,668
10/8/2021 23H,1064
10/8/2021 22H,1215
10/8/2021 21H,1288
10/8/2021 20H,1298
10/8/2021 19H,1314
10/8/2021 18H,1203
10/8/2021 17H,1149
10/8/2021 16H,949
10/8/2021 15H,595
10/8/2021 14H,87
10/8/2021 13H,19
10/8/2021 12H,12
10/8/2021 11H,21
10/8/2021 10H,18
10/8/2021 09H,12
10/8/2021 08H,22
10/8/2021 07H,34
10/8/2021 06H,40
10/8/2021 05H,38
10/8/2021 04H,26
10/8/2021 03H,36
10/8/2021 02H,22
10/8/2021 01H,66
10/8/2021 00H,396
10/7/2021 23H,787
10/7/2021 22H,1009
10/7/2021 21H,1212
10/7/2021 20H,1175
10/7/2021 19H,1316
10/7/2021 18H,1371
10/7/2021 17H,1303
10/7/2021 16H,1040
10/7/2021 15H,523
10/7/2021 14H,59
10/7/2021 13H,7
10/7/2021 12H,6
10/7/2021 11H,1
10/7/2021 10H,-1
10/7/2021 09H,-1
10/7/2021 08H,0
10/7/2021 07H,6
10/7/2021 06H,27
10/7/2021 05H,46
10/7/2021 04H,47
10/7/2021 03H,48
10/7/2021 02H,52
10/7/2021 01H,286
10/7/2021 00H,942
10/6/2021 23H,1308
10/6/2021 22H,1347
10/6/2021 21H,1393
10/6/2021 20H,1396
10/6/2021 19H,1391
10/6/2021 18H,1424
10/6/2021 17H,1403
10/6/2021 16H,1160
10/6/2021 15H,605
10/6/2021 14H,73
10/6/2021 13H,2
10/6/2021 12H,4
10/6/2021 11H,3
10/6/2021 10H,10
10/6/2021 09H,18
10/6/2021 08H,11
10/6/2021 07H,9
10/6/2021 06H,3
10/6/2021 05H,14
10/6/2021 04H,44
10/6/2021 03H,22
10/6/2021 02H,40
10/6/2021 01H,136
10/6/2021 00H,481
10/5/2021 23H,840
10/5/2021 22H,1104
10/5/2021 21H,1137
10/5/2021 20H,1096
10/5/2021 19H,951
10/5/2021 18H,948
10/5/2021 17H,942
10/5/2021 16H,739
10/5/2021 15H,476
10/5/2021 14H,90
10/5/2021 13H,46
10/5/2021 12H,27
10/5/2021 11H,33
10/5/2021 10H,65
10/5/2021 09H,20
10/5/2021 08H,12
10/5/2021 07H,6
10/5/2021 06H,2
10/5/2021 05H,1
10/5/2021 04H,5
10/5/2021 03H,23
