Net generation from hydro for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.WAT.H
19:21:40 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.WAT.H megawatthours
11/9/2021 19H,206
11/9/2021 18H,230
11/9/2021 17H,341
11/9/2021 16H,347
11/9/2021 15H,649
11/9/2021 14H,674
11/9/2021 13H,418
11/9/2021 12H,327
11/9/2021 11H,325
11/9/2021 10H,349
11/9/2021 09H,335
11/9/2021 08H,348
11/9/2021 07H,414
11/9/2021 06H,576
11/9/2021 05H,801
11/9/2021 04H,887
11/9/2021 03H,892
11/9/2021 02H,818
11/9/2021 01H,698
11/9/2021 00H,518
11/8/2021 23H,347
11/8/2021 22H,205
11/8/2021 21H,159
11/8/2021 20H,158
11/8/2021 19H,168
11/8/2021 18H,250
11/8/2021 17H,259
11/8/2021 16H,401
11/8/2021 15H,700
11/8/2021 14H,649
11/8/2021 13H,370
11/8/2021 12H,337
11/8/2021 11H,326
11/8/2021 10H,331
11/8/2021 09H,419
11/8/2021 08H,371
11/8/2021 07H,554
11/8/2021 06H,524
11/8/2021 05H,697
11/8/2021 04H,917
11/8/2021 03H,936
11/8/2021 02H,904
11/8/2021 01H,692
11/8/2021 00H,585
11/7/2021 23H,310
11/7/2021 22H,177
11/7/2021 21H,171
11/7/2021 20H,130
11/7/2021 19H,128
11/7/2021 18H,229
11/7/2021 17H,265
11/7/2021 16H,351
11/7/2021 15H,502
11/7/2021 14H,577
11/7/2021 13H,377
11/7/2021 12H,345
11/7/2021 11H,357
11/7/2021 10H,300
11/7/2021 09H,344
11/7/2021 08H,405
11/7/2021 07H,615
11/7/2021 06H,547
11/7/2021 05H,550
11/7/2021 04H,686
11/7/2021 03H,764
11/7/2021 02H,850
11/7/2021 01H,802
11/7/2021 00H,613
11/6/2021 23H,365
11/6/2021 22H,299
11/6/2021 21H,198
11/6/2021 20H,204
11/6/2021 19H,274
11/6/2021 18H,129
11/6/2021 17H,235
11/6/2021 16H,308
11/6/2021 15H,539
11/6/2021 14H,515
11/6/2021 13H,483
11/6/2021 12H,380
11/6/2021 11H,384
11/6/2021 10H,385
11/6/2021 09H,415
11/6/2021 08H,445
11/6/2021 07H,605
11/6/2021 06H,665
11/6/2021 05H,703
11/6/2021 04H,783
11/6/2021 03H,941
11/6/2021 02H,998
11/6/2021 01H,1028
11/6/2021 00H,612
11/5/2021 23H,342
11/5/2021 22H,303
11/5/2021 21H,220
11/5/2021 20H,134
11/5/2021 19H,143
11/5/2021 18H,247
11/5/2021 17H,260
11/5/2021 16H,347
11/5/2021 15H,693
11/5/2021 14H,608
11/5/2021 13H,482
11/5/2021 12H,358
11/5/2021 11H,352
11/5/2021 10H,366
11/5/2021 09H,443
11/5/2021 08H,446
11/5/2021 07H,520
11/5/2021 06H,587
11/5/2021 05H,560
11/5/2021 04H,854
11/5/2021 03H,1024
11/5/2021 02H,987
11/5/2021 01H,1016
11/5/2021 00H,616
11/4/2021 23H,511
11/4/2021 22H,340
11/4/2021 21H,227
11/4/2021 20H,150
11/4/2021 19H,188
11/4/2021 18H,195
11/4/2021 17H,252
11/4/2021 16H,308
11/4/2021 15H,722
11/4/2021 14H,734
11/4/2021 13H,477
11/4/2021 12H,336
11/4/2021 11H,336
11/4/2021 10H,321
11/4/2021 09H,356
11/4/2021 08H,436
11/4/2021 07H,506
11/4/2021 06H,733
11/4/2021 05H,760
11/4/2021 04H,887
11/4/2021 03H,1087
11/4/2021 02H,1090
11/4/2021 01H,1106
11/4/2021 00H,882
11/3/2021 23H,531
11/3/2021 22H,349
11/3/2021 21H,146
11/3/2021 20H,148
11/3/2021 19H,162
11/3/2021 18H,205
11/3/2021 17H,247
11/3/2021 16H,339
11/3/2021 15H,714
11/3/2021 14H,699
11/3/2021 13H,511
11/3/2021 12H,384
11/3/2021 11H,377
11/3/2021 10H,386
11/3/2021 09H,381
11/3/2021 08H,495
11/3/2021 07H,454
11/3/2021 06H,641
11/3/2021 05H,788
11/3/2021 04H,981
11/3/2021 03H,1064
11/3/2021 02H,1071
11/3/2021 01H,1067
11/3/2021 00H,765
11/2/2021 23H,512
11/2/2021 22H,338
11/2/2021 21H,312
11/2/2021 20H,275
11/2/2021 19H,148
11/2/2021 18H,267
11/2/2021 17H,286
11/2/2021 16H,341
11/2/2021 15H,609
11/2/2021 14H,669
11/2/2021 13H,516
11/2/2021 12H,363
11/2/2021 11H,348
11/2/2021 10H,345
11/2/2021 09H,360
11/2/2021 08H,416
11/2/2021 07H,409
11/2/2021 06H,620
11/2/2021 05H,770
11/2/2021 04H,950
11/2/2021 03H,996
11/2/2021 02H,871
11/2/2021 01H,916
11/2/2021 00H,654
11/1/2021 23H,415
11/1/2021 22H,261
11/1/2021 21H,251
11/1/2021 20H,244
11/1/2021 19H,189
11/1/2021 18H,205
11/1/2021 17H,283
11/1/2021 16H,362
11/1/2021 15H,695
11/1/2021 14H,696
11/1/2021 13H,529
11/1/2021 12H,377
11/1/2021 11H,358
11/1/2021 10H,361
11/1/2021 09H,362
11/1/2021 08H,416
11/1/2021 07H,490
11/1/2021 06H,611
11/1/2021 05H,659
11/1/2021 04H,825
11/1/2021 03H,1003
11/1/2021 02H,1003
11/1/2021 01H,672
11/1/2021 00H,524
10/31/2021 23H,303
10/31/2021 22H,261
10/31/2021 21H,242
10/31/2021 20H,210
10/31/2021 19H,232
10/31/2021 18H,235
10/31/2021 17H,239
10/31/2021 16H,278
10/31/2021 15H,485
10/31/2021 14H,581
10/31/2021 13H,430
10/31/2021 12H,278
10/31/2021 11H,135
10/31/2021 10H,142
10/31/2021 09H,387
10/31/2021 08H,462
10/31/2021 07H,433
10/31/2021 06H,348
10/31/2021 05H,508
10/31/2021 04H,730
10/31/2021 03H,1027
10/31/2021 02H,1181
10/31/2021 01H,1040
10/31/2021 00H,555
10/30/2021 23H,333
10/30/2021 22H,298
10/30/2021 21H,235
10/30/2021 20H,229
10/30/2021 19H,156
10/30/2021 18H,163
10/30/2021 17H,189
10/30/2021 16H,349
10/30/2021 15H,581
10/30/2021 14H,645
10/30/2021 13H,358
10/30/2021 12H,345
10/30/2021 11H,319
10/30/2021 10H,315
10/30/2021 09H,339
10/30/2021 08H,372
10/30/2021 07H,463
10/30/2021 06H,506
10/30/2021 05H,804
10/30/2021 04H,835
10/30/2021 03H,1139
10/30/2021 02H,1275
10/30/2021 01H,1285
10/30/2021 00H,833
10/29/2021 23H,449
10/29/2021 22H,295
10/29/2021 21H,210
10/29/2021 20H,194
10/29/2021 19H,141
10/29/2021 18H,169
10/29/2021 17H,183
10/29/2021 16H,318
10/29/2021 15H,607
10/29/2021 14H,896
10/29/2021 13H,588
10/29/2021 12H,349
10/29/2021 11H,339
10/29/2021 10H,346
10/29/2021 09H,375
10/29/2021 08H,398
10/29/2021 07H,389
10/29/2021 06H,470
10/29/2021 05H,860
10/29/2021 04H,1023
10/29/2021 03H,1106
10/29/2021 02H,1121
10/29/2021 01H,1195
10/29/2021 00H,764
10/28/2021 23H,278
10/28/2021 22H,184
10/28/2021 21H,210
10/28/2021 20H,159
10/28/2021 19H,101
10/28/2021 18H,98
10/28/2021 17H,138
10/28/2021 16H,320
10/28/2021 15H,649
10/28/2021 14H,747
10/28/2021 13H,411
10/28/2021 12H,304
10/28/2021 11H,302
10/28/2021 10H,324
10/28/2021 09H,359
10/28/2021 08H,413
10/28/2021 07H,509
10/28/2021 06H,559
10/28/2021 05H,743
10/28/2021 04H,1007
10/28/2021 03H,1195
10/28/2021 02H,1124
10/28/2021 01H,863
10/28/2021 00H,487
10/27/2021 23H,232
10/27/2021 22H,177
10/27/2021 21H,154
10/27/2021 20H,150
10/27/2021 19H,130
10/27/2021 18H,122
10/27/2021 17H,143
10/27/2021 16H,368
10/27/2021 15H,775
10/27/2021 14H,1021
10/27/2021 13H,521
10/27/2021 12H,398
10/27/2021 11H,393
10/27/2021 10H,393
10/27/2021 09H,416
10/27/2021 08H,442
10/27/2021 07H,463
10/27/2021 06H,611
10/27/2021 05H,736
10/27/2021 04H,842
10/27/2021 03H,1033
10/27/2021 02H,966
10/27/2021 01H,733
10/27/2021 00H,567
10/26/2021 23H,276
10/26/2021 22H,318
10/26/2021 21H,210
10/26/2021 20H,209
10/26/2021 19H,206
10/26/2021 18H,322
10/26/2021 17H,291
10/26/2021 16H,403
10/26/2021 15H,896
10/26/2021 14H,996
10/26/2021 13H,496
10/26/2021 12H,379
10/26/2021 11H,353
10/26/2021 10H,365
10/26/2021 09H,375
10/26/2021 08H,444
10/26/2021 07H,547
10/26/2021 06H,532
10/26/2021 05H,678
10/26/2021 04H,724
10/26/2021 03H,934
10/26/2021 02H,990
10/26/2021 01H,956
10/26/2021 00H,627
10/25/2021 23H,334
10/25/2021 22H,328
10/25/2021 21H,272
10/25/2021 20H,304
10/25/2021 19H,193
10/25/2021 18H,173
10/25/2021 17H,277
10/25/2021 16H,366
10/25/2021 15H,719
10/25/2021 14H,809
10/25/2021 13H,500
10/25/2021 12H,382
10/25/2021 11H,347
10/25/2021 10H,354
10/25/2021 09H,374
10/25/2021 08H,419
10/25/2021 07H,525
10/25/2021 06H,619
10/25/2021 05H,628
10/25/2021 04H,783
10/25/2021 03H,941
10/25/2021 02H,1116
10/25/2021 01H,944
10/25/2021 00H,565
10/24/2021 23H,427
10/24/2021 22H,351
10/24/2021 21H,370
10/24/2021 20H,316
10/24/2021 19H,278
10/24/2021 18H,239
10/24/2021 17H,222
10/24/2021 16H,289
10/24/2021 15H,475
10/24/2021 14H,614
10/24/2021 13H,495
10/24/2021 12H,350
10/24/2021 11H,292
10/24/2021 10H,362
10/24/2021 09H,396
10/24/2021 08H,464
10/24/2021 07H,556
10/24/2021 06H,583
10/24/2021 05H,702
10/24/2021 04H,1017
10/24/2021 03H,1011
10/24/2021 02H,1119
10/24/2021 01H,953
10/24/2021 00H,687
10/23/2021 23H,421
10/23/2021 22H,322
10/23/2021 21H,365
10/23/2021 20H,204
10/23/2021 19H,167
10/23/2021 18H,122
10/23/2021 17H,184
10/23/2021 16H,343
10/23/2021 15H,653
10/23/2021 14H,706
10/23/2021 13H,454
10/23/2021 12H,371
10/23/2021 11H,366
10/23/2021 10H,403
10/23/2021 09H,427
10/23/2021 08H,454
10/23/2021 07H,560
10/23/2021 06H,539
10/23/2021 05H,801
10/23/2021 04H,921
10/23/2021 03H,1169
10/23/2021 02H,1012
10/23/2021 01H,973
10/23/2021 00H,815
10/22/2021 23H,435
10/22/2021 22H,308
10/22/2021 21H,223
10/22/2021 20H,190
10/22/2021 19H,263
10/22/2021 18H,282
10/22/2021 17H,221
10/22/2021 16H,329
10/22/2021 15H,775
10/22/2021 14H,813
10/22/2021 13H,500
10/22/2021 12H,418
10/22/2021 11H,387
10/22/2021 10H,378
10/22/2021 09H,431
10/22/2021 08H,461
10/22/2021 07H,545
10/22/2021 06H,695
10/22/2021 05H,859
10/22/2021 04H,813
10/22/2021 03H,1113
10/22/2021 02H,1120
10/22/2021 01H,996
10/22/2021 00H,787
10/21/2021 23H,494
10/21/2021 22H,429
10/21/2021 21H,483
10/21/2021 20H,343
10/21/2021 19H,183
10/21/2021 18H,286
10/21/2021 17H,308
10/21/2021 16H,348
10/21/2021 15H,811
10/21/2021 14H,881
10/21/2021 13H,478
10/21/2021 12H,385
10/21/2021 11H,346
10/21/2021 10H,345
10/21/2021 09H,403
10/21/2021 08H,415
10/21/2021 07H,495
10/21/2021 06H,468
10/21/2021 05H,786
10/21/2021 04H,912
10/21/2021 03H,1137
10/21/2021 02H,1201
10/21/2021 01H,972
10/21/2021 00H,687
10/20/2021 23H,425
10/20/2021 22H,315
10/20/2021 21H,232
10/20/2021 20H,214
10/20/2021 19H,216
10/20/2021 18H,229
10/20/2021 17H,238
10/20/2021 16H,319
10/20/2021 15H,689
10/20/2021 14H,794
10/20/2021 13H,499
10/20/2021 12H,352
10/20/2021 11H,342
10/20/2021 10H,343
10/20/2021 09H,356
10/20/2021 08H,390
10/20/2021 07H,473
10/20/2021 06H,526
10/20/2021 05H,549
10/20/2021 04H,1013
10/20/2021 03H,1090
10/20/2021 02H,1043
10/20/2021 01H,995
10/20/2021 00H,517
10/19/2021 23H,374
10/19/2021 22H,243
10/19/2021 21H,264
10/19/2021 20H,238
10/19/2021 19H,170
10/19/2021 18H,143
10/19/2021 17H,239
10/19/2021 16H,293
10/19/2021 15H,650
10/19/2021 14H,901
10/19/2021 13H,493
10/19/2021 12H,293
10/19/2021 11H,297
10/19/2021 10H,300
10/19/2021 09H,306
10/19/2021 08H,366
10/19/2021 07H,486
10/19/2021 06H,538
10/19/2021 05H,645
10/19/2021 04H,1073
10/19/2021 03H,1149
10/19/2021 02H,1043
10/19/2021 01H,990
10/19/2021 00H,541
10/18/2021 23H,376
10/18/2021 22H,368
10/18/2021 21H,362
10/18/2021 20H,251
10/18/2021 19H,180
10/18/2021 18H,167
10/18/2021 17H,189
10/18/2021 16H,286
10/18/2021 15H,578
10/18/2021 14H,741
10/18/2021 13H,467
10/18/2021 12H,329
10/18/2021 11H,278
10/18/2021 10H,325
10/18/2021 09H,384
10/18/2021 08H,519
10/18/2021 07H,569
10/18/2021 06H,583
10/18/2021 05H,677
10/18/2021 04H,748
10/18/2021 03H,836
10/18/2021 02H,816
10/18/2021 01H,365
10/18/2021 00H,205
10/17/2021 23H,160
10/17/2021 22H,135
10/17/2021 21H,132
10/17/2021 20H,131
10/17/2021 19H,133
10/17/2021 18H,134
10/17/2021 17H,150
10/17/2021 16H,135
10/17/2021 15H,233
10/17/2021 14H,492
10/17/2021 13H,240
10/17/2021 12H,231
10/17/2021 11H,178
10/17/2021 10H,173
10/17/2021 09H,172
10/17/2021 08H,173
10/17/2021 07H,160
10/17/2021 06H,445
10/17/2021 05H,538
10/17/2021 04H,641
10/17/2021 03H,718
10/17/2021 02H,850
10/17/2021 01H,631
10/17/2021 00H,312
10/16/2021 23H,194
10/16/2021 22H,137
10/16/2021 21H,142
10/16/2021 20H,129
10/16/2021 19H,130
10/16/2021 18H,129
10/16/2021 17H,133
10/16/2021 16H,148
10/16/2021 15H,469
10/16/2021 14H,539
10/16/2021 13H,197
10/16/2021 12H,126
10/16/2021 11H,96
10/16/2021 10H,96
10/16/2021 09H,298
10/16/2021 08H,165
10/16/2021 07H,99
10/16/2021 06H,204
10/16/2021 05H,395
10/16/2021 04H,565
10/16/2021 03H,690
10/16/2021 02H,785
10/16/2021 01H,529
10/16/2021 00H,266
10/15/2021 23H,161
10/15/2021 22H,132
10/15/2021 21H,132
10/15/2021 20H,131
10/15/2021 19H,138
10/15/2021 18H,139
10/15/2021 17H,169
10/15/2021 16H,178
10/15/2021 15H,463
10/15/2021 14H,542
10/15/2021 13H,275
10/15/2021 12H,138
10/15/2021 11H,109
10/15/2021 10H,115
10/15/2021 09H,126
10/15/2021 08H,134
10/15/2021 07H,221
10/15/2021 06H,232
10/15/2021 05H,498
10/15/2021 04H,630
10/15/2021 03H,862
10/15/2021 02H,765
10/15/2021 01H,576
10/15/2021 00H,247
10/14/2021 23H,216
10/14/2021 22H,184
10/14/2021 21H,179
10/14/2021 20H,186
10/14/2021 19H,176
10/14/2021 18H,115
10/14/2021 17H,107
10/14/2021 16H,152
10/14/2021 15H,563
10/14/2021 14H,730
10/14/2021 13H,325
10/14/2021 12H,85
10/14/2021 11H,83
10/14/2021 10H,81
10/14/2021 09H,77
10/14/2021 08H,80
10/14/2021 07H,86
10/14/2021 06H,161
10/14/2021 05H,373
10/14/2021 04H,544
10/14/2021 03H,754
10/14/2021 02H,800
10/14/2021 01H,535
10/14/2021 00H,223
10/13/2021 23H,246
10/13/2021 22H,180
10/13/2021 21H,178
10/13/2021 20H,182
10/13/2021 19H,183
10/13/2021 18H,138
10/13/2021 17H,163
10/13/2021 16H,171
10/13/2021 15H,458
10/13/2021 14H,675
10/13/2021 13H,260
10/13/2021 12H,155
10/13/2021 11H,152
10/13/2021 10H,155
10/13/2021 09H,155
10/13/2021 08H,146
10/13/2021 07H,132
10/13/2021 06H,320
10/13/2021 05H,460
10/13/2021 04H,649
10/13/2021 03H,928
10/13/2021 02H,733
10/13/2021 01H,686
10/13/2021 00H,230
10/12/2021 23H,188
10/12/2021 22H,268
10/12/2021 21H,238
10/12/2021 20H,182
10/12/2021 19H,178
10/12/2021 18H,130
10/12/2021 17H,139
10/12/2021 16H,90
10/12/2021 15H,397
10/12/2021 14H,647
10/12/2021 13H,274
10/12/2021 12H,146
10/12/2021 11H,145
10/12/2021 10H,146
10/12/2021 09H,133
10/12/2021 08H,180
10/12/2021 07H,97
10/12/2021 06H,132
10/12/2021 05H,385
10/12/2021 04H,567
10/12/2021 03H,909
10/12/2021 02H,1056
10/12/2021 01H,791
10/12/2021 00H,320
10/11/2021 23H,216
10/11/2021 22H,285
10/11/2021 21H,258
10/11/2021 20H,198
10/11/2021 19H,227
10/11/2021 18H,255
10/11/2021 17H,257
10/11/2021 16H,260
10/11/2021 15H,495
10/11/2021 14H,1015
10/11/2021 13H,304
10/11/2021 12H,112
10/11/2021 11H,90
10/11/2021 10H,81
10/11/2021 09H,85
10/11/2021 08H,142
10/11/2021 07H,385
10/11/2021 06H,396
10/11/2021 05H,558
10/11/2021 04H,1214
10/11/2021 03H,1261
10/11/2021 02H,1463
10/11/2021 01H,1205
10/11/2021 00H,701
10/10/2021 23H,266
10/10/2021 22H,255
10/10/2021 21H,253
10/10/2021 20H,252
10/10/2021 19H,218
10/10/2021 18H,216
10/10/2021 17H,212
10/10/2021 16H,187
10/10/2021 15H,344
10/10/2021 14H,612
10/10/2021 13H,315
10/10/2021 12H,124
10/10/2021 11H,127
10/10/2021 10H,147
10/10/2021 09H,193
10/10/2021 08H,193
10/10/2021 07H,307
10/10/2021 06H,491
10/10/2021 05H,716
10/10/2021 04H,1003
10/10/2021 03H,1321
10/10/2021 02H,1311
10/10/2021 01H,1063
10/10/2021 00H,592
10/9/2021 23H,238
10/9/2021 22H,240
10/9/2021 21H,222
10/9/2021 20H,246
10/9/2021 19H,221
10/9/2021 18H,220
10/9/2021 17H,219
10/9/2021 16H,29
10/9/2021 15H,398
10/9/2021 14H,635
10/9/2021 13H,349
10/9/2021 12H,156
10/9/2021 11H,153
10/9/2021 10H,219
10/9/2021 09H,218
10/9/2021 08H,353
10/9/2021 07H,509
10/9/2021 06H,537
10/9/2021 05H,679
10/9/2021 04H,874
10/9/2021 03H,998
10/9/2021 02H,1032
10/9/2021 01H,1022
10/9/2021 00H,698
10/8/2021 23H,357
10/8/2021 22H,242
10/8/2021 21H,213
10/8/2021 20H,204
10/8/2021 19H,226
10/8/2021 18H,255
10/8/2021 17H,285
10/8/2021 16H,313
10/8/2021 15H,678
10/8/2021 14H,601
10/8/2021 13H,264
10/8/2021 12H,-31
10/8/2021 11H,-38
10/8/2021 10H,-24
10/8/2021 09H,4
10/8/2021 08H,382
10/8/2021 07H,396
10/8/2021 06H,569
10/8/2021 05H,879
10/8/2021 04H,1082
10/8/2021 03H,1219
10/8/2021 02H,1264
10/8/2021 01H,1198
10/8/2021 00H,895
10/7/2021 23H,597
10/7/2021 22H,525
10/7/2021 21H,500
10/7/2021 20H,311
10/7/2021 19H,384
10/7/2021 18H,305
10/7/2021 17H,237
10/7/2021 16H,410
10/7/2021 15H,794
10/7/2021 14H,726
10/7/2021 13H,360
10/7/2021 12H,208
10/7/2021 11H,86
10/7/2021 10H,125
10/7/2021 09H,138
10/7/2021 08H,336
10/7/2021 07H,450
10/7/2021 06H,537
10/7/2021 05H,787
10/7/2021 04H,913
10/7/2021 03H,1232
10/7/2021 02H,1108
10/7/2021 01H,964
10/7/2021 00H,848
10/6/2021 23H,351
10/6/2021 22H,369
10/6/2021 21H,319
10/6/2021 20H,244
10/6/2021 19H,211
10/6/2021 18H,177
10/6/2021 17H,183
10/6/2021 16H,330
10/6/2021 15H,560
10/6/2021 14H,723
10/6/2021 13H,404
10/6/2021 12H,235
10/6/2021 11H,221
10/6/2021 10H,165
10/6/2021 09H,192
10/6/2021 08H,253
10/6/2021 07H,391
10/6/2021 06H,460
10/6/2021 05H,579
10/6/2021 04H,662
10/6/2021 03H,664
10/6/2021 02H,820
10/6/2021 01H,807
10/6/2021 00H,658
10/5/2021 23H,482
10/5/2021 22H,434
10/5/2021 21H,260
10/5/2021 20H,249
10/5/2021 19H,197
10/5/2021 18H,175
10/5/2021 17H,165
10/5/2021 16H,253
10/5/2021 15H,848
10/5/2021 14H,865
10/5/2021 13H,393
10/5/2021 12H,367
10/5/2021 11H,418
10/5/2021 10H,495
10/5/2021 09H,417
10/5/2021 08H,411
10/5/2021 07H,395
10/5/2021 06H,462
10/5/2021 05H,906
10/5/2021 04H,1208
10/5/2021 03H,1351
10/5/2021 02H,1270
10/5/2021 01H,1096
10/5/2021 00H,1032
10/4/2021 23H,825
10/4/2021 22H,722
10/4/2021 21H,539
10/4/2021 20H,330
10/4/2021 19H,302
10/4/2021 18H,269
10/4/2021 17H,242
10/4/2021 16H,239
10/4/2021 15H,628
10/4/2021 14H,709
10/4/2021 13H,415
10/4/2021 12H,265
10/4/2021 11H,260
10/4/2021 10H,328
10/4/2021 09H,339
10/4/2021 08H,376
10/4/2021 07H,409
10/4/2021 06H,568
10/4/2021 05H,820
10/4/2021 04H,797
10/4/2021 03H,1108
10/4/2021 02H,1153
10/4/2021 01H,1230
10/4/2021 00H,958
10/3/2021 23H,423
10/3/2021 22H,363
10/3/2021 21H,241
10/3/2021 20H,246
10/3/2021 19H,215
10/3/2021 18H,183
10/3/2021 17H,184
10/3/2021 16H,221
10/3/2021 15H,221
10/3/2021 14H,459
10/3/2021 13H,354
