Net generation from nuclear for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.NUC.H
19:21:53 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.NUC.H megawatthours
11/5/2021 11H,2658
11/5/2021 10H,2660
11/5/2021 09H,2658
11/5/2021 08H,2658
11/5/2021 07H,2653
11/5/2021 06H,2656
11/5/2021 05H,2654
11/5/2021 04H,2652
11/5/2021 03H,2650
11/5/2021 02H,2648
11/5/2021 01H,2649
11/5/2021 00H,2650
11/4/2021 23H,2650
11/4/2021 22H,2644
11/4/2021 21H,2645
11/4/2021 20H,2643
11/4/2021 19H,2645
11/4/2021 18H,2646
11/4/2021 17H,2660
11/4/2021 16H,2664
11/4/2021 15H,2667
11/4/2021 14H,2665
11/4/2021 13H,2665
11/4/2021 12H,2664
11/4/2021 11H,2658
11/4/2021 10H,2658
11/4/2021 09H,2658
11/4/2021 08H,2660
11/4/2021 07H,2654
11/4/2021 06H,2654
11/4/2021 05H,2646
11/4/2021 04H,2648
11/4/2021 03H,2647
11/4/2021 02H,2646
11/4/2021 01H,2649
11/4/2021 00H,2649
11/3/2021 23H,2649
11/3/2021 22H,2652
11/3/2021 21H,2654
11/3/2021 20H,2651
11/3/2021 19H,2653
11/3/2021 18H,2652
11/3/2021 17H,2660
11/3/2021 16H,2659
11/3/2021 15H,2663
11/3/2021 14H,2663
11/3/2021 13H,2659
11/3/2021 12H,2662
11/3/2021 11H,2661
11/3/2021 10H,2660
11/3/2021 09H,2660
11/3/2021 08H,2657
11/3/2021 07H,2656
11/3/2021 06H,2655
11/3/2021 05H,2651
11/3/2021 04H,2650
11/3/2021 03H,2652
11/3/2021 02H,2650
11/3/2021 01H,2648
11/3/2021 00H,2650
11/2/2021 23H,2649
11/2/2021 22H,2651
11/2/2021 21H,2650
11/2/2021 20H,2651
11/2/2021 19H,2651
11/2/2021 18H,2654
11/2/2021 17H,2654
11/2/2021 16H,2658
11/2/2021 15H,2665
11/2/2021 14H,2660
11/2/2021 13H,2661
11/2/2021 12H,2654
11/2/2021 11H,2657
11/2/2021 10H,2657
11/2/2021 09H,2653
11/2/2021 08H,2653
11/2/2021 07H,2653
11/2/2021 06H,2652
11/2/2021 05H,2648
11/2/2021 04H,2647
11/2/2021 03H,2645
11/2/2021 02H,2646
11/2/2021 01H,2645
11/2/2021 00H,2647
11/1/2021 23H,2647
11/1/2021 22H,2643
11/1/2021 21H,2644
11/1/2021 20H,2642
11/1/2021 19H,2646
11/1/2021 18H,2647
11/1/2021 17H,2653
11/1/2021 16H,2659
11/1/2021 15H,2658
11/1/2021 14H,2657
11/1/2021 13H,2658
11/1/2021 12H,2655
11/1/2021 11H,2652
11/1/2021 10H,2653
11/1/2021 09H,2650
11/1/2021 08H,2652
11/1/2021 07H,2650
11/1/2021 06H,2652
11/1/2021 05H,2647
11/1/2021 04H,2647
11/1/2021 03H,2644
11/1/2021 02H,2648
11/1/2021 01H,2642
11/1/2021 00H,2646
10/31/2021 23H,2649
10/31/2021 22H,2646
10/31/2021 21H,2650
10/31/2021 20H,2648
10/31/2021 19H,2648
10/31/2021 18H,2653
10/31/2021 17H,2654
10/31/2021 16H,2662
10/31/2021 15H,2660
10/31/2021 14H,2659
10/31/2021 13H,2658
10/31/2021 12H,2657
10/31/2021 11H,2656
10/31/2021 10H,2656
10/31/2021 09H,2656
10/31/2021 08H,2656
10/31/2021 07H,2654
10/31/2021 06H,2655
10/31/2021 05H,2650
10/31/2021 04H,2647
10/31/2021 03H,2645
10/31/2021 02H,2647
10/31/2021 01H,2650
10/31/2021 00H,2651
10/30/2021 23H,2647
10/30/2021 22H,2645
10/30/2021 21H,2646
10/30/2021 20H,2647
10/30/2021 19H,2652
10/30/2021 18H,2653
10/30/2021 17H,2658
10/30/2021 16H,2657
10/30/2021 15H,2662
10/30/2021 14H,2663
10/30/2021 13H,2658
10/30/2021 12H,2660
10/30/2021 11H,2660
10/30/2021 10H,2659
10/30/2021 09H,2660
10/30/2021 08H,2661
10/30/2021 07H,2654
10/30/2021 06H,2655
10/30/2021 05H,2651
10/30/2021 04H,2650
10/30/2021 03H,2647
10/30/2021 02H,2649
10/30/2021 01H,2649
10/30/2021 00H,2647
10/29/2021 23H,2647
10/29/2021 22H,2647
10/29/2021 21H,2646
10/29/2021 20H,2641
10/29/2021 19H,2645
10/29/2021 18H,2649
10/29/2021 17H,2655
10/29/2021 16H,2656
10/29/2021 15H,2661
10/29/2021 14H,2660
10/29/2021 13H,2658
10/29/2021 12H,2661
10/29/2021 11H,2658
10/29/2021 10H,2658
10/29/2021 09H,2655
10/29/2021 08H,2654
10/29/2021 07H,2655
10/29/2021 06H,2657
10/29/2021 05H,2654
10/29/2021 04H,2655
10/29/2021 03H,2651
10/29/2021 02H,2649
10/29/2021 01H,2649
10/29/2021 00H,2649
10/28/2021 23H,2651
10/28/2021 22H,2655
10/28/2021 21H,2653
10/28/2021 20H,2653
10/28/2021 19H,2655
10/28/2021 18H,2655
10/28/2021 17H,2658
10/28/2021 16H,2663
10/28/2021 15H,2662
10/28/2021 14H,2663
10/28/2021 13H,2664
10/28/2021 12H,2658
10/28/2021 11H,2663
10/28/2021 10H,2658
10/28/2021 09H,2662
10/28/2021 08H,2659
10/28/2021 07H,2658
10/28/2021 06H,2659
10/28/2021 05H,2654
10/28/2021 04H,2653
10/28/2021 03H,2653
10/28/2021 02H,2653
10/28/2021 01H,2653
10/28/2021 00H,2654
10/27/2021 23H,2655
10/27/2021 22H,2659
10/27/2021 21H,2655
10/27/2021 20H,2659
10/27/2021 19H,2659
10/27/2021 18H,2663
10/27/2021 17H,2662
10/27/2021 16H,2662
10/27/2021 15H,2666
10/27/2021 14H,2662
10/27/2021 13H,2662
10/27/2021 12H,2662
10/27/2021 11H,2661
10/27/2021 10H,2661
10/27/2021 09H,2660
10/27/2021 08H,2659
10/27/2021 07H,2659
10/27/2021 06H,2657
10/27/2021 05H,2659
10/27/2021 04H,2657
10/27/2021 03H,2657
10/27/2021 02H,2655
10/27/2021 01H,2654
10/27/2021 00H,2651
10/26/2021 23H,2654
10/26/2021 22H,2651
10/26/2021 21H,2655
10/26/2021 20H,2655
10/26/2021 19H,2659
10/26/2021 18H,2657
10/26/2021 17H,2658
10/26/2021 16H,2659
10/26/2021 15H,2662
10/26/2021 14H,2655
10/26/2021 13H,2657
10/26/2021 12H,2656
10/26/2021 11H,2653
10/26/2021 10H,2649
10/26/2021 09H,2647
10/26/2021 08H,2645
10/26/2021 07H,2642
10/26/2021 06H,2641
10/26/2021 05H,2640
10/26/2021 04H,2641
10/26/2021 03H,2635
10/26/2021 02H,2638
10/26/2021 01H,2633
10/26/2021 00H,2637
10/25/2021 23H,2639
10/25/2021 22H,2643
10/25/2021 21H,2638
10/25/2021 20H,2640
10/25/2021 19H,2644
10/25/2021 18H,2648
10/25/2021 17H,2652
10/25/2021 16H,2656
10/25/2021 15H,2653
10/25/2021 14H,2654
10/25/2021 13H,2653
10/25/2021 12H,2655
10/25/2021 11H,2658
10/25/2021 10H,2657
10/25/2021 09H,2660
10/25/2021 08H,2651
10/25/2021 07H,2650
10/25/2021 06H,2651
10/25/2021 05H,2653
10/25/2021 04H,2646
10/25/2021 03H,2647
10/25/2021 02H,2646
10/25/2021 01H,2648
10/25/2021 00H,2650
10/24/2021 23H,2648
10/24/2021 22H,2650
10/24/2021 21H,2646
10/24/2021 20H,2644
10/24/2021 19H,2646
10/24/2021 18H,2647
10/24/2021 17H,2652
10/24/2021 16H,2656
10/24/2021 15H,2657
10/24/2021 14H,2660
10/24/2021 13H,2659
10/24/2021 12H,2658
10/24/2021 11H,2657
10/24/2021 10H,2656
10/24/2021 09H,2656
10/24/2021 08H,2657
10/24/2021 07H,2654
10/24/2021 06H,2654
10/24/2021 05H,2653
10/24/2021 04H,2650
10/24/2021 03H,2649
10/24/2021 02H,2649
10/24/2021 01H,2646
10/24/2021 00H,2645
10/23/2021 23H,2651
10/23/2021 22H,2651
10/23/2021 21H,2653
10/23/2021 20H,2654
10/23/2021 19H,2653
10/23/2021 18H,2654
10/23/2021 17H,2660
10/23/2021 16H,2664
10/23/2021 15H,2664
10/23/2021 14H,2664
10/23/2021 13H,2668
10/23/2021 12H,2662
10/23/2021 11H,2662
10/23/2021 10H,2662
10/23/2021 09H,2662
10/23/2021 08H,2662
10/23/2021 07H,2658
10/23/2021 06H,2654
10/23/2021 05H,2655
10/23/2021 04H,2652
10/23/2021 03H,2649
10/23/2021 02H,2651
10/23/2021 01H,2646
10/23/2021 00H,2652
10/22/2021 23H,2647
10/22/2021 22H,2651
10/22/2021 21H,2651
10/22/2021 20H,2655
10/22/2021 19H,2655
10/22/2021 18H,2659
10/22/2021 17H,2661
10/22/2021 16H,2664
10/22/2021 15H,2664
10/22/2021 14H,2666
10/22/2021 13H,2662
10/22/2021 12H,2662
10/22/2021 11H,2661
10/22/2021 10H,2660
10/22/2021 09H,2658
10/22/2021 08H,2661
10/22/2021 07H,2652
10/22/2021 06H,2654
10/22/2021 05H,2648
10/22/2021 04H,2648
10/22/2021 03H,2648
10/22/2021 02H,2648
10/22/2021 01H,2647
10/22/2021 00H,2645
10/21/2021 23H,2644
10/21/2021 22H,2647
10/21/2021 21H,2647
10/21/2021 20H,2649
10/21/2021 19H,2650
10/21/2021 18H,2655
10/21/2021 17H,2658
10/21/2021 16H,2660
10/21/2021 15H,2661
10/21/2021 14H,2660
10/21/2021 13H,2661
10/21/2021 12H,2660
10/21/2021 11H,2660
10/21/2021 10H,2653
10/21/2021 09H,2658
10/21/2021 08H,2656
10/21/2021 07H,2654
10/21/2021 06H,2650
10/21/2021 05H,2651
10/21/2021 04H,2650
10/21/2021 03H,2650
10/21/2021 02H,2654
10/21/2021 01H,2651
10/21/2021 00H,2647
10/20/2021 23H,2652
10/20/2021 22H,2653
10/20/2021 21H,2653
10/20/2021 20H,2653
10/20/2021 19H,2659
10/20/2021 18H,2659
10/20/2021 17H,2661
10/20/2021 16H,2662
10/20/2021 15H,2666
10/20/2021 14H,2666
10/20/2021 13H,2664
10/20/2021 12H,2664
10/20/2021 11H,2662
10/20/2021 10H,2657
10/20/2021 09H,2660
10/20/2021 08H,2662
10/20/2021 07H,2659
10/20/2021 06H,2660
10/20/2021 05H,2656
10/20/2021 04H,2656
10/20/2021 03H,2655
10/20/2021 02H,2653
10/20/2021 01H,2654
10/20/2021 00H,2659
10/19/2021 23H,2655
10/19/2021 22H,2655
10/19/2021 21H,2653
10/19/2021 20H,2654
10/19/2021 19H,2657
10/19/2021 18H,2660
10/19/2021 17H,2662
10/19/2021 16H,2664
10/19/2021 15H,2666
10/19/2021 14H,2664
10/19/2021 13H,2664
10/19/2021 12H,2662
10/19/2021 11H,2660
10/19/2021 10H,2660
10/19/2021 09H,2659
10/19/2021 08H,2658
10/19/2021 07H,2657
10/19/2021 06H,2656
10/19/2021 05H,2654
10/19/2021 04H,2651
10/19/2021 03H,2651
10/19/2021 02H,2646
10/19/2021 01H,2643
10/19/2021 00H,2641
10/18/2021 23H,2641
10/18/2021 22H,2641
10/18/2021 21H,2639
10/18/2021 20H,2641
10/18/2021 19H,2639
10/18/2021 18H,2641
10/18/2021 17H,2654
10/18/2021 16H,2656
10/18/2021 15H,2662
10/18/2021 14H,2657
10/18/2021 13H,2657
10/18/2021 12H,2659
10/18/2021 11H,2655
10/18/2021 10H,2652
10/18/2021 09H,2653
10/18/2021 08H,2650
10/18/2021 07H,2653
10/18/2021 06H,2652
10/18/2021 05H,2650
10/18/2021 04H,2649
10/18/2021 03H,2650
10/18/2021 02H,2646
10/18/2021 01H,2648
10/18/2021 00H,2646
10/17/2021 23H,2647
10/17/2021 22H,2648
10/17/2021 21H,2654
10/17/2021 20H,2652
10/17/2021 19H,2654
10/17/2021 18H,2654
10/17/2021 17H,2662
10/17/2021 16H,2662
10/17/2021 15H,2661
10/17/2021 14H,2665
10/17/2021 13H,2665
10/17/2021 12H,2662
10/17/2021 11H,2659
10/17/2021 10H,2659
10/17/2021 09H,2660
10/17/2021 08H,2657
10/17/2021 07H,2659
10/17/2021 06H,2657
10/17/2021 05H,2653
10/17/2021 04H,2653
10/17/2021 03H,2654
10/17/2021 02H,2654
10/17/2021 01H,2650
10/17/2021 00H,2652
10/16/2021 23H,2648
10/16/2021 22H,2650
10/16/2021 21H,2646
10/16/2021 20H,2645
10/16/2021 19H,2648
10/16/2021 18H,2656
10/16/2021 17H,2662
10/16/2021 16H,2665
10/16/2021 15H,2666
10/16/2021 14H,2664
10/16/2021 13H,2666
10/16/2021 12H,2664
10/16/2021 11H,2661
10/16/2021 10H,2662
10/16/2021 09H,2659
10/16/2021 08H,2658
10/16/2021 07H,2662
10/16/2021 06H,2657
10/16/2021 05H,2656
10/16/2021 04H,2658
10/16/2021 03H,2659
10/16/2021 02H,2656
10/16/2021 01H,2656
10/16/2021 00H,2658
10/15/2021 23H,2654
10/15/2021 22H,2656
10/15/2021 21H,2654
10/15/2021 20H,2656
10/15/2021 19H,2659
10/15/2021 18H,2660
10/15/2021 17H,2664
10/15/2021 16H,2664
10/15/2021 15H,2666
10/15/2021 14H,2665
10/15/2021 13H,2664
10/15/2021 12H,2659
10/15/2021 11H,2660
10/15/2021 10H,2661
10/15/2021 09H,2660
10/15/2021 08H,2658
10/15/2021 07H,2656
10/15/2021 06H,2657
10/15/2021 05H,2658
10/15/2021 04H,2656
10/15/2021 03H,2656
10/15/2021 02H,2658
10/15/2021 01H,2658
10/15/2021 00H,2656
10/14/2021 23H,2658
10/14/2021 22H,2656
10/14/2021 21H,2660
10/14/2021 20H,2658
10/14/2021 19H,2664
10/14/2021 18H,2662
10/14/2021 17H,2665
10/14/2021 16H,2668
10/14/2021 15H,2668
10/14/2021 14H,2669
10/14/2021 13H,2668
10/14/2021 12H,2667
10/14/2021 11H,2666
10/14/2021 10H,2664
10/14/2021 09H,2661
10/14/2021 08H,2660
10/14/2021 07H,2658
10/14/2021 06H,2658
10/14/2021 05H,2656
10/14/2021 04H,2656
10/14/2021 03H,2656
10/14/2021 02H,2657
10/14/2021 01H,2653
10/14/2021 00H,2657
10/13/2021 23H,2662
10/13/2021 22H,2658
10/13/2021 21H,2660
10/13/2021 20H,2656
10/13/2021 19H,2660
10/13/2021 18H,2663
10/13/2021 17H,2664
10/13/2021 16H,2665
10/13/2021 15H,2668
10/13/2021 14H,2669
10/13/2021 13H,2669
10/13/2021 12H,2667
10/13/2021 11H,2666
10/13/2021 10H,2667
10/13/2021 09H,2665
10/13/2021 08H,2665
10/13/2021 07H,2661
10/13/2021 06H,2664
10/13/2021 05H,2661
10/13/2021 04H,2663
10/13/2021 03H,2660
10/13/2021 02H,2661
10/13/2021 01H,2660
10/13/2021 00H,2662
10/12/2021 23H,2664
10/12/2021 22H,2662
10/12/2021 21H,2660
10/12/2021 20H,2665
10/12/2021 19H,2654
10/12/2021 18H,2663
10/12/2021 17H,2659
10/12/2021 16H,2665
10/12/2021 15H,2664
10/12/2021 14H,2667
10/12/2021 13H,2663
10/12/2021 12H,2663
10/12/2021 11H,2659
10/12/2021 10H,2659
10/12/2021 09H,2657
10/12/2021 08H,2658
10/12/2021 07H,2655
10/12/2021 06H,2652
10/12/2021 05H,2637
10/12/2021 04H,2638
10/12/2021 03H,2631
10/12/2021 02H,2633
10/12/2021 01H,2632
10/12/2021 00H,2635
10/11/2021 23H,2642
10/11/2021 22H,2648
10/11/2021 21H,2651
10/11/2021 20H,2652
10/11/2021 19H,2654
10/11/2021 18H,2656
10/11/2021 17H,2660
10/11/2021 16H,2662
10/11/2021 15H,2661
10/11/2021 14H,2664
10/11/2021 13H,2663
10/11/2021 12H,2663
10/11/2021 11H,2658
10/11/2021 10H,2657
10/11/2021 09H,2657
10/11/2021 08H,2660
10/11/2021 07H,2655
10/11/2021 06H,2654
10/11/2021 05H,2657
10/11/2021 04H,2652
10/11/2021 03H,2653
10/11/2021 02H,2650
10/11/2021 01H,2653
10/11/2021 00H,2652
10/10/2021 23H,2652
10/10/2021 22H,2655
10/10/2021 21H,2653
10/10/2021 20H,2650
10/10/2021 19H,2652
10/10/2021 18H,2651
10/10/2021 17H,2654
10/10/2021 16H,2654
10/10/2021 15H,2654
10/10/2021 14H,2653
10/10/2021 13H,2653
10/10/2021 12H,2652
10/10/2021 11H,2649
10/10/2021 10H,2644
10/10/2021 09H,2638
10/10/2021 08H,2628
10/10/2021 07H,2630
10/10/2021 06H,2631
10/10/2021 05H,2634
10/10/2021 04H,2630
10/10/2021 03H,2629
10/10/2021 02H,2630
10/10/2021 01H,2625
10/10/2021 00H,2628
10/9/2021 23H,2631
10/9/2021 22H,2631
10/9/2021 21H,2628
10/9/2021 20H,2625
10/9/2021 19H,2623
10/9/2021 18H,2628
10/9/2021 17H,2629
10/9/2021 16H,2637
10/9/2021 15H,2632
10/9/2021 14H,2632
10/9/2021 13H,2634
10/9/2021 12H,2633
10/9/2021 11H,2629
10/9/2021 10H,2624
10/9/2021 09H,2621
10/9/2021 08H,2624
10/9/2021 07H,3231
10/9/2021 06H,3527
10/9/2021 05H,3646
10/9/2021 04H,3749
10/9/2021 03H,3755
10/9/2021 02H,3746
10/9/2021 01H,3748
10/9/2021 00H,3743
10/8/2021 23H,3739
10/8/2021 22H,3744
10/8/2021 21H,3745
10/8/2021 20H,3751
10/8/2021 19H,3722
10/8/2021 18H,3726
10/8/2021 17H,3734
10/8/2021 16H,3740
10/8/2021 15H,3742
10/8/2021 14H,3746
10/8/2021 13H,3742
10/8/2021 12H,3745
10/8/2021 11H,3751
10/8/2021 10H,3753
10/8/2021 09H,3753
10/8/2021 08H,3752
10/8/2021 07H,3748
10/8/2021 06H,3747
10/8/2021 05H,3742
10/8/2021 04H,3740
10/8/2021 03H,3738
10/8/2021 02H,3739
10/8/2021 01H,3736
10/8/2021 00H,3739
10/7/2021 23H,3742
10/7/2021 22H,3741
10/7/2021 21H,3742
10/7/2021 20H,3741
10/7/2021 19H,3740
10/7/2021 18H,3742
10/7/2021 17H,3744
10/7/2021 16H,3751
10/7/2021 15H,3754
10/7/2021 14H,3758
10/7/2021 13H,3754
10/7/2021 12H,3755
10/7/2021 11H,3757
10/7/2021 10H,3756
10/7/2021 09H,3758
10/7/2021 08H,3754
10/7/2021 07H,3752
10/7/2021 06H,3752
10/7/2021 05H,3748
10/7/2021 04H,3749
10/7/2021 03H,3750
10/7/2021 02H,3756
10/7/2021 01H,3750
10/7/2021 00H,3754
10/6/2021 23H,3755
10/6/2021 22H,3750
