Net generation from natural gas for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.NG.H
19:21:47 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.NG.H megawatthours
11/8/2021 06H,4376
11/8/2021 05H,6103
11/8/2021 04H,5136
11/8/2021 03H,5285
11/8/2021 02H,7018
11/8/2021 01H,5837
11/8/2021 00H,5266
11/7/2021 23H,4353
11/7/2021 22H,3589
11/7/2021 21H,3327
11/7/2021 20H,3087
11/7/2021 19H,2952
11/7/2021 18H,2955
11/7/2021 17H,2959
11/7/2021 16H,3283
11/7/2021 15H,3639
11/7/2021 14H,3898
11/7/2021 13H,3892
11/7/2021 12H,3738
11/7/2021 11H,3639
11/7/2021 10H,3670
11/7/2021 09H,3788
11/7/2021 08H,4150
11/7/2021 07H,5538
11/7/2021 06H,5925
11/7/2021 05H,5985
11/7/2021 04H,6225
11/7/2021 03H,6085
11/7/2021 02H,6647
11/7/2021 01H,6490
11/7/2021 00H,5702
11/6/2021 23H,4744
11/6/2021 22H,4262
11/6/2021 21H,4021
11/6/2021 20H,3941
11/6/2021 19H,3796
11/6/2021 18H,3739
11/6/2021 17H,3864
11/6/2021 16H,4173
11/6/2021 15H,4600
11/6/2021 14H,4555
11/6/2021 13H,4613
11/6/2021 12H,4603
11/6/2021 11H,4553
11/6/2021 10H,4586
11/6/2021 09H,4565
11/6/2021 08H,4625
11/6/2021 07H,4913
11/6/2021 06H,5579
11/6/2021 05H,5460
11/6/2021 04H,5721
11/6/2021 03H,6126
11/6/2021 02H,6820
11/6/2021 01H,6644
11/6/2021 00H,5995
11/5/2021 23H,5290
11/5/2021 22H,4518
11/5/2021 21H,4283
11/5/2021 20H,4012
11/5/2021 19H,3861
11/5/2021 18H,3784
11/5/2021 17H,3921
11/5/2021 16H,4541
11/5/2021 15H,5355
11/5/2021 14H,5237
11/5/2021 13H,4988
11/5/2021 12H,4691
11/5/2021 11H,4375
11/5/2021 10H,4245
11/5/2021 09H,4327
11/5/2021 08H,4550
11/5/2021 07H,5049
11/5/2021 06H,5508
11/5/2021 05H,5836
11/5/2021 04H,6125
11/5/2021 03H,6557
11/5/2021 02H,6779
11/5/2021 01H,6988
11/5/2021 00H,6160
11/4/2021 23H,5182
11/4/2021 22H,4897
11/4/2021 21H,4597
11/4/2021 20H,3965
11/4/2021 19H,3428
11/4/2021 18H,3069
11/4/2021 17H,3097
11/4/2021 16H,3840
11/4/2021 15H,5475
11/4/2021 14H,5859
11/4/2021 13H,5553
11/4/2021 12H,5182
11/4/2021 11H,4953
11/4/2021 10H,4956
11/4/2021 09H,5047
11/4/2021 08H,5266
11/4/2021 07H,5664
11/4/2021 06H,6283
11/4/2021 05H,6629
11/4/2021 04H,6906
11/4/2021 03H,7144
11/4/2021 02H,7448
11/4/2021 01H,7091
11/4/2021 00H,6238
11/3/2021 23H,5405
11/3/2021 22H,5117
11/3/2021 21H,4938
11/3/2021 20H,4599
11/3/2021 19H,4562
11/3/2021 18H,4618
11/3/2021 17H,4977
11/3/2021 16H,5348
11/3/2021 15H,6248
11/3/2021 14H,6231
11/3/2021 13H,5884
11/3/2021 12H,5496
11/3/2021 11H,5133
11/3/2021 10H,5154
11/3/2021 09H,5294
11/3/2021 08H,5697
11/3/2021 07H,6018
11/3/2021 06H,6480
11/3/2021 05H,6530
11/3/2021 04H,7042
11/3/2021 03H,7247
11/3/2021 02H,7375
11/3/2021 01H,7129
11/3/2021 00H,6248
11/2/2021 23H,5470
11/2/2021 22H,5270
11/2/2021 21H,5161
11/2/2021 20H,5085
11/2/2021 19H,4974
11/2/2021 18H,4813
11/2/2021 17H,4723
11/2/2021 16H,5126
11/2/2021 15H,5604
11/2/2021 14H,5564
11/2/2021 13H,5066
11/2/2021 12H,4658
11/2/2021 11H,4579
11/2/2021 10H,4705
11/2/2021 09H,4986
11/2/2021 08H,5161
11/2/2021 07H,5595
11/2/2021 06H,6207
11/2/2021 05H,6398
11/2/2021 04H,6789
11/2/2021 03H,6914
11/2/2021 02H,7122
11/2/2021 01H,7166
11/2/2021 00H,6763
11/1/2021 23H,6386
11/1/2021 22H,6123
11/1/2021 21H,5646
11/1/2021 20H,5383
11/1/2021 19H,5135
11/1/2021 18H,5146
11/1/2021 17H,5032
11/1/2021 16H,5333
11/1/2021 15H,5770
11/1/2021 14H,5928
11/1/2021 13H,5714
11/1/2021 12H,5421
11/1/2021 11H,5448
11/1/2021 10H,5432
11/1/2021 09H,5343
11/1/2021 08H,5447
11/1/2021 07H,5697
11/1/2021 06H,6059
11/1/2021 05H,6042
11/1/2021 04H,6389
11/1/2021 03H,6462
11/1/2021 02H,6925
11/1/2021 01H,7152
11/1/2021 00H,6416
10/31/2021 23H,5688
10/31/2021 22H,5193
10/31/2021 21H,4931
10/31/2021 20H,4612
10/31/2021 19H,4321
10/31/2021 18H,4269
10/31/2021 17H,4216
10/31/2021 16H,4329
10/31/2021 15H,4833
10/31/2021 14H,4654
10/31/2021 13H,4729
10/31/2021 12H,4816
10/31/2021 11H,4890
10/31/2021 10H,4984
10/31/2021 09H,5154
10/31/2021 08H,5228
10/31/2021 07H,5670
10/31/2021 06H,5986
10/31/2021 05H,6119
10/31/2021 04H,6346
10/31/2021 03H,6595
10/31/2021 02H,6985
10/31/2021 01H,7001
10/31/2021 00H,6299
10/30/2021 23H,5338
10/30/2021 22H,4878
10/30/2021 21H,4493
10/30/2021 20H,4246
10/30/2021 19H,4182
10/30/2021 18H,4044
10/30/2021 17H,4100
10/30/2021 16H,4260
10/30/2021 15H,4748
10/30/2021 14H,4999
10/30/2021 13H,4861
10/30/2021 12H,4805
10/30/2021 11H,4793
10/30/2021 10H,4732
10/30/2021 09H,4778
10/30/2021 08H,4890
10/30/2021 07H,5249
10/30/2021 06H,5850
10/30/2021 05H,6278
10/30/2021 04H,6846
10/30/2021 03H,7067
10/30/2021 02H,7455
10/30/2021 01H,7490
10/30/2021 00H,6542
10/29/2021 23H,5500
10/29/2021 22H,5191
10/29/2021 21H,4714
10/29/2021 20H,4556
10/29/2021 19H,4211
10/29/2021 18H,4087
10/29/2021 17H,4202
10/29/2021 16H,4493
10/29/2021 15H,5554
10/29/2021 14H,5585
10/29/2021 13H,5100
10/29/2021 12H,4929
10/29/2021 11H,4669
10/29/2021 10H,4761
10/29/2021 09H,4749
10/29/2021 08H,4858
10/29/2021 07H,5721
10/29/2021 06H,6333
10/29/2021 05H,6965
10/29/2021 04H,7215
10/29/2021 03H,7769
10/29/2021 02H,7928
10/29/2021 01H,7036
10/29/2021 00H,6020
10/28/2021 23H,5230
10/28/2021 22H,4873
10/28/2021 21H,4382
10/28/2021 20H,4328
10/28/2021 19H,4117
10/28/2021 18H,4021
10/28/2021 17H,4261
10/28/2021 16H,4906
10/28/2021 15H,5989
10/28/2021 14H,6380
10/28/2021 13H,5687
10/28/2021 12H,5500
10/28/2021 11H,5175
10/28/2021 10H,5197
10/28/2021 09H,5177
10/28/2021 08H,5467
10/28/2021 07H,5918
10/28/2021 06H,6534
10/28/2021 05H,6983
10/28/2021 04H,7519
10/28/2021 03H,7753
10/28/2021 02H,7956
10/28/2021 01H,7417
10/28/2021 00H,5888
10/27/2021 23H,4872
10/27/2021 22H,4477
10/27/2021 21H,4575
10/27/2021 20H,4387
10/27/2021 19H,4312
10/27/2021 18H,4299
10/27/2021 17H,4478
10/27/2021 16H,5029
10/27/2021 15H,5984
10/27/2021 14H,5986
10/27/2021 13H,5488
10/27/2021 12H,5042
10/27/2021 11H,4860
10/27/2021 10H,4963
10/27/2021 09H,4991
10/27/2021 08H,5519
10/27/2021 07H,5922
10/27/2021 06H,6302
10/27/2021 05H,6960
10/27/2021 04H,7250
10/27/2021 03H,7206
10/27/2021 02H,7626
10/27/2021 01H,7010
10/27/2021 00H,5449
10/26/2021 23H,4805
10/26/2021 22H,4264
10/26/2021 21H,4033
10/26/2021 20H,4031
10/26/2021 19H,4085
10/26/2021 18H,4101
10/26/2021 17H,4225
10/26/2021 16H,4982
10/26/2021 15H,5825
10/26/2021 14H,5674
10/26/2021 13H,5215
10/26/2021 12H,4676
10/26/2021 11H,4652
10/26/2021 10H,4699
10/26/2021 09H,4883
10/26/2021 08H,5035
10/26/2021 07H,4828
10/26/2021 06H,5840
10/26/2021 05H,6269
10/26/2021 04H,6637
10/26/2021 03H,7062
10/26/2021 02H,7550
10/26/2021 01H,7366
10/26/2021 00H,6648
10/25/2021 23H,6185
10/25/2021 22H,5703
10/25/2021 21H,5371
10/25/2021 20H,4767
10/25/2021 19H,4668
10/25/2021 18H,4892
10/25/2021 17H,4560
10/25/2021 16H,5010
10/25/2021 15H,5463
10/25/2021 14H,5883
10/25/2021 13H,5494
10/25/2021 12H,4939
10/25/2021 11H,4584
10/25/2021 10H,4487
10/25/2021 09H,4670
10/25/2021 08H,4914
10/25/2021 07H,5520
10/25/2021 06H,6352
10/25/2021 05H,6759
10/25/2021 04H,7284
10/25/2021 03H,7656
10/25/2021 02H,7791
10/25/2021 01H,7370
10/25/2021 00H,6053
10/24/2021 23H,4803
10/24/2021 22H,4206
10/24/2021 21H,4006
10/24/2021 20H,3790
10/24/2021 19H,3774
10/24/2021 18H,3572
10/24/2021 17H,3236
10/24/2021 16H,3308
10/24/2021 15H,3837
10/24/2021 14H,4187
10/24/2021 13H,4305
10/24/2021 12H,4381
10/24/2021 11H,4188
10/24/2021 10H,4243
10/24/2021 09H,4295
10/24/2021 08H,4556
10/24/2021 07H,5367
10/24/2021 06H,5753
10/24/2021 05H,5854
10/24/2021 04H,6508
10/24/2021 03H,6958
10/24/2021 02H,7152
10/24/2021 01H,6893
10/24/2021 00H,5611
10/23/2021 23H,4715
10/23/2021 22H,4277
10/23/2021 21H,3978
10/23/2021 20H,3722
10/23/2021 19H,3727
10/23/2021 18H,3757
10/23/2021 17H,3721
10/23/2021 16H,4253
10/23/2021 15H,4463
10/23/2021 14H,4565
10/23/2021 13H,4592
10/23/2021 12H,4484
10/23/2021 11H,4318
10/23/2021 10H,4315
10/23/2021 09H,4477
10/23/2021 08H,4541
10/23/2021 07H,5012
10/23/2021 06H,5976
10/23/2021 05H,6286
10/23/2021 04H,6743
10/23/2021 03H,6830
10/23/2021 02H,7536
10/23/2021 01H,7161
10/23/2021 00H,6121
10/22/2021 23H,5203
10/22/2021 22H,4908
10/22/2021 21H,4744
10/22/2021 20H,4403
10/22/2021 19H,4207
10/22/2021 18H,4266
10/22/2021 17H,4181
10/22/2021 16H,4507
10/22/2021 15H,5169
10/22/2021 14H,5271
10/22/2021 13H,4922
10/22/2021 12H,4518
10/22/2021 11H,4414
10/22/2021 10H,4290
10/22/2021 09H,4490
10/22/2021 08H,4815
10/22/2021 07H,5177
10/22/2021 06H,5819
10/22/2021 05H,6885
10/22/2021 04H,7254
10/22/2021 03H,7547
10/22/2021 02H,7896
10/22/2021 01H,8091
10/22/2021 00H,7167
10/21/2021 23H,6058
10/21/2021 22H,5549
10/21/2021 21H,4970
10/21/2021 20H,4297
10/21/2021 19H,3976
10/21/2021 18H,3857
10/21/2021 17H,4010
10/21/2021 16H,4333
10/21/2021 15H,5508
10/21/2021 14H,5656
10/21/2021 13H,5340
10/21/2021 12H,4860
10/21/2021 11H,4718
10/21/2021 10H,4810
10/21/2021 09H,4978
10/21/2021 08H,5185
10/21/2021 07H,5538
10/21/2021 06H,6379
10/21/2021 05H,7129
10/21/2021 04H,7648
10/21/2021 03H,8098
10/21/2021 02H,8358
10/21/2021 01H,7988
10/21/2021 00H,6859
10/20/2021 23H,6011
10/20/2021 22H,5608
10/20/2021 21H,5170
10/20/2021 20H,4806
10/20/2021 19H,4548
10/20/2021 18H,4315
10/20/2021 17H,4208
10/20/2021 16H,4471
10/20/2021 15H,5774
10/20/2021 14H,6441
10/20/2021 13H,6244
10/20/2021 12H,5726
10/20/2021 11H,5502
10/20/2021 10H,5438
10/20/2021 09H,5449
10/20/2021 08H,5656
10/20/2021 07H,5883
10/20/2021 06H,6781
10/20/2021 05H,7507
10/20/2021 04H,8002
10/20/2021 03H,8310
10/20/2021 02H,8523
10/20/2021 01H,8006
10/20/2021 00H,6781
10/19/2021 23H,5768
10/19/2021 22H,4895
10/19/2021 21H,4628
10/19/2021 20H,4180
10/19/2021 19H,4024
10/19/2021 18H,4254
10/19/2021 17H,4169
10/19/2021 16H,5201
10/19/2021 15H,6828
10/19/2021 14H,7110
10/19/2021 13H,6222
10/19/2021 12H,5628
10/19/2021 11H,5278
10/19/2021 10H,5242
10/19/2021 09H,5232
10/19/2021 08H,5360
10/19/2021 07H,5571
10/19/2021 06H,6100
10/19/2021 05H,6508
10/19/2021 04H,6822
10/19/2021 03H,7172
10/19/2021 02H,7455
10/19/2021 01H,7147
10/19/2021 00H,5502
10/18/2021 23H,5012
10/18/2021 22H,4722
10/18/2021 21H,4752
10/18/2021 20H,4404
10/18/2021 19H,4049
10/18/2021 18H,3872
10/18/2021 17H,3879
10/18/2021 16H,4019
10/18/2021 15H,4804
10/18/2021 14H,4842
10/18/2021 13H,4415
10/18/2021 12H,3972
10/18/2021 11H,3655
10/18/2021 10H,3828
10/18/2021 09H,3902
10/18/2021 08H,4358
10/18/2021 07H,5193
10/18/2021 06H,5757
10/18/2021 05H,6244
10/18/2021 04H,6768
10/18/2021 03H,6826
10/18/2021 02H,6994
10/18/2021 01H,6819
10/18/2021 00H,5805
10/17/2021 23H,5192
10/17/2021 22H,4818
10/17/2021 21H,4504
10/17/2021 20H,4044
10/17/2021 19H,3775
10/17/2021 18H,3525
10/17/2021 17H,3645
10/17/2021 16H,3880
10/17/2021 15H,4218
10/17/2021 14H,4386
10/17/2021 13H,4369
10/17/2021 12H,4261
10/17/2021 11H,4251
10/17/2021 10H,4308
10/17/2021 09H,4374
10/17/2021 08H,4677
10/17/2021 07H,5347
10/17/2021 06H,5903
10/17/2021 05H,6518
10/17/2021 04H,7305
10/17/2021 03H,7665
10/17/2021 02H,7833
10/17/2021 01H,7193
10/17/2021 00H,6199
10/16/2021 23H,5238
10/16/2021 22H,4566
10/16/2021 21H,4177
10/16/2021 20H,3746
10/16/2021 19H,3484
10/16/2021 18H,3434
10/16/2021 17H,3144
10/16/2021 16H,3326
10/16/2021 15H,3915
10/16/2021 14H,4109
10/16/2021 13H,4107
10/16/2021 12H,3936
10/16/2021 11H,3886
10/16/2021 10H,4092
10/16/2021 09H,4313
10/16/2021 08H,4749
10/16/2021 07H,5355
10/16/2021 06H,5850
10/16/2021 05H,5870
10/16/2021 04H,6407
10/16/2021 03H,6922
10/16/2021 02H,7165
10/16/2021 01H,6781
10/16/2021 00H,5404
10/15/2021 23H,4440
10/15/2021 22H,4332
10/15/2021 21H,4166
10/15/2021 20H,3877
10/15/2021 19H,3721
10/15/2021 18H,3687
10/15/2021 17H,3771
10/15/2021 16H,3970
10/15/2021 15H,4882
10/15/2021 14H,5162
10/15/2021 13H,4864
10/15/2021 12H,4256
10/15/2021 11H,4198
10/15/2021 10H,4344
10/15/2021 09H,4507
10/15/2021 08H,5034
10/15/2021 07H,5264
10/15/2021 06H,5790
10/15/2021 05H,6318
10/15/2021 04H,6374
10/15/2021 03H,6721
10/15/2021 02H,7009
10/15/2021 01H,6427
10/15/2021 00H,5120
10/14/2021 23H,4408
10/14/2021 22H,4051
10/14/2021 21H,3933
10/14/2021 20H,3786
10/14/2021 19H,3672
10/14/2021 18H,3589
10/14/2021 17H,3781
10/14/2021 16H,4236
10/14/2021 15H,5730
10/14/2021 14H,6153
10/14/2021 13H,5426
10/14/2021 12H,4957
10/14/2021 11H,4799
10/14/2021 10H,4699
10/14/2021 09H,4694
10/14/2021 08H,4953
10/14/2021 07H,4719
10/14/2021 06H,5162
10/14/2021 05H,5369
10/14/2021 04H,5865
10/14/2021 03H,6331
10/14/2021 02H,6556
10/14/2021 01H,6070
10/14/2021 00H,4676
10/13/2021 23H,4023
10/13/2021 22H,3600
10/13/2021 21H,3334
10/13/2021 20H,3179
10/13/2021 19H,3112
10/13/2021 18H,2978
10/13/2021 17H,3280
10/13/2021 16H,3672
10/13/2021 15H,5136
10/13/2021 14H,5819
10/13/2021 13H,5707
10/13/2021 12H,5302
10/13/2021 11H,5104
10/13/2021 10H,5150
10/13/2021 09H,5266
10/13/2021 08H,5434
10/13/2021 07H,5904
10/13/2021 06H,6259
10/13/2021 05H,6595
10/13/2021 04H,7163
10/13/2021 03H,7382
10/13/2021 02H,7523
10/13/2021 01H,6408
10/13/2021 00H,5105
10/12/2021 23H,4508
10/12/2021 22H,4403
10/12/2021 21H,4338
10/12/2021 20H,4024
10/12/2021 19H,3775
10/12/2021 18H,3890
10/12/2021 17H,4041
10/12/2021 16H,5225
10/12/2021 15H,6694
10/12/2021 14H,6922
10/12/2021 13H,6628
10/12/2021 12H,6224
10/12/2021 11H,6090
10/12/2021 10H,6005
10/12/2021 09H,6043
10/12/2021 08H,6270
10/12/2021 07H,6672
10/12/2021 06H,7058
10/12/2021 05H,7554
10/12/2021 04H,7733
10/12/2021 03H,8103
10/12/2021 02H,8130
10/12/2021 01H,7683
10/12/2021 00H,6712
10/11/2021 23H,5802
10/11/2021 22H,5210
10/11/2021 21H,4431
10/11/2021 20H,4064
10/11/2021 19H,3734
10/11/2021 18H,3681
10/11/2021 17H,3922
10/11/2021 16H,4386
10/11/2021 15H,5468
10/11/2021 14H,5834
10/11/2021 13H,5472
10/11/2021 12H,5172
10/11/2021 11H,4946
10/11/2021 10H,4838
10/11/2021 09H,4843
10/11/2021 08H,5263
10/11/2021 07H,5991
10/11/2021 06H,6466
10/11/2021 05H,6913
10/11/2021 04H,7360
10/11/2021 03H,7642
10/11/2021 02H,8060
10/11/2021 01H,7246
10/11/2021 00H,5945
10/10/2021 23H,5223
10/10/2021 22H,4754
10/10/2021 21H,4463
10/10/2021 20H,4016
10/10/2021 19H,3678
10/10/2021 18H,3479
10/10/2021 17H,3508
10/10/2021 16H,3793
10/10/2021 15H,4233
10/10/2021 14H,4673
10/10/2021 13H,4726
10/10/2021 12H,4711
10/10/2021 11H,4816
10/10/2021 10H,4714
10/10/2021 09H,4887
10/10/2021 08H,5335
10/10/2021 07H,5712
10/10/2021 06H,6352
10/10/2021 05H,6568
10/10/2021 04H,6887
10/10/2021 03H,7510
10/10/2021 02H,7720
10/10/2021 01H,7471
10/10/2021 00H,6625
10/9/2021 23H,6117
10/9/2021 22H,5741
10/9/2021 21H,5282
10/9/2021 20H,4877
10/9/2021 19H,4496
10/9/2021 18H,4303
10/9/2021 17H,4337
10/9/2021 16H,4731
10/9/2021 15H,5371
10/9/2021 14H,5838
10/9/2021 13H,5914
10/9/2021 12H,5927
10/9/2021 11H,6021
10/9/2021 10H,6178
10/9/2021 09H,6214
10/9/2021 08H,6319
10/9/2021 07H,6380
10/9/2021 06H,6839
10/9/2021 05H,6906
10/9/2021 04H,7278
10/9/2021 03H,8074
10/9/2021 02H,8308
10/9/2021 01H,8105
10/9/2021 00H,7226
10/8/2021 23H,6888
10/8/2021 22H,6537
10/8/2021 21H,6125
10/8/2021 20H,5747
10/8/2021 19H,5471
10/8/2021 18H,5541
10/8/2021 17H,5993
10/8/2021 16H,6070
10/8/2021 15H,5833
10/8/2021 14H,5752
10/8/2021 13H,5918
10/8/2021 12H,5661
10/8/2021 11H,5358
10/8/2021 10H,5481
10/8/2021 09H,5553
10/8/2021 08H,5776
10/8/2021 07H,6257
10/8/2021 06H,7002
10/8/2021 05H,7417
10/8/2021 04H,7863
10/8/2021 03H,8441
10/8/2021 02H,8594
10/8/2021 01H,8421
10/8/2021 00H,7900
10/7/2021 23H,7428
10/7/2021 22H,7051
10/7/2021 21H,6566
10/7/2021 20H,5894
10/7/2021 19H,5734
10/7/2021 18H,5544
10/7/2021 17H,5739
10/7/2021 16H,5935
10/7/2021 15H,6218
10/7/2021 14H,6053
10/7/2021 13H,5629
10/7/2021 12H,5013
10/7/2021 11H,4864
10/7/2021 10H,4910
10/7/2021 09H,5108
10/7/2021 08H,5507
10/7/2021 07H,5998
10/7/2021 06H,6954
10/7/2021 05H,7462
10/7/2021 04H,8073
10/7/2021 03H,8831
10/7/2021 02H,9352
10/7/2021 01H,9081
10/7/2021 00H,8302
10/6/2021 23H,7280
10/6/2021 22H,6869
