Net generation from natural gas for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.NG.H
19:20:20 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.NG.H megawatthours
11/10/2021 18H,12520
11/10/2021 17H,12560
11/10/2021 16H,12636
11/10/2021 15H,13271
11/10/2021 14H,14213
11/10/2021 13H,15145
11/10/2021 12H,14083
11/10/2021 11H,12495
11/10/2021 10H,11792
11/10/2021 09H,11170
11/10/2021 08H,11017
11/10/2021 07H,11267
11/10/2021 06H,12275
11/10/2021 05H,12941
11/10/2021 04H,13950
11/10/2021 03H,14898
11/10/2021 02H,15269
11/10/2021 01H,15592
11/10/2021 00H,15749
11/9/2021 23H,15586
11/9/2021 22H,14327
11/9/2021 21H,13461
11/9/2021 20H,13260
11/9/2021 19H,12908
11/9/2021 18H,13080
11/9/2021 17H,13277
11/9/2021 16H,13712
11/9/2021 15H,14897
11/9/2021 14H,16320
11/9/2021 13H,16995
11/9/2021 12H,15940
11/9/2021 11H,14688
11/9/2021 10H,13825
11/9/2021 09H,13297
11/9/2021 08H,13047
11/9/2021 07H,13114
11/9/2021 06H,13577
11/9/2021 05H,13667
11/9/2021 04H,14173
11/9/2021 03H,14973
11/9/2021 02H,15560
11/9/2021 01H,15839
11/9/2021 00H,16378
11/8/2021 23H,15931
11/8/2021 22H,14600
11/8/2021 21H,13445
11/8/2021 20H,12932
11/8/2021 19H,13106
11/8/2021 18H,12960
11/8/2021 17H,13307
11/8/2021 16H,13845
11/8/2021 15H,15490
11/8/2021 14H,17256
11/8/2021 13H,17830
11/8/2021 12H,17106
11/8/2021 11H,15703
11/8/2021 10H,14593
11/8/2021 09H,13838
11/8/2021 08H,13280
11/8/2021 07H,13057
11/8/2021 06H,13057
11/8/2021 05H,12941
11/8/2021 04H,13349
11/8/2021 03H,13231
11/8/2021 02H,13819
11/8/2021 01H,14045
11/8/2021 00H,14597
11/7/2021 23H,14718
11/7/2021 22H,13862
11/7/2021 21H,12604
11/7/2021 20H,11167
11/7/2021 19H,11295
11/7/2021 18H,11668
11/7/2021 17H,11585
11/7/2021 16H,11955
11/7/2021 15H,12308
11/7/2021 14H,13853
11/7/2021 13H,14960
11/7/2021 12H,14929
11/7/2021 11H,14407
11/7/2021 10H,13879
11/7/2021 09H,13964
11/7/2021 08H,14166
11/7/2021 07H,14030
11/7/2021 06H,13832
11/7/2021 05H,13970
11/7/2021 04H,14617
11/7/2021 03H,14651
11/7/2021 02H,14795
11/7/2021 01H,15116
11/7/2021 00H,14924
11/6/2021 23H,14148
11/6/2021 22H,13273
11/6/2021 21H,12914
11/6/2021 20H,12812
11/6/2021 19H,12999
11/6/2021 18H,13348
11/6/2021 17H,14200
11/6/2021 16H,14867
11/6/2021 15H,15298
11/6/2021 14H,15825
11/6/2021 13H,15760
11/6/2021 12H,15223
11/6/2021 11H,14977
11/6/2021 10H,14884
11/6/2021 09H,14689
11/6/2021 08H,14505
11/6/2021 07H,14889
11/6/2021 06H,14705
11/6/2021 05H,14685
11/6/2021 04H,15364
11/6/2021 03H,15889
11/6/2021 02H,16679
11/6/2021 01H,16812
11/6/2021 00H,17121
11/5/2021 23H,16884
11/5/2021 22H,16332
11/5/2021 21H,16392
11/5/2021 20H,16405
11/5/2021 19H,16470
11/5/2021 18H,16387
11/5/2021 17H,16882
11/5/2021 16H,17315
11/5/2021 15H,17658
11/5/2021 14H,17551
11/5/2021 13H,17282
11/5/2021 12H,16911
11/5/2021 11H,15658
11/5/2021 10H,14405
11/5/2021 09H,14185
11/5/2021 08H,13705
11/5/2021 07H,13532
11/5/2021 06H,13601
11/5/2021 05H,13787
11/5/2021 04H,14647
11/5/2021 03H,15738
11/5/2021 02H,16530
11/5/2021 01H,16961
11/5/2021 00H,17007
11/4/2021 23H,16428
11/4/2021 22H,16048
11/4/2021 21H,15383
11/4/2021 20H,14933
11/4/2021 19H,15012
11/4/2021 18H,15230
11/4/2021 17H,15362
11/4/2021 16H,15846
11/4/2021 15H,15751
11/4/2021 14H,16000
11/4/2021 13H,16782
11/4/2021 12H,16147
11/4/2021 11H,15069
11/4/2021 10H,13830
11/4/2021 09H,12790
11/4/2021 08H,12378
11/4/2021 07H,12404
11/4/2021 06H,12682
11/4/2021 05H,13310
11/4/2021 04H,13979
11/4/2021 03H,15408
11/4/2021 02H,16097
11/4/2021 01H,16429
11/4/2021 00H,16770
11/3/2021 23H,16046
11/3/2021 22H,15372
11/3/2021 21H,14607
11/3/2021 20H,14063
11/3/2021 19H,13682
11/3/2021 18H,13757
11/3/2021 17H,13642
11/3/2021 16H,13708
11/3/2021 15H,14425
11/3/2021 14H,14839
11/3/2021 13H,15943
11/3/2021 12H,16109
11/3/2021 11H,14530
11/3/2021 10H,13173
11/3/2021 09H,12545
11/3/2021 08H,12322
11/3/2021 07H,12394
11/3/2021 06H,13055
11/3/2021 05H,13001
11/3/2021 04H,13484
11/3/2021 03H,14941
11/3/2021 02H,15869
11/3/2021 01H,16638
11/3/2021 00H,16818
11/2/2021 23H,16448
11/2/2021 22H,14957
11/2/2021 21H,13738
11/2/2021 20H,13515
11/2/2021 19H,13328
11/2/2021 18H,13796
11/2/2021 17H,13895
11/2/2021 16H,13713
11/2/2021 15H,14026
11/2/2021 14H,15243
11/2/2021 13H,16667
11/2/2021 12H,16350
11/2/2021 11H,14988
11/2/2021 10H,12862
11/2/2021 09H,11886
11/2/2021 08H,11261
11/2/2021 07H,11278
11/2/2021 06H,11327
11/2/2021 05H,11808
11/2/2021 04H,12662
11/2/2021 03H,13989
11/2/2021 02H,14848
11/2/2021 01H,15821
11/2/2021 00H,16136
11/1/2021 23H,15348
11/1/2021 22H,14271
11/1/2021 21H,13372
11/1/2021 20H,12799
11/1/2021 19H,12729
11/1/2021 18H,12946
11/1/2021 17H,12847
11/1/2021 16H,13100
11/1/2021 15H,13809
11/1/2021 14H,14951
11/1/2021 13H,15865
11/1/2021 12H,15503
11/1/2021 11H,13913
11/1/2021 10H,12838
11/1/2021 09H,11461
11/1/2021 08H,10935
11/1/2021 07H,10865
11/1/2021 06H,11068
11/1/2021 05H,11809
11/1/2021 04H,12133
11/1/2021 03H,12655
11/1/2021 02H,13235
11/1/2021 01H,13519
11/1/2021 00H,13504
10/31/2021 23H,12822
10/31/2021 22H,12031
10/31/2021 21H,11628
10/31/2021 20H,11559
10/31/2021 19H,11767
10/31/2021 18H,12159
10/31/2021 17H,12150
10/31/2021 16H,12113
10/31/2021 15H,12199
10/31/2021 14H,12584
10/31/2021 13H,12572
10/31/2021 12H,12339
10/31/2021 11H,11230
10/31/2021 10H,11080
10/31/2021 09H,10804
10/31/2021 08H,10599
10/31/2021 07H,10838
10/31/2021 06H,11012
10/31/2021 05H,11467
10/31/2021 04H,11902
10/31/2021 03H,12687
10/31/2021 02H,13150
10/31/2021 01H,13486
10/31/2021 00H,13752
10/30/2021 23H,13340
10/30/2021 22H,13120
10/30/2021 21H,12994
10/30/2021 20H,12889
10/30/2021 19H,12860
10/30/2021 18H,13056
10/30/2021 17H,13307
10/30/2021 16H,13537
10/30/2021 15H,13604
10/30/2021 14H,13224
10/30/2021 13H,12764
10/30/2021 12H,12145
10/30/2021 11H,11630
10/30/2021 10H,11497
10/30/2021 09H,11200
10/30/2021 08H,11184
10/30/2021 07H,11062
10/30/2021 06H,11414
10/30/2021 05H,12213
10/30/2021 04H,12510
10/30/2021 03H,13409
10/30/2021 02H,14131
10/30/2021 01H,14153
10/30/2021 00H,14515
10/29/2021 23H,13911
10/29/2021 22H,13568
10/29/2021 21H,13501
10/29/2021 20H,13468
10/29/2021 19H,13151
10/29/2021 18H,12764
10/29/2021 17H,12869
10/29/2021 16H,12969
10/29/2021 15H,13222
10/29/2021 14H,13450
10/29/2021 13H,13743
10/29/2021 12H,14006
10/29/2021 11H,12985
10/29/2021 10H,11369
10/29/2021 09H,10691
10/29/2021 08H,10546
10/29/2021 07H,10658
10/29/2021 06H,10920
10/29/2021 05H,11511
10/29/2021 04H,12544
10/29/2021 03H,13514
10/29/2021 02H,14101
10/29/2021 01H,14735
10/29/2021 00H,15128
10/28/2021 23H,14530
10/28/2021 22H,14024
10/28/2021 21H,13771
10/28/2021 20H,14067
10/28/2021 19H,14205
10/28/2021 18H,14107
10/28/2021 17H,14523
10/28/2021 16H,15100
10/28/2021 15H,14844
10/28/2021 14H,14659
10/28/2021 13H,14918
10/28/2021 12H,14629
10/28/2021 11H,13199
10/28/2021 10H,12262
10/28/2021 09H,11341
10/28/2021 08H,10981
10/28/2021 07H,11172
10/28/2021 06H,11624
10/28/2021 05H,11716
10/28/2021 04H,13004
10/28/2021 03H,13893
10/28/2021 02H,14508
10/28/2021 01H,15067
10/28/2021 00H,15472
10/27/2021 23H,14830
10/27/2021 22H,14367
10/27/2021 21H,13675
10/27/2021 20H,13715
10/27/2021 19H,12995
10/27/2021 18H,12817
10/27/2021 17H,12657
10/27/2021 16H,12907
10/27/2021 15H,13894
10/27/2021 14H,14282
10/27/2021 13H,15238
10/27/2021 12H,15426
10/27/2021 11H,13340
10/27/2021 10H,11728
10/27/2021 09H,10961
10/27/2021 08H,11214
10/27/2021 07H,11267
10/27/2021 06H,11603
10/27/2021 05H,11729
10/27/2021 04H,12780
10/27/2021 03H,13667
10/27/2021 02H,14378
10/27/2021 01H,14594
10/27/2021 00H,14903
10/26/2021 23H,14871
10/26/2021 22H,13854
10/26/2021 21H,13534
10/26/2021 20H,13259
10/26/2021 19H,13283
10/26/2021 18H,13149
10/26/2021 17H,12697
10/26/2021 16H,12700
10/26/2021 15H,13138
10/26/2021 14H,14201
10/26/2021 13H,15027
10/26/2021 12H,14591
10/26/2021 11H,12967
10/26/2021 10H,11773
10/26/2021 09H,11067
10/26/2021 08H,10967
10/26/2021 07H,11187
10/26/2021 06H,12334
10/26/2021 05H,12993
10/26/2021 04H,14646
10/26/2021 03H,15764
10/26/2021 02H,16885
10/26/2021 01H,17528
10/26/2021 00H,17714
10/25/2021 23H,17466
10/25/2021 22H,17295
10/25/2021 21H,16898
10/25/2021 20H,16888
10/25/2021 19H,16721
10/25/2021 18H,16702
10/25/2021 17H,16322
10/25/2021 16H,15813
10/25/2021 15H,15316
10/25/2021 14H,15123
10/25/2021 13H,15024
10/25/2021 12H,14828
10/25/2021 11H,13463
10/25/2021 10H,12034
10/25/2021 09H,11307
10/25/2021 08H,10981
10/25/2021 07H,10865
10/25/2021 06H,10743
10/25/2021 05H,11507
10/25/2021 04H,11990
10/25/2021 03H,13538
10/25/2021 02H,14838
10/25/2021 01H,15674
10/25/2021 00H,15598
10/24/2021 23H,14830
10/24/2021 22H,14543
10/24/2021 21H,14332
10/24/2021 20H,14010
10/24/2021 19H,13203
10/24/2021 18H,12884
10/24/2021 17H,12191
10/24/2021 16H,11498
10/24/2021 15H,11296
10/24/2021 14H,10909
10/24/2021 13H,10501
10/24/2021 12H,10049
10/24/2021 11H,9352
10/24/2021 10H,9162
10/24/2021 09H,8885
10/24/2021 08H,9140
10/24/2021 07H,9331
10/24/2021 06H,9878
10/24/2021 05H,10645
10/24/2021 04H,11547
10/24/2021 03H,12493
10/24/2021 02H,13165
10/24/2021 01H,13797
10/24/2021 00H,15072
10/23/2021 23H,15107
10/23/2021 22H,14598
10/23/2021 21H,14010
10/23/2021 20H,13654
10/23/2021 19H,13002
10/23/2021 18H,12506
10/23/2021 17H,12140
10/23/2021 16H,11710
10/23/2021 15H,11393
10/23/2021 14H,11425
10/23/2021 13H,11958
10/23/2021 12H,11464
10/23/2021 11H,10646
10/23/2021 10H,10011
10/23/2021 09H,9592
10/23/2021 08H,10062
10/23/2021 07H,10682
10/23/2021 06H,11203
10/23/2021 05H,11550
10/23/2021 04H,12551
10/23/2021 03H,13739
10/23/2021 02H,14240
10/23/2021 01H,15415
10/23/2021 00H,15908
10/22/2021 23H,15961
10/22/2021 22H,15901
10/22/2021 21H,15834
10/22/2021 20H,15820
10/22/2021 19H,15913
10/22/2021 18H,15478
10/22/2021 17H,14950
10/22/2021 16H,14733
10/22/2021 15H,15252
10/22/2021 14H,15821
10/22/2021 13H,15417
10/22/2021 12H,15114
10/22/2021 11H,13974
10/22/2021 10H,12559
10/22/2021 09H,11696
10/22/2021 08H,11759
10/22/2021 07H,12148
10/22/2021 06H,12726
10/22/2021 05H,13578
10/22/2021 04H,14643
10/22/2021 03H,15847
10/22/2021 02H,16672
10/22/2021 01H,17160
10/22/2021 00H,17024
10/21/2021 23H,16823
10/21/2021 22H,16838
10/21/2021 21H,16935
10/21/2021 20H,16786
10/21/2021 19H,16549
10/21/2021 18H,16649
10/21/2021 17H,16002
10/21/2021 16H,15443
10/21/2021 15H,15494
10/21/2021 14H,15606
10/21/2021 13H,15349
10/21/2021 12H,15351
10/21/2021 11H,13251
10/21/2021 10H,12122
10/21/2021 09H,11303
10/21/2021 08H,11210
10/21/2021 07H,11431
10/21/2021 06H,12149
10/21/2021 05H,12532
10/21/2021 04H,13282
10/21/2021 03H,14500
10/21/2021 02H,15277
10/21/2021 01H,15872
10/21/2021 00H,16218
10/20/2021 23H,15770
10/20/2021 22H,15386
10/20/2021 21H,15194
10/20/2021 20H,14871
10/20/2021 19H,14638
10/20/2021 18H,14182
10/20/2021 17H,13731
10/20/2021 16H,13355
10/20/2021 15H,13567
10/20/2021 14H,14371
10/20/2021 13H,14714
10/20/2021 12H,14284
10/20/2021 11H,12556
10/20/2021 10H,11523
10/20/2021 09H,10662
10/20/2021 08H,10370
10/20/2021 07H,10543
10/20/2021 06H,10823
10/20/2021 05H,11442
10/20/2021 04H,12411
10/20/2021 03H,13349
10/20/2021 02H,14361
10/20/2021 01H,14905
10/20/2021 00H,15283
10/19/2021 23H,14843
10/19/2021 22H,14556
10/19/2021 21H,13583
10/19/2021 20H,13060
10/19/2021 19H,13125
10/19/2021 18H,13032
10/19/2021 17H,12847
10/19/2021 16H,12859
10/19/2021 15H,13023
10/19/2021 14H,13431
10/19/2021 13H,14222
10/19/2021 12H,14563
10/19/2021 11H,13280
10/19/2021 10H,11560
10/19/2021 09H,10713
10/19/2021 08H,10397
10/19/2021 07H,10718
10/19/2021 06H,11128
10/19/2021 05H,11553
10/19/2021 04H,12168
10/19/2021 03H,13361
10/19/2021 02H,14007
10/19/2021 01H,15006
10/19/2021 00H,15123
10/18/2021 23H,14043
10/18/2021 22H,13727
10/18/2021 21H,13295
10/18/2021 20H,12834
10/18/2021 19H,12964
10/18/2021 18H,13165
10/18/2021 17H,12938
10/18/2021 16H,12792
10/18/2021 15H,13195
10/18/2021 14H,13586
10/18/2021 13H,14274
10/18/2021 12H,14477
10/18/2021 11H,13124
10/18/2021 10H,11327
10/18/2021 09H,10074
10/18/2021 08H,9892
10/18/2021 07H,9696
10/18/2021 06H,9580
10/18/2021 05H,9959
10/18/2021 04H,10766
10/18/2021 03H,12057
10/18/2021 02H,12795
10/18/2021 01H,13614
10/18/2021 00H,13506
10/17/2021 23H,13069
10/17/2021 22H,11862
10/17/2021 21H,10842
10/17/2021 20H,10728
10/17/2021 19H,10279
10/17/2021 18H,10268
10/17/2021 17H,10042
10/17/2021 16H,9906
10/17/2021 15H,9801
10/17/2021 14H,10244
10/17/2021 13H,10432
10/17/2021 12H,10524
10/17/2021 11H,10087
10/17/2021 10H,9818
10/17/2021 09H,9651
10/17/2021 08H,9728
10/17/2021 07H,9957
10/17/2021 06H,9945
10/17/2021 05H,10152
10/17/2021 04H,10936
10/17/2021 03H,12739
10/17/2021 02H,13978
10/17/2021 01H,14846
10/17/2021 00H,15430
10/16/2021 23H,14990
10/16/2021 22H,15191
10/16/2021 21H,15366
10/16/2021 20H,15638
10/16/2021 19H,15496
10/16/2021 18H,15608
10/16/2021 17H,15417
10/16/2021 16H,14992
10/16/2021 15H,14121
10/16/2021 14H,13761
10/16/2021 13H,13756
10/16/2021 12H,13692
10/16/2021 11H,13187
10/16/2021 10H,12758
10/16/2021 09H,12775
10/16/2021 08H,13044
10/16/2021 07H,13624
10/16/2021 06H,14128
10/16/2021 05H,14749
10/16/2021 04H,16069
10/16/2021 03H,17346
10/16/2021 02H,18402
10/16/2021 01H,19086
10/16/2021 00H,20458
10/15/2021 23H,20973
10/15/2021 22H,21419
10/15/2021 21H,21423
10/15/2021 20H,21404
10/15/2021 19H,20919
10/15/2021 18H,19781
10/15/2021 17H,17807
10/15/2021 16H,16289
10/15/2021 15H,15181
10/15/2021 14H,14296
10/15/2021 13H,14239
10/15/2021 12H,14432
10/15/2021 11H,13567
10/15/2021 10H,12087
10/15/2021 09H,11728
10/15/2021 08H,11883
10/15/2021 07H,12297
10/15/2021 06H,13280
10/15/2021 05H,14068
10/15/2021 04H,15460
10/15/2021 03H,17724
10/15/2021 02H,19663
10/15/2021 01H,20731
10/15/2021 00H,21479
10/14/2021 23H,21666
10/14/2021 22H,22127
10/14/2021 21H,22094
10/14/2021 20H,21978
10/14/2021 19H,21377
10/14/2021 18H,19929
10/14/2021 17H,18080
10/14/2021 16H,16813
10/14/2021 15H,15908
10/14/2021 14H,14981
10/14/2021 13H,14821
10/14/2021 12H,15134
10/14/2021 11H,13439
10/14/2021 10H,11947
10/14/2021 09H,11558
10/14/2021 08H,11505
10/14/2021 07H,11793
10/14/2021 06H,12477
10/14/2021 05H,13784
10/14/2021 04H,15141
10/14/2021 03H,17442
10/14/2021 02H,19319
10/14/2021 01H,20235
10/14/2021 00H,21120
10/13/2021 23H,21429
10/13/2021 22H,21496
10/13/2021 21H,21030
10/13/2021 20H,20973
10/13/2021 19H,20938
10/13/2021 18H,19572
10/13/2021 17H,18180
10/13/2021 16H,16678
10/13/2021 15H,15765
10/13/2021 14H,15032
10/13/2021 13H,15197
10/13/2021 12H,15507
10/13/2021 11H,13404
10/13/2021 10H,12096
10/13/2021 09H,11218
10/13/2021 08H,11605
10/13/2021 07H,12183
10/13/2021 06H,12776
10/13/2021 05H,13565
10/13/2021 04H,14862
10/13/2021 03H,16810
10/13/2021 02H,18179
10/13/2021 01H,19129
10/13/2021 00H,19614
10/12/2021 23H,19700
10/12/2021 22H,19363
10/12/2021 21H,19457
10/12/2021 20H,19201
10/12/2021 19H,18915
10/12/2021 18H,18100
10/12/2021 17H,17086
10/12/2021 16H,16444
10/12/2021 15H,15581
10/12/2021 14H,15096
10/12/2021 13H,14746
10/12/2021 12H,14400
10/12/2021 11H,12960
10/12/2021 10H,11299
10/12/2021 09H,10971
10/12/2021 08H,10820
10/12/2021 07H,11236
10/12/2021 06H,12039
10/12/2021 05H,13418
10/12/2021 04H,14469
10/12/2021 03H,16619
10/12/2021 02H,18154
10/12/2021 01H,19136
10/12/2021 00H,19508
10/11/2021 23H,19449
10/11/2021 22H,19639
10/11/2021 21H,19514
10/11/2021 20H,19568
10/11/2021 19H,19034
10/11/2021 18H,18193
10/11/2021 17H,17245
10/11/2021 16H,15802
10/11/2021 15H,14532
10/11/2021 14H,13133
10/11/2021 13H,13215
10/11/2021 12H,13044
10/11/2021 11H,11328
10/11/2021 10H,9830
10/11/2021 09H,9288
10/11/2021 08H,9218
10/11/2021 07H,9706
10/11/2021 06H,10529
10/11/2021 05H,11751
10/11/2021 04H,12790
10/11/2021 03H,14883
10/11/2021 02H,16463
10/11/2021 01H,17212
10/11/2021 00H,17795
10/10/2021 23H,18316
10/10/2021 22H,18550
10/10/2021 21H,18369
10/10/2021 20H,17715
10/10/2021 19H,16713
10/10/2021 18H,15639
10/10/2021 17H,14376
10/10/2021 16H,12839
10/10/2021 15H,11562
10/10/2021 14H,9881
10/10/2021 13H,8962
10/10/2021 12H,8901
10/10/2021 11H,8711
10/10/2021 10H,8256
10/10/2021 09H,8182
10/10/2021 08H,8505
10/10/2021 07H,9258
10/10/2021 06H,9686
10/10/2021 05H,11102
10/10/2021 04H,12258
10/10/2021 03H,14266
10/10/2021 02H,15836
10/10/2021 01H,16619
10/10/2021 00H,17372
10/9/2021 23H,17917
10/9/2021 22H,17933
10/9/2021 21H,18014
10/9/2021 20H,17298
10/9/2021 19H,16738
10/9/2021 18H,15735
10/9/2021 17H,14854
10/9/2021 16H,13684
10/9/2021 15H,12636
10/9/2021 14H,11714
10/9/2021 13H,10683
10/9/2021 12H,10276
10/9/2021 11H,9409
10/9/2021 10H,9155
10/9/2021 09H,9085
10/9/2021 08H,9346
10/9/2021 07H,9789
10/9/2021 06H,10489
10/9/2021 05H,11703
10/9/2021 04H,13465
10/9/2021 03H,14986
10/9/2021 02H,16547
10/9/2021 01H,17902
10/9/2021 00H,18313
10/8/2021 23H,18762
10/8/2021 22H,19296
10/8/2021 21H,20160
10/8/2021 20H,20404
10/8/2021 19H,19824
10/8/2021 18H,19079
10/8/2021 17H,18079
10/8/2021 16H,17355
10/8/2021 15H,16695
10/8/2021 14H,15780
10/8/2021 13H,15175
10/8/2021 12H,14751
10/8/2021 11H,13044
10/8/2021 10H,11883
10/8/2021 09H,11495
10/8/2021 08H,11822
10/8/2021 07H,12089
10/8/2021 06H,12512
10/8/2021 05H,12891
10/8/2021 04H,14570
10/8/2021 03H,16379
10/8/2021 02H,18051
10/8/2021 01H,19046
10/8/2021 00H,19335
10/7/2021 23H,19942
10/7/2021 22H,19841
10/7/2021 21H,20131
10/7/2021 20H,19869
10/7/2021 19H,19049
10/7/2021 18H,18540
10/7/2021 17H,17951
10/7/2021 16H,17073
10/7/2021 15H,16456
10/7/2021 14H,15872
10/7/2021 13H,15554
10/7/2021 12H,15220
10/7/2021 11H,13608
10/7/2021 10H,12242
10/7/2021 09H,11693
10/7/2021 08H,11719
10/7/2021 07H,12174
10/7/2021 06H,12669
10/7/2021 05H,13361
10/7/2021 04H,14549
10/7/2021 03H,16100
10/7/2021 02H,17997
10/7/2021 01H,19056
10/7/2021 00H,19067
10/6/2021 23H,18794
10/6/2021 22H,18768
10/6/2021 21H,18906
