Net generation from nuclear for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.NUC.H
19:20:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.NUC.H megawatthours
11/9/2021 12H,6014
11/9/2021 11H,6014
11/9/2021 10H,6018
11/9/2021 09H,6007
11/9/2021 08H,6017
11/9/2021 07H,6012
11/9/2021 06H,6009
11/9/2021 05H,6011
11/9/2021 04H,6007
11/9/2021 03H,6006
11/9/2021 02H,6007
11/9/2021 01H,6002
11/9/2021 00H,5996
11/8/2021 23H,5993
11/8/2021 22H,5997
11/8/2021 21H,5993
11/8/2021 20H,5992
11/8/2021 19H,6001
11/8/2021 18H,6001
11/8/2021 17H,6002
11/8/2021 16H,6001
11/8/2021 15H,6014
11/8/2021 14H,6021
11/8/2021 13H,6012
11/8/2021 12H,6021
11/8/2021 11H,6016
11/8/2021 10H,6013
11/8/2021 09H,6015
11/8/2021 08H,6010
11/8/2021 07H,6003
11/8/2021 06H,6003
11/8/2021 05H,6009
11/8/2021 04H,6000
11/8/2021 03H,5992
11/8/2021 02H,5996
11/8/2021 01H,5993
11/8/2021 00H,5995
11/7/2021 23H,5987
11/7/2021 22H,5990
11/7/2021 21H,5982
11/7/2021 20H,5986
11/7/2021 19H,5979
11/7/2021 18H,5988
11/7/2021 17H,5998
11/7/2021 16H,5998
11/7/2021 15H,6005
11/7/2021 14H,6009
11/7/2021 13H,6015
11/7/2021 12H,6010
11/7/2021 11H,6012
11/7/2021 10H,6012
11/7/2021 09H,6007
11/7/2021 08H,6008
11/7/2021 07H,5996
11/7/2021 06H,6002
11/7/2021 05H,5950
11/7/2021 04H,5903
11/7/2021 03H,5862
11/7/2021 02H,5906
11/7/2021 01H,6011
11/7/2021 00H,6013
11/6/2021 23H,6011
11/6/2021 22H,6007
11/6/2021 21H,6007
11/6/2021 20H,6008
11/6/2021 19H,6003
11/6/2021 18H,6010
11/6/2021 17H,6005
11/6/2021 16H,6013
11/6/2021 15H,6009
11/6/2021 14H,6011
11/6/2021 13H,6014
11/6/2021 12H,6017
11/6/2021 11H,6015
11/6/2021 10H,6015
11/6/2021 09H,6010
11/6/2021 08H,6018
11/6/2021 07H,6010
11/6/2021 06H,6015
11/6/2021 05H,6011
11/6/2021 04H,6010
11/6/2021 03H,6011
11/6/2021 02H,6014
11/6/2021 01H,6017
11/6/2021 00H,6009
11/5/2021 23H,6011
11/5/2021 22H,6008
11/5/2021 21H,6013
11/5/2021 20H,6011
11/5/2021 19H,6011
11/5/2021 18H,6011
11/5/2021 17H,6013
11/5/2021 16H,6011
11/5/2021 15H,6011
11/5/2021 14H,6009
11/5/2021 13H,6015
11/5/2021 12H,6009
11/5/2021 11H,6014
11/5/2021 10H,6005
11/5/2021 09H,6013
11/5/2021 08H,6004
11/5/2021 07H,6015
11/5/2021 06H,6006
11/5/2021 05H,6013
11/5/2021 04H,6000
11/5/2021 03H,6007
11/5/2021 02H,5996
11/5/2021 01H,6010
11/5/2021 00H,5996
11/4/2021 23H,5991
11/4/2021 22H,5992
11/4/2021 21H,5990
11/4/2021 20H,5989
11/4/2021 19H,5988
11/4/2021 18H,5995
11/4/2021 17H,5998
11/4/2021 16H,5997
11/4/2021 15H,6001
11/4/2021 14H,6010
11/4/2021 13H,6005
11/4/2021 12H,6010
11/4/2021 11H,6006
11/4/2021 10H,6004
11/4/2021 09H,6003
11/4/2021 08H,5998
11/4/2021 07H,6002
11/4/2021 06H,5993
11/4/2021 05H,5988
11/4/2021 04H,5990
11/4/2021 03H,5986
11/4/2021 02H,5981
11/4/2021 01H,5979
11/4/2021 00H,5980
11/3/2021 23H,5974
11/3/2021 22H,5977
11/3/2021 21H,5976
11/3/2021 20H,5975
11/3/2021 19H,5980
11/3/2021 18H,5984
11/3/2021 17H,5983
11/3/2021 16H,5988
11/3/2021 15H,5992
11/3/2021 14H,5988
11/3/2021 13H,6002
11/3/2021 12H,5996
11/3/2021 11H,5991
11/3/2021 10H,5983
11/3/2021 09H,5986
11/3/2021 08H,5984
11/3/2021 07H,5980
11/3/2021 06H,5973
11/3/2021 05H,5977
11/3/2021 04H,5968
11/3/2021 03H,5971
11/3/2021 02H,5956
11/3/2021 01H,5956
11/3/2021 00H,5954
11/2/2021 23H,5951
11/2/2021 22H,5952
11/2/2021 21H,5955
11/2/2021 20H,5955
11/2/2021 19H,5953
11/2/2021 18H,5964
11/2/2021 17H,5957
11/2/2021 16H,5972
11/2/2021 15H,5984
11/2/2021 14H,5985
11/2/2021 13H,5994
11/2/2021 12H,5993
11/2/2021 11H,5990
11/2/2021 10H,5991
11/2/2021 09H,5983
11/2/2021 08H,5988
11/2/2021 07H,5981
11/2/2021 06H,5977
11/2/2021 05H,5975
11/2/2021 04H,5973
11/2/2021 03H,5971
11/2/2021 02H,5967
11/2/2021 01H,5973
11/2/2021 00H,5960
11/1/2021 23H,5959
11/1/2021 22H,5960
11/1/2021 21H,5960
11/1/2021 20H,5965
11/1/2021 19H,5959
11/1/2021 18H,5964
11/1/2021 17H,5967
11/1/2021 16H,5979
11/1/2021 15H,5981
11/1/2021 14H,5991
11/1/2021 13H,5988
11/1/2021 12H,5993
11/1/2021 11H,5984
11/1/2021 10H,5987
11/1/2021 09H,5990
11/1/2021 08H,5993
11/1/2021 07H,5987
11/1/2021 06H,5987
11/1/2021 05H,5979
11/1/2021 04H,5980
11/1/2021 03H,5968
11/1/2021 02H,5972
11/1/2021 01H,5972
11/1/2021 00H,5965
10/31/2021 23H,5969
10/31/2021 22H,5959
10/31/2021 21H,5963
10/31/2021 20H,5958
10/31/2021 19H,5961
10/31/2021 18H,5961
10/31/2021 17H,5973
10/31/2021 16H,5973
10/31/2021 15H,5978
10/31/2021 14H,5979
10/31/2021 13H,5985
10/31/2021 12H,5985
10/31/2021 11H,5976
10/31/2021 10H,5982
10/31/2021 09H,5980
10/31/2021 08H,5978
10/31/2021 07H,5972
10/31/2021 06H,5976
10/31/2021 05H,5980
10/31/2021 04H,5973
10/31/2021 03H,5975
10/31/2021 02H,5973
10/31/2021 01H,5977
10/31/2021 00H,5966
10/30/2021 23H,5979
10/30/2021 22H,5970
10/30/2021 21H,5973
10/30/2021 20H,5965
10/30/2021 19H,5970
10/30/2021 18H,5975
10/30/2021 17H,5974
10/30/2021 16H,5980
10/30/2021 15H,5982
10/30/2021 14H,5985
10/30/2021 13H,5985
10/30/2021 12H,5993
10/30/2021 11H,5990
10/30/2021 10H,5985
10/30/2021 09H,5985
10/30/2021 08H,5995
10/30/2021 07H,5991
10/30/2021 06H,5986
10/30/2021 05H,5983
10/30/2021 04H,5987
10/30/2021 03H,5983
10/30/2021 02H,5987
10/30/2021 01H,5978
10/30/2021 00H,5982
10/29/2021 23H,5981
10/29/2021 22H,5970
10/29/2021 21H,5970
10/29/2021 20H,5968
10/29/2021 19H,5975
10/29/2021 18H,5976
10/29/2021 17H,5975
10/29/2021 16H,5972
10/29/2021 15H,5974
10/29/2021 14H,5985
10/29/2021 13H,5977
10/29/2021 12H,5977
10/29/2021 11H,5972
10/29/2021 10H,5967
10/29/2021 09H,5964
10/29/2021 08H,5966
10/29/2021 07H,5964
10/29/2021 06H,5960
10/29/2021 05H,5949
10/29/2021 04H,5941
10/29/2021 03H,5941
10/29/2021 02H,5940
10/29/2021 01H,5936
10/29/2021 00H,5934
10/28/2021 23H,5930
10/28/2021 22H,5920
10/28/2021 21H,5929
10/28/2021 20H,5935
10/28/2021 19H,5930
10/28/2021 18H,5939
10/28/2021 17H,5936
10/28/2021 16H,5955
10/28/2021 15H,5952
10/28/2021 14H,5966
10/28/2021 13H,5963
10/28/2021 12H,5966
10/28/2021 11H,5969
10/28/2021 10H,5973
10/28/2021 09H,5973
10/28/2021 08H,5969
10/28/2021 07H,5968
10/28/2021 06H,5972
10/28/2021 05H,5977
10/28/2021 04H,5971
10/28/2021 03H,5967
10/28/2021 02H,5970
10/28/2021 01H,5970
10/28/2021 00H,5968
10/27/2021 23H,5969
10/27/2021 22H,5975
10/27/2021 21H,5973
10/27/2021 20H,5974
10/27/2021 19H,5978
10/27/2021 18H,5985
10/27/2021 17H,5985
10/27/2021 16H,5995
10/27/2021 15H,5999
10/27/2021 14H,5998
10/27/2021 13H,5999
10/27/2021 12H,5998
10/27/2021 11H,6004
10/27/2021 10H,5997
10/27/2021 09H,5993
10/27/2021 08H,5991
10/27/2021 07H,5985
10/27/2021 06H,5984
10/27/2021 05H,5978
10/27/2021 04H,5972
10/27/2021 03H,5964
10/27/2021 02H,5961
10/27/2021 01H,5956
10/27/2021 00H,5950
10/26/2021 23H,5948
10/26/2021 22H,5943
10/26/2021 21H,5944
10/26/2021 20H,5952
10/26/2021 19H,5955
10/26/2021 18H,5965
10/26/2021 17H,5969
10/26/2021 16H,5979
10/26/2021 15H,5981
10/26/2021 14H,5982
10/26/2021 13H,5972
10/26/2021 12H,5960
10/26/2021 11H,5957
10/26/2021 10H,5940
10/26/2021 09H,5935
10/26/2021 08H,5918
10/26/2021 07H,5909
10/26/2021 06H,5899
10/26/2021 05H,5894
10/26/2021 04H,5887
10/26/2021 03H,5879
10/26/2021 02H,5881
10/26/2021 01H,5878
10/26/2021 00H,5885
10/25/2021 23H,5881
10/25/2021 22H,5870
10/25/2021 21H,5872
10/25/2021 20H,5872
