Net generation from natural gas for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.NG.H
19:04:28 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.NG.H megawatthours
10/26/2021 22H,9033
10/26/2021 21H,8914
10/26/2021 20H,8841
10/26/2021 19H,9102
10/26/2021 18H,9063
10/26/2021 17H,8789
10/26/2021 16H,10264
10/26/2021 15H,12704
10/26/2021 14H,13539
10/26/2021 13H,12414
10/26/2021 12H,12002
10/26/2021 11H,10988
10/26/2021 10H,10789
10/26/2021 09H,11185
10/26/2021 08H,11520
10/26/2021 07H,12437
10/26/2021 06H,13308
10/26/2021 05H,15330
10/26/2021 04H,14667
10/26/2021 03H,14698
10/26/2021 02H,15303
10/26/2021 01H,14739
10/26/2021 00H,12578
10/25/2021 23H,10148
10/25/2021 22H,12878
10/25/2021 21H,9839
10/25/2021 20H,10554
10/25/2021 19H,10556
10/25/2021 18H,11774
10/25/2021 17H,12244
10/25/2021 16H,12720
10/25/2021 15H,13387
10/25/2021 14H,13854
10/25/2021 13H,13076
10/25/2021 12H,11734
10/25/2021 11H,11172
10/25/2021 10H,11540
10/25/2021 09H,11716
10/25/2021 08H,11507
10/25/2021 07H,12724
10/25/2021 06H,13763
10/25/2021 05H,15003
10/25/2021 04H,15323
10/25/2021 03H,15503
10/25/2021 02H,15854
10/25/2021 01H,14455
10/25/2021 00H,11896
10/24/2021 23H,9213
10/24/2021 22H,7476
10/24/2021 21H,6755
10/24/2021 20H,7070
10/24/2021 19H,7140
10/24/2021 18H,7021
10/24/2021 17H,6741
10/24/2021 16H,8018
10/24/2021 15H,9437
10/24/2021 14H,10524
10/24/2021 13H,9944
10/24/2021 12H,9600
10/24/2021 11H,9902
10/24/2021 10H,10092
10/24/2021 09H,10388
10/24/2021 08H,11216
10/24/2021 07H,11786
10/24/2021 06H,12244
10/24/2021 05H,12512
10/24/2021 04H,12402
10/24/2021 03H,12644
10/24/2021 02H,13341
10/24/2021 01H,12683
10/24/2021 00H,10774
10/23/2021 23H,8598
10/23/2021 22H,7435
10/23/2021 21H,7165
10/23/2021 20H,7171
10/23/2021 19H,7141
10/23/2021 18H,7216
10/23/2021 17H,7519
10/23/2021 16H,8337
10/23/2021 15H,8993
10/23/2021 14H,10724
10/23/2021 13H,9756
10/23/2021 12H,9468
10/23/2021 11H,9146
10/23/2021 10H,9819
10/23/2021 09H,10592
10/23/2021 08H,11350
10/23/2021 07H,11859
10/23/2021 06H,12915
10/23/2021 05H,13921
10/23/2021 04H,14673
10/23/2021 03H,14843
10/23/2021 02H,15534
10/23/2021 01H,14680
10/23/2021 00H,12221
10/22/2021 23H,9555
10/22/2021 22H,9345
10/22/2021 21H,9476
10/22/2021 20H,9959
10/22/2021 19H,10366
10/22/2021 18H,10807
10/22/2021 17H,11003
10/22/2021 16H,11831
10/22/2021 15H,14426
10/22/2021 14H,15508
10/22/2021 13H,15500
10/22/2021 12H,14903
10/22/2021 11H,13922
10/22/2021 10H,13233
10/22/2021 09H,13296
10/22/2021 08H,13730
10/22/2021 07H,14152
10/22/2021 06H,15707
10/22/2021 05H,17465
10/22/2021 04H,18203
10/22/2021 03H,18475
10/22/2021 02H,19166
10/22/2021 01H,18788
10/22/2021 00H,16464
10/21/2021 23H,14021
10/21/2021 22H,12272
10/21/2021 21H,11087
10/21/2021 20H,10867
10/21/2021 19H,10651
10/21/2021 18H,10959
10/21/2021 17H,10545
10/21/2021 16H,12280
10/21/2021 15H,15207
10/21/2021 14H,16796
10/21/2021 13H,16151
10/21/2021 12H,15163
10/21/2021 11H,14870
10/21/2021 10H,14709
10/21/2021 09H,14978
10/21/2021 08H,15323
10/21/2021 07H,15800
10/21/2021 06H,16854
10/21/2021 05H,17717
10/21/2021 04H,17993
10/21/2021 03H,18689
10/21/2021 02H,19544
10/21/2021 01H,18894
10/21/2021 00H,16198
10/20/2021 23H,12279
10/20/2021 22H,10118
10/20/2021 21H,10387
10/20/2021 20H,9925
10/20/2021 19H,9459
10/20/2021 18H,9705
10/20/2021 17H,9436
10/20/2021 16H,11482
10/20/2021 15H,14660
10/20/2021 14H,16162
10/20/2021 13H,15176
10/20/2021 12H,14126
10/20/2021 11H,13793
10/20/2021 10H,13920
10/20/2021 09H,14025
10/20/2021 08H,14430
10/20/2021 07H,14802
10/20/2021 06H,15691
10/20/2021 05H,16223
10/20/2021 04H,16532
10/20/2021 03H,17527
10/20/2021 02H,17997
10/20/2021 01H,16763
10/20/2021 00H,12549
10/19/2021 23H,10389
10/19/2021 22H,9218
10/19/2021 21H,9400
10/19/2021 20H,9063
10/19/2021 19H,9283
10/19/2021 18H,9112
10/19/2021 17H,9159
10/19/2021 16H,10646
10/19/2021 15H,13640
10/19/2021 14H,15318
10/19/2021 13H,14628
10/19/2021 12H,13824
10/19/2021 11H,13229
10/19/2021 10H,12753
10/19/2021 09H,12887
10/19/2021 08H,13063
10/19/2021 07H,13168
10/19/2021 06H,13363
10/19/2021 05H,14089
10/19/2021 04H,14459
10/19/2021 03H,14487
10/19/2021 02H,15450
10/19/2021 01H,13704
10/19/2021 00H,10770
10/18/2021 23H,9917
10/18/2021 22H,8919
10/18/2021 21H,8421
10/18/2021 20H,8062
10/18/2021 19H,8147
10/18/2021 18H,8121
10/18/2021 17H,8868
10/18/2021 16H,9578
10/18/2021 15H,10303
10/18/2021 14H,13153
10/18/2021 13H,11884
10/18/2021 12H,11871
10/18/2021 11H,9943
10/18/2021 10H,9641
10/18/2021 09H,9614
10/18/2021 08H,10275
10/18/2021 07H,10605
10/18/2021 06H,11778
10/18/2021 05H,12599
10/18/2021 04H,13067
10/18/2021 03H,13735
10/18/2021 02H,14475
10/18/2021 01H,13242
10/18/2021 00H,10400
10/17/2021 23H,8529
10/17/2021 22H,7121
10/17/2021 21H,6455
10/17/2021 20H,6311
10/17/2021 19H,6311
10/17/2021 18H,6512
10/17/2021 17H,7475
10/17/2021 16H,8589
10/17/2021 15H,10986
10/17/2021 14H,13522
10/17/2021 13H,13531
10/17/2021 12H,13605
10/17/2021 11H,13286
10/17/2021 10H,12872
10/17/2021 09H,13330
10/17/2021 08H,13835
10/17/2021 07H,14544
10/17/2021 06H,15181
10/17/2021 05H,15958
10/17/2021 04H,16254
10/17/2021 03H,16372
10/17/2021 02H,17551
10/17/2021 01H,17178
10/17/2021 00H,13371
10/16/2021 23H,9660
10/16/2021 22H,8956
10/16/2021 21H,8614
10/16/2021 20H,8458
10/16/2021 19H,8181
10/16/2021 18H,8199
10/16/2021 17H,8526
10/16/2021 16H,8575
10/16/2021 15H,11987
10/16/2021 14H,14207
10/16/2021 13H,14205
10/16/2021 12H,13751
10/16/2021 11H,13253
10/16/2021 10H,13236
10/16/2021 09H,13361
10/16/2021 08H,13731
10/16/2021 07H,14174
10/16/2021 06H,15421
10/16/2021 05H,16059
10/16/2021 04H,16219
10/16/2021 03H,16551
10/16/2021 02H,17856
10/16/2021 01H,17750
10/16/2021 00H,12821
10/15/2021 23H,10563
10/15/2021 22H,8510
10/15/2021 21H,8644
10/15/2021 20H,8884
10/15/2021 19H,8820
10/15/2021 18H,8597
10/15/2021 17H,8819
10/15/2021 16H,9273
10/15/2021 15H,12130
10/15/2021 14H,14847
10/15/2021 13H,14074
10/15/2021 12H,12710
10/15/2021 11H,11931
10/15/2021 10H,11889
10/15/2021 09H,12848
10/15/2021 08H,13151
10/15/2021 07H,13174
10/15/2021 06H,14483
10/15/2021 05H,15254
10/15/2021 04H,15580
10/15/2021 03H,16589
10/15/2021 02H,16258
10/15/2021 01H,15794
10/15/2021 00H,11221
10/14/2021 23H,9434
10/14/2021 22H,7732
10/14/2021 21H,7655
10/14/2021 20H,7569
10/14/2021 19H,7737
10/14/2021 18H,7705
10/14/2021 17H,7119
10/14/2021 16H,8311
10/14/2021 15H,11089
10/14/2021 14H,13782
10/14/2021 13H,13135
10/14/2021 12H,12063
10/14/2021 11H,11619
10/14/2021 10H,11060
10/14/2021 09H,11471
10/14/2021 08H,12181
10/14/2021 07H,12565
10/14/2021 06H,13636
10/14/2021 05H,13922
10/14/2021 04H,14832
10/14/2021 03H,15087
10/14/2021 02H,15662
10/14/2021 01H,14195
10/14/2021 00H,10997
10/13/2021 23H,9760
10/13/2021 22H,8701
10/13/2021 21H,7849
10/13/2021 20H,7924
10/13/2021 19H,7782
10/13/2021 18H,8048
10/13/2021 17H,8188
10/13/2021 16H,8486
10/13/2021 15H,12278
10/13/2021 14H,14171
10/13/2021 13H,13826
10/13/2021 12H,12624
10/13/2021 11H,12068
10/13/2021 10H,11855
10/13/2021 09H,12236
10/13/2021 08H,12096
10/13/2021 07H,11926
10/13/2021 06H,12705
10/13/2021 05H,14014
10/13/2021 04H,14652
10/13/2021 03H,14878
10/13/2021 02H,14974
10/13/2021 01H,14276
10/13/2021 00H,11846
10/12/2021 23H,9235
10/12/2021 22H,7829
10/12/2021 21H,7481
10/12/2021 20H,7509
10/12/2021 19H,7518
10/12/2021 18H,7690
10/12/2021 17H,7609
10/12/2021 16H,7486
10/12/2021 15H,10259
10/12/2021 14H,11324
10/12/2021 13H,10598
10/12/2021 12H,9781
10/12/2021 11H,9063
10/12/2021 10H,9150
10/12/2021 09H,9541
10/12/2021 08H,9813
10/12/2021 07H,9819
10/12/2021 06H,10595
10/12/2021 05H,11252
10/12/2021 04H,11394
10/12/2021 03H,11806
10/12/2021 02H,11929
10/12/2021 01H,11723
10/12/2021 00H,9053
10/11/2021 23H,7528
10/11/2021 22H,6584
10/11/2021 21H,6230
10/11/2021 20H,6264
10/11/2021 19H,6611
10/11/2021 18H,6582
10/11/2021 17H,6677
10/11/2021 16H,7103
10/11/2021 15H,8244
10/11/2021 14H,10406
10/11/2021 13H,9515
10/11/2021 12H,8841
10/11/2021 11H,8368
10/11/2021 10H,8104
10/11/2021 09H,8228
10/11/2021 08H,8286
10/11/2021 07H,8348
10/11/2021 06H,9596
10/11/2021 05H,10237
10/11/2021 04H,10841
10/11/2021 03H,10669
10/11/2021 02H,10894
10/11/2021 01H,10389
10/11/2021 00H,7787
10/10/2021 23H,6329
10/10/2021 22H,5477
10/10/2021 21H,4981
10/10/2021 20H,5252
10/10/2021 19H,5280
10/10/2021 18H,5219
10/10/2021 17H,5283
10/10/2021 16H,5492
10/10/2021 15H,7170
10/10/2021 14H,9899
10/10/2021 13H,9421
10/10/2021 12H,9469
10/10/2021 11H,9316
10/10/2021 10H,9406
10/10/2021 09H,9851
10/10/2021 08H,10060
10/10/2021 07H,9973
10/10/2021 06H,10053
10/10/2021 05H,10240
10/10/2021 04H,10681
10/10/2021 03H,11164
10/10/2021 02H,11430
10/10/2021 01H,11057
10/10/2021 00H,8658
10/9/2021 23H,7553
10/9/2021 22H,6293
10/9/2021 21H,6281
10/9/2021 20H,6130
10/9/2021 19H,6134
10/9/2021 18H,6628
10/9/2021 17H,6901
10/9/2021 16H,6829
10/9/2021 15H,7959
10/9/2021 14H,9226
10/9/2021 13H,8853
10/9/2021 12H,8328
10/9/2021 11H,8181
10/9/2021 10H,8207
10/9/2021 09H,8307
10/9/2021 08H,8839
10/9/2021 07H,9722
10/9/2021 06H,10466
10/9/2021 05H,10512
10/9/2021 04H,10897
10/9/2021 03H,11344
10/9/2021 02H,12113
10/9/2021 01H,10780
10/9/2021 00H,9597
10/8/2021 23H,9254
10/8/2021 22H,8888
10/8/2021 21H,8982
10/8/2021 20H,8988
10/8/2021 19H,9212
10/8/2021 18H,9887
10/8/2021 17H,10601
10/8/2021 16H,11739
10/8/2021 15H,12212
10/8/2021 14H,11562
10/8/2021 13H,11350
10/8/2021 12H,11246
10/8/2021 11H,11099
10/8/2021 10H,10940
10/8/2021 09H,11294
10/8/2021 08H,11464
10/8/2021 07H,12308
10/8/2021 06H,12367
10/8/2021 05H,13279
10/8/2021 04H,13851
10/8/2021 03H,14214
10/8/2021 02H,14926
10/8/2021 01H,14549
10/8/2021 00H,12416
10/7/2021 23H,11067
10/7/2021 22H,10550
10/7/2021 21H,10519
10/7/2021 20H,10801
10/7/2021 19H,11034
10/7/2021 18H,11104
10/7/2021 17H,11127
10/7/2021 16H,12693
10/7/2021 15H,13149
10/7/2021 14H,13347
10/7/2021 13H,12713
10/7/2021 12H,12254
10/7/2021 11H,11673
10/7/2021 10H,11826
10/7/2021 09H,11520
10/7/2021 08H,12183
10/7/2021 07H,12548
10/7/2021 06H,13483
10/7/2021 05H,13943
10/7/2021 04H,13830
10/7/2021 03H,14457
10/7/2021 02H,15167
10/7/2021 01H,14837
10/7/2021 00H,13392
10/6/2021 23H,11391
10/6/2021 22H,10115
