Net generation from solar for Tennessee (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390117&sdid=EBA.TEN-ALL.NG.SUN.H
19:23:41 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEN-ALL.NG.SUN.H megawatthours
11/3/2021 17H,48
11/3/2021 16H,39
11/3/2021 15H,24
11/3/2021 14H,8
11/3/2021 13H,1
11/3/2021 12H,0
11/3/2021 11H,-2
11/3/2021 10H,0
11/3/2021 09H,0
11/3/2021 08H,0
11/3/2021 07H,0
11/3/2021 06H,-1
11/3/2021 05H,0
11/3/2021 04H,0
11/3/2021 03H,0
11/3/2021 02H,-2
11/3/2021 01H,-1
11/3/2021 00H,-1
11/2/2021 23H,22
11/2/2021 22H,92
11/2/2021 21H,86
11/2/2021 20H,106
11/2/2021 19H,138
11/2/2021 18H,148
11/2/2021 17H,126
11/2/2021 16H,91
11/2/2021 15H,77
11/2/2021 14H,48
11/2/2021 13H,3
11/2/2021 12H,0
11/2/2021 11H,0
11/2/2021 10H,-1
11/2/2021 09H,0
11/2/2021 08H,0
11/2/2021 07H,-2
11/2/2021 06H,-1
11/2/2021 05H,0
11/2/2021 04H,0
11/2/2021 03H,0
11/2/2021 02H,0
11/2/2021 01H,-2
11/2/2021 00H,0
11/1/2021 23H,21
11/1/2021 22H,119
11/1/2021 21H,173
11/1/2021 20H,181
11/1/2021 19H,178
11/1/2021 18H,180
11/1/2021 17H,179
11/1/2021 16H,184
11/1/2021 15H,174
11/1/2021 14H,94
11/1/2021 13H,9
11/1/2021 12H,0
11/1/2021 11H,-2
11/1/2021 10H,0
11/1/2021 09H,0
11/1/2021 08H,-1
11/1/2021 07H,0
11/1/2021 06H,-1
11/1/2021 05H,-1
11/1/2021 04H,0
11/1/2021 03H,0
11/1/2021 02H,-2
11/1/2021 01H,-1
11/1/2021 00H,0
10/31/2021 23H,27
10/31/2021 22H,134
10/31/2021 21H,187
10/31/2021 20H,192
10/31/2021 19H,191
10/31/2021 18H,187
10/31/2021 17H,187
10/31/2021 16H,196
10/31/2021 15H,181
10/31/2021 14H,98
10/31/2021 13H,9
10/31/2021 12H,0
10/31/2021 11H,0
10/31/2021 10H,-1
10/31/2021 09H,0
10/31/2021 08H,0
10/31/2021 07H,0
10/31/2021 06H,-2
10/31/2021 05H,0
10/31/2021 04H,0
10/31/2021 03H,0
10/31/2021 02H,-2
10/31/2021 01H,-1
10/31/2021 00H,0
10/30/2021 23H,2
10/30/2021 22H,14
10/30/2021 21H,30
10/30/2021 20H,37
10/30/2021 19H,46
10/30/2021 18H,48
10/30/2021 17H,40
10/30/2021 16H,29
10/30/2021 15H,14
10/30/2021 14H,4
10/30/2021 13H,0
10/30/2021 12H,0
10/30/2021 11H,-2
10/30/2021 10H,0
10/30/2021 09H,0
10/30/2021 08H,0
10/30/2021 07H,0
10/30/2021 06H,0
10/30/2021 05H,0
10/30/2021 04H,-2
10/30/2021 03H,0
10/30/2021 02H,-2
10/30/2021 01H,0
10/30/2021 00H,0
10/29/2021 23H,2
10/29/2021 22H,11
10/29/2021 21H,19
10/29/2021 20H,34
10/29/2021 19H,45
10/29/2021 18H,43
10/29/2021 17H,48
10/29/2021 16H,46
10/29/2021 15H,22
10/29/2021 14H,9
10/29/2021 13H,0
10/29/2021 12H,-1
10/29/2021 11H,0
10/29/2021 10H,-1
10/29/2021 09H,0
10/29/2021 08H,0
10/29/2021 07H,-2
10/29/2021 06H,-1
10/29/2021 05H,-1
10/29/2021 04H,-1
10/29/2021 03H,0
10/29/2021 02H,0
10/29/2021 01H,0
10/29/2021 00H,0
10/28/2021 23H,1
10/28/2021 22H,8
10/28/2021 21H,25
10/28/2021 20H,36
10/28/2021 19H,60
10/28/2021 18H,64
10/28/2021 17H,55
10/28/2021 16H,33
10/28/2021 15H,30
10/28/2021 14H,26
10/28/2021 13H,0
10/28/2021 12H,-2
10/28/2021 11H,0
10/28/2021 10H,0
10/28/2021 09H,-1
10/28/2021 08H,0
10/28/2021 07H,0
10/28/2021 06H,-2
10/28/2021 05H,0
10/28/2021 04H,0
10/28/2021 03H,-2
10/28/2021 02H,0
10/28/2021 01H,0
10/28/2021 00H,0
10/27/2021 23H,8
10/27/2021 22H,50
10/27/2021 21H,134
10/27/2021 20H,174
10/27/2021 19H,175
10/27/2021 18H,152
10/27/2021 17H,169
10/27/2021 16H,149
10/27/2021 15H,139
10/27/2021 14H,64
10/27/2021 13H,11
10/27/2021 12H,0
10/27/2021 11H,0
10/27/2021 10H,0
10/27/2021 09H,0
10/27/2021 08H,0
10/27/2021 07H,-3
10/27/2021 06H,-1
10/27/2021 05H,-1
10/27/2021 04H,0
10/27/2021 03H,0
10/27/2021 02H,0
10/27/2021 01H,-1
10/27/2021 00H,0
10/26/2021 23H,24
10/26/2021 22H,135
10/26/2021 21H,195
10/26/2021 20H,199
10/26/2021 19H,199
10/26/2021 18H,196
10/26/2021 17H,197
10/26/2021 16H,190
10/26/2021 15H,136
10/26/2021 14H,76
10/26/2021 13H,7
10/26/2021 12H,-2
10/26/2021 11H,0
10/26/2021 10H,-1
10/26/2021 09H,0
10/26/2021 08H,0
10/26/2021 07H,-1
10/26/2021 06H,-2
10/26/2021 05H,0
10/26/2021 04H,0
10/26/2021 03H,-1
10/26/2021 02H,-2
10/26/2021 01H,0
10/26/2021 00H,0
10/25/2021 23H,32
10/25/2021 22H,142
10/25/2021 21H,188
10/25/2021 20H,186
10/25/2021 19H,167
10/25/2021 18H,148
10/25/2021 17H,124
10/25/2021 16H,76
10/25/2021 15H,85
10/25/2021 14H,50
10/25/2021 13H,3
10/25/2021 12H,-1
10/25/2021 11H,0
10/25/2021 10H,0
10/25/2021 09H,0
10/25/2021 08H,0
10/25/2021 07H,-4
10/25/2021 06H,-1
10/25/2021 05H,0
10/25/2021 04H,-1
10/25/2021 03H,0
10/25/2021 02H,0
10/25/2021 01H,0
10/25/2021 00H,0
10/24/2021 23H,32
10/24/2021 22H,126
10/24/2021 21H,173
10/24/2021 20H,162
10/24/2021 19H,151
10/24/2021 18H,157
10/24/2021 17H,170
10/24/2021 16H,148
10/24/2021 15H,98
10/24/2021 14H,47
10/24/2021 13H,7
10/24/2021 12H,-2
10/24/2021 11H,-1
10/24/2021 10H,-1
10/24/2021 09H,-1
10/24/2021 08H,0
10/24/2021 07H,0
10/24/2021 06H,-1
10/24/2021 05H,0
10/24/2021 04H,0
10/24/2021 03H,-2
10/24/2021 02H,-1
10/24/2021 01H,0
10/24/2021 00H,0
10/23/2021 23H,34
10/23/2021 22H,112
10/23/2021 21H,170
10/23/2021 20H,194
10/23/2021 19H,195
10/23/2021 18H,191
10/23/2021 17H,195
10/23/2021 16H,197
10/23/2021 15H,158
10/23/2021 14H,81
10/23/2021 13H,9
10/23/2021 12H,0
10/23/2021 11H,0
10/23/2021 10H,0
10/23/2021 09H,0
10/23/2021 08H,-1
10/23/2021 07H,-2
10/23/2021 06H,-2
10/23/2021 05H,0
10/23/2021 04H,-1
10/23/2021 03H,0
10/23/2021 02H,0
10/23/2021 01H,0
10/23/2021 00H,0
10/22/2021 23H,40
10/22/2021 22H,148
10/22/2021 21H,185
10/22/2021 20H,193
10/22/2021 19H,173
10/22/2021 18H,176
10/22/2021 17H,182
10/22/2021 16H,177
10/22/2021 15H,155
10/22/2021 14H,97
10/22/2021 13H,13
10/22/2021 12H,-1
10/22/2021 11H,-2
10/22/2021 10H,-1
10/22/2021 09H,-2
10/22/2021 08H,0
10/22/2021 07H,-3
10/22/2021 06H,-1
10/22/2021 05H,0
10/22/2021 04H,-1
10/22/2021 03H,0
10/22/2021 02H,-2
10/22/2021 01H,-2
10/22/2021 00H,0
10/21/2021 23H,77
10/21/2021 22H,228
10/21/2021 21H,201
10/21/2021 20H,261
10/21/2021 19H,287
10/21/2021 18H,216
10/21/2021 17H,165
10/21/2021 16H,103
10/21/2021 15H,83
10/21/2021 14H,52
10/21/2021 13H,1
10/21/2021 12H,0
10/21/2021 11H,0
10/21/2021 10H,-2
10/21/2021 09H,-1
10/21/2021 08H,0
10/21/2021 07H,-6
10/21/2021 06H,0
10/21/2021 05H,-1
10/21/2021 04H,-1
10/21/2021 03H,0
10/21/2021 02H,-2
10/21/2021 01H,0
10/21/2021 00H,-1
10/20/2021 23H,41
10/20/2021 22H,196
10/20/2021 21H,280
10/20/2021 20H,311
10/20/2021 19H,303
10/20/2021 18H,282
10/20/2021 17H,315
10/20/2021 16H,338
10/20/2021 15H,367
10/20/2021 14H,241
10/20/2021 13H,33
10/20/2021 12H,0
10/20/2021 11H,-4
10/20/2021 10H,0
10/20/2021 09H,0
10/20/2021 08H,-2
10/20/2021 07H,0
10/20/2021 06H,-3
10/20/2021 05H,0
10/20/2021 04H,0
10/20/2021 03H,-3
10/20/2021 02H,-2
10/20/2021 01H,0
10/20/2021 00H,-1
10/19/2021 23H,88
10/19/2021 22H,172
10/19/2021 21H,304
10/19/2021 20H,279
10/19/2021 19H,304
10/19/2021 18H,333
10/19/2021 17H,337
10/19/2021 16H,362
10/19/2021 15H,278
10/19/2021 14H,139
10/19/2021 13H,20
10/19/2021 12H,-2
10/19/2021 11H,0
10/19/2021 10H,0
10/19/2021 09H,-2
10/19/2021 08H,0
10/19/2021 07H,-1
10/19/2021 06H,-3
10/19/2021 05H,0
10/19/2021 04H,-2
10/19/2021 03H,0
10/19/2021 02H,0
10/19/2021 01H,-1
10/19/2021 00H,0
10/18/2021 23H,101
10/18/2021 22H,340
10/18/2021 21H,374
10/18/2021 20H,402
10/18/2021 19H,399
10/18/2021 18H,394
10/18/2021 17H,400
10/18/2021 16H,406
10/18/2021 15H,378
10/18/2021 14H,178
10/18/2021 13H,30
10/18/2021 12H,-2
10/18/2021 11H,-1
10/18/2021 10H,-2
10/18/2021 09H,-3
10/18/2021 08H,0
10/18/2021 07H,-3
10/18/2021 06H,-1
10/18/2021 05H,0
10/18/2021 04H,-2
10/18/2021 03H,-1
10/18/2021 02H,0
10/18/2021 01H,-3
10/18/2021 00H,1
10/17/2021 23H,113
10/17/2021 22H,343
10/17/2021 21H,403
10/17/2021 20H,409
10/17/2021 19H,401
10/17/2021 18H,397
10/17/2021 17H,403
10/17/2021 16H,403
10/17/2021 15H,398
10/17/2021 14H,301
10/17/2021 13H,66
10/17/2021 12H,-2
10/17/2021 11H,0
10/17/2021 10H,0
10/17/2021 09H,-2
10/17/2021 08H,-1
10/17/2021 07H,-1
10/17/2021 06H,-1
10/17/2021 05H,0
10/17/2021 04H,-4
10/17/2021 03H,0
10/17/2021 02H,0
10/17/2021 01H,-1
10/17/2021 00H,1
10/16/2021 23H,120
10/16/2021 22H,351
10/16/2021 21H,413
10/16/2021 20H,415
10/16/2021 19H,408
10/16/2021 18H,408
10/16/2021 17H,411
10/16/2021 16H,420
10/16/2021 15H,414
10/16/2021 14H,307
10/16/2021 13H,64
10/16/2021 12H,-3
10/16/2021 11H,0
10/16/2021 10H,0
10/16/2021 09H,-2
10/16/2021 08H,-4
10/16/2021 07H,0
10/16/2021 06H,-1
10/16/2021 05H,0
10/16/2021 04H,-2
10/16/2021 03H,-1
10/16/2021 02H,0
10/16/2021 01H,-1
10/16/2021 00H,-1
10/15/2021 23H,14
10/15/2021 22H,63
10/15/2021 21H,117
10/15/2021 20H,130
10/15/2021 19H,293
10/15/2021 18H,259
10/15/2021 17H,181
10/15/2021 16H,132
10/15/2021 15H,73
10/15/2021 14H,30
10/15/2021 13H,-1
10/15/2021 12H,0
10/15/2021 11H,-3
10/15/2021 10H,0
10/15/2021 09H,-3
10/15/2021 08H,0
10/15/2021 07H,0
10/15/2021 06H,-2
10/15/2021 05H,0
10/15/2021 04H,-3
10/15/2021 03H,-1
10/15/2021 02H,0
10/15/2021 01H,-2
10/15/2021 00H,0
10/14/2021 23H,24
10/14/2021 22H,134
10/14/2021 21H,160
10/14/2021 20H,209
10/14/2021 19H,251
10/14/2021 18H,248
10/14/2021 17H,281
10/14/2021 16H,294
10/14/2021 15H,165
10/14/2021 14H,158
10/14/2021 13H,65
10/14/2021 12H,-2
10/14/2021 11H,0
10/14/2021 10H,-1
10/14/2021 09H,-1
10/14/2021 08H,-2
10/14/2021 07H,0
10/14/2021 06H,-2
10/14/2021 05H,0
10/14/2021 04H,0
10/14/2021 03H,-2
10/14/2021 02H,-1
10/14/2021 01H,-2
10/14/2021 00H,0
10/13/2021 23H,109
10/13/2021 22H,299
10/13/2021 21H,337
10/13/2021 20H,315
10/13/2021 19H,331
10/13/2021 18H,350
10/13/2021 17H,324
10/13/2021 16H,328
10/13/2021 15H,247
10/13/2021 14H,150
10/13/2021 13H,41
10/13/2021 12H,-4
10/13/2021 11H,0
10/13/2021 10H,0
10/13/2021 09H,-1
10/13/2021 08H,0
10/13/2021 07H,0
10/13/2021 06H,-2
10/13/2021 05H,0
10/13/2021 04H,0
10/13/2021 03H,-3
10/13/2021 02H,-2
10/13/2021 01H,-2
10/13/2021 00H,0
10/12/2021 23H,113
10/12/2021 22H,305
10/12/2021 21H,325
10/12/2021 20H,337
10/12/2021 19H,357
10/12/2021 18H,329
10/12/2021 17H,327
10/12/2021 16H,253
10/12/2021 15H,162
10/12/2021 14H,129
10/12/2021 13H,27
10/12/2021 12H,-2
10/12/2021 11H,-1
10/12/2021 10H,0
10/12/2021 09H,-1
10/12/2021 08H,0
10/12/2021 07H,-2
10/12/2021 06H,-2
10/12/2021 05H,0
10/12/2021 04H,0
10/12/2021 03H,-1
10/12/2021 02H,0
10/12/2021 01H,-2
10/12/2021 00H,1
10/11/2021 23H,27
10/11/2021 22H,102
10/11/2021 21H,285
10/11/2021 20H,272
10/11/2021 19H,281
10/11/2021 18H,279
10/11/2021 17H,274
10/11/2021 16H,320
10/11/2021 15H,291
10/11/2021 14H,183
10/11/2021 13H,19
10/11/2021 12H,-1
10/11/2021 11H,-2
10/11/2021 10H,-2
10/11/2021 09H,0
10/11/2021 08H,0
10/11/2021 07H,-2
10/11/2021 06H,0
10/11/2021 05H,-1
10/11/2021 04H,0
10/11/2021 03H,-1
10/11/2021 02H,-4
10/11/2021 01H,0
10/11/2021 00H,0
10/10/2021 23H,125
10/10/2021 22H,326
10/10/2021 21H,384
10/10/2021 20H,392
10/10/2021 19H,393
10/10/2021 18H,388
10/10/2021 17H,396
10/10/2021 16H,399
10/10/2021 15H,381
10/10/2021 14H,289
10/10/2021 13H,67
10/10/2021 12H,-1
10/10/2021 11H,0
10/10/2021 10H,-1
10/10/2021 09H,0
10/10/2021 08H,-2
10/10/2021 07H,0
10/10/2021 06H,-1
10/10/2021 05H,-3
10/10/2021 04H,0
10/10/2021 03H,-1
10/10/2021 02H,-2
10/10/2021 01H,0
10/10/2021 00H,-1
10/9/2021 23H,63
10/9/2021 22H,245
10/9/2021 21H,353
10/9/2021 20H,381
10/9/2021 19H,319
10/9/2021 18H,380
10/9/2021 17H,382
10/9/2021 16H,321
10/9/2021 15H,254
10/9/2021 14H,207
10/9/2021 13H,48
10/9/2021 12H,0
10/9/2021 11H,-1
10/9/2021 10H,-1
10/9/2021 09H,-2
10/9/2021 08H,-2
10/9/2021 07H,0
10/9/2021 06H,0
10/9/2021 05H,-1
10/9/2021 04H,0
10/9/2021 03H,0
10/9/2021 02H,-2
10/9/2021 01H,-1
10/9/2021 00H,1
10/8/2021 23H,127
10/8/2021 22H,313
10/8/2021 21H,371
10/8/2021 20H,321
10/8/2021 19H,323
10/8/2021 18H,352
10/8/2021 17H,312
10/8/2021 16H,375
10/8/2021 15H,372
10/8/2021 14H,271
10/8/2021 13H,62
10/8/2021 12H,-2
10/8/2021 11H,0
10/8/2021 10H,-1
10/8/2021 09H,0
10/8/2021 08H,0
10/8/2021 07H,-2
10/8/2021 06H,-1
10/8/2021 05H,-1
10/8/2021 04H,0
10/8/2021 03H,-2
10/8/2021 02H,-2
10/8/2021 01H,0
10/8/2021 00H,2
10/7/2021 23H,145
10/7/2021 22H,321
10/7/2021 21H,253
10/7/2021 20H,280
10/7/2021 19H,325
10/7/2021 18H,275
10/7/2021 17H,311
10/7/2021 16H,247
10/7/2021 15H,146
10/7/2021 14H,91
10/7/2021 13H,15
10/7/2021 12H,-1
10/7/2021 11H,0
10/7/2021 10H,-1
10/7/2021 09H,-1
10/7/2021 08H,-3
10/7/2021 07H,-2
10/7/2021 06H,0
10/7/2021 05H,-1
10/7/2021 04H,0
10/7/2021 03H,0
10/7/2021 02H,-2
10/7/2021 01H,-1
10/7/2021 00H,1
10/6/2021 23H,44
10/6/2021 22H,202
10/6/2021 21H,268
10/6/2021 20H,278
10/6/2021 19H,278
10/6/2021 18H,248
10/6/2021 17H,149
10/6/2021 16H,166
10/6/2021 15H,144
10/6/2021 14H,86
10/6/2021 13H,10
10/6/2021 12H,0
10/6/2021 11H,-3
10/6/2021 10H,0
10/6/2021 09H,0
10/6/2021 08H,-2
10/6/2021 07H,0
10/6/2021 06H,-1
10/6/2021 05H,0
10/6/2021 04H,0
10/6/2021 03H,-3
10/6/2021 02H,-2
10/6/2021 01H,0
10/6/2021 00H,1
10/5/2021 23H,31
10/5/2021 22H,61
10/5/2021 21H,96
10/5/2021 20H,62
10/5/2021 19H,72
10/5/2021 18H,213
10/5/2021 17H,210
10/5/2021 16H,155
10/5/2021 15H,96
10/5/2021 14H,83
10/5/2021 13H,14
10/5/2021 12H,0
10/5/2021 11H,0
10/5/2021 10H,-2
10/5/2021 09H,0
10/5/2021 08H,0
10/5/2021 07H,-1
10/5/2021 06H,-2
10/5/2021 05H,-2
10/5/2021 04H,0
10/5/2021 03H,0
10/5/2021 02H,-2
10/5/2021 01H,0
10/5/2021 00H,4
10/4/2021 23H,65
10/4/2021 22H,162
10/4/2021 21H,224
10/4/2021 20H,203
10/4/2021 19H,280
10/4/2021 18H,170
10/4/2021 17H,319
10/4/2021 16H,277
10/4/2021 15H,137
10/4/2021 14H,86
10/4/2021 13H,20
10/4/2021 12H,0
10/4/2021 11H,-1
10/4/2021 10H,-4
10/4/2021 09H,0
10/4/2021 08H,0
10/4/2021 07H,-1
10/4/2021 06H,0
10/4/2021 05H,-3
