Net generation from wind for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.WND.H
19:22:21 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.WND.H megawatthours
11/8/2021 13H,669
11/8/2021 12H,771
11/8/2021 11H,862
11/8/2021 10H,1032
11/8/2021 09H,1133
11/8/2021 08H,1064
11/8/2021 07H,1090
11/8/2021 06H,1089
11/8/2021 05H,1200
11/8/2021 04H,1334
11/8/2021 03H,1187
11/8/2021 02H,1026
11/8/2021 01H,994
11/8/2021 00H,984
11/7/2021 23H,1014
11/7/2021 22H,1017
11/7/2021 21H,1010
11/7/2021 20H,986
11/7/2021 19H,1010
11/7/2021 18H,931
11/7/2021 17H,711
11/7/2021 16H,683
11/7/2021 15H,749
11/7/2021 14H,723
11/7/2021 13H,754
11/7/2021 12H,776
11/7/2021 11H,978
11/7/2021 10H,1119
11/7/2021 09H,1080
11/7/2021 08H,1040
11/7/2021 07H,988
11/7/2021 06H,1061
11/7/2021 05H,1189
11/7/2021 04H,1196
11/7/2021 03H,1249
11/7/2021 02H,1126
11/7/2021 01H,1005
11/7/2021 00H,968
11/6/2021 23H,972
11/6/2021 22H,919
11/6/2021 21H,839
11/6/2021 20H,658
11/6/2021 19H,480
11/6/2021 18H,463
11/6/2021 17H,330
11/6/2021 16H,380
11/6/2021 15H,443
11/6/2021 14H,385
11/6/2021 13H,496
11/6/2021 12H,561
11/6/2021 11H,592
11/6/2021 10H,619
11/6/2021 09H,559
11/6/2021 08H,485
11/6/2021 07H,572
11/6/2021 06H,675
11/6/2021 05H,710
11/6/2021 04H,633
11/6/2021 03H,612
11/6/2021 02H,591
11/6/2021 01H,571
11/6/2021 00H,414
11/5/2021 23H,391
11/5/2021 22H,515
11/5/2021 21H,632
11/5/2021 20H,657
11/5/2021 19H,596
11/5/2021 18H,547
11/5/2021 17H,390
11/5/2021 16H,428
11/5/2021 15H,677
11/5/2021 14H,782
11/5/2021 13H,786
11/5/2021 12H,700
11/5/2021 11H,849
11/5/2021 10H,967
11/5/2021 09H,1035
11/5/2021 08H,1059
11/5/2021 07H,1030
11/5/2021 06H,1017
11/5/2021 05H,924
11/5/2021 04H,896
11/5/2021 03H,834
11/5/2021 02H,785
11/5/2021 01H,813
11/5/2021 00H,695
11/4/2021 23H,649
11/4/2021 22H,618
11/4/2021 21H,627
11/4/2021 20H,634
11/4/2021 19H,478
11/4/2021 18H,252
11/4/2021 17H,187
11/4/2021 16H,184
11/4/2021 15H,203
11/4/2021 14H,193
11/4/2021 13H,174
11/4/2021 12H,187
11/4/2021 11H,167
11/4/2021 10H,170
11/4/2021 09H,138
11/4/2021 08H,136
11/4/2021 07H,129
11/4/2021 06H,189
11/4/2021 05H,235
11/4/2021 04H,251
11/4/2021 03H,293
11/4/2021 02H,348
11/4/2021 01H,307
11/4/2021 00H,256
11/3/2021 23H,257
11/3/2021 22H,282
11/3/2021 21H,291
11/3/2021 20H,252
11/3/2021 19H,243
11/3/2021 18H,264
11/3/2021 17H,281
11/3/2021 16H,201
11/3/2021 15H,188
11/3/2021 14H,165
11/3/2021 13H,173
11/3/2021 12H,149
11/3/2021 11H,150
11/3/2021 10H,105
11/3/2021 09H,79
11/3/2021 08H,34
11/3/2021 07H,39
11/3/2021 06H,80
11/3/2021 05H,154
11/3/2021 04H,242
11/3/2021 03H,275
11/3/2021 02H,343
11/3/2021 01H,308
11/3/2021 00H,377
11/2/2021 23H,393
11/2/2021 22H,266
11/2/2021 21H,293
11/2/2021 20H,139
11/2/2021 19H,61
11/2/2021 18H,54
11/2/2021 17H,94
11/2/2021 16H,163
11/2/2021 15H,260
11/2/2021 14H,413
11/2/2021 13H,569
11/2/2021 12H,645
11/2/2021 11H,776
11/2/2021 10H,936
11/2/2021 09H,976
11/2/2021 08H,909
11/2/2021 07H,820
11/2/2021 06H,958
11/2/2021 05H,947
11/2/2021 04H,1004
11/2/2021 03H,1012
11/2/2021 02H,995
11/2/2021 01H,867
11/2/2021 00H,647
11/1/2021 23H,478
11/1/2021 22H,459
11/1/2021 21H,396
11/1/2021 20H,400
11/1/2021 19H,439
11/1/2021 18H,572
11/1/2021 17H,581
11/1/2021 16H,592
11/1/2021 15H,734
11/1/2021 14H,861
11/1/2021 13H,906
11/1/2021 12H,913
11/1/2021 11H,973
11/1/2021 10H,1002
11/1/2021 09H,980
11/1/2021 08H,627
11/1/2021 07H,607
11/1/2021 06H,784
11/1/2021 05H,877
11/1/2021 04H,904
11/1/2021 03H,936
11/1/2021 02H,1001
11/1/2021 01H,935
11/1/2021 00H,775
10/31/2021 23H,605
10/31/2021 22H,576
10/31/2021 21H,547
10/31/2021 20H,540
10/31/2021 19H,520
10/31/2021 18H,664
10/31/2021 17H,788
10/31/2021 16H,874
10/31/2021 15H,1007
10/31/2021 14H,1150
10/31/2021 13H,1165
10/31/2021 12H,1178
10/31/2021 11H,1146
10/31/2021 10H,1167
10/31/2021 09H,1135
10/31/2021 08H,1111
10/31/2021 07H,1046
10/31/2021 06H,960
10/31/2021 05H,925
10/31/2021 04H,1070
10/31/2021 03H,1105
10/31/2021 02H,1057
10/31/2021 01H,795
10/31/2021 00H,567
10/30/2021 23H,537
10/30/2021 22H,551
10/30/2021 21H,570
10/30/2021 20H,583
10/30/2021 19H,551
10/30/2021 18H,576
10/30/2021 17H,565
10/30/2021 16H,501
10/30/2021 15H,679
10/30/2021 14H,750
10/30/2021 13H,685
10/30/2021 12H,732
10/30/2021 11H,761
10/30/2021 10H,704
10/30/2021 09H,683
10/30/2021 08H,657
10/30/2021 07H,642
10/30/2021 06H,690
10/30/2021 05H,689
10/30/2021 04H,643
10/30/2021 03H,639
10/30/2021 02H,636
10/30/2021 01H,497
10/30/2021 00H,313
10/29/2021 23H,264
10/29/2021 22H,286
10/29/2021 21H,281
10/29/2021 20H,207
10/29/2021 19H,152
10/29/2021 18H,176
10/29/2021 17H,166
10/29/2021 16H,149
10/29/2021 15H,184
10/29/2021 14H,217
10/29/2021 13H,289
10/29/2021 12H,318
10/29/2021 11H,388
10/29/2021 10H,479
10/29/2021 09H,469
10/29/2021 08H,419
10/29/2021 07H,415
10/29/2021 06H,431
10/29/2021 05H,459
10/29/2021 04H,525
10/29/2021 03H,458
10/29/2021 02H,388
10/29/2021 01H,382
10/29/2021 00H,348
10/28/2021 23H,387
10/28/2021 22H,389
10/28/2021 21H,362
10/28/2021 20H,299
10/28/2021 19H,345
10/28/2021 18H,460
10/28/2021 17H,695
10/28/2021 16H,810
10/28/2021 15H,811
10/28/2021 14H,683
10/28/2021 13H,751
10/28/2021 12H,820
10/28/2021 11H,723
10/28/2021 10H,610
10/28/2021 09H,685
10/28/2021 08H,723
10/28/2021 07H,887
10/28/2021 06H,986
10/28/2021 05H,943
10/28/2021 04H,894
10/28/2021 03H,860
10/28/2021 02H,821
10/28/2021 01H,832
10/28/2021 00H,883
10/27/2021 23H,908
10/27/2021 22H,915
10/27/2021 21H,921
10/27/2021 20H,879
10/27/2021 19H,831
10/27/2021 18H,797
10/27/2021 17H,795
10/27/2021 16H,780
10/27/2021 15H,666
10/27/2021 14H,658
10/27/2021 13H,708
10/27/2021 12H,775
10/27/2021 11H,739
10/27/2021 10H,763
10/27/2021 09H,826
10/27/2021 08H,713
10/27/2021 07H,337
10/27/2021 06H,313
10/27/2021 05H,325
10/27/2021 04H,331
10/27/2021 03H,360
10/27/2021 02H,345
10/27/2021 01H,421
10/27/2021 00H,403
10/26/2021 23H,369
10/26/2021 22H,304
10/26/2021 21H,283
10/26/2021 20H,259
10/26/2021 19H,254
10/26/2021 18H,217
10/26/2021 17H,187
10/26/2021 16H,187
10/26/2021 15H,213
10/26/2021 14H,236
10/26/2021 13H,226
10/26/2021 12H,225
10/26/2021 11H,208
10/26/2021 10H,264
10/26/2021 09H,297
10/26/2021 08H,542
10/26/2021 07H,650
10/26/2021 06H,766
10/26/2021 05H,836
10/26/2021 04H,828
10/26/2021 03H,802
10/26/2021 02H,873
10/26/2021 01H,1022
10/26/2021 00H,1227
10/25/2021 23H,1234
10/25/2021 22H,1168
10/25/2021 21H,1125
10/25/2021 20H,1101
10/25/2021 19H,1141
10/25/2021 18H,1147
10/25/2021 17H,1191
10/25/2021 16H,1013
10/25/2021 15H,999
10/25/2021 14H,1077
10/25/2021 13H,1096
10/25/2021 12H,1098
10/25/2021 11H,1077
10/25/2021 10H,1158
10/25/2021 09H,1211
10/25/2021 08H,700
10/25/2021 07H,733
10/25/2021 06H,753
10/25/2021 05H,938
10/25/2021 04H,985
10/25/2021 03H,852
10/25/2021 02H,727
10/25/2021 01H,769
10/25/2021 00H,1067
10/24/2021 23H,1105
10/24/2021 22H,1079
10/24/2021 21H,1006
10/24/2021 20H,1016
10/24/2021 19H,1084
10/24/2021 18H,1106
10/24/2021 17H,1185
10/24/2021 16H,1042
10/24/2021 15H,990
10/24/2021 14H,1006
10/24/2021 13H,1060
10/24/2021 12H,1023
10/24/2021 11H,998
10/24/2021 10H,1049
10/24/2021 09H,1166
10/24/2021 08H,1191
10/24/2021 07H,1239
10/24/2021 06H,1254
10/24/2021 05H,1175
10/24/2021 04H,1077
10/24/2021 03H,1103
10/24/2021 02H,1047
10/24/2021 01H,978
10/24/2021 00H,1247
10/23/2021 23H,1377
10/23/2021 22H,1338
10/23/2021 21H,1362
10/23/2021 20H,1323
10/23/2021 19H,1065
10/23/2021 18H,716
10/23/2021 17H,538
10/23/2021 16H,504
10/23/2021 15H,596
10/23/2021 14H,749
10/23/2021 13H,786
10/23/2021 12H,952
10/23/2021 11H,941
10/23/2021 10H,1037
10/23/2021 09H,1015
10/23/2021 08H,984
10/23/2021 07H,923
10/23/2021 06H,796
10/23/2021 05H,773
10/23/2021 04H,743
10/23/2021 03H,716
10/23/2021 02H,734
10/23/2021 01H,726
10/23/2021 00H,868
10/22/2021 23H,1011
10/22/2021 22H,990
10/22/2021 21H,835
10/22/2021 20H,504
10/22/2021 19H,245
10/22/2021 18H,84
10/22/2021 17H,40
10/22/2021 16H,48
10/22/2021 15H,109
10/22/2021 14H,103
10/22/2021 13H,138
10/22/2021 12H,106
10/22/2021 11H,105
10/22/2021 10H,116
10/22/2021 09H,162
10/22/2021 08H,233
10/22/2021 07H,233
10/22/2021 06H,266
10/22/2021 05H,251
10/22/2021 04H,244
10/22/2021 03H,342
10/22/2021 02H,360
10/22/2021 01H,282
10/22/2021 00H,367
10/21/2021 23H,459
10/21/2021 22H,455
10/21/2021 21H,342
10/21/2021 20H,304
10/21/2021 19H,283
10/21/2021 18H,195
10/21/2021 17H,138
10/21/2021 16H,200
10/21/2021 15H,292
10/21/2021 14H,237
10/21/2021 13H,202
10/21/2021 12H,245
10/21/2021 11H,219
10/21/2021 10H,148
10/21/2021 09H,103
10/21/2021 08H,88
10/21/2021 07H,130
10/21/2021 06H,133
10/21/2021 05H,153
10/21/2021 04H,195
10/21/2021 03H,241
10/21/2021 02H,286
10/21/2021 01H,336
10/21/2021 00H,409
10/20/2021 23H,413
10/20/2021 22H,332
10/20/2021 21H,348
10/20/2021 20H,314
10/20/2021 19H,318
10/20/2021 18H,334
10/20/2021 17H,273
10/20/2021 16H,224
10/20/2021 15H,234
10/20/2021 14H,292
10/20/2021 13H,275
10/20/2021 12H,276
10/20/2021 11H,245
10/20/2021 10H,136
10/20/2021 09H,127
10/20/2021 08H,152
10/20/2021 07H,204
10/20/2021 06H,284
10/20/2021 05H,390
10/20/2021 04H,459
10/20/2021 03H,590
10/20/2021 02H,619
10/20/2021 01H,605
10/20/2021 00H,831
10/19/2021 23H,955
10/19/2021 22H,1008
10/19/2021 21H,1041
10/19/2021 20H,1056
10/19/2021 19H,1043
10/19/2021 18H,1017
10/19/2021 17H,962
10/19/2021 16H,881
10/19/2021 15H,691
10/19/2021 14H,795
10/19/2021 13H,885
10/19/2021 12H,832
10/19/2021 11H,822
10/19/2021 10H,899
10/19/2021 09H,930
10/19/2021 08H,945
10/19/2021 07H,1067
10/19/2021 06H,1126
10/19/2021 05H,1142
10/19/2021 04H,1131
10/19/2021 03H,1037
10/19/2021 02H,1022
10/19/2021 01H,1091
10/19/2021 00H,1262
10/18/2021 23H,1368
10/18/2021 22H,1369
10/18/2021 21H,1299
10/18/2021 20H,1241
10/18/2021 19H,1148
10/18/2021 18H,1159
10/18/2021 17H,1061
10/18/2021 16H,838
10/18/2021 15H,774
10/18/2021 14H,779
10/18/2021 13H,768
10/18/2021 12H,876
10/18/2021 11H,1003
10/18/2021 10H,1018
10/18/2021 09H,916
10/18/2021 08H,850
10/18/2021 07H,788
10/18/2021 06H,808
10/18/2021 05H,812
10/18/2021 04H,829
10/18/2021 03H,924
10/18/2021 02H,931
10/18/2021 01H,858
10/18/2021 00H,821
10/17/2021 23H,894
10/17/2021 22H,826
10/17/2021 21H,560
10/17/2021 20H,380
10/17/2021 19H,248
10/17/2021 18H,200
10/17/2021 17H,210
10/17/2021 16H,176
10/17/2021 15H,224
10/17/2021 14H,292
10/17/2021 13H,337
10/17/2021 12H,309
10/17/2021 11H,261
10/17/2021 10H,258
10/17/2021 09H,281
10/17/2021 08H,255
10/17/2021 07H,250
10/17/2021 06H,267
10/17/2021 05H,297
10/17/2021 04H,365
10/17/2021 03H,536
10/17/2021 02H,629
10/17/2021 01H,482
10/17/2021 00H,310
10/16/2021 23H,296
10/16/2021 22H,311
10/16/2021 21H,339
10/16/2021 20H,326
10/16/2021 19H,313
10/16/2021 18H,334
10/16/2021 17H,334
10/16/2021 16H,309
10/16/2021 15H,269
10/16/2021 14H,358
10/16/2021 13H,392
10/16/2021 12H,352
10/16/2021 11H,430
10/16/2021 10H,474
10/16/2021 09H,507
10/16/2021 08H,530
10/16/2021 07H,539
10/16/2021 06H,563
10/16/2021 05H,515
10/16/2021 04H,461
10/16/2021 03H,429
10/16/2021 02H,432
10/16/2021 01H,393
10/16/2021 00H,322
10/15/2021 23H,307
10/15/2021 22H,332
10/15/2021 21H,378
10/15/2021 20H,499
10/15/2021 19H,500
10/15/2021 18H,540
10/15/2021 17H,691
10/15/2021 16H,711
10/15/2021 15H,711
10/15/2021 14H,855
10/15/2021 13H,945
10/15/2021 12H,932
10/15/2021 11H,895
10/15/2021 10H,766
10/15/2021 09H,876
10/15/2021 08H,835
10/15/2021 07H,828
10/15/2021 06H,768
10/15/2021 05H,771
10/15/2021 04H,675
10/15/2021 03H,716
10/15/2021 02H,789
10/15/2021 01H,926
10/15/2021 00H,1100
10/14/2021 23H,1113
10/14/2021 22H,1009
10/14/2021 21H,762
10/14/2021 20H,925
10/14/2021 19H,795
10/14/2021 18H,768
10/14/2021 17H,548
10/14/2021 16H,373
10/14/2021 15H,417
10/14/2021 14H,447
10/14/2021 13H,409
10/14/2021 12H,433
10/14/2021 11H,447
10/14/2021 10H,379
10/14/2021 09H,279
10/14/2021 08H,285
10/14/2021 07H,276
10/14/2021 06H,307
10/14/2021 05H,341
10/14/2021 04H,604
10/14/2021 03H,809
10/14/2021 02H,664
10/14/2021 01H,693
10/14/2021 00H,851
10/13/2021 23H,894
10/13/2021 22H,858
10/13/2021 21H,825
10/13/2021 20H,695
10/13/2021 19H,573
10/13/2021 18H,565
10/13/2021 17H,508
10/13/2021 16H,536
10/13/2021 15H,608
10/13/2021 14H,733
10/13/2021 13H,768
10/13/2021 12H,767
10/13/2021 11H,775
10/13/2021 10H,630
10/13/2021 09H,666
10/13/2021 08H,691
10/13/2021 07H,659
10/13/2021 06H,873
10/13/2021 05H,1016
10/13/2021 04H,1025
10/13/2021 03H,1020
10/13/2021 02H,1070
10/13/2021 01H,1042
10/13/2021 00H,1139
10/12/2021 23H,1042
10/12/2021 22H,881
10/12/2021 21H,716
10/12/2021 20H,815
10/12/2021 19H,815
10/12/2021 18H,803
10/12/2021 17H,800
10/12/2021 16H,943
10/12/2021 15H,1032
10/12/2021 14H,1090
10/12/2021 13H,1104
10/12/2021 12H,975
10/12/2021 11H,957
10/12/2021 10H,854
10/12/2021 09H,812
10/12/2021 08H,838
10/12/2021 07H,925
10/12/2021 06H,808
10/12/2021 05H,773
10/12/2021 04H,983
10/12/2021 03H,1139
10/12/2021 02H,1080
10/12/2021 01H,1198
10/12/2021 00H,1366
10/11/2021 23H,1330
10/11/2021 22H,1241
10/11/2021 21H,1218
10/11/2021 20H,1096
10/11/2021 19H,971
10/11/2021 18H,900
10/11/2021 17H,578
10/11/2021 16H,457
10/11/2021 15H,464
10/11/2021 14H,451
10/11/2021 13H,446
10/11/2021 12H,463
10/11/2021 11H,518
10/11/2021 10H,498
10/11/2021 09H,534
10/11/2021 08H,531
10/11/2021 07H,334
10/11/2021 06H,394
10/11/2021 05H,559
10/11/2021 04H,511
10/11/2021 03H,430
10/11/2021 02H,428
10/11/2021 01H,246
10/11/2021 00H,273
10/10/2021 23H,389
10/10/2021 22H,508
10/10/2021 21H,610
10/10/2021 20H,619
10/10/2021 19H,658
10/10/2021 18H,923
10/10/2021 17H,737
10/10/2021 16H,838
10/10/2021 15H,995
10/10/2021 14H,862
10/10/2021 13H,711
10/10/2021 12H,715
10/10/2021 11H,732
10/10/2021 10H,684
10/10/2021 09H,687
10/10/2021 08H,711
10/10/2021 07H,870
10/10/2021 06H,860
10/10/2021 05H,713
10/10/2021 04H,546
10/10/2021 03H,539
10/10/2021 02H,813
10/10/2021 01H,885
10/10/2021 00H,1024
10/9/2021 23H,1116
10/9/2021 22H,1170
10/9/2021 21H,1226
10/9/2021 20H,1187
10/9/2021 19H,1129
10/9/2021 18H,1069
10/9/2021 17H,947
10/9/2021 16H,794
10/9/2021 15H,737
10/9/2021 14H,806
10/9/2021 13H,772
10/9/2021 12H,714
10/9/2021 11H,654
10/9/2021 10H,703
10/9/2021 09H,702
10/9/2021 08H,885
10/9/2021 07H,940
10/9/2021 06H,880
10/9/2021 05H,938
10/9/2021 04H,973
10/9/2021 03H,985
10/9/2021 02H,916
10/9/2021 01H,1017
10/9/2021 00H,1041
10/8/2021 23H,1093
10/8/2021 22H,913
10/8/2021 21H,716
10/8/2021 20H,620
10/8/2021 19H,774
10/8/2021 18H,747
10/8/2021 17H,424
10/8/2021 16H,392
10/8/2021 15H,440
10/8/2021 14H,528
10/8/2021 13H,497
10/8/2021 12H,674
10/8/2021 11H,713
10/8/2021 10H,813
10/8/2021 09H,924
10/8/2021 08H,849
10/8/2021 07H,688
10/8/2021 06H,606
10/8/2021 05H,477
10/8/2021 04H,399
10/8/2021 03H,297
10/8/2021 02H,337
10/8/2021 01H,460
10/8/2021 00H,529
10/7/2021 23H,616
10/7/2021 22H,620
10/7/2021 21H,609
10/7/2021 20H,432
10/7/2021 19H,309
10/7/2021 18H,212
10/7/2021 17H,75
10/7/2021 16H,34
10/7/2021 15H,66
10/7/2021 14H,97
10/7/2021 13H,107
10/7/2021 12H,154
10/7/2021 11H,144
10/7/2021 10H,222
10/7/2021 09H,329
10/7/2021 08H,422
10/7/2021 07H,431
10/7/2021 06H,359
10/7/2021 05H,301
10/7/2021 04H,254
10/7/2021 03H,239
10/7/2021 02H,239
10/7/2021 01H,257
10/7/2021 00H,283
10/6/2021 23H,343
10/6/2021 22H,305
10/6/2021 21H,301
10/6/2021 20H,190
10/6/2021 19H,148
10/6/2021 18H,65
10/6/2021 17H,-2
10/6/2021 16H,0
10/6/2021 15H,35
10/6/2021 14H,205
10/6/2021 13H,302
10/6/2021 12H,302
10/6/2021 11H,233
10/6/2021 10H,139
10/6/2021 09H,244
10/6/2021 08H,289
10/6/2021 07H,391
10/6/2021 06H,311
10/6/2021 05H,350
10/6/2021 04H,520
10/6/2021 03H,533
10/6/2021 02H,414
10/6/2021 01H,337
10/6/2021 00H,266
10/5/2021 23H,188
10/5/2021 22H,194
10/5/2021 21H,366
10/5/2021 20H,419
10/5/2021 19H,284
10/5/2021 18H,54
10/5/2021 17H,54
10/5/2021 16H,142
10/5/2021 15H,307
10/5/2021 14H,288
10/5/2021 13H,231
10/5/2021 12H,219
10/5/2021 11H,143
10/5/2021 10H,102
10/5/2021 09H,104
10/5/2021 08H,173
10/5/2021 07H,214
10/5/2021 06H,228
10/5/2021 05H,245
10/5/2021 04H,235
10/5/2021 03H,158
10/5/2021 02H,100
10/5/2021 01H,66
10/5/2021 00H,17
10/4/2021 23H,29
10/4/2021 22H,5
10/4/2021 21H,13
10/4/2021 20H,18
10/4/2021 19H,42
10/4/2021 18H,57
10/4/2021 17H,58
10/4/2021 16H,55
10/4/2021 15H,62
10/4/2021 14H,105
10/4/2021 13H,95
10/4/2021 12H,75
10/4/2021 11H,60
10/4/2021 10H,87
10/4/2021 09H,156
10/4/2021 08H,242
10/4/2021 07H,183
10/4/2021 06H,148
10/4/2021 05H,225
10/4/2021 04H,229
10/4/2021 03H,86
10/4/2021 02H,50
10/4/2021 01H,52
10/4/2021 00H,65
10/3/2021 23H,87
10/3/2021 22H,91
