Net generation from coal for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.COL.H
19:01:56 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.COL.H megawatthours
11/10/2021 18H,79241
11/10/2021 17H,79099
11/10/2021 16H,78684
11/10/2021 15H,78963
11/10/2021 14H,79539
11/10/2021 13H,76778
11/10/2021 12H,73155
11/10/2021 11H,69848
11/10/2021 10H,67577
11/10/2021 09H,65780
11/10/2021 08H,66778
11/10/2021 07H,68004
11/10/2021 06H,71561
11/10/2021 05H,76569
11/10/2021 04H,80693
11/10/2021 03H,84415
11/10/2021 02H,87609
11/10/2021 01H,89739
11/10/2021 00H,91098
11/9/2021 23H,90135
11/9/2021 22H,89025
11/9/2021 21H,88193
11/9/2021 20H,88769
11/9/2021 19H,88390
11/9/2021 18H,88760
11/9/2021 17H,89038
11/9/2021 16H,89311
11/9/2021 15H,89009
11/9/2021 14H,89335
11/9/2021 13H,87496
11/9/2021 12H,83611
11/9/2021 11H,79138
11/9/2021 10H,77171
11/9/2021 09H,75360
11/9/2021 08H,75206
11/9/2021 07H,76599
11/9/2021 06H,78152
11/9/2021 05H,79367
11/9/2021 04H,82953
11/9/2021 03H,85254
11/9/2021 02H,86759
11/9/2021 01H,88810
11/9/2021 00H,90055
11/8/2021 23H,88095
11/8/2021 22H,85192
11/8/2021 21H,84244
11/8/2021 20H,83929
11/8/2021 19H,83105
11/8/2021 18H,82218
11/8/2021 17H,81538
11/8/2021 16H,81290
11/8/2021 15H,79750
11/8/2021 14H,79927
11/8/2021 13H,77333
11/8/2021 12H,72648
11/8/2021 11H,68449
11/8/2021 10H,66761
11/8/2021 09H,66914
11/8/2021 08H,66788
11/8/2021 07H,67039
11/8/2021 06H,66960
11/8/2021 05H,70058
11/8/2021 04H,71661
11/8/2021 03H,74607
11/8/2021 02H,76313
11/8/2021 01H,78505
11/8/2021 00H,78624
11/7/2021 23H,76097
11/7/2021 22H,73012
11/7/2021 21H,70121
11/7/2021 20H,70381
11/7/2021 19H,72331
11/7/2021 18H,73279
11/7/2021 17H,74803
11/7/2021 16H,74575
11/7/2021 15H,74066
11/7/2021 14H,73773
11/7/2021 13H,72472
11/7/2021 12H,71100
11/7/2021 11H,68651
11/7/2021 10H,66871
11/7/2021 09H,65970
11/7/2021 08H,65413
11/7/2021 07H,66051
11/7/2021 06H,67522
11/7/2021 05H,68858
11/7/2021 04H,72447
11/7/2021 03H,72249
11/7/2021 02H,75267
11/7/2021 01H,77899
11/7/2021 00H,79861
11/6/2021 23H,79403
11/6/2021 22H,77377
11/6/2021 21H,76905
11/6/2021 20H,77551
11/6/2021 19H,79729
11/6/2021 18H,80403
11/6/2021 17H,81167
11/6/2021 16H,82229
11/6/2021 15H,81309
11/6/2021 14H,81323
11/6/2021 13H,80737
11/6/2021 12H,78097
11/6/2021 11H,75610
11/6/2021 10H,73783
11/6/2021 09H,72122
11/6/2021 08H,71508
11/6/2021 07H,70742
11/6/2021 06H,72364
11/6/2021 05H,76272
11/6/2021 04H,78488
11/6/2021 03H,81396
11/6/2021 02H,83852
11/6/2021 01H,87865
11/6/2021 00H,89931
11/5/2021 23H,87941
11/5/2021 22H,86920
11/5/2021 21H,84742
11/5/2021 20H,83437
11/5/2021 19H,82572
11/5/2021 18H,83567
11/5/2021 17H,86243
11/5/2021 16H,87358
11/5/2021 15H,88372
11/5/2021 14H,89672
11/5/2021 13H,89603
11/5/2021 12H,86879
11/5/2021 11H,82828
11/5/2021 10H,78535
11/5/2021 09H,75513
11/5/2021 08H,75161
11/5/2021 07H,74951
11/5/2021 06H,73293
11/5/2021 05H,74269
11/5/2021 04H,78444
11/5/2021 03H,80855
11/5/2021 02H,83838
11/5/2021 01H,87544
11/5/2021 00H,90577
11/4/2021 23H,90944
11/4/2021 22H,88702
11/4/2021 21H,87170
11/4/2021 20H,87458
11/4/2021 19H,87209
11/4/2021 18H,87635
11/4/2021 17H,89417
11/4/2021 16H,91740
11/4/2021 15H,93597
11/4/2021 14H,94956
11/4/2021 13H,94864
11/4/2021 12H,92431
11/4/2021 11H,88045
11/4/2021 10H,84451
11/4/2021 09H,81637
11/4/2021 08H,82115
11/4/2021 07H,83278
11/4/2021 06H,85162
11/4/2021 05H,86695
11/4/2021 04H,88772
11/4/2021 03H,92303
11/4/2021 02H,94125
11/4/2021 01H,94803
11/4/2021 00H,94005
11/3/2021 23H,92391
11/3/2021 22H,91148
11/3/2021 21H,89400
11/3/2021 20H,89396
11/3/2021 19H,89862
11/3/2021 18H,90148
11/3/2021 17H,90526
11/3/2021 16H,90906
11/3/2021 15H,91024
11/3/2021 14H,91701
11/3/2021 13H,91824
11/3/2021 12H,89626
11/3/2021 11H,86764
11/3/2021 10H,83652
11/3/2021 09H,82706
11/3/2021 08H,82558
11/3/2021 07H,83375
11/3/2021 06H,84550
11/3/2021 05H,84426
11/3/2021 04H,85239
11/3/2021 03H,89158
11/3/2021 02H,90598
11/3/2021 01H,91608
11/3/2021 00H,90728
11/2/2021 23H,89007
11/2/2021 22H,88443
11/2/2021 21H,87322
11/2/2021 20H,88197
11/2/2021 19H,87758
11/2/2021 18H,88070
11/2/2021 17H,87647
11/2/2021 16H,87652
11/2/2021 15H,88258
11/2/2021 14H,87442
11/2/2021 13H,86156
11/2/2021 12H,84169
11/2/2021 11H,80894
11/2/2021 10H,79172
11/2/2021 09H,77741
11/2/2021 08H,76978
11/2/2021 07H,77152
11/2/2021 06H,78354
11/2/2021 05H,80452
11/2/2021 04H,80730
11/2/2021 03H,85176
11/2/2021 02H,86346
11/2/2021 01H,88079
11/2/2021 00H,87879
11/1/2021 23H,85774
11/1/2021 22H,84282
11/1/2021 21H,82829
11/1/2021 20H,82924
11/1/2021 19H,83185
11/1/2021 18H,84086
11/1/2021 17H,84383
11/1/2021 16H,84135
11/1/2021 15H,83372
11/1/2021 14H,83642
11/1/2021 13H,83157
11/1/2021 12H,80130
11/1/2021 11H,77311
11/1/2021 10H,74163
11/1/2021 09H,72873
11/1/2021 08H,72138
11/1/2021 07H,71615
11/1/2021 06H,71506
11/1/2021 05H,61760
11/1/2021 04H,63093
11/1/2021 03H,65248
11/1/2021 02H,65691
11/1/2021 01H,65672
11/1/2021 00H,64594
10/31/2021 23H,63044
10/31/2021 22H,60696
10/31/2021 21H,60588
10/31/2021 20H,60821
10/31/2021 19H,61554
10/31/2021 18H,62004
10/31/2021 17H,62022
10/31/2021 16H,62686
10/31/2021 15H,63397
10/31/2021 14H,62749
10/31/2021 13H,61805
10/31/2021 12H,60068
10/31/2021 11H,58627
10/31/2021 10H,57096
10/31/2021 09H,56198
10/31/2021 08H,56633
10/31/2021 07H,57016
10/31/2021 06H,58249
10/31/2021 05H,59559
10/31/2021 04H,61978
10/31/2021 03H,64751
10/31/2021 02H,67404
10/31/2021 01H,68598
10/31/2021 00H,68135
10/30/2021 23H,66056
10/30/2021 22H,64367
10/30/2021 21H,63618
10/30/2021 20H,63425
10/30/2021 19H,64295
10/30/2021 18H,64800
10/30/2021 17H,65208
10/30/2021 16H,65511
10/30/2021 15H,65235
10/30/2021 14H,65332
10/30/2021 13H,64241
10/30/2021 12H,62665
10/30/2021 11H,61062
10/30/2021 10H,60576
10/30/2021 09H,60171
10/30/2021 08H,60650
10/30/2021 07H,60670
10/30/2021 06H,61079
10/30/2021 05H,73597
10/30/2021 04H,75790
10/30/2021 03H,76958
10/30/2021 02H,79310
10/30/2021 01H,81025
10/30/2021 00H,81228
10/29/2021 23H,76788
10/29/2021 22H,74639
10/29/2021 21H,74366
10/29/2021 20H,74718
10/29/2021 19H,74570
10/29/2021 18H,75330
10/29/2021 17H,76793
10/29/2021 16H,77574
10/29/2021 15H,78107
10/29/2021 14H,77506
10/29/2021 13H,76173
10/29/2021 12H,72748
10/29/2021 11H,69188
10/29/2021 10H,65901
10/29/2021 09H,64513
10/29/2021 08H,64670
10/29/2021 07H,65666
10/29/2021 06H,67448
10/29/2021 05H,69869
10/29/2021 04H,73728
10/29/2021 03H,74722
10/29/2021 02H,78584
10/29/2021 01H,78850
10/29/2021 00H,77852
10/28/2021 23H,75602
10/28/2021 22H,75889
10/28/2021 21H,76049
10/28/2021 20H,77099
10/28/2021 19H,76172
10/28/2021 18H,75021
10/28/2021 17H,75603
10/28/2021 16H,75689
10/28/2021 15H,75350
10/28/2021 14H,74405
10/28/2021 13H,74148
10/28/2021 12H,71238
10/28/2021 11H,67919
10/28/2021 10H,64790
10/28/2021 09H,63058
10/28/2021 08H,64244
10/28/2021 07H,65997
10/28/2021 06H,67551
10/28/2021 05H,70028
10/28/2021 04H,74371
10/28/2021 03H,78625
10/28/2021 02H,81056
10/28/2021 01H,81829
10/28/2021 00H,81524
10/27/2021 23H,79454
10/27/2021 22H,77754
10/27/2021 21H,77940
10/27/2021 20H,77894
10/27/2021 19H,76438
10/27/2021 18H,75407
10/27/2021 17H,75560
10/27/2021 16H,76088
10/27/2021 15H,76568
10/27/2021 14H,77396
10/27/2021 13H,76094
10/27/2021 12H,73178
10/27/2021 11H,69372
10/27/2021 10H,66385
10/27/2021 09H,65562
10/27/2021 08H,64292
10/27/2021 07H,64150
10/27/2021 06H,65467
10/27/2021 05H,68231
10/27/2021 04H,69824
10/27/2021 03H,74151
10/27/2021 02H,76570
10/27/2021 01H,78226
10/27/2021 00H,78023
10/26/2021 23H,76411
10/26/2021 22H,75411
10/26/2021 21H,74886
10/26/2021 20H,74702
10/26/2021 19H,73846
10/26/2021 18H,73043
10/26/2021 17H,73434
10/26/2021 16H,74319
10/26/2021 15H,74607
10/26/2021 14H,74527
10/26/2021 13H,74148
10/26/2021 12H,71858
10/26/2021 11H,69317
10/26/2021 10H,66818
10/26/2021 09H,63845
10/26/2021 08H,63759
10/26/2021 07H,65310
10/26/2021 06H,69235
10/26/2021 05H,71766
10/26/2021 04H,73790
10/26/2021 03H,77854
10/26/2021 02H,81286
10/26/2021 01H,84072
10/26/2021 00H,85274
10/25/2021 23H,84885
10/25/2021 22H,84577
10/25/2021 21H,83893
10/25/2021 20H,84064
10/25/2021 19H,83879
10/25/2021 18H,83402
10/25/2021 17H,82539
10/25/2021 16H,82302
10/25/2021 15H,81663
10/25/2021 14H,80440
10/25/2021 13H,78828
10/25/2021 12H,75797
10/25/2021 11H,72538
10/25/2021 10H,69283
10/25/2021 09H,67294
10/25/2021 08H,67725
10/25/2021 07H,68932
10/25/2021 06H,70730
10/25/2021 05H,63668
10/25/2021 04H,66683
10/25/2021 03H,68574
10/25/2021 02H,71474
10/25/2021 01H,74614
10/25/2021 00H,74661
10/24/2021 23H,72948
10/24/2021 22H,70464
10/24/2021 21H,66999
10/24/2021 20H,65919
10/24/2021 19H,65835
10/24/2021 18H,65382
10/24/2021 17H,64938
10/24/2021 16H,64969
10/24/2021 15H,64509
10/24/2021 14H,64556
10/24/2021 13H,62664
10/24/2021 12H,60477
10/24/2021 11H,59036
10/24/2021 10H,57850
10/24/2021 09H,57365
10/24/2021 08H,57349
10/24/2021 07H,57760
10/24/2021 06H,59300
10/24/2021 05H,61699
10/24/2021 04H,65510
10/24/2021 03H,67053
10/24/2021 02H,69093
10/24/2021 01H,70593
10/24/2021 00H,70562
10/23/2021 23H,70339
10/23/2021 22H,70319
10/23/2021 21H,70365
10/23/2021 20H,70369
10/23/2021 19H,69665
10/23/2021 18H,69935
10/23/2021 17H,71261
10/23/2021 16H,72371
10/23/2021 15H,71976
10/23/2021 14H,72110
10/23/2021 13H,70668
10/23/2021 12H,67719
10/23/2021 11H,65740
10/23/2021 10H,64130
10/23/2021 09H,63652
10/23/2021 08H,64570
10/23/2021 07H,64697
10/23/2021 06H,66143
10/23/2021 05H,76230
10/23/2021 04H,77956
10/23/2021 03H,81513
10/23/2021 02H,83952
10/23/2021 01H,86535
10/23/2021 00H,87328
10/22/2021 23H,87285
10/22/2021 22H,86071
10/22/2021 21H,86315
10/22/2021 20H,86698
10/22/2021 19H,87529
10/22/2021 18H,87297
10/22/2021 17H,86625
10/22/2021 16H,86706
10/22/2021 15H,85454
10/22/2021 14H,84094
10/22/2021 13H,83644
10/22/2021 12H,82487
10/22/2021 11H,78489
10/22/2021 10H,75752
10/22/2021 09H,73312
10/22/2021 08H,72910
10/22/2021 07H,73611
10/22/2021 06H,75843
10/22/2021 05H,78234
10/22/2021 04H,81700
10/22/2021 03H,84216
10/22/2021 02H,86485
10/22/2021 01H,86149
10/22/2021 00H,86330
10/21/2021 23H,84995
10/21/2021 22H,84618
10/21/2021 21H,82899
10/21/2021 20H,81844
10/21/2021 19H,82149
10/21/2021 18H,81559
10/21/2021 17H,79990
10/21/2021 16H,79078
10/21/2021 15H,77345
10/21/2021 14H,76854
10/21/2021 13H,77565
10/21/2021 12H,75624
10/21/2021 11H,71666
10/21/2021 10H,68937
10/21/2021 09H,67255
10/21/2021 08H,66573
10/21/2021 07H,67896
10/21/2021 06H,71447
10/21/2021 05H,74849
10/21/2021 04H,77214
10/21/2021 03H,81082
10/21/2021 02H,82588
10/21/2021 01H,85892
10/21/2021 00H,86810
10/20/2021 23H,84454
10/20/2021 22H,82773
10/20/2021 21H,81863
10/20/2021 20H,82392
10/20/2021 19H,82092
10/20/2021 18H,80890
10/20/2021 17H,78751
10/20/2021 16H,77181
10/20/2021 15H,76519
10/20/2021 14H,76196
10/20/2021 13H,76310
10/20/2021 12H,74153
10/20/2021 11H,70423
10/20/2021 10H,66923
10/20/2021 09H,63837
10/20/2021 08H,63239
10/20/2021 07H,63945
10/20/2021 06H,66008
10/20/2021 05H,69438
10/20/2021 04H,72352
10/20/2021 03H,73974
10/20/2021 02H,76417
10/20/2021 01H,78527
10/20/2021 00H,78807
10/19/2021 23H,77514
10/19/2021 22H,75006
10/19/2021 21H,74519
10/19/2021 20H,74460
10/19/2021 19H,74250
10/19/2021 18H,74026
10/19/2021 17H,73559
10/19/2021 16H,72506
10/19/2021 15H,72104
10/19/2021 14H,72907
10/19/2021 13H,73522
10/19/2021 12H,70363
10/19/2021 11H,65786
10/19/2021 10H,62023
10/19/2021 09H,60197
10/19/2021 08H,60359
10/19/2021 07H,60953
10/19/2021 06H,62927
10/19/2021 05H,66419
10/19/2021 04H,69554
10/19/2021 03H,72972
10/19/2021 02H,75521
10/19/2021 01H,78068
10/19/2021 00H,79878
10/18/2021 23H,79088
10/18/2021 22H,77014
10/18/2021 21H,76901
10/18/2021 20H,74014
10/18/2021 19H,76483
10/18/2021 18H,78328
10/18/2021 17H,79791
10/18/2021 16H,80577
10/18/2021 15H,78792
10/18/2021 14H,77243
10/18/2021 13H,76337
10/18/2021 12H,71944
10/18/2021 11H,67107
10/18/2021 10H,63478
10/18/2021 09H,60486
10/18/2021 08H,59212
10/18/2021 07H,59530
10/18/2021 06H,61398
10/18/2021 05H,59346
10/18/2021 04H,61599
10/18/2021 03H,65880
10/18/2021 02H,69261
10/18/2021 01H,72028
10/18/2021 00H,71398
10/17/2021 23H,69952
10/17/2021 22H,66968
10/17/2021 21H,65756
10/17/2021 20H,64015
10/17/2021 19H,64017
10/17/2021 18H,64835
10/17/2021 17H,65682
10/17/2021 16H,66529
10/17/2021 15H,66755
10/17/2021 14H,67068
10/17/2021 13H,65720
10/17/2021 12H,63582
10/17/2021 11H,61594
10/17/2021 10H,59953
10/17/2021 09H,59057
10/17/2021 08H,59027
10/17/2021 07H,59224
10/17/2021 06H,60879
10/17/2021 05H,62742
10/17/2021 04H,67936
10/17/2021 03H,66106
10/17/2021 02H,69011
10/17/2021 01H,71641
10/17/2021 00H,72193
10/16/2021 23H,69614
10/16/2021 22H,67329
10/16/2021 21H,65906
10/16/2021 20H,65760
10/16/2021 19H,65575
10/16/2021 18H,66990
10/16/2021 17H,68402
10/16/2021 16H,69714
10/16/2021 15H,69891
10/16/2021 14H,67985
10/16/2021 13H,65566
10/16/2021 12H,63937
10/16/2021 11H,62660
10/16/2021 10H,61856
10/16/2021 09H,61349
10/16/2021 08H,61770
10/16/2021 07H,64098
10/16/2021 06H,67775
10/16/2021 05H,81135
10/16/2021 04H,88640
10/16/2021 03H,90071
10/16/2021 02H,93489
10/16/2021 01H,96007
10/16/2021 00H,92814
10/15/2021 23H,91240
10/15/2021 22H,92297
10/15/2021 21H,91005
10/15/2021 20H,90512
10/15/2021 19H,90402
10/15/2021 18H,90337
10/15/2021 17H,91258
10/15/2021 16H,91672
10/15/2021 15H,92257
10/15/2021 14H,89530
10/15/2021 13H,88555
10/15/2021 12H,86913
10/15/2021 11H,83272
10/15/2021 10H,80382
10/15/2021 09H,78893
10/15/2021 08H,78894
10/15/2021 07H,80649
10/15/2021 06H,84125
10/15/2021 05H,88351
10/15/2021 04H,91799
10/15/2021 03H,97410
10/15/2021 02H,102130
10/15/2021 01H,103830
10/15/2021 00H,103218
10/14/2021 23H,102223
10/14/2021 22H,102035
10/14/2021 21H,101336
10/14/2021 20H,100378
10/14/2021 19H,100168
10/14/2021 18H,99638
10/14/2021 17H,97909
10/14/2021 16H,97022
10/14/2021 15H,96268
10/14/2021 14H,94541
10/14/2021 13H,93267
10/14/2021 12H,89821
10/14/2021 11H,85083
10/14/2021 10H,80778
10/14/2021 09H,77919
10/14/2021 08H,77345
10/14/2021 07H,78610
10/14/2021 06H,81353
10/14/2021 05H,83644
10/14/2021 04H,87871
10/14/2021 03H,91274
10/14/2021 02H,94917
10/14/2021 01H,97500
10/14/2021 00H,96794
10/13/2021 23H,96684
10/13/2021 22H,96541
10/13/2021 21H,97247
10/13/2021 20H,94905
10/13/2021 19H,94051
10/13/2021 18H,92505
10/13/2021 17H,91903
10/13/2021 16H,90746
10/13/2021 15H,89898
10/13/2021 14H,89481
10/13/2021 13H,87853
10/13/2021 12H,84004
10/13/2021 11H,80161
10/13/2021 10H,75500
10/13/2021 09H,73891
10/13/2021 08H,73926
10/13/2021 07H,75479
10/13/2021 06H,77806
10/13/2021 05H,82029
10/13/2021 04H,85411
10/13/2021 03H,92112
10/13/2021 02H,95274
10/13/2021 01H,97572
10/13/2021 00H,98215
10/12/2021 23H,98736
10/12/2021 22H,98553
10/12/2021 21H,97255
10/12/2021 20H,96195
10/12/2021 19H,95997
10/12/2021 18H,96008
10/12/2021 17H,96215
10/12/2021 16H,96272
10/12/2021 15H,95395
10/12/2021 14H,93729
10/12/2021 13H,91469
10/12/2021 12H,87469
10/12/2021 11H,81957
10/12/2021 10H,77942
10/12/2021 09H,74937
10/12/2021 08H,75279
10/12/2021 07H,77188
10/12/2021 06H,81007
10/12/2021 05H,84871
10/12/2021 04H,86140
10/12/2021 03H,93209
10/12/2021 02H,97085
10/12/2021 01H,100577
10/12/2021 00H,100653
10/11/2021 23H,100043
10/11/2021 22H,99638
10/11/2021 21H,99817
10/11/2021 20H,99908
10/11/2021 19H,100190
10/11/2021 18H,100935
10/11/2021 17H,99555
10/11/2021 16H,98397
10/11/2021 15H,95499
10/11/2021 14H,94849
10/11/2021 13H,93555
10/11/2021 12H,89197
10/11/2021 11H,83563
10/11/2021 10H,79996
10/11/2021 09H,77272
10/11/2021 08H,77197
10/11/2021 07H,78841
10/11/2021 06H,81946
10/11/2021 05H,85130
10/11/2021 04H,88834
10/11/2021 03H,92860
10/11/2021 02H,95478
10/11/2021 01H,95002
10/11/2021 00H,92748
10/10/2021 23H,91136
10/10/2021 22H,89988
10/10/2021 21H,87732
10/10/2021 20H,86301
10/10/2021 19H,85820
10/10/2021 18H,85497
10/10/2021 17H,84434
10/10/2021 16H,82648
10/10/2021 15H,81423
10/10/2021 14H,78856
10/10/2021 13H,76466
10/10/2021 12H,73354
10/10/2021 11H,71238
10/10/2021 10H,70740
10/10/2021 09H,71716
10/10/2021 08H,73628
10/10/2021 07H,75971
10/10/2021 06H,79328
10/10/2021 05H,82895
10/10/2021 04H,86732
10/10/2021 03H,87589
10/10/2021 02H,88566
10/10/2021 01H,88148
10/10/2021 00H,87509
10/9/2021 23H,88489
10/9/2021 22H,88323
10/9/2021 21H,87538
10/9/2021 20H,86314
10/9/2021 19H,85940
10/9/2021 18H,86133
10/9/2021 17H,86331
10/9/2021 16H,87040
10/9/2021 15H,85861
10/9/2021 14H,83598
10/9/2021 13H,81823
10/9/2021 12H,79208
10/9/2021 11H,77069
10/9/2021 10H,75701
10/9/2021 09H,75467
10/9/2021 08H,77351
10/9/2021 07H,80526
10/9/2021 06H,84055
10/9/2021 05H,89667
10/9/2021 04H,93536
10/9/2021 03H,98170
10/9/2021 02H,100899
10/9/2021 01H,103041
10/9/2021 00H,104310
10/8/2021 23H,104762
10/8/2021 22H,105137
10/8/2021 21H,105255
10/8/2021 20H,105230
10/8/2021 19H,104535
10/8/2021 18H,104260
10/8/2021 17H,103998
10/8/2021 16H,103319
10/8/2021 15H,102324
10/8/2021 14H,100207
10/8/2021 13H,97875
10/8/2021 12H,94672
10/8/2021 11H,89136
10/8/2021 10H,85169
10/8/2021 09H,83352
10/8/2021 08H,83420
10/8/2021 07H,85915
10/8/2021 06H,90794
10/8/2021 05H,95987
10/8/2021 04H,98927
10/8/2021 03H,101653
10/8/2021 02H,105331
10/8/2021 01H,108619
10/8/2021 00H,108923
10/7/2021 23H,108843
10/7/2021 22H,109128
10/7/2021 21H,109075
10/7/2021 20H,108619
10/7/2021 19H,108016
10/7/2021 18H,106498
10/7/2021 17H,104945
10/7/2021 16H,103727
10/7/2021 15H,101724
10/7/2021 14H,99226
10/7/2021 13H,96997
10/7/2021 12H,93486
10/7/2021 11H,88994
10/7/2021 10H,85119
10/7/2021 09H,82974
10/7/2021 08H,82465
10/7/2021 07H,84250
10/7/2021 06H,87133
10/7/2021 05H,90333
10/7/2021 04H,94557
10/7/2021 03H,100080
10/7/2021 02H,104711
10/7/2021 01H,108987
10/7/2021 00H,108697
10/6/2021 23H,107911
10/6/2021 22H,107097
10/6/2021 21H,106698
10/6/2021 20H,106594
