Net generation from hydro for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WAT.H
19:02:08 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WAT.H megawatthours
10/28/2021 00H,32325
10/27/2021 23H,29798
10/27/2021 22H,26601
10/27/2021 21H,24162
10/27/2021 20H,21138
10/27/2021 19H,21011
10/27/2021 18H,21022
10/27/2021 17H,22296
10/27/2021 16H,23321
10/27/2021 15H,25172
10/27/2021 14H,27819
10/27/2021 13H,26766
10/27/2021 12H,25031
10/27/2021 11H,20387
10/27/2021 10H,15655
10/27/2021 09H,14351
10/27/2021 08H,15060
10/27/2021 07H,16251
10/27/2021 06H,17505
10/27/2021 05H,19679
10/27/2021 04H,23090
10/27/2021 03H,26901
10/27/2021 02H,28781
10/27/2021 01H,31986
10/27/2021 00H,32180
10/26/2021 23H,30664
10/26/2021 22H,29674
10/26/2021 21H,27280
10/26/2021 20H,24340
10/26/2021 19H,23701
10/26/2021 18H,24915
10/26/2021 17H,25272
10/26/2021 16H,26448
10/26/2021 15H,28563
10/26/2021 14H,27959
10/26/2021 13H,25754
10/26/2021 12H,23989
10/26/2021 11H,20225
10/26/2021 10H,15679
10/26/2021 09H,13743
10/26/2021 08H,14241
10/26/2021 07H,14542
10/26/2021 06H,16132
10/26/2021 05H,18632
10/26/2021 04H,22396
10/26/2021 03H,26185
10/26/2021 02H,30340
10/26/2021 01H,32751
10/26/2021 00H,35762
10/25/2021 23H,35379
10/25/2021 22H,33525
10/25/2021 21H,32482
10/25/2021 20H,29720
10/25/2021 19H,28563
10/25/2021 18H,28082
10/25/2021 17H,28335
10/25/2021 16H,28215
10/25/2021 15H,28331
10/25/2021 14H,27211
10/25/2021 13H,24745
10/25/2021 12H,22643
10/25/2021 11H,19126
10/25/2021 10H,15261
10/25/2021 09H,14823
10/25/2021 08H,15361
10/25/2021 07H,15810
10/25/2021 06H,17568
10/25/2021 05H,19796
10/25/2021 04H,22780
10/25/2021 03H,25430
10/25/2021 02H,27676
10/25/2021 01H,30670
10/25/2021 00H,32374
10/24/2021 23H,29247
10/24/2021 22H,26670
10/24/2021 21H,24975
10/24/2021 20H,22994
10/24/2021 19H,20352
10/24/2021 18H,20330
10/24/2021 17H,19342
10/24/2021 16H,18655
10/24/2021 15H,17965
10/24/2021 14H,18214
10/24/2021 13H,17858
10/24/2021 12H,16673
10/24/2021 11H,14707
10/24/2021 10H,13543
10/24/2021 09H,14037
10/24/2021 08H,15009
10/24/2021 07H,16003
10/24/2021 06H,18068
10/24/2021 05H,20855
10/24/2021 04H,23765
10/24/2021 03H,26371
10/24/2021 02H,28951
10/24/2021 01H,29689
10/24/2021 00H,31023
10/23/2021 23H,29223
10/23/2021 22H,26219
10/23/2021 21H,22967
10/23/2021 20H,21326
10/23/2021 19H,20944
10/23/2021 18H,21139
10/23/2021 17H,21522
10/23/2021 16H,21394
10/23/2021 15H,22056
10/23/2021 14H,20630
10/23/2021 13H,19122
10/23/2021 12H,17990
10/23/2021 11H,16040
10/23/2021 10H,14756
10/23/2021 09H,14541
10/23/2021 08H,14667
10/23/2021 07H,16869
10/23/2021 06H,18391
10/23/2021 05H,20832
10/23/2021 04H,22936
10/23/2021 03H,26511
10/23/2021 02H,28686
10/23/2021 01H,31211
10/23/2021 00H,31108
10/22/2021 23H,32384
10/22/2021 22H,31571
10/22/2021 21H,28528
10/22/2021 20H,27191
10/22/2021 19H,25720
10/22/2021 18H,26273
10/22/2021 17H,26139
10/22/2021 16H,26632
10/22/2021 15H,26823
10/22/2021 14H,26428
10/22/2021 13H,24419
10/22/2021 12H,22272
10/22/2021 11H,19788
10/22/2021 10H,16465
10/22/2021 09H,15422
10/22/2021 08H,15024
10/22/2021 07H,16491
10/22/2021 06H,18739
10/22/2021 05H,21126
10/22/2021 04H,24282
10/22/2021 03H,28237
10/22/2021 02H,30768
10/22/2021 01H,35927
10/22/2021 00H,37382
10/21/2021 23H,35975
10/21/2021 22H,34068
10/21/2021 21H,31528
10/21/2021 20H,28799
10/21/2021 19H,27213
10/21/2021 18H,26118
10/21/2021 17H,26406
10/21/2021 16H,26098
10/21/2021 15H,27282
10/21/2021 14H,26808
10/21/2021 13H,24660
10/21/2021 12H,22356
10/21/2021 11H,19002
10/21/2021 10H,15944
10/21/2021 09H,15113
10/21/2021 08H,15501
10/21/2021 07H,16731
10/21/2021 06H,19343
10/21/2021 05H,22682
10/21/2021 04H,25947
10/21/2021 03H,30023
10/21/2021 02H,34275
10/21/2021 01H,35824
10/21/2021 00H,35815
10/20/2021 23H,32661
10/20/2021 22H,31839
10/20/2021 21H,28723
10/20/2021 20H,26644
10/20/2021 19H,23916
10/20/2021 18H,23507
10/20/2021 17H,23143
10/20/2021 16H,23981
10/20/2021 15H,25751
10/20/2021 14H,26328
10/20/2021 13H,24096
10/20/2021 12H,23307
10/20/2021 11H,20314
10/20/2021 10H,16247
10/20/2021 09H,14998
10/20/2021 08H,14333
10/20/2021 07H,15857
10/20/2021 06H,16692
10/20/2021 05H,19396
10/20/2021 04H,24040
10/20/2021 03H,27583
10/20/2021 02H,31023
10/20/2021 01H,33622
10/20/2021 00H,32953
10/19/2021 23H,31767
10/19/2021 22H,29263
10/19/2021 21H,26947
10/19/2021 20H,25606
10/19/2021 19H,24703
10/19/2021 18H,24634
10/19/2021 17H,25444
10/19/2021 16H,26421
10/19/2021 15H,28771
10/19/2021 14H,28199
10/19/2021 13H,25544
10/19/2021 12H,24801
10/19/2021 11H,20868
10/19/2021 10H,16807
10/19/2021 09H,13938
10/19/2021 08H,14302
10/19/2021 07H,15927
10/19/2021 06H,17384
10/19/2021 05H,18585
10/19/2021 04H,22744
10/19/2021 03H,27491
10/19/2021 02H,31457
10/19/2021 01H,32915
10/19/2021 00H,31509
10/18/2021 23H,29568
10/18/2021 22H,27037
10/18/2021 21H,24305
10/18/2021 20H,22433
10/18/2021 19H,20784
10/18/2021 18H,20600
10/18/2021 17H,20718
10/18/2021 16H,22555
10/18/2021 15H,24195
10/18/2021 14H,23178
10/18/2021 13H,22268
10/18/2021 12H,21410
10/18/2021 11H,19570
10/18/2021 10H,15116
10/18/2021 09H,13551
10/18/2021 08H,13877
10/18/2021 07H,14783
10/18/2021 06H,16179
10/18/2021 05H,18119
10/18/2021 04H,20860
10/18/2021 03H,24354
10/18/2021 02H,29033
10/18/2021 01H,30547
10/18/2021 00H,29924
10/17/2021 23H,26786
10/17/2021 22H,24632
10/17/2021 21H,21597
10/17/2021 20H,20338
10/17/2021 19H,19825
10/17/2021 18H,19917
10/17/2021 17H,19512
10/17/2021 16H,18884
10/17/2021 15H,18066
10/17/2021 14H,17908
10/17/2021 13H,16633
10/17/2021 12H,15309
10/17/2021 11H,13655
10/17/2021 10H,13183
10/17/2021 09H,12877
10/17/2021 08H,13572
10/17/2021 07H,14087
10/17/2021 06H,16701
10/17/2021 05H,18850
10/17/2021 04H,22259
10/17/2021 03H,24191
10/17/2021 02H,27024
10/17/2021 01H,28521
10/17/2021 00H,28133
10/16/2021 23H,25962
10/16/2021 22H,24297
10/16/2021 21H,22809
10/16/2021 20H,22858
10/16/2021 19H,22794
10/16/2021 18H,22336
10/16/2021 17H,21256
10/16/2021 16H,19754
10/16/2021 15H,19920
10/16/2021 14H,19421
10/16/2021 13H,17223
10/16/2021 12H,16110
10/16/2021 11H,14558
10/16/2021 10H,14212
10/16/2021 09H,14472
10/16/2021 08H,14593
10/16/2021 07H,15489
10/16/2021 06H,16979
10/16/2021 05H,20565
10/16/2021 04H,24174
10/16/2021 03H,28319
10/16/2021 02H,30168
10/16/2021 01H,32371
10/16/2021 00H,31634
10/15/2021 23H,32123
10/15/2021 22H,32257
10/15/2021 21H,31530
10/15/2021 20H,30275
10/15/2021 19H,29340
10/15/2021 18H,27393
10/15/2021 17H,26131
10/15/2021 16H,25077
10/15/2021 15H,24167
10/15/2021 14H,22661
10/15/2021 13H,19804
10/15/2021 12H,17594
10/15/2021 11H,16058
10/15/2021 10H,14318
10/15/2021 09H,13515
10/15/2021 08H,13429
10/15/2021 07H,14904
10/15/2021 06H,15965
10/15/2021 05H,18358
10/15/2021 04H,22626
10/15/2021 03H,26192
10/15/2021 02H,28609
10/15/2021 01H,31594
10/15/2021 00H,32318
10/14/2021 23H,33031
10/14/2021 22H,30549
10/14/2021 21H,30364
10/14/2021 20H,30143
10/14/2021 19H,27635
10/14/2021 18H,26825
10/14/2021 17H,25989
10/14/2021 16H,25394
10/14/2021 15H,24740
10/14/2021 14H,23988
10/14/2021 13H,21014
10/14/2021 12H,18466
10/14/2021 11H,15676
10/14/2021 10H,13896
10/14/2021 09H,13421
10/14/2021 08H,13728
10/14/2021 07H,14706
10/14/2021 06H,16252
10/14/2021 05H,20697
10/14/2021 04H,23693
10/14/2021 03H,26067
10/14/2021 02H,28706
10/14/2021 01H,32739
10/14/2021 00H,32680
10/13/2021 23H,32482
10/13/2021 22H,32112
10/13/2021 21H,30885
10/13/2021 20H,29281
10/13/2021 19H,27573
10/13/2021 18H,27688
10/13/2021 17H,25030
10/13/2021 16H,25270
10/13/2021 15H,26116
10/13/2021 14H,25361
10/13/2021 13H,22287
10/13/2021 12H,19495
10/13/2021 11H,16955
10/13/2021 10H,16382
10/13/2021 09H,16213
10/13/2021 08H,15905
10/13/2021 07H,16346
10/13/2021 06H,17912
10/13/2021 05H,21628
10/13/2021 04H,25383
10/13/2021 03H,28907
10/13/2021 02H,30907
10/13/2021 01H,33235
10/13/2021 00H,34270
10/12/2021 23H,35614
10/12/2021 22H,35818
10/12/2021 21H,34064
10/12/2021 20H,31528
10/12/2021 19H,30432
10/12/2021 18H,29124
10/12/2021 17H,29254
10/12/2021 16H,28460
10/12/2021 15H,28783
10/12/2021 14H,27730
10/12/2021 13H,22968
10/12/2021 12H,20197
10/12/2021 11H,17894
10/12/2021 10H,15650
10/12/2021 09H,15335
10/12/2021 08H,15669
10/12/2021 07H,16866
10/12/2021 06H,18330
10/12/2021 05H,20093
10/12/2021 04H,23543
10/12/2021 03H,27785
10/12/2021 02H,31023
10/12/2021 01H,33207
10/12/2021 00H,34304
10/11/2021 23H,34985
10/11/2021 22H,34409
10/11/2021 21H,32990
10/11/2021 20H,32162
10/11/2021 19H,30739
10/11/2021 18H,29915
10/11/2021 17H,28270
10/11/2021 16H,26403
10/11/2021 15H,25869
10/11/2021 14H,25543
10/11/2021 13H,22116
10/11/2021 12H,19480
10/11/2021 11H,17249
10/11/2021 10H,15588
10/11/2021 09H,14722
10/11/2021 08H,15033
10/11/2021 07H,15991
10/11/2021 06H,16912
10/11/2021 05H,19336
10/11/2021 04H,23423
10/11/2021 03H,26775
10/11/2021 02H,29258
10/11/2021 01H,31662
10/11/2021 00H,32121
10/10/2021 23H,32803
10/10/2021 22H,31493
10/10/2021 21H,29333
10/10/2021 20H,28360
10/10/2021 19H,26508
10/10/2021 18H,24214
10/10/2021 17H,22703
10/10/2021 16H,20916
10/10/2021 15H,20064
10/10/2021 14H,19716
10/10/2021 13H,18610
10/10/2021 12H,16669
10/10/2021 11H,15176
10/10/2021 10H,14846
10/10/2021 09H,14959
10/10/2021 08H,15397
10/10/2021 07H,15993
10/10/2021 06H,17649
10/10/2021 05H,19895
10/10/2021 04H,23391
10/10/2021 03H,26732
10/10/2021 02H,29125
10/10/2021 01H,30018
10/10/2021 00H,30272
10/9/2021 23H,29212
10/9/2021 22H,29293
10/9/2021 21H,29010
10/9/2021 20H,27717
10/9/2021 19H,26631
10/9/2021 18H,24802
10/9/2021 17H,24762
10/9/2021 16H,23673
10/9/2021 15H,22934
10/9/2021 14H,21663
10/9/2021 13H,19427
10/9/2021 12H,17144
10/9/2021 11H,15915
10/9/2021 10H,15038
10/9/2021 09H,15227
10/9/2021 08H,16193
10/9/2021 07H,16461
10/9/2021 06H,18007
10/9/2021 05H,21783
10/9/2021 04H,25230
10/9/2021 03H,28713
10/9/2021 02H,30404
10/9/2021 01H,32038
10/9/2021 00H,33478
10/8/2021 23H,34033
10/8/2021 22H,33944
10/8/2021 21H,33262
10/8/2021 20H,32014
10/8/2021 19H,31359
10/8/2021 18H,30739
10/8/2021 17H,29861
10/8/2021 16H,31166
10/8/2021 15H,31769
10/8/2021 14H,30379
10/8/2021 13H,26228
10/8/2021 12H,23472
10/8/2021 11H,20658
10/8/2021 10H,18457
10/8/2021 09H,17260
10/8/2021 08H,17993
10/8/2021 07H,18713
10/8/2021 06H,20111
10/8/2021 05H,24494
10/8/2021 04H,27606
10/8/2021 03H,30563
10/8/2021 02H,32516
10/8/2021 01H,34684
10/8/2021 00H,36704
10/7/2021 23H,36122
10/7/2021 22H,34858
10/7/2021 21H,33983
10/7/2021 20H,32006
