Net generation from solar for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.SUN.H
19:02:41 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.SUN.H megawatthours
11/4/2021 07H,51
11/4/2021 06H,60
11/4/2021 05H,58
11/4/2021 04H,43
11/4/2021 03H,63
11/4/2021 02H,109
11/4/2021 01H,381
11/4/2021 00H,5648
11/3/2021 23H,15046
11/3/2021 22H,20363
11/3/2021 21H,24158
11/3/2021 20H,26934
11/3/2021 19H,28301
11/3/2021 18H,28860
11/3/2021 17H,27886
11/3/2021 16H,24065
11/3/2021 15H,14664
11/3/2021 14H,7555
11/3/2021 13H,2950
11/3/2021 12H,312
11/3/2021 11H,31
11/3/2021 10H,33
11/3/2021 09H,30
11/3/2021 08H,33
11/3/2021 07H,29
11/3/2021 06H,31
11/3/2021 05H,34
11/3/2021 04H,34
11/3/2021 03H,49
11/3/2021 02H,196
11/3/2021 01H,459
11/3/2021 00H,5603
11/2/2021 23H,14453
11/2/2021 22H,20205
11/2/2021 21H,24230
11/2/2021 20H,25479
11/2/2021 19H,26299
11/2/2021 18H,26514
11/2/2021 17H,25725
11/2/2021 16H,22154
11/2/2021 15H,12979
11/2/2021 14H,6817
11/2/2021 13H,2419
11/2/2021 12H,373
11/2/2021 11H,36
11/2/2021 10H,10
11/2/2021 09H,15
11/2/2021 08H,19
11/2/2021 07H,10
11/2/2021 06H,16
11/2/2021 05H,16
11/2/2021 04H,23
11/2/2021 03H,51
11/2/2021 02H,46
11/2/2021 01H,211
11/2/2021 00H,3379
11/1/2021 23H,9692
11/1/2021 22H,17138
11/1/2021 21H,22903
11/1/2021 20H,28011
11/1/2021 19H,29286
11/1/2021 18H,28079
11/1/2021 17H,27580
11/1/2021 16H,26506
11/1/2021 15H,18487
11/1/2021 14H,10241
11/1/2021 13H,4090
11/1/2021 12H,640
11/1/2021 11H,46
11/1/2021 10H,47
11/1/2021 09H,37
11/1/2021 08H,41
11/1/2021 07H,54
11/1/2021 06H,56
11/1/2021 05H,64
11/1/2021 04H,88
11/1/2021 03H,116
11/1/2021 02H,121
11/1/2021 01H,344
11/1/2021 00H,4543
10/31/2021 23H,16156
10/31/2021 22H,24200
10/31/2021 21H,28881
10/31/2021 20H,31337
10/31/2021 19H,31987
10/31/2021 18H,32143
10/31/2021 17H,31323
10/31/2021 16H,27647
10/31/2021 15H,19084
10/31/2021 14H,8452
10/31/2021 13H,3042
10/31/2021 12H,502
10/31/2021 11H,10
10/31/2021 10H,16
10/31/2021 09H,11
10/31/2021 08H,16
10/31/2021 07H,17
10/31/2021 06H,26
10/31/2021 05H,30
10/31/2021 04H,4041
10/31/2021 03H,4079
10/31/2021 02H,4064
10/31/2021 01H,6297
10/31/2021 00H,9491
10/30/2021 23H,17127
10/30/2021 22H,23980
10/30/2021 21H,27735
10/30/2021 20H,29723
10/30/2021 19H,30223
10/30/2021 18H,31056
10/30/2021 17H,31528
10/30/2021 16H,27827
10/30/2021 15H,16821
10/30/2021 14H,6263
10/30/2021 13H,2302
10/30/2021 12H,474
10/30/2021 11H,32
10/30/2021 10H,38
10/30/2021 09H,40
10/30/2021 08H,55
10/30/2021 07H,65
10/30/2021 06H,68
10/30/2021 05H,88
10/30/2021 04H,4073
10/30/2021 03H,85
10/30/2021 02H,120
10/30/2021 01H,467
10/30/2021 00H,7562
10/29/2021 23H,20068
10/29/2021 22H,25401
10/29/2021 21H,27299
10/29/2021 20H,29391
10/29/2021 19H,30475
10/29/2021 18H,31865
10/29/2021 17H,31334
10/29/2021 16H,28503
10/29/2021 15H,17656
10/29/2021 14H,6272
10/29/2021 13H,1530
10/29/2021 12H,135
10/29/2021 11H,59
10/29/2021 10H,53
10/29/2021 09H,57
10/29/2021 08H,62
10/29/2021 07H,65
10/29/2021 06H,83
10/29/2021 05H,85
10/29/2021 04H,157
10/29/2021 03H,200
10/29/2021 02H,402
10/29/2021 01H,803
10/29/2021 00H,8214
10/28/2021 23H,18397
10/28/2021 22H,22266
10/28/2021 21H,24014
10/28/2021 20H,24677
10/28/2021 19H,25919
10/28/2021 18H,26791
10/28/2021 17H,27165
10/28/2021 16H,24466
10/28/2021 15H,14333
10/28/2021 14H,4819
10/28/2021 13H,2290
10/28/2021 12H,536
10/28/2021 11H,95
10/28/2021 10H,117
10/28/2021 09H,51
10/28/2021 08H,45
10/28/2021 07H,38
10/28/2021 06H,40
10/28/2021 05H,97
10/28/2021 04H,138
10/28/2021 03H,150
10/28/2021 02H,185
10/28/2021 01H,618
10/28/2021 00H,7567
10/27/2021 23H,17289
10/27/2021 22H,22807
10/27/2021 21H,27437
10/27/2021 20H,30577
10/27/2021 19H,32074
10/27/2021 18H,32482
10/27/2021 17H,31426
10/27/2021 16H,27543
10/27/2021 15H,18017
10/27/2021 14H,9293
10/27/2021 13H,3746
10/27/2021 12H,690
10/27/2021 11H,31
10/27/2021 10H,41
10/27/2021 09H,50
10/27/2021 08H,61
10/27/2021 07H,53
10/27/2021 06H,33
10/27/2021 05H,72
10/27/2021 04H,92
10/27/2021 03H,122
10/27/2021 02H,254
10/27/2021 01H,642
10/27/2021 00H,7341
10/26/2021 23H,16051
10/26/2021 22H,22419
10/26/2021 21H,26838
10/26/2021 20H,29303
10/26/2021 19H,30498
10/26/2021 18H,30376
10/26/2021 17H,30041
10/26/2021 16H,27251
10/26/2021 15H,18451
10/26/2021 14H,9456
10/26/2021 13H,3441
10/26/2021 12H,428
10/26/2021 11H,50
10/26/2021 10H,85
10/26/2021 09H,80
10/26/2021 08H,95
10/26/2021 07H,95
10/26/2021 06H,91
10/26/2021 05H,97
10/26/2021 04H,94
10/26/2021 03H,110
10/26/2021 02H,324
10/26/2021 01H,3133
10/26/2021 00H,5474
10/25/2021 23H,14684
10/25/2021 22H,19219
10/25/2021 21H,23441
10/25/2021 20H,24917
10/25/2021 19H,24888
10/25/2021 18H,24527
10/25/2021 17H,23678
10/25/2021 16H,21141
10/25/2021 15H,13864
10/25/2021 14H,5053
10/25/2021 13H,1253
10/25/2021 12H,225
10/25/2021 11H,76
10/25/2021 10H,62
10/25/2021 09H,67
10/25/2021 08H,66
10/25/2021 07H,75
10/25/2021 06H,53
10/25/2021 05H,42
10/25/2021 04H,38
10/25/2021 03H,67
10/25/2021 02H,147
10/25/2021 01H,413
10/25/2021 00H,5074
10/24/2021 23H,14106
10/24/2021 22H,18994
10/24/2021 21H,21938
10/24/2021 20H,23347
10/24/2021 19H,26396
10/24/2021 18H,27188
10/24/2021 17H,27407
10/24/2021 16H,24466
10/24/2021 15H,17910
10/24/2021 14H,8630
10/24/2021 13H,3351
10/24/2021 12H,441
10/24/2021 11H,27
10/24/2021 10H,43
10/24/2021 09H,54
10/24/2021 08H,49
10/24/2021 07H,61
10/24/2021 06H,71
10/24/2021 05H,93
10/24/2021 04H,6084
10/24/2021 03H,6089
10/24/2021 02H,6134
10/24/2021 01H,8272
10/24/2021 00H,10760
10/23/2021 23H,17971
10/23/2021 22H,25657
10/23/2021 21H,25125
10/23/2021 20H,27736
10/23/2021 19H,29506
10/23/2021 18H,30445
10/23/2021 17H,28429
10/23/2021 16H,25440
10/23/2021 15H,18594
10/23/2021 14H,9420
10/23/2021 13H,3367
10/23/2021 12H,520
10/23/2021 11H,43
10/23/2021 10H,51
10/23/2021 09H,59
10/23/2021 08H,52
10/23/2021 07H,54
10/23/2021 06H,52
10/23/2021 05H,59
10/23/2021 04H,39
10/23/2021 03H,77
10/23/2021 02H,349
10/23/2021 01H,823
10/23/2021 00H,7365
10/22/2021 23H,17876
10/22/2021 22H,24912
10/22/2021 21H,28041
10/22/2021 20H,29306
10/22/2021 19H,30403
10/22/2021 18H,30692
10/22/2021 17H,30627
10/22/2021 16H,27217
10/22/2021 15H,17348
10/22/2021 14H,6860
10/22/2021 13H,2190
10/22/2021 12H,212
10/22/2021 11H,15
10/22/2021 10H,22
10/22/2021 09H,19
10/22/2021 08H,19
10/22/2021 07H,23
10/22/2021 06H,24
10/22/2021 05H,39
10/22/2021 04H,54
10/22/2021 03H,80
10/22/2021 02H,355
10/22/2021 01H,738
10/22/2021 00H,6630
10/21/2021 23H,17715
10/21/2021 22H,22805
10/21/2021 21H,27797
10/21/2021 20H,31680
10/21/2021 19H,32017
10/21/2021 18H,32397
10/21/2021 17H,30804
10/21/2021 16H,27285
10/21/2021 15H,18163
10/21/2021 14H,8854
10/21/2021 13H,3998
10/21/2021 12H,739
10/21/2021 11H,14
10/21/2021 10H,4
10/21/2021 09H,13
10/21/2021 08H,7
10/21/2021 07H,-1
10/21/2021 06H,37
10/21/2021 05H,43
10/21/2021 04H,45
10/21/2021 03H,53
10/21/2021 02H,372
10/21/2021 01H,824
10/21/2021 00H,7933
10/20/2021 23H,17864
10/20/2021 22H,24684
10/20/2021 21H,29398
10/20/2021 20H,33224
10/20/2021 19H,34357
10/20/2021 18H,34658
10/20/2021 17H,34070
10/20/2021 16H,31793
10/20/2021 15H,23051
10/20/2021 14H,11430
10/20/2021 13H,4644
10/20/2021 12H,554
10/20/2021 11H,64
10/20/2021 10H,69
10/20/2021 09H,75
10/20/2021 08H,75
10/20/2021 07H,84
10/20/2021 06H,87
10/20/2021 05H,86
10/20/2021 04H,82
10/20/2021 03H,224
10/20/2021 02H,225
10/20/2021 01H,912
10/20/2021 00H,9614
10/19/2021 23H,18017
10/19/2021 22H,25209
10/19/2021 21H,31172
10/19/2021 20H,33952
10/19/2021 19H,34828
10/19/2021 18H,35242
10/19/2021 17H,33760
10/19/2021 16H,30578
10/19/2021 15H,22080
10/19/2021 14H,11518
10/19/2021 13H,4852
10/19/2021 12H,883
10/19/2021 11H,62
10/19/2021 10H,65
10/19/2021 09H,65
10/19/2021 08H,62
10/19/2021 07H,65
10/19/2021 06H,64
10/19/2021 05H,76
10/19/2021 04H,103
10/19/2021 03H,142
10/19/2021 02H,411
10/19/2021 01H,985
10/19/2021 00H,8503
10/18/2021 23H,15759
10/18/2021 22H,22453
10/18/2021 21H,27456
10/18/2021 20H,31409
10/18/2021 19H,33662
10/18/2021 18H,34454
10/18/2021 17H,33954
10/18/2021 16H,30431
10/18/2021 15H,22254
10/18/2021 14H,12092
10/18/2021 13H,5302
10/18/2021 12H,1050
10/18/2021 11H,76
10/18/2021 10H,74
10/18/2021 09H,62
10/18/2021 08H,48
10/18/2021 07H,68
10/18/2021 06H,63
10/18/2021 05H,41
10/18/2021 04H,33
10/18/2021 03H,92
10/18/2021 02H,357
10/18/2021 01H,872
10/18/2021 00H,9630
10/17/2021 23H,20307
10/17/2021 22H,27262
10/17/2021 21H,32807
10/17/2021 20H,35387
10/17/2021 19H,36211
10/17/2021 18H,36760
10/17/2021 17H,34603
10/17/2021 16H,30991
10/17/2021 15H,22669
10/17/2021 14H,12404
10/17/2021 13H,5384
10/17/2021 12H,1139
10/17/2021 11H,67
10/17/2021 10H,73
10/17/2021 09H,78
10/17/2021 08H,86
10/17/2021 07H,88
10/17/2021 06H,90
10/17/2021 05H,84
10/17/2021 04H,99
10/17/2021 03H,102
10/17/2021 02H,405
10/17/2021 01H,1230
10/17/2021 00H,10964
10/16/2021 23H,23244
10/16/2021 22H,29983
10/16/2021 21H,32963
10/16/2021 20H,34721
10/16/2021 19H,35781
10/16/2021 18H,36304
10/16/2021 17H,36548
10/16/2021 16H,34738
10/16/2021 15H,25502
10/16/2021 14H,11452
10/16/2021 13H,4285
10/16/2021 12H,796
10/16/2021 11H,55
10/16/2021 10H,59
10/16/2021 09H,62
10/16/2021 08H,58
10/16/2021 07H,70
10/16/2021 06H,81
10/16/2021 05H,101
10/16/2021 04H,117
10/16/2021 03H,147
10/16/2021 02H,168
10/16/2021 01H,1477
10/16/2021 00H,12035
10/15/2021 23H,21765
10/15/2021 22H,27927
10/15/2021 21H,30926
10/15/2021 20H,32725
10/15/2021 19H,32452
10/15/2021 18H,33084
10/15/2021 17H,33792
10/15/2021 16H,31466
10/15/2021 15H,22531
10/15/2021 14H,11168
10/15/2021 13H,4597
10/15/2021 12H,913
10/15/2021 11H,117
10/15/2021 10H,102
10/15/2021 09H,70
10/15/2021 08H,84
10/15/2021 07H,60
10/15/2021 06H,59
10/15/2021 05H,51
10/15/2021 04H,57
10/15/2021 03H,83
10/15/2021 02H,421
10/15/2021 01H,1262
10/15/2021 00H,11504
10/14/2021 23H,21268
10/14/2021 22H,27576
10/14/2021 21H,31659
10/14/2021 20H,34181
10/14/2021 19H,35142
10/14/2021 18H,35827
10/14/2021 17H,35201
10/14/2021 16H,31603
10/14/2021 15H,22234
10/14/2021 14H,10610
10/14/2021 13H,4135
10/14/2021 12H,557
10/14/2021 11H,17
10/14/2021 10H,20
10/14/2021 09H,18
10/14/2021 08H,18
10/14/2021 07H,19
10/14/2021 06H,39
10/14/2021 05H,64
10/14/2021 04H,71
10/14/2021 03H,84
10/14/2021 02H,496
10/14/2021 01H,1373
10/14/2021 00H,10997
10/13/2021 23H,17730
10/13/2021 22H,22558
10/13/2021 21H,27147
10/13/2021 20H,29372
10/13/2021 19H,30727
10/13/2021 18H,31574
10/13/2021 17H,30988
10/13/2021 16H,27837
10/13/2021 15H,19251
10/13/2021 14H,9313
10/13/2021 13H,3489
10/13/2021 12H,362
10/13/2021 11H,1
10/13/2021 10H,35
10/13/2021 09H,-4
10/13/2021 08H,0
10/13/2021 07H,-1
10/13/2021 06H,-5
10/13/2021 05H,1
10/13/2021 04H,5
10/13/2021 03H,11
10/13/2021 02H,454
10/13/2021 01H,1320
10/13/2021 00H,9447
10/12/2021 23H,14634
10/12/2021 22H,19735
10/12/2021 21H,23694
10/12/2021 20H,24343
10/12/2021 19H,25584
10/12/2021 18H,25656
10/12/2021 17H,24522
10/12/2021 16H,23007
10/12/2021 15H,15712
10/12/2021 14H,6426
10/12/2021 13H,2201
10/12/2021 12H,325
10/12/2021 11H,88
10/12/2021 10H,94
10/12/2021 09H,66
10/12/2021 08H,61
10/12/2021 07H,63
10/12/2021 06H,49
10/12/2021 05H,75
10/12/2021 04H,84
10/12/2021 03H,98
10/12/2021 02H,282
10/12/2021 01H,834
10/12/2021 00H,8132
10/11/2021 23H,18255
10/11/2021 22H,24223
10/11/2021 21H,27775
10/11/2021 20H,29251
10/11/2021 19H,29330
10/11/2021 18H,30369
10/11/2021 17H,30046
10/11/2021 16H,27269
10/11/2021 15H,21278
10/11/2021 14H,9088
10/11/2021 13H,2991
10/11/2021 12H,377
10/11/2021 11H,83
10/11/2021 10H,64
10/11/2021 09H,46
10/11/2021 08H,45
10/11/2021 07H,55
10/11/2021 06H,82
10/11/2021 05H,71
10/11/2021 04H,61
10/11/2021 03H,60
10/11/2021 02H,558
10/11/2021 01H,1725
10/11/2021 00H,11311
10/10/2021 23H,17896
10/10/2021 22H,25467
10/10/2021 21H,29473
10/10/2021 20H,30627
10/10/2021 19H,31178
10/10/2021 18H,30926
10/10/2021 17H,28859
10/10/2021 16H,26257
10/10/2021 15H,18986
10/10/2021 14H,7736
10/10/2021 13H,2431
10/10/2021 12H,211
10/10/2021 11H,15
10/10/2021 10H,17
10/10/2021 09H,20
10/10/2021 08H,27
10/10/2021 07H,19
10/10/2021 06H,19
10/10/2021 05H,55
10/10/2021 04H,83
10/10/2021 03H,84
10/10/2021 02H,588
10/10/2021 01H,1740
10/10/2021 00H,12057
10/9/2021 23H,18704
10/9/2021 22H,24207
10/9/2021 21H,26633
10/9/2021 20H,27756
10/9/2021 19H,29158
10/9/2021 18H,28893
10/9/2021 17H,28007
10/9/2021 16H,24386
10/9/2021 15H,15902
10/9/2021 14H,5663
10/9/2021 13H,1635
10/9/2021 12H,172
10/9/2021 11H,20
10/9/2021 10H,30
10/9/2021 09H,37
10/9/2021 08H,47
10/9/2021 07H,55
10/9/2021 06H,83
10/9/2021 05H,77
10/9/2021 04H,76
10/9/2021 03H,106
10/9/2021 02H,483
10/9/2021 01H,1371
10/9/2021 00H,9547
10/8/2021 23H,16413
10/8/2021 22H,21660
10/8/2021 21H,24419
10/8/2021 20H,24628
10/8/2021 19H,25530
10/8/2021 18H,25534
10/8/2021 17H,23415
10/8/2021 16H,19275
10/8/2021 15H,12663
10/8/2021 14H,6510
10/8/2021 13H,2078
10/8/2021 12H,459
10/8/2021 11H,69
10/8/2021 10H,64
10/8/2021 09H,12
10/8/2021 08H,23
10/8/2021 07H,29
10/8/2021 06H,37
10/8/2021 05H,35
10/8/2021 04H,27
10/8/2021 03H,40
10/8/2021 02H,299
10/8/2021 01H,979
10/8/2021 00H,8326
10/7/2021 23H,16311
10/7/2021 22H,21056
10/7/2021 21H,24085
10/7/2021 20H,26700
10/7/2021 19H,28173
10/7/2021 18H,28131
10/7/2021 17H,25963
10/7/2021 16H,21663
10/7/2021 15H,15299
10/7/2021 14H,6360
10/7/2021 13H,1858
10/7/2021 12H,358
10/7/2021 11H,60
10/7/2021 10H,110
10/7/2021 09H,131
10/7/2021 08H,131
10/7/2021 07H,134
10/7/2021 06H,163
10/7/2021 05H,181
10/7/2021 04H,202
10/7/2021 03H,206
10/7/2021 02H,470
10/7/2021 01H,1570
10/7/2021 00H,9619
10/6/2021 23H,18313
10/6/2021 22H,25070
10/6/2021 21H,28688
10/6/2021 20H,29710
10/6/2021 19H,30238
10/6/2021 18H,30920
10/6/2021 17H,29524
10/6/2021 16H,26359
10/6/2021 15H,18400
10/6/2021 14H,6637
10/6/2021 13H,1759
10/6/2021 12H,336
10/6/2021 11H,38
10/6/2021 10H,38
10/6/2021 09H,16
10/6/2021 08H,9
10/6/2021 07H,5
10/6/2021 06H,1
10/6/2021 05H,11
10/6/2021 04H,73
10/6/2021 03H,42
10/6/2021 02H,568
10/6/2021 01H,1366
10/6/2021 00H,9808
10/5/2021 23H,17823
10/5/2021 22H,22759
10/5/2021 21H,26578
10/5/2021 20H,28447
10/5/2021 19H,28386
10/5/2021 18H,29512
10/5/2021 17H,28329
10/5/2021 16H,25185
10/5/2021 15H,18101
10/5/2021 14H,8264
10/5/2021 13H,3248
10/5/2021 12H,811
10/5/2021 11H,87
10/5/2021 10H,101
10/5/2021 09H,26
10/5/2021 08H,18
10/5/2021 07H,7
10/5/2021 06H,10
