Net generation from natural gas for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.NG.H
19:02:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.NG.H megawatthours
11/6/2021 01H,182116
11/6/2021 00H,185259
11/5/2021 23H,174457
11/5/2021 22H,164897
11/5/2021 21H,159371
11/5/2021 20H,156993
11/5/2021 19H,157851
11/5/2021 18H,160836
11/5/2021 17H,166532
11/5/2021 16H,176626
11/5/2021 15H,188835
11/5/2021 14H,195268
11/5/2021 13H,197514
11/5/2021 12H,194896
11/5/2021 11H,181969
11/5/2021 10H,165020
11/5/2021 09H,154023
11/5/2021 08H,151042
11/5/2021 07H,152467
11/5/2021 06H,153693
11/5/2021 05H,157719
11/5/2021 04H,166078
11/5/2021 03H,179286
11/5/2021 02H,190811
11/5/2021 01H,199833
11/5/2021 00H,198497
11/4/2021 23H,189517
11/4/2021 22H,181493
11/4/2021 21H,176832
11/4/2021 20H,174158
11/4/2021 19H,174729
11/4/2021 18H,179604
11/4/2021 17H,185511
11/4/2021 16H,192007
11/4/2021 15H,199182
11/4/2021 14H,204822
11/4/2021 13H,206575
11/4/2021 12H,201217
11/4/2021 11H,186089
11/4/2021 10H,171596
11/4/2021 09H,160976
11/4/2021 08H,157265
11/4/2021 07H,158693
11/4/2021 06H,162895
11/4/2021 05H,168380
11/4/2021 04H,177574
11/4/2021 03H,193700
11/4/2021 02H,206178
11/4/2021 01H,213708
11/4/2021 00H,212584
11/3/2021 23H,205167
11/3/2021 22H,197593
11/3/2021 21H,189996
11/3/2021 20H,184647
11/3/2021 19H,183823
11/3/2021 18H,183002
11/3/2021 17H,181036
11/3/2021 16H,183906
11/3/2021 15H,190369
11/3/2021 14H,194025
11/3/2021 13H,195601
11/3/2021 12H,192801
11/3/2021 11H,179414
11/3/2021 10H,164374
11/3/2021 09H,157168
11/3/2021 08H,154352
11/3/2021 07H,156090
11/3/2021 06H,161042
11/3/2021 05H,166048
11/3/2021 04H,171121
11/3/2021 03H,189318
11/3/2021 02H,200942
11/3/2021 01H,209062
11/3/2021 00H,208872
11/2/2021 23H,200127
11/2/2021 22H,194733
11/2/2021 21H,186789
11/2/2021 20H,184170
11/2/2021 19H,183472
11/2/2021 18H,184610
11/2/2021 17H,182929
11/2/2021 16H,183059
11/2/2021 15H,187631
11/2/2021 14H,186428
11/2/2021 13H,184314
11/2/2021 12H,176628
11/2/2021 11H,160808
11/2/2021 10H,144420
11/2/2021 09H,136202
11/2/2021 08H,134281
11/2/2021 07H,137424
11/2/2021 06H,141840
11/2/2021 05H,149453
11/2/2021 04H,154789
11/2/2021 03H,174117
11/2/2021 02H,186875
11/2/2021 01H,199061
11/2/2021 00H,200811
11/1/2021 23H,196906
11/1/2021 22H,188791
11/1/2021 21H,171476
11/1/2021 20H,170796
11/1/2021 19H,168141
11/1/2021 18H,170132
11/1/2021 17H,169284
11/1/2021 16H,170075
11/1/2021 15H,172718
11/1/2021 14H,174308
11/1/2021 13H,174940
11/1/2021 12H,169105
11/1/2021 11H,153669
11/1/2021 10H,135636
11/1/2021 09H,124984
11/1/2021 08H,120038
11/1/2021 07H,120286
11/1/2021 06H,121961
11/1/2021 05H,123760
11/1/2021 04H,132067
11/1/2021 03H,137476
11/1/2021 02H,142803
11/1/2021 01H,149283
11/1/2021 00H,147446
10/31/2021 23H,140651
10/31/2021 22H,134311
10/31/2021 21H,129050
10/31/2021 20H,123464
10/31/2021 19H,119716
10/31/2021 18H,117709
10/31/2021 17H,116551
10/31/2021 16H,116080
10/31/2021 15H,118921
10/31/2021 14H,120138
10/31/2021 13H,117687
10/31/2021 12H,114772
10/31/2021 11H,110807
10/31/2021 10H,108590
10/31/2021 09H,106959
10/31/2021 08H,108933
10/31/2021 07H,111072
10/31/2021 06H,114441
10/31/2021 05H,119390
10/31/2021 04H,127946
10/31/2021 03H,132424
10/31/2021 02H,141391
10/31/2021 01H,153483
10/31/2021 00H,154574
10/30/2021 23H,152496
10/30/2021 22H,147589
10/30/2021 21H,143041
10/30/2021 20H,138431
10/30/2021 19H,138613
10/30/2021 18H,138558
10/30/2021 17H,138836
10/30/2021 16H,140443
10/30/2021 15H,142298
10/30/2021 14H,143151
10/30/2021 13H,139270
10/30/2021 12H,134632
10/30/2021 11H,128023
10/30/2021 10H,123489
10/30/2021 09H,122171
10/30/2021 08H,123333
10/30/2021 07H,127832
10/30/2021 06H,132490
10/30/2021 05H,143396
10/30/2021 04H,150965
10/30/2021 03H,162088
10/30/2021 02H,172238
10/30/2021 01H,178625
10/30/2021 00H,177348
10/29/2021 23H,163578
10/29/2021 22H,156172
10/29/2021 21H,150879
10/29/2021 20H,148710
10/29/2021 19H,147407
10/29/2021 18H,146472
10/29/2021 17H,146959
10/29/2021 16H,147101
10/29/2021 15H,153906
10/29/2021 14H,156032
10/29/2021 13H,153806
10/29/2021 12H,148541
10/29/2021 11H,137158
10/29/2021 10H,125638
10/29/2021 09H,119484
10/29/2021 08H,116964
10/29/2021 07H,119858
10/29/2021 06H,124030
10/29/2021 05H,132245
10/29/2021 04H,140867
10/29/2021 03H,155813
10/29/2021 02H,166876
10/29/2021 01H,172591
10/29/2021 00H,168324
10/28/2021 23H,160656
10/28/2021 22H,156020
10/28/2021 21H,151305
10/28/2021 20H,150590
10/28/2021 19H,148031
10/28/2021 18H,148593
10/28/2021 17H,148252
10/28/2021 16H,150787
10/28/2021 15H,154671
10/28/2021 14H,154020
10/28/2021 13H,150727
10/28/2021 12H,148725
10/28/2021 11H,141463
10/28/2021 10H,129753
10/28/2021 09H,121369
10/28/2021 08H,118270
10/28/2021 07H,122239
10/28/2021 06H,128376
10/28/2021 05H,134253
10/28/2021 04H,146023
10/28/2021 03H,156011
10/28/2021 02H,166705
10/28/2021 01H,174116
10/28/2021 00H,168944
10/27/2021 23H,163811
10/27/2021 22H,160085
10/27/2021 21H,154941
10/27/2021 20H,149887
10/27/2021 19H,148006
10/27/2021 18H,146735
10/27/2021 17H,146388
10/27/2021 16H,148900
10/27/2021 15H,155329
10/27/2021 14H,158260
10/27/2021 13H,159299
10/27/2021 12H,154794
10/27/2021 11H,144415
10/27/2021 10H,133364
10/27/2021 09H,126214
10/27/2021 08H,126902
10/27/2021 07H,130250
10/27/2021 06H,135079
10/27/2021 05H,141903
10/27/2021 04H,149844
10/27/2021 03H,162375
10/27/2021 02H,167341
10/27/2021 01H,180518
10/27/2021 00H,178834
10/26/2021 23H,175516
10/26/2021 22H,171360
10/26/2021 21H,165984
10/26/2021 20H,164028
10/26/2021 19H,163626
10/26/2021 18H,161542
10/26/2021 17H,159007
10/26/2021 16H,156574
10/26/2021 15H,160999
10/26/2021 14H,161021
10/26/2021 13H,158564
10/26/2021 12H,154596
10/26/2021 11H,142340
10/26/2021 10H,128804
10/26/2021 09H,120948
10/26/2021 08H,120295
10/26/2021 07H,123765
10/26/2021 06H,132718
10/26/2021 05H,142764
10/26/2021 04H,148788
10/26/2021 03H,168087
10/26/2021 02H,186031
10/26/2021 01H,202145
10/26/2021 00H,208134
10/25/2021 23H,206229
10/25/2021 22H,208232
10/25/2021 21H,201321
10/25/2021 20H,198543
10/25/2021 19H,197484
10/25/2021 18H,195964
10/25/2021 17H,192331
10/25/2021 16H,189007
10/25/2021 15H,184969
10/25/2021 14H,181066
10/25/2021 13H,177697
10/25/2021 12H,167609
10/25/2021 11H,152113
10/25/2021 10H,135896
10/25/2021 09H,126689
10/25/2021 08H,124355
10/25/2021 07H,126942
10/25/2021 06H,130335
10/25/2021 05H,133802
10/25/2021 04H,146457
10/25/2021 03H,158199
10/25/2021 02H,173167
10/25/2021 01H,180807
10/25/2021 00H,179450
10/24/2021 23H,173793
10/24/2021 22H,168446
10/24/2021 21H,162602
10/24/2021 20H,156084
10/24/2021 19H,149301
10/24/2021 18H,141923
10/24/2021 17H,134563
10/24/2021 16H,129059
10/24/2021 15H,125242
10/24/2021 14H,122486
10/24/2021 13H,117404
10/24/2021 12H,113600
10/24/2021 11H,109890
10/24/2021 10H,106981
10/24/2021 09H,106258
10/24/2021 08H,108957
10/24/2021 07H,113615
10/24/2021 06H,118834
10/24/2021 05H,124247
10/24/2021 04H,131557
10/24/2021 03H,140856
10/24/2021 02H,157640
10/24/2021 01H,155965
10/24/2021 00H,159942
10/23/2021 23H,156426
10/23/2021 22H,154498
10/23/2021 21H,152656
10/23/2021 20H,147364
10/23/2021 19H,145085
10/23/2021 18H,141533
10/23/2021 17H,139081
10/23/2021 16H,137673
10/23/2021 15H,135563
10/23/2021 14H,135124
10/23/2021 13H,130901
10/23/2021 12H,127042
10/23/2021 11H,120498
10/23/2021 10H,117165
10/23/2021 09H,115751
10/23/2021 08H,111245
10/23/2021 07H,117257
10/23/2021 06H,122645
10/23/2021 05H,133237
10/23/2021 04H,147542
10/23/2021 03H,160880
10/23/2021 02H,176180
10/23/2021 01H,189729
10/23/2021 00H,196988
10/22/2021 23H,193864
10/22/2021 22H,193794
10/22/2021 21H,192500
10/22/2021 20H,190421
10/22/2021 19H,188162
10/22/2021 18H,183325
10/22/2021 17H,180325
10/22/2021 16H,179270
10/22/2021 15H,180354
10/22/2021 14H,179683
10/22/2021 13H,178196
10/22/2021 12H,171082
10/22/2021 11H,158910
10/22/2021 10H,143734
10/22/2021 09H,136295
10/22/2021 08H,135292
10/22/2021 07H,138215
10/22/2021 06H,145492
10/22/2021 05H,156329
10/22/2021 04H,163355
10/22/2021 03H,185606
10/22/2021 02H,192012
10/22/2021 01H,213132
10/22/2021 00H,215424
10/21/2021 23H,212214
10/21/2021 22H,207782
10/21/2021 21H,201409
10/21/2021 20H,195810
10/21/2021 19H,190150
10/21/2021 18H,183603
10/21/2021 17H,178639
10/21/2021 16H,175974
10/21/2021 15H,174703
10/21/2021 14H,173286
10/21/2021 13H,170739
10/21/2021 12H,164966
10/21/2021 11H,151861
10/21/2021 10H,138464
10/21/2021 09H,132170
10/21/2021 08H,130316
10/21/2021 07H,133216
10/21/2021 06H,139300
10/21/2021 05H,145873
10/21/2021 04H,158375
10/21/2021 03H,174361
10/21/2021 02H,189317
10/21/2021 01H,199933
10/21/2021 00H,202184
10/20/2021 23H,187717
10/20/2021 22H,190724
10/20/2021 21H,185643
10/20/2021 20H,178830
10/20/2021 19H,174181
10/20/2021 18H,169481
10/20/2021 17H,163838
10/20/2021 16H,159481
10/20/2021 15H,159351
10/20/2021 14H,159070
10/20/2021 13H,157383
10/20/2021 12H,152810
10/20/2021 11H,138363
10/20/2021 10H,122466
10/20/2021 09H,115050
10/20/2021 08H,112306
10/20/2021 07H,114012
10/20/2021 06H,117878
10/20/2021 05H,123404
10/20/2021 04H,140066
10/20/2021 03H,147144
10/20/2021 02H,161882
10/20/2021 01H,172869
10/20/2021 00H,173211
10/19/2021 23H,169717
10/19/2021 22H,164555
10/19/2021 21H,157365
10/19/2021 20H,151639
10/19/2021 19H,148253
10/19/2021 18H,144811
10/19/2021 17H,142113
10/19/2021 16H,142617
10/19/2021 15H,147304
10/19/2021 14H,147252
10/19/2021 13H,148261
10/19/2021 12H,146246
10/19/2021 11H,135586
10/19/2021 10H,119684
10/19/2021 09H,111652
10/19/2021 08H,109107
10/19/2021 07H,108983
10/19/2021 06H,112475
10/19/2021 05H,117958
10/19/2021 04H,126613
10/19/2021 03H,142635
10/19/2021 02H,154409
10/19/2021 01H,165111
10/19/2021 00H,167471
10/18/2021 23H,165546
10/18/2021 22H,161228
10/18/2021 21H,155892
10/18/2021 20H,148997
10/18/2021 19H,138840
10/18/2021 18H,144454
10/18/2021 17H,144369
10/18/2021 16H,144002
10/18/2021 15H,144659
10/18/2021 14H,145578
10/18/2021 13H,148569
10/18/2021 12H,147442
10/18/2021 11H,132126
10/18/2021 10H,115722
10/18/2021 09H,106046
10/18/2021 08H,103225
10/18/2021 07H,105415
10/18/2021 06H,108669
10/18/2021 05H,111980
10/18/2021 04H,119756
10/18/2021 03H,133624
10/18/2021 02H,146102
10/18/2021 01H,156407
10/18/2021 00H,154674
10/17/2021 23H,149925
10/17/2021 22H,140468
10/17/2021 21H,132954
10/17/2021 20H,125720
10/17/2021 19H,120935
10/17/2021 18H,119663
10/17/2021 17H,120193
10/17/2021 16H,119160
10/17/2021 15H,119966
10/17/2021 14H,120821
10/17/2021 13H,118380
10/17/2021 12H,114571
10/17/2021 11H,111390
10/17/2021 10H,107693
10/17/2021 09H,106785
10/17/2021 08H,107172
10/17/2021 07H,112025
10/17/2021 06H,117892
10/17/2021 05H,127254
10/17/2021 04H,141924
10/17/2021 03H,148663
10/17/2021 02H,161334
10/17/2021 01H,168667
10/17/2021 00H,168052
10/16/2021 23H,159905
10/16/2021 22H,155421
10/16/2021 21H,151885
10/16/2021 20H,148146
10/16/2021 19H,144868
10/16/2021 18H,143054
10/16/2021 17H,142265
10/16/2021 16H,141071
10/16/2021 15H,140087
10/16/2021 14H,139789
10/16/2021 13H,136091
10/16/2021 12H,129500
10/16/2021 11H,123963
10/16/2021 10H,119804
10/16/2021 09H,119127
10/16/2021 08H,121683
10/16/2021 07H,126405
10/16/2021 06H,134991
10/16/2021 05H,144270
10/16/2021 04H,160001
10/16/2021 03H,171230
10/16/2021 02H,176159
10/16/2021 01H,195265
10/16/2021 00H,194581
10/15/2021 23H,193104
10/15/2021 22H,193446
10/15/2021 21H,195731
10/15/2021 20H,195715
10/15/2021 19H,192910
10/15/2021 18H,187955
10/15/2021 17H,181614
10/15/2021 16H,174634
10/15/2021 15H,171454
10/15/2021 14H,165595
10/15/2021 13H,162134
10/15/2021 12H,157552
10/15/2021 11H,148996
10/15/2021 10H,138132
10/15/2021 09H,134550
10/15/2021 08H,135548
10/15/2021 07H,138632
10/15/2021 06H,148960
10/15/2021 05H,155280
10/15/2021 04H,170081
10/15/2021 03H,190909
10/15/2021 02H,206447
10/15/2021 01H,219606
10/15/2021 00H,219265
10/14/2021 23H,215798
10/14/2021 22H,203791
10/14/2021 21H,201085
10/14/2021 20H,206267
10/14/2021 19H,202710
10/14/2021 18H,196844
10/14/2021 17H,190200
10/14/2021 16H,184409
10/14/2021 15H,181903
10/14/2021 14H,177960
10/14/2021 13H,173005
10/14/2021 12H,166562
10/14/2021 11H,153549
10/14/2021 10H,139588
10/14/2021 09H,131144
10/14/2021 08H,128531
10/14/2021 07H,130541
10/14/2021 06H,139625
10/14/2021 05H,150620
10/14/2021 04H,164358
10/14/2021 03H,179877
10/14/2021 02H,193115
10/14/2021 01H,204171
10/14/2021 00H,205046
10/13/2021 23H,205953
10/13/2021 22H,206210
10/13/2021 21H,203940
10/13/2021 20H,200642
10/13/2021 19H,196046
10/13/2021 18H,189392
10/13/2021 17H,183562
10/13/2021 16H,175489
10/13/2021 15H,172612
10/13/2021 14H,166669
10/13/2021 13H,162909
10/13/2021 12H,155762
10/13/2021 11H,142437
10/13/2021 10H,129221
10/13/2021 09H,122617
10/13/2021 08H,122681
10/13/2021 07H,126043
10/13/2021 06H,132735
10/13/2021 05H,142536
10/13/2021 04H,152071
10/13/2021 03H,169386
10/13/2021 02H,185520
10/13/2021 01H,195422
10/13/2021 00H,196312
10/12/2021 23H,196361
10/12/2021 22H,193600
10/12/2021 21H,190762
10/12/2021 20H,188226
10/12/2021 19H,183499
10/12/2021 18H,177373
10/12/2021 17H,170960
10/12/2021 16H,166248
10/12/2021 15H,164222
10/12/2021 14H,158794
10/12/2021 13H,154477
10/12/2021 12H,148631
10/12/2021 11H,137637
10/12/2021 10H,124197
10/12/2021 09H,114813
10/12/2021 08H,112990
10/12/2021 07H,113831
10/12/2021 06H,122998
10/12/2021 05H,132996
10/12/2021 04H,143446
10/12/2021 03H,165265
10/12/2021 02H,182743
10/12/2021 01H,197938
10/12/2021 00H,205853
10/11/2021 23H,205709
10/11/2021 22H,204716
10/11/2021 21H,201557
10/11/2021 20H,199332
10/11/2021 19H,194784
10/11/2021 18H,189681
10/11/2021 17H,183563
10/11/2021 16H,177226
10/11/2021 15H,170139
10/11/2021 14H,164538
10/11/2021 13H,158399
10/11/2021 12H,150830
10/11/2021 11H,136001
10/11/2021 10H,124434
10/11/2021 09H,115551
10/11/2021 08H,111399
10/11/2021 07H,113490
10/11/2021 06H,120279
10/11/2021 05H,130049
10/11/2021 04H,141439
10/11/2021 03H,158151
10/11/2021 02H,173789
10/11/2021 01H,182511
10/11/2021 00H,183773
10/10/2021 23H,185893
10/10/2021 22H,185389
10/10/2021 21H,181393
10/10/2021 20H,174938
10/10/2021 19H,167723
10/10/2021 18H,158505
10/10/2021 17H,147792
10/10/2021 16H,136102
10/10/2021 15H,127016
10/10/2021 14H,121790
10/10/2021 13H,112541
10/10/2021 12H,107777
10/10/2021 11H,102465
10/10/2021 10H,100606
10/10/2021 09H,100651
10/10/2021 08H,103598
10/10/2021 07H,108037
10/10/2021 06H,115377
10/10/2021 05H,124093
10/10/2021 04H,138668
10/10/2021 03H,150694
10/10/2021 02H,164489
10/10/2021 01H,175858
10/10/2021 00H,180069
10/9/2021 23H,184680
10/9/2021 22H,185670
10/9/2021 21H,183766
10/9/2021 20H,180958
10/9/2021 19H,176128
10/9/2021 18H,169694
10/9/2021 17H,160215
10/9/2021 16H,151191
10/9/2021 15H,144093
10/9/2021 14H,136265
10/9/2021 13H,127465
10/9/2021 12H,123579
10/9/2021 11H,118755
10/9/2021 10H,114026
10/9/2021 09H,113442
10/9/2021 08H,114391
10/9/2021 07H,118928
10/9/2021 06H,126145
10/9/2021 05H,137705
10/9/2021 04H,152108
10/9/2021 03H,165485
10/9/2021 02H,183358
10/9/2021 01H,200731
10/9/2021 00H,209741
10/8/2021 23H,216332
10/8/2021 22H,219963
10/8/2021 21H,220435
10/8/2021 20H,220031
10/8/2021 19H,216110
10/8/2021 18H,211072
10/8/2021 17H,202569
10/8/2021 16H,191588
10/8/2021 15H,179566
10/8/2021 14H,165764
10/8/2021 13H,157502
10/8/2021 12H,151166
10/8/2021 11H,141442
10/8/2021 10H,129632
10/8/2021 09H,123927
10/8/2021 08H,124624
10/8/2021 07H,128495
10/8/2021 06H,135460
10/8/2021 05H,146771
10/8/2021 04H,160830
10/8/2021 03H,179697
10/8/2021 02H,199063
10/8/2021 01H,215771
10/8/2021 00H,222248
10/7/2021 23H,224559
10/7/2021 22H,224216
10/7/2021 21H,222550
10/7/2021 20H,219354
10/7/2021 19H,212441
10/7/2021 18H,204914
10/7/2021 17H,195948
10/7/2021 16H,187639
10/7/2021 15H,180181
10/7/2021 14H,171789
10/7/2021 13H,165576
10/7/2021 12H,157866
10/7/2021 11H,144896
10/7/2021 10H,132655
10/7/2021 09H,125043
10/7/2021 08H,123502
10/7/2021 07H,126189
10/7/2021 06H,133782
10/7/2021 05H,143323
10/7/2021 04H,156991
10/7/2021 03H,176923
10/7/2021 02H,197675
10/7/2021 01H,213358
10/7/2021 00H,221252
10/6/2021 23H,220771
10/6/2021 22H,218646
10/6/2021 21H,215321
