Net generation from other for Tennessee (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390117&sdid=EBA.TEN-ALL.NG.OTH.H
19:23:29 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEN-ALL.NG.OTH.H megawatthours
11/4/2021 05H,17
11/4/2021 04H,17
11/4/2021 03H,14
11/4/2021 02H,14
11/4/2021 01H,11
11/4/2021 00H,11
11/3/2021 23H,12
11/3/2021 22H,14
11/3/2021 21H,11
11/3/2021 20H,8
11/3/2021 19H,6
11/3/2021 18H,3
11/3/2021 17H,5
11/3/2021 16H,9
11/3/2021 15H,11
11/3/2021 14H,11
11/3/2021 13H,17
11/3/2021 12H,17
11/3/2021 11H,19
11/3/2021 10H,17
11/3/2021 09H,17
11/3/2021 08H,22
11/3/2021 07H,20
11/3/2021 06H,25
11/3/2021 05H,25
11/3/2021 04H,23
11/3/2021 03H,22
11/3/2021 02H,22
11/3/2021 01H,20
11/3/2021 00H,22
11/2/2021 23H,23
11/2/2021 22H,25
11/2/2021 21H,28
11/2/2021 20H,22
11/2/2021 19H,23
11/2/2021 18H,25
11/2/2021 17H,25
11/2/2021 16H,23
11/2/2021 15H,16
11/2/2021 14H,17
11/2/2021 13H,17
11/2/2021 12H,22
11/2/2021 11H,26
11/2/2021 10H,25
11/2/2021 09H,22
11/2/2021 08H,23
11/2/2021 07H,25
11/2/2021 06H,22
11/2/2021 05H,25
11/2/2021 04H,23
11/2/2021 03H,25
11/2/2021 02H,25
11/2/2021 01H,25
11/2/2021 00H,23
11/1/2021 23H,22
11/1/2021 22H,25
11/1/2021 21H,20
11/1/2021 20H,17
11/1/2021 19H,19
11/1/2021 18H,17
11/1/2021 17H,17
11/1/2021 16H,17
11/1/2021 15H,17
11/1/2021 14H,16
11/1/2021 13H,23
11/1/2021 12H,19
11/1/2021 11H,20
11/1/2021 10H,17
11/1/2021 09H,22
11/1/2021 08H,25
11/1/2021 07H,23
11/1/2021 06H,25
11/1/2021 05H,20
11/1/2021 04H,25
11/1/2021 03H,28
11/1/2021 02H,31
11/1/2021 01H,30
11/1/2021 00H,26
10/31/2021 23H,22
10/31/2021 22H,22
10/31/2021 21H,23
10/31/2021 20H,25
10/31/2021 19H,22
10/31/2021 18H,20
10/31/2021 17H,22
10/31/2021 16H,20
10/31/2021 15H,22
10/31/2021 14H,31
10/31/2021 13H,28
10/31/2021 12H,25
10/31/2021 11H,28
10/31/2021 10H,20
10/31/2021 09H,8
10/31/2021 08H,9
10/31/2021 07H,14
10/31/2021 06H,11
10/31/2021 05H,11
10/31/2021 04H,11
10/31/2021 03H,17
10/31/2021 02H,17
10/31/2021 01H,17
10/31/2021 00H,11
10/30/2021 23H,14
10/30/2021 22H,8
10/30/2021 21H,12
10/30/2021 20H,8
10/30/2021 19H,11
10/30/2021 18H,9
10/30/2021 17H,8
10/30/2021 16H,8
10/30/2021 15H,9
10/30/2021 14H,8
10/30/2021 13H,6
10/30/2021 12H,5
10/30/2021 11H,6
10/30/2021 10H,6
10/30/2021 09H,8
10/30/2021 08H,11
10/30/2021 07H,9
10/30/2021 06H,11
10/30/2021 05H,8
10/30/2021 04H,12
10/30/2021 03H,8
10/30/2021 02H,11
10/30/2021 01H,11
10/30/2021 00H,17
10/29/2021 23H,14
10/29/2021 22H,17
10/29/2021 21H,25
10/29/2021 20H,31
10/29/2021 19H,31
10/29/2021 18H,28
10/29/2021 17H,19
10/29/2021 16H,20
10/29/2021 15H,25
10/29/2021 14H,34
10/29/2021 13H,33
10/29/2021 12H,34
10/29/2021 11H,28
10/29/2021 10H,22
10/29/2021 09H,23
10/29/2021 08H,25
10/29/2021 07H,28
10/29/2021 06H,28
10/29/2021 05H,28
10/29/2021 04H,28
10/29/2021 03H,28
10/29/2021 02H,31
10/29/2021 01H,28
10/29/2021 00H,25
10/28/2021 23H,25
10/28/2021 22H,25
10/28/2021 21H,20
10/28/2021 20H,22
10/28/2021 19H,11
10/28/2021 18H,14
10/28/2021 17H,14
10/28/2021 16H,17
10/28/2021 15H,14
10/28/2021 14H,17
10/28/2021 13H,20
10/28/2021 12H,19
10/28/2021 11H,17
10/28/2021 10H,20
10/28/2021 09H,16
10/28/2021 08H,23
10/28/2021 07H,17
10/28/2021 06H,22
10/28/2021 05H,20
10/28/2021 04H,14
10/28/2021 03H,14
10/28/2021 02H,14
10/28/2021 01H,14
10/28/2021 00H,11
10/27/2021 23H,11
10/27/2021 22H,17
10/27/2021 21H,17
10/27/2021 20H,16
10/27/2021 19H,17
10/27/2021 18H,17
10/27/2021 17H,20
10/27/2021 16H,19
10/27/2021 15H,23
10/27/2021 14H,25
10/27/2021 13H,28
10/27/2021 12H,22
10/27/2021 11H,20
10/27/2021 10H,19
10/27/2021 09H,23
10/27/2021 08H,19
10/27/2021 07H,23
10/27/2021 06H,19
10/27/2021 05H,20
10/27/2021 04H,22
10/27/2021 03H,26
10/27/2021 02H,28
10/27/2021 01H,30
10/27/2021 00H,34
10/26/2021 23H,34
10/26/2021 22H,33
10/26/2021 21H,31
10/26/2021 20H,25
10/26/2021 19H,25
10/26/2021 18H,20
10/26/2021 17H,17
10/26/2021 16H,17
10/26/2021 15H,16
10/26/2021 14H,20
10/26/2021 13H,20
10/26/2021 12H,22
10/26/2021 11H,20
10/26/2021 10H,19
10/26/2021 09H,25
10/26/2021 08H,20
10/26/2021 07H,17
10/26/2021 06H,19
10/26/2021 05H,20
10/26/2021 04H,17
10/26/2021 03H,17
10/26/2021 02H,16
10/26/2021 01H,14
10/26/2021 00H,14
10/25/2021 23H,14
10/25/2021 22H,14
10/25/2021 21H,17
10/25/2021 20H,17
10/25/2021 19H,20
10/25/2021 18H,16
10/25/2021 17H,20
10/25/2021 16H,11
10/25/2021 15H,17
10/25/2021 14H,17
10/25/2021 13H,11
10/25/2021 12H,14
10/25/2021 11H,14
10/25/2021 10H,14
10/25/2021 09H,11
10/25/2021 08H,11
10/25/2021 07H,12
10/25/2021 06H,11
10/25/2021 05H,11
10/25/2021 04H,17
10/25/2021 03H,14
10/25/2021 02H,8
10/25/2021 01H,9
10/25/2021 00H,19
10/24/2021 23H,23
10/24/2021 22H,16
10/24/2021 21H,17
10/24/2021 20H,17
10/24/2021 19H,14
10/24/2021 18H,53
10/24/2021 17H,10
10/24/2021 16H,10
10/24/2021 15H,11
10/24/2021 14H,9
10/24/2021 13H,8
10/24/2021 12H,8
10/24/2021 11H,9
10/24/2021 10H,8
10/24/2021 09H,6
10/24/2021 08H,8
10/24/2021 07H,9
10/24/2021 06H,5
10/24/2021 05H,9
10/24/2021 04H,11
10/24/2021 03H,8
10/24/2021 02H,11
10/24/2021 01H,9
10/24/2021 00H,5
10/23/2021 23H,9
10/23/2021 22H,8
10/23/2021 21H,9
10/23/2021 20H,8
10/23/2021 19H,6
10/23/2021 18H,14
10/23/2021 17H,14
10/23/2021 16H,14
10/23/2021 15H,14
10/23/2021 14H,8
10/23/2021 13H,6
10/23/2021 12H,8
10/23/2021 11H,11
10/23/2021 10H,11
10/23/2021 09H,12
10/23/2021 08H,16
10/23/2021 07H,17
10/23/2021 06H,20
10/23/2021 05H,19
10/23/2021 04H,20
10/23/2021 03H,17
10/23/2021 02H,17
10/23/2021 01H,22
10/23/2021 00H,22
10/22/2021 23H,17
10/22/2021 22H,17
10/22/2021 21H,14
10/22/2021 20H,20
10/22/2021 19H,19
10/22/2021 18H,23
10/22/2021 17H,22
10/22/2021 16H,20
10/22/2021 15H,22
10/22/2021 14H,20
10/22/2021 13H,19
10/22/2021 12H,17
10/22/2021 11H,17
10/22/2021 10H,14
10/22/2021 09H,17
10/22/2021 08H,11
10/22/2021 07H,11
10/22/2021 06H,3
10/22/2021 05H,0
10/22/2021 04H,0
10/22/2021 03H,0
10/22/2021 02H,0
10/22/2021 01H,0
10/22/2021 00H,0
10/21/2021 23H,0
10/21/2021 22H,0
10/21/2021 21H,0
10/21/2021 20H,0
10/21/2021 19H,0
10/21/2021 18H,0
10/21/2021 17H,0
10/21/2021 16H,0
10/21/2021 15H,0
10/21/2021 14H,0
10/21/2021 13H,0
10/21/2021 12H,0
10/21/2021 11H,0
10/21/2021 10H,0
10/21/2021 09H,0
10/21/2021 08H,0
10/21/2021 07H,0
10/21/2021 06H,0
10/21/2021 05H,0
10/21/2021 04H,0
10/21/2021 03H,0
10/21/2021 02H,0
10/21/2021 01H,0
10/21/2021 00H,0
10/20/2021 23H,0
10/20/2021 22H,0
10/20/2021 21H,0
10/20/2021 20H,0
10/20/2021 19H,0
10/20/2021 18H,0
10/20/2021 17H,0
10/20/2021 16H,0
10/20/2021 15H,0
10/20/2021 14H,0
10/20/2021 13H,0
10/20/2021 12H,0
10/20/2021 11H,0
10/20/2021 10H,0
10/20/2021 09H,0
10/20/2021 08H,0
10/20/2021 07H,0
10/20/2021 06H,0
10/20/2021 05H,0
10/20/2021 04H,0
10/20/2021 03H,0
10/20/2021 02H,0
10/20/2021 01H,0
10/20/2021 00H,0
10/19/2021 23H,0
10/19/2021 22H,0
10/19/2021 21H,0
10/19/2021 20H,0
10/19/2021 19H,0
10/19/2021 18H,0
10/19/2021 17H,0
10/19/2021 16H,0
10/19/2021 15H,0
10/19/2021 14H,0
10/19/2021 13H,0
10/19/2021 12H,0
10/19/2021 11H,0
10/19/2021 10H,0
10/19/2021 09H,0
10/19/2021 08H,0
10/19/2021 07H,0
10/19/2021 06H,0
10/19/2021 05H,0
10/19/2021 04H,0
10/19/2021 03H,0
10/19/2021 02H,0
10/19/2021 01H,0
10/19/2021 00H,0
10/18/2021 23H,0
10/18/2021 22H,0
10/18/2021 21H,0
10/18/2021 20H,0
10/18/2021 19H,0
10/18/2021 18H,0
10/18/2021 17H,0
10/18/2021 16H,0
10/18/2021 15H,0
10/18/2021 14H,0
10/18/2021 13H,0
10/18/2021 12H,0
10/18/2021 11H,0
10/18/2021 10H,0
10/18/2021 09H,0
10/18/2021 08H,0
10/18/2021 07H,0
10/18/2021 06H,0
10/18/2021 05H,0
10/18/2021 04H,0
10/18/2021 03H,0
10/18/2021 02H,0
10/18/2021 01H,0
10/18/2021 00H,0
10/17/2021 23H,0
10/17/2021 22H,0
10/17/2021 21H,0
10/17/2021 20H,0
10/17/2021 19H,0
10/17/2021 18H,0
10/17/2021 17H,0
10/17/2021 16H,0
10/17/2021 15H,0
10/17/2021 14H,0
10/17/2021 13H,0
10/17/2021 12H,3
10/17/2021 11H,0
10/17/2021 10H,0
10/17/2021 09H,0
10/17/2021 08H,0
10/17/2021 07H,0
10/17/2021 06H,0
10/17/2021 05H,0
10/17/2021 04H,0
10/17/2021 03H,0
10/17/2021 02H,0
10/17/2021 01H,0
10/17/2021 00H,0
10/16/2021 23H,0
10/16/2021 22H,0
10/16/2021 21H,0
10/16/2021 20H,0
10/16/2021 19H,0
10/16/2021 18H,0
10/16/2021 17H,0
10/16/2021 16H,0
10/16/2021 15H,0
10/16/2021 14H,0
10/16/2021 13H,0
10/16/2021 12H,0
10/16/2021 11H,0
10/16/2021 10H,0
10/16/2021 09H,0
10/16/2021 08H,0
10/16/2021 07H,0
10/16/2021 06H,0
10/16/2021 05H,0
10/16/2021 04H,0
10/16/2021 03H,0
10/16/2021 02H,0
10/16/2021 01H,0
10/16/2021 00H,0
10/15/2021 23H,2
10/15/2021 22H,0
10/15/2021 21H,0
10/15/2021 20H,0
10/15/2021 19H,0
10/15/2021 18H,0
10/15/2021 17H,0
10/15/2021 16H,0
10/15/2021 15H,0
10/15/2021 14H,0
10/15/2021 13H,0
10/15/2021 12H,0
10/15/2021 11H,0
10/15/2021 10H,0
10/15/2021 09H,0
10/15/2021 08H,0
10/15/2021 07H,0
10/15/2021 06H,0
10/15/2021 05H,0
10/15/2021 04H,0
10/15/2021 03H,0
10/15/2021 02H,0
10/15/2021 01H,0
10/15/2021 00H,0
10/14/2021 23H,0
10/14/2021 22H,0
10/14/2021 21H,0
10/14/2021 20H,0
10/14/2021 19H,0
10/14/2021 18H,0
10/14/2021 17H,0
10/14/2021 16H,0
10/14/2021 15H,0
10/14/2021 14H,0
10/14/2021 13H,0
10/14/2021 12H,0
10/14/2021 11H,0
10/14/2021 10H,0
10/14/2021 09H,0
10/14/2021 08H,0
10/14/2021 07H,0
10/14/2021 06H,0
10/14/2021 05H,0
10/14/2021 04H,0
10/14/2021 03H,0
10/14/2021 02H,0
10/14/2021 01H,0
10/14/2021 00H,0
10/13/2021 23H,0
10/13/2021 22H,0
10/13/2021 21H,0
10/13/2021 20H,0
10/13/2021 19H,0
10/13/2021 18H,0
10/13/2021 17H,0
10/13/2021 16H,0
10/13/2021 15H,0
10/13/2021 14H,0
10/13/2021 13H,0
10/13/2021 12H,0
10/13/2021 11H,0
10/13/2021 10H,0
10/13/2021 09H,0
10/13/2021 08H,0
10/13/2021 07H,0
10/13/2021 06H,0
10/13/2021 05H,0
10/13/2021 04H,0
10/13/2021 03H,0
10/13/2021 02H,0
10/13/2021 01H,0
10/13/2021 00H,0
10/12/2021 23H,0
10/12/2021 22H,0
10/12/2021 21H,0
10/12/2021 20H,0
10/12/2021 19H,0
10/12/2021 18H,0
10/12/2021 17H,0
10/12/2021 16H,0
10/12/2021 15H,0
10/12/2021 14H,0
10/12/2021 13H,0
10/12/2021 12H,0
10/12/2021 11H,0
10/12/2021 10H,0
10/12/2021 09H,0
10/12/2021 08H,0
10/12/2021 07H,0
10/12/2021 06H,0
10/12/2021 05H,0
10/12/2021 04H,0
10/12/2021 03H,0
10/12/2021 02H,0
10/12/2021 01H,0
10/12/2021 00H,0
10/11/2021 23H,0
10/11/2021 22H,0
10/11/2021 21H,0
10/11/2021 20H,0
10/11/2021 19H,0
10/11/2021 18H,0
10/11/2021 17H,0
10/11/2021 16H,0
10/11/2021 15H,0
10/11/2021 14H,0
10/11/2021 13H,0
10/11/2021 12H,0
10/11/2021 11H,0
10/11/2021 10H,0
10/11/2021 09H,0
10/11/2021 08H,0
10/11/2021 07H,0
10/11/2021 06H,0
10/11/2021 05H,0
10/11/2021 04H,0
10/11/2021 03H,0
10/11/2021 02H,0
10/11/2021 01H,0
10/11/2021 00H,0
10/10/2021 23H,0
10/10/2021 22H,0
10/10/2021 21H,0
10/10/2021 20H,0
10/10/2021 19H,0
10/10/2021 18H,0
10/10/2021 17H,0
10/10/2021 16H,0
10/10/2021 15H,0
10/10/2021 14H,0
10/10/2021 13H,0
10/10/2021 12H,0
10/10/2021 11H,0
10/10/2021 10H,0
10/10/2021 09H,0
10/10/2021 08H,0
10/10/2021 07H,0
10/10/2021 06H,0
10/10/2021 05H,0
10/10/2021 04H,0
10/10/2021 03H,0
10/10/2021 02H,0
10/10/2021 01H,0
10/10/2021 00H,0
10/9/2021 23H,0
10/9/2021 22H,0
10/9/2021 21H,0
10/9/2021 20H,0
10/9/2021 19H,0
10/9/2021 18H,0
10/9/2021 17H,0
10/9/2021 16H,0
10/9/2021 15H,0
10/9/2021 14H,0
10/9/2021 13H,0
10/9/2021 12H,0
10/9/2021 11H,0
10/9/2021 10H,0
10/9/2021 09H,0
10/9/2021 08H,0
10/9/2021 07H,0
10/9/2021 06H,0
10/9/2021 05H,0
10/9/2021 04H,0
10/9/2021 03H,0
10/9/2021 02H,0
10/9/2021 01H,0
10/9/2021 00H,0
10/8/2021 23H,0
10/8/2021 22H,0
10/8/2021 21H,0
10/8/2021 20H,0
10/8/2021 19H,0
10/8/2021 18H,0
10/8/2021 17H,0
10/8/2021 16H,0
10/8/2021 15H,0
10/8/2021 14H,0
10/8/2021 13H,0
10/8/2021 12H,0
10/8/2021 11H,0
10/8/2021 10H,0
10/8/2021 09H,0
10/8/2021 08H,0
10/8/2021 07H,0
10/8/2021 06H,0
10/8/2021 05H,0
10/8/2021 04H,0
10/8/2021 03H,0
10/8/2021 02H,0
10/8/2021 01H,0
10/8/2021 00H,0
10/7/2021 23H,0
10/7/2021 22H,0
10/7/2021 21H,0
10/7/2021 20H,0
10/7/2021 19H,0
10/7/2021 18H,0
10/7/2021 17H,0
10/7/2021 16H,0
10/7/2021 15H,0
10/7/2021 14H,0
10/7/2021 13H,0
10/7/2021 12H,0
10/7/2021 11H,0
10/7/2021 10H,0
10/7/2021 09H,0
10/7/2021 08H,0
10/7/2021 07H,0
10/7/2021 06H,0
10/7/2021 05H,0
10/7/2021 04H,0
10/7/2021 03H,0
10/7/2021 02H,0
10/7/2021 01H,0
10/7/2021 00H,0
10/6/2021 23H,0
10/6/2021 22H,0
10/6/2021 21H,0
10/6/2021 20H,0
10/6/2021 19H,0
10/6/2021 18H,0
10/6/2021 17H,0
10/6/2021 16H,0
10/6/2021 15H,0
10/6/2021 14H,0
10/6/2021 13H,0
10/6/2021 12H,0
10/6/2021 11H,0
10/6/2021 10H,0
10/6/2021 09H,0
10/6/2021 08H,0
10/6/2021 07H,0
10/6/2021 06H,0
10/6/2021 05H,0
10/6/2021 04H,0
10/6/2021 03H,0
10/6/2021 02H,0
10/6/2021 01H,0
10/6/2021 00H,0
10/5/2021 23H,0
10/5/2021 22H,0
10/5/2021 21H,0
10/5/2021 20H,0
10/5/2021 19H,0
10/5/2021 18H,0
10/5/2021 17H,0
10/5/2021 16H,0
10/5/2021 15H,0
10/5/2021 14H,0
10/5/2021 13H,0
10/5/2021 12H,0
10/5/2021 11H,0
10/5/2021 10H,0
10/5/2021 09H,0
10/5/2021 08H,0
10/5/2021 07H,0
10/5/2021 06H,0
10/5/2021 05H,0
10/5/2021 04H,0
10/5/2021 03H,0
10/5/2021 02H,0
10/5/2021 01H,0
10/5/2021 00H,0
10/4/2021 23H,0
10/4/2021 22H,0
10/4/2021 21H,0
10/4/2021 20H,0
10/4/2021 19H,0
10/4/2021 18H,0
10/4/2021 17H,0
10/4/2021 16H,0
10/4/2021 15H,0
10/4/2021 14H,0
10/4/2021 13H,0
10/4/2021 12H,0
10/4/2021 11H,0
10/4/2021 10H,0
10/4/2021 09H,0
10/4/2021 08H,6
10/4/2021 07H,3
10/4/2021 06H,3
10/4/2021 05H,0
10/4/2021 04H,0
10/4/2021 03H,0
10/4/2021 02H,0
10/4/2021 01H,0
10/4/2021 00H,5
10/3/2021 23H,6
10/3/2021 22H,3
10/3/2021 21H,0
10/3/2021 20H,0
10/3/2021 19H,0
