Net generation from other for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.OTH.H
19:16:06 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.OTH.H megawatthours
10/22/2021 21H,630
10/22/2021 20H,624
10/22/2021 19H,611
10/22/2021 18H,606
10/22/2021 17H,605
10/22/2021 16H,599
10/22/2021 15H,598
10/22/2021 14H,600
10/22/2021 13H,602
10/22/2021 12H,603
10/22/2021 11H,602
10/22/2021 10H,622
10/22/2021 09H,622
10/22/2021 08H,622
10/22/2021 07H,631
10/22/2021 06H,613
10/22/2021 05H,623
10/22/2021 04H,619
10/22/2021 03H,612
10/22/2021 02H,0
10/22/2021 01H,620
10/22/2021 00H,628
10/21/2021 23H,645
10/21/2021 22H,632
10/21/2021 21H,630
10/21/2021 20H,641
10/21/2021 19H,631
10/21/2021 18H,609
10/21/2021 17H,611
10/21/2021 16H,607
10/21/2021 15H,613
10/21/2021 14H,614
10/21/2021 13H,626
10/21/2021 12H,626
10/21/2021 11H,641
10/21/2021 10H,649
10/21/2021 09H,643
10/21/2021 08H,638
10/21/2021 07H,626
10/21/2021 06H,629
10/21/2021 05H,628
10/21/2021 04H,622
10/21/2021 03H,601
10/21/2021 02H,618
10/21/2021 01H,616
10/21/2021 00H,625
10/20/2021 23H,0
10/20/2021 22H,638
10/20/2021 21H,639
10/20/2021 20H,637
10/20/2021 19H,630
10/20/2021 18H,611
10/20/2021 17H,594
10/20/2021 16H,594
10/20/2021 15H,590
10/20/2021 14H,593
10/20/2021 13H,600
10/20/2021 12H,623
10/20/2021 11H,652
10/20/2021 10H,639
10/20/2021 09H,636
10/20/2021 08H,636
10/20/2021 07H,635
10/20/2021 06H,629
10/20/2021 05H,630
10/20/2021 04H,621
10/20/2021 03H,617
10/20/2021 02H,612
10/20/2021 01H,596
10/20/2021 00H,588
10/19/2021 23H,608
10/19/2021 22H,611
10/19/2021 21H,618
10/19/2021 20H,625
10/19/2021 19H,617
10/19/2021 18H,591
10/19/2021 17H,582
10/19/2021 16H,568
10/19/2021 15H,596
10/19/2021 14H,590
10/19/2021 13H,585
10/19/2021 12H,627
10/19/2021 11H,635
10/19/2021 10H,632
10/19/2021 09H,603
10/19/2021 08H,598
10/19/2021 07H,609
10/19/2021 06H,617
10/19/2021 05H,630
10/19/2021 04H,605
10/19/2021 03H,616
10/19/2021 02H,614
10/19/2021 01H,620
10/19/2021 00H,638
10/18/2021 23H,652
10/18/2021 22H,652
10/18/2021 21H,634
10/18/2021 20H,645
10/18/2021 19H,0
10/18/2021 18H,636
10/18/2021 17H,645
10/18/2021 16H,645
10/18/2021 15H,650
10/18/2021 14H,664
10/18/2021 13H,656
10/18/2021 12H,675
10/18/2021 11H,663
10/18/2021 10H,666
10/18/2021 09H,654
10/18/2021 08H,656
10/18/2021 07H,667
10/18/2021 06H,650
10/18/2021 05H,655
10/18/2021 04H,658
10/18/2021 03H,656
10/18/2021 02H,650
10/18/2021 01H,660
10/18/2021 00H,658
10/17/2021 23H,663
10/17/2021 22H,670
10/17/2021 21H,672
10/17/2021 20H,662
10/17/2021 19H,654
10/17/2021 18H,674
10/17/2021 17H,655
10/17/2021 16H,664
10/17/2021 15H,640
10/17/2021 14H,666
10/17/2021 13H,628
10/17/2021 12H,654
10/17/2021 11H,659
10/17/2021 10H,659
10/17/2021 09H,647
10/17/2021 08H,644
10/17/2021 07H,641
10/17/2021 06H,631
10/17/2021 05H,646
10/17/2021 04H,620
10/17/2021 03H,610
10/17/2021 02H,602
10/17/2021 01H,601
10/17/2021 00H,621
10/16/2021 23H,628
10/16/2021 22H,611
10/16/2021 21H,588
10/16/2021 20H,586
10/16/2021 19H,583
10/16/2021 18H,590
10/16/2021 17H,584
10/16/2021 16H,586
10/16/2021 15H,593
10/16/2021 14H,602
10/16/2021 13H,599
10/16/2021 12H,601
10/16/2021 11H,607
10/16/2021 10H,603
10/16/2021 09H,590
10/16/2021 08H,589
10/16/2021 07H,587
10/16/2021 06H,589
10/16/2021 05H,601
10/16/2021 04H,591
10/16/2021 03H,612
10/16/2021 02H,0
10/16/2021 01H,621
10/16/2021 00H,625
10/15/2021 23H,624
10/15/2021 22H,599
10/15/2021 21H,591
10/15/2021 20H,591
10/15/2021 19H,595
10/15/2021 18H,576
10/15/2021 17H,579
10/15/2021 16H,583
10/15/2021 15H,603
10/15/2021 14H,595
10/15/2021 13H,592
10/15/2021 12H,591
10/15/2021 11H,608
10/15/2021 10H,606
10/15/2021 09H,586
10/15/2021 08H,578
10/15/2021 07H,557
10/15/2021 06H,541
10/15/2021 05H,0
10/15/2021 04H,520
10/15/2021 03H,506
10/15/2021 02H,507
10/15/2021 01H,491
10/15/2021 00H,493
10/14/2021 23H,489
10/14/2021 22H,0
10/14/2021 21H,0
10/14/2021 20H,476
10/14/2021 19H,473
10/14/2021 18H,470
10/14/2021 17H,461
10/14/2021 16H,482
10/14/2021 15H,462
10/14/2021 14H,459
10/14/2021 13H,452
10/14/2021 12H,468
10/14/2021 11H,478
10/14/2021 10H,492
10/14/2021 09H,489
10/14/2021 08H,494
10/14/2021 07H,491
10/14/2021 06H,486
10/14/2021 05H,488
10/14/2021 04H,483
10/14/2021 03H,501
10/14/2021 02H,495
10/14/2021 01H,493
10/14/2021 00H,496
10/13/2021 23H,496
10/13/2021 22H,497
10/13/2021 21H,483
10/13/2021 20H,499
10/13/2021 19H,512
10/13/2021 18H,499
10/13/2021 17H,495
10/13/2021 16H,498
10/13/2021 15H,486
10/13/2021 14H,490
10/13/2021 13H,498
10/13/2021 12H,499
10/13/2021 11H,491
10/13/2021 10H,491
10/13/2021 09H,488
10/13/2021 08H,508
10/13/2021 07H,512
10/13/2021 06H,524
10/13/2021 05H,522
10/13/2021 04H,529
10/13/2021 03H,529
10/13/2021 02H,521
10/13/2021 01H,523
10/13/2021 00H,525
10/12/2021 23H,532
10/12/2021 22H,542
10/12/2021 21H,539
10/12/2021 20H,551
10/12/2021 19H,543
10/12/2021 18H,550
10/12/2021 17H,551
10/12/2021 16H,548
10/12/2021 15H,556
10/12/2021 14H,574
10/12/2021 13H,586
10/12/2021 12H,589
10/12/2021 11H,606
10/12/2021 10H,589
10/12/2021 09H,574
10/12/2021 08H,559
10/12/2021 07H,564
10/12/2021 06H,560
10/12/2021 05H,573
10/12/2021 04H,565
10/12/2021 03H,570
10/12/2021 02H,552
10/12/2021 01H,535
10/12/2021 00H,543
10/11/2021 23H,557
10/11/2021 22H,555
10/11/2021 21H,537
10/11/2021 20H,552
10/11/2021 19H,569
10/11/2021 18H,585
10/11/2021 17H,568
10/11/2021 16H,564
10/11/2021 15H,570
10/11/2021 14H,575
10/11/2021 13H,576
10/11/2021 12H,596
10/11/2021 11H,602
10/11/2021 10H,594
10/11/2021 09H,574
10/11/2021 08H,559
10/11/2021 07H,555
10/11/2021 06H,590
10/11/2021 05H,586
10/11/2021 04H,598
10/11/2021 03H,617
10/11/2021 02H,616
10/11/2021 01H,603
10/11/2021 00H,622
10/10/2021 23H,638
10/10/2021 22H,627
10/10/2021 21H,627
10/10/2021 20H,606
10/10/2021 19H,576
10/10/2021 18H,580
10/10/2021 17H,577
10/10/2021 16H,595
10/10/2021 15H,614
10/10/2021 14H,625
10/10/2021 13H,635
10/10/2021 12H,623
10/10/2021 11H,628
10/10/2021 10H,647
10/10/2021 09H,624
10/10/2021 08H,631
10/10/2021 07H,614
10/10/2021 06H,618
10/10/2021 05H,613
10/10/2021 04H,603
10/10/2021 03H,627
10/10/2021 02H,626
10/10/2021 01H,633
10/10/2021 00H,627
10/9/2021 23H,641
10/9/2021 22H,630
10/9/2021 21H,627
10/9/2021 20H,628
10/9/2021 19H,628
10/9/2021 18H,606
10/9/2021 17H,600
10/9/2021 16H,607
10/9/2021 15H,607
10/9/2021 14H,616
10/9/2021 13H,614
10/9/2021 12H,615
10/9/2021 11H,608
10/9/2021 10H,622
10/9/2021 09H,613
10/9/2021 08H,618
10/9/2021 07H,625
10/9/2021 06H,612
10/9/2021 05H,620
10/9/2021 04H,603
10/9/2021 03H,600
10/9/2021 02H,600
10/9/2021 01H,603
10/9/2021 00H,614
10/8/2021 23H,620
10/8/2021 22H,617
10/8/2021 21H,602
10/8/2021 20H,600
10/8/2021 19H,589
10/8/2021 18H,594
10/8/2021 17H,579
10/8/2021 16H,591
10/8/2021 15H,581
10/8/2021 14H,556
10/8/2021 13H,551
10/8/2021 12H,553
10/8/2021 11H,549
10/8/2021 10H,555
10/8/2021 09H,538
10/8/2021 08H,541
10/8/2021 07H,540
10/8/2021 06H,548
10/8/2021 05H,554
10/8/2021 04H,549
10/8/2021 03H,543
10/8/2021 02H,537
10/8/2021 01H,541
10/8/2021 00H,555
10/7/2021 23H,558
10/7/2021 22H,539
10/7/2021 21H,515
10/7/2021 20H,518
10/7/2021 19H,523
10/7/2021 18H,518
10/7/2021 17H,521
10/7/2021 16H,531
10/7/2021 15H,520
10/7/2021 14H,511
10/7/2021 13H,508
10/7/2021 12H,520
10/7/2021 11H,527
10/7/2021 10H,528
10/7/2021 09H,512
10/7/2021 08H,525
10/7/2021 07H,530
10/7/2021 06H,537
10/7/2021 05H,537
10/7/2021 04H,525
10/7/2021 03H,531
10/7/2021 02H,522
10/7/2021 01H,527
10/7/2021 00H,523
10/6/2021 23H,554
10/6/2021 22H,543
10/6/2021 21H,549
10/6/2021 20H,536
10/6/2021 19H,528
10/6/2021 18H,526
10/6/2021 17H,530
10/6/2021 16H,521
10/6/2021 15H,506
10/6/2021 14H,505
10/6/2021 13H,517
10/6/2021 12H,527
10/6/2021 11H,527
10/6/2021 10H,521
10/6/2021 09H,529
10/6/2021 08H,544
10/6/2021 07H,540
10/6/2021 06H,550
10/6/2021 05H,539
10/6/2021 04H,554
10/6/2021 03H,555
10/6/2021 02H,556
10/6/2021 01H,563
10/6/2021 00H,573
10/5/2021 23H,567
10/5/2021 22H,557
10/5/2021 21H,549
10/5/2021 20H,551
10/5/2021 19H,554
10/5/2021 18H,547
10/5/2021 17H,546
10/5/2021 16H,548
10/5/2021 15H,522
10/5/2021 14H,516
10/5/2021 13H,519
10/5/2021 12H,537
10/5/2021 11H,527
10/5/2021 10H,512
10/5/2021 09H,515
10/5/2021 08H,507
10/5/2021 07H,519
10/5/2021 06H,513
10/5/2021 05H,517
10/5/2021 04H,511
10/5/2021 03H,513
10/5/2021 02H,517
10/5/2021 01H,517
10/5/2021 00H,511
10/4/2021 23H,520
10/4/2021 22H,524
10/4/2021 21H,522
10/4/2021 20H,536
10/4/2021 19H,528
10/4/2021 18H,525
10/4/2021 17H,534
10/4/2021 16H,532
10/4/2021 15H,548
10/4/2021 14H,559
10/4/2021 13H,547
10/4/2021 12H,576
10/4/2021 11H,567
10/4/2021 10H,569
10/4/2021 09H,553
10/4/2021 08H,549
10/4/2021 07H,544
10/4/2021 06H,549
10/4/2021 05H,550
10/4/2021 04H,553
10/4/2021 03H,556
10/4/2021 02H,562
10/4/2021 01H,563
10/4/2021 00H,568
10/3/2021 23H,576
10/3/2021 22H,583
10/3/2021 21H,585
10/3/2021 20H,577
10/3/2021 19H,559
10/3/2021 18H,570
10/3/2021 17H,567
10/3/2021 16H,568
