Net generation from natural gas for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.NG.H
19:15:53 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.NG.H megawatthours
10/25/2021 22H,8574
10/25/2021 21H,8353
10/25/2021 20H,8144
10/25/2021 19H,8398
10/25/2021 18H,8636
10/25/2021 17H,8646
10/25/2021 16H,8686
10/25/2021 15H,8880
10/25/2021 14H,9007
10/25/2021 13H,8728
10/25/2021 12H,8256
10/25/2021 11H,7104
10/25/2021 10H,5378
10/25/2021 09H,4851
10/25/2021 08H,4635
10/25/2021 07H,4651
10/25/2021 06H,4622
10/25/2021 05H,4893
10/25/2021 04H,5103
10/25/2021 03H,5959
10/25/2021 02H,6811
10/25/2021 01H,7208
10/25/2021 00H,7378
10/24/2021 23H,7288
10/24/2021 22H,7222
10/24/2021 21H,6544
10/24/2021 20H,5984
10/24/2021 19H,5287
10/24/2021 18H,4869
10/24/2021 17H,4722
10/24/2021 16H,4581
10/24/2021 15H,4558
10/24/2021 14H,4969
10/24/2021 13H,5228
10/24/2021 12H,5147
10/24/2021 11H,4997
10/24/2021 10H,4637
10/24/2021 09H,4539
10/24/2021 08H,4582
10/24/2021 07H,4695
10/24/2021 06H,4597
10/24/2021 05H,4712
10/24/2021 04H,4858
10/24/2021 03H,5514
10/24/2021 02H,6318
10/24/2021 01H,6802
10/24/2021 00H,7053
10/23/2021 23H,6933
10/23/2021 22H,6868
10/23/2021 21H,6323
10/23/2021 20H,5462
10/23/2021 19H,5555
10/23/2021 18H,5730
10/23/2021 17H,5809
10/23/2021 16H,6078
10/23/2021 15H,5939
10/23/2021 14H,6170
10/23/2021 13H,6055
10/23/2021 12H,5676
10/23/2021 11H,5193
10/23/2021 10H,4905
10/23/2021 09H,4849
10/23/2021 08H,0
10/23/2021 07H,4287
10/23/2021 06H,4436
10/23/2021 05H,4828
10/23/2021 04H,5364
10/23/2021 03H,6011
10/23/2021 02H,6757
10/23/2021 01H,7287
10/23/2021 00H,7545
10/22/2021 23H,7649
10/22/2021 22H,7656
10/22/2021 21H,7447
10/22/2021 20H,7343
10/22/2021 19H,7401
10/22/2021 18H,7341
10/22/2021 17H,7391
10/22/2021 16H,7279
10/22/2021 15H,7213
10/22/2021 14H,7082
10/22/2021 13H,7206
10/22/2021 12H,7155
10/22/2021 11H,6580
10/22/2021 10H,5693
10/22/2021 09H,5420
10/22/2021 08H,5309
10/22/2021 07H,5154
10/22/2021 06H,5309
10/22/2021 05H,5361
10/22/2021 04H,5899
10/22/2021 03H,6727
10/22/2021 02H,0
10/22/2021 01H,8129
10/22/2021 00H,8138
10/21/2021 23H,8270
10/21/2021 22H,8115
10/21/2021 21H,8092
10/21/2021 20H,7769
10/21/2021 19H,7404
10/21/2021 18H,6985
10/21/2021 17H,6812
10/21/2021 16H,6829
10/21/2021 15H,6776
10/21/2021 14H,6819
10/21/2021 13H,6893
10/21/2021 12H,6740
10/21/2021 11H,6264
10/21/2021 10H,5404
10/21/2021 09H,5000
10/21/2021 08H,4848
10/21/2021 07H,4868
10/21/2021 06H,4964
10/21/2021 05H,5045
10/21/2021 04H,5372
10/21/2021 03H,6559
10/21/2021 02H,7308
10/21/2021 01H,7992
10/21/2021 00H,8194
10/20/2021 23H,0
10/20/2021 22H,8056
10/20/2021 21H,7776
10/20/2021 20H,7124
10/20/2021 19H,6496
10/20/2021 18H,6019
10/20/2021 17H,5907
10/20/2021 16H,5923
10/20/2021 15H,6239
10/20/2021 14H,6600
10/20/2021 13H,6810
10/20/2021 12H,6992
10/20/2021 11H,6190
10/20/2021 10H,4835
10/20/2021 09H,4444
10/20/2021 08H,4361
10/20/2021 07H,4285
10/20/2021 06H,4348
10/20/2021 05H,4619
10/20/2021 04H,4742
10/20/2021 03H,5640
10/20/2021 02H,6638
10/20/2021 01H,7250
10/20/2021 00H,7811
10/19/2021 23H,7762
10/19/2021 22H,7505
10/19/2021 21H,6608
10/19/2021 20H,5676
10/19/2021 19H,5281
10/19/2021 18H,5030
10/19/2021 17H,4918
10/19/2021 16H,5099
10/19/2021 15H,5567
10/19/2021 14H,5967
10/19/2021 13H,6496
10/19/2021 12H,6531
10/19/2021 11H,5765
10/19/2021 10H,4341
10/19/2021 09H,4126
10/19/2021 08H,3800
10/19/2021 07H,3850
10/19/2021 06H,3851
10/19/2021 05H,4122
10/19/2021 04H,4248
10/19/2021 03H,5365
10/19/2021 02H,6467
10/19/2021 01H,7558
10/19/2021 00H,7988
10/18/2021 23H,8027
10/18/2021 22H,7758
10/18/2021 21H,7221
10/18/2021 20H,6886
10/18/2021 19H,0
10/18/2021 18H,6627
10/18/2021 17H,6355
10/18/2021 16H,6232
10/18/2021 15H,6156
10/18/2021 14H,6125
10/18/2021 13H,7057
10/18/2021 12H,7169
10/18/2021 11H,5818
10/18/2021 10H,4456
10/18/2021 09H,3697
10/18/2021 08H,3363
10/18/2021 07H,3355
10/18/2021 06H,3405
10/18/2021 05H,3963
10/18/2021 04H,4217
10/18/2021 03H,4966
10/18/2021 02H,5994
10/18/2021 01H,6673
10/18/2021 00H,7048
10/17/2021 23H,7288
10/17/2021 22H,6640
10/17/2021 21H,5809
10/17/2021 20H,5100
10/17/2021 19H,4459
10/17/2021 18H,4347
10/17/2021 17H,4307
10/17/2021 16H,3801
10/17/2021 15H,3724
10/17/2021 14H,4017
10/17/2021 13H,4408
10/17/2021 12H,4226
10/17/2021 11H,4060
10/17/2021 10H,3674
10/17/2021 09H,3689
10/17/2021 08H,3735
10/17/2021 07H,3905
10/17/2021 06H,4077
10/17/2021 05H,4628
10/17/2021 04H,5258
10/17/2021 03H,6222
10/17/2021 02H,7108
10/17/2021 01H,7759
10/17/2021 00H,8160
10/16/2021 23H,8203
10/16/2021 22H,8091
10/16/2021 21H,7803
10/16/2021 20H,7279
10/16/2021 19H,6994
10/16/2021 18H,6868
10/16/2021 17H,7262
10/16/2021 16H,7105
10/16/2021 15H,6798
10/16/2021 14H,6804
10/16/2021 13H,6715
10/16/2021 12H,6269
10/16/2021 11H,5723
10/16/2021 10H,5332
10/16/2021 09H,5307
10/16/2021 08H,5633
10/16/2021 07H,5545
10/16/2021 06H,5790
10/16/2021 05H,5627
10/16/2021 04H,6208
10/16/2021 03H,7410
10/16/2021 02H,0
10/16/2021 01H,8525
10/16/2021 00H,8899
10/15/2021 23H,9231
10/15/2021 22H,9103
10/15/2021 21H,8779
10/15/2021 20H,8510
10/15/2021 19H,8373
10/15/2021 18H,8326
10/15/2021 17H,8304
10/15/2021 16H,8121
10/15/2021 15H,7807
10/15/2021 14H,7658
10/15/2021 13H,7950
10/15/2021 12H,7828
10/15/2021 11H,6984
10/15/2021 10H,5943
10/15/2021 09H,5613
10/15/2021 08H,5470
10/15/2021 07H,5505
10/15/2021 06H,5476
10/15/2021 05H,0
10/15/2021 04H,6291
10/15/2021 03H,7389
10/15/2021 02H,8289
10/15/2021 01H,8842
10/15/2021 00H,9030
10/14/2021 23H,9209
10/14/2021 22H,0
10/14/2021 21H,0
10/14/2021 20H,8892
10/14/2021 19H,8627
10/14/2021 18H,8195
10/14/2021 17H,7980
10/14/2021 16H,7726
10/14/2021 15H,7701
10/14/2021 14H,7684
10/14/2021 13H,7656
10/14/2021 12H,7462
10/14/2021 11H,6598
10/14/2021 10H,5680
10/14/2021 09H,5004
10/14/2021 08H,4953
10/14/2021 07H,5274
10/14/2021 06H,5551
10/14/2021 05H,5563
10/14/2021 04H,6092
10/14/2021 03H,7631
10/14/2021 02H,8562
10/14/2021 01H,9168
10/14/2021 00H,9438
10/13/2021 23H,9637
10/13/2021 22H,9486
10/13/2021 21H,9236
10/13/2021 20H,8703
10/13/2021 19H,8570
10/13/2021 18H,8271
10/13/2021 17H,8044
10/13/2021 16H,7730
10/13/2021 15H,7732
10/13/2021 14H,7875
10/13/2021 13H,7928
10/13/2021 12H,7895
10/13/2021 11H,7106
10/13/2021 10H,6225
10/13/2021 09H,5902
10/13/2021 08H,5628
10/13/2021 07H,5722
10/13/2021 06H,5938
10/13/2021 05H,6194
10/13/2021 04H,6329
10/13/2021 03H,7206
10/13/2021 02H,8312
10/13/2021 01H,8793
10/13/2021 00H,8819
10/12/2021 23H,8995
10/12/2021 22H,8983
10/12/2021 21H,8703
10/12/2021 20H,8570
10/12/2021 19H,7950
10/12/2021 18H,7576
10/12/2021 17H,7296
10/12/2021 16H,7272
10/12/2021 15H,7577
10/12/2021 14H,7695
10/12/2021 13H,7803
10/12/2021 12H,7679
10/12/2021 11H,7063
10/12/2021 10H,5958
10/12/2021 09H,5370
10/12/2021 08H,5241
10/12/2021 07H,5182
10/12/2021 06H,5412
10/12/2021 05H,5546
10/12/2021 04H,6102
10/12/2021 03H,6851
10/12/2021 02H,7578
10/12/2021 01H,8240
10/12/2021 00H,8395
10/11/2021 23H,8581
10/11/2021 22H,8583
10/11/2021 21H,8338
10/11/2021 20H,8078
10/11/2021 19H,7741
10/11/2021 18H,7518
10/11/2021 17H,7171
10/11/2021 16H,7323
10/11/2021 15H,7328
10/11/2021 14H,7606
10/11/2021 13H,7322
10/11/2021 12H,6946
10/11/2021 11H,6031
10/11/2021 10H,5310
10/11/2021 09H,5037
10/11/2021 08H,5178
10/11/2021 07H,5203
10/11/2021 06H,5062
10/11/2021 05H,5235
10/11/2021 04H,5536
10/11/2021 03H,5977
10/11/2021 02H,6918
10/11/2021 01H,7341
10/11/2021 00H,7547
10/10/2021 23H,7515
10/10/2021 22H,7596
10/10/2021 21H,7479
10/10/2021 20H,7247
10/10/2021 19H,7103
10/10/2021 18H,7040
10/10/2021 17H,6913
10/10/2021 16H,6663
10/10/2021 15H,6265
10/10/2021 14H,5898
10/10/2021 13H,5304
10/10/2021 12H,4726
10/10/2021 11H,4839
10/10/2021 10H,4736
10/10/2021 09H,4830
10/10/2021 08H,4727
10/10/2021 07H,4673
10/10/2021 06H,4705
10/10/2021 05H,4798
10/10/2021 04H,5220
10/10/2021 03H,5823
10/10/2021 02H,6725
10/10/2021 01H,7036
10/10/2021 00H,7392
10/9/2021 23H,7693
10/9/2021 22H,7747
10/9/2021 21H,7548
10/9/2021 20H,7164
10/9/2021 19H,6856
10/9/2021 18H,7024
10/9/2021 17H,7116
10/9/2021 16H,7186
10/9/2021 15H,7024
10/9/2021 14H,6703
10/9/2021 13H,6467
10/9/2021 12H,6278
10/9/2021 11H,5704
10/9/2021 10H,5467
10/9/2021 09H,5255
10/9/2021 08H,5169
10/9/2021 07H,5433
10/9/2021 06H,5336
10/9/2021 05H,5690
10/9/2021 04H,6286
10/9/2021 03H,6799
10/9/2021 02H,7406
10/9/2021 01H,7974
10/9/2021 00H,8252
10/8/2021 23H,8319
10/8/2021 22H,8306
10/8/2021 21H,7972
10/8/2021 20H,7718
10/8/2021 19H,7183
10/8/2021 18H,6964
10/8/2021 17H,6603
10/8/2021 16H,6613
10/8/2021 15H,6618
10/8/2021 14H,6821
10/8/2021 13H,6964
10/8/2021 12H,6920
10/8/2021 11H,6317
10/8/2021 10H,5584
10/8/2021 09H,4913
10/8/2021 08H,4655
10/8/2021 07H,4698
10/8/2021 06H,5014
10/8/2021 05H,5164
10/8/2021 04H,5676
