Net generation from wind for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.WND.H
19:16:29 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.WND.H megawatthours
11/8/2021 15H,83
11/8/2021 14H,132
11/8/2021 13H,206
11/8/2021 12H,264
11/8/2021 11H,243
11/8/2021 10H,232
11/8/2021 09H,196
11/8/2021 08H,194
11/8/2021 07H,197
11/8/2021 06H,254
11/8/2021 05H,298
11/8/2021 04H,293
11/8/2021 03H,263
11/8/2021 02H,248
11/8/2021 01H,234
11/8/2021 00H,219
11/7/2021 23H,171
11/7/2021 22H,87
11/7/2021 21H,50
11/7/2021 20H,49
11/7/2021 19H,32
11/7/2021 18H,27
11/7/2021 17H,24
11/7/2021 16H,15
11/7/2021 15H,28
11/7/2021 14H,73
11/7/2021 13H,160
11/7/2021 12H,219
11/7/2021 11H,207
11/7/2021 10H,237
11/7/2021 09H,230
11/7/2021 08H,264
11/7/2021 07H,345
11/7/2021 06H,422
11/7/2021 05H,407
11/7/2021 04H,387
11/7/2021 03H,403
11/7/2021 02H,386
11/7/2021 01H,379
11/7/2021 00H,347
11/6/2021 23H,236
11/6/2021 22H,124
11/6/2021 21H,89
11/6/2021 20H,125
11/6/2021 19H,152
11/6/2021 18H,202
11/6/2021 17H,202
11/6/2021 16H,186
11/6/2021 15H,210
11/6/2021 14H,247
11/6/2021 13H,313
11/6/2021 12H,344
11/6/2021 11H,336
11/6/2021 10H,318
11/6/2021 09H,327
11/6/2021 08H,343
11/6/2021 07H,332
11/6/2021 06H,364
11/6/2021 05H,370
11/6/2021 04H,367
11/6/2021 03H,353
11/6/2021 02H,302
11/6/2021 01H,274
11/6/2021 00H,235
11/5/2021 23H,241
11/5/2021 22H,293
11/5/2021 21H,439
11/5/2021 20H,486
11/5/2021 19H,444
11/5/2021 18H,383
11/5/2021 17H,248
11/5/2021 16H,118
11/5/2021 15H,75
11/5/2021 14H,78
11/5/2021 13H,109
11/5/2021 12H,123
11/5/2021 11H,98
11/5/2021 10H,76
11/5/2021 09H,70
11/5/2021 08H,79
11/5/2021 07H,71
11/5/2021 06H,48
11/5/2021 05H,37
11/5/2021 04H,33
11/5/2021 03H,33
11/5/2021 02H,25
11/5/2021 01H,25
11/5/2021 00H,25
11/4/2021 23H,18
11/4/2021 22H,41
11/4/2021 21H,74
11/4/2021 20H,93
11/4/2021 19H,91
11/4/2021 18H,83
11/4/2021 17H,55
11/4/2021 16H,38
11/4/2021 15H,46
11/4/2021 14H,72
11/4/2021 13H,120
11/4/2021 12H,155
11/4/2021 11H,210
11/4/2021 10H,226
11/4/2021 09H,240
11/4/2021 08H,247
11/4/2021 07H,277
11/4/2021 06H,360
11/4/2021 05H,369
11/4/2021 04H,430
11/4/2021 03H,492
11/4/2021 02H,456
11/4/2021 01H,429
11/4/2021 00H,344
11/3/2021 23H,297
11/3/2021 22H,268
11/3/2021 21H,234
11/3/2021 20H,237
